,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,AutoMapper/AutoMapper,v1.0,2010-05-05,,,,,,,,,,,,,,,,,,
1,AutoMapper/AutoMapper,v2.0.0,2011-09-22,BUG,440.0,77738.0,10.0,76.0,29.0,819.0,10.0,,,,,,19.0,27.0,108.0,132246.0,-1.0
2,AutoMapper/AutoMapper,v2.1.267,2012-04-15,,,,9.0,30.0,35.0,974.0,9.0,,,,,,,,,,
3,AutoMapper/AutoMapper,v2.2.0,2012-09-22,BUG,432.0,76114.0,5.0,21.0,11.0,457.0,5.0,,,,,,5.0,6.0,6.0,1012.0,-1.0
4,AutoMapper/AutoMapper,v2.2.1,2013-02-18,,,,3.0,24.0,10.0,158.0,3.0,,,,,,,,,,
5,AutoMapper/AutoMapper,v3.0.0,2013-08-25,BUG,736.0,148711.0,2.0,74.0,10.0,2035.0,2.0,,,,,,8.0,39.0,13.0,110.0,-1.0
6,AutoMapper/AutoMapper,v3.1.0,2013-11-17,,,,14.0,58.0,30.0,961.0,14.0,,,,,,,,,,
7,AutoMapper/AutoMapper,v3.1.1,2013-12-30,,,,,,,,,,,,,,,,,,
8,AutoMapper/AutoMapper,v3.2.0,2014-04-14,BUG,738.0,149012.0,9.0,56.0,18.0,498.0,9.0,,,,,,1.0,,1.0,2.0,-1.0
9,AutoMapper/AutoMapper,v3.2.1,2014-04-25,,,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,
10,AutoMapper/AutoMapper,v3.3.0,2014-11-28,BUG,775.0,151682.0,9.0,63.0,24.0,428.0,9.0,,,,,,1.0,2.0,1.0,2.0,-1.0
11,AutoMapper/AutoMapper,v3.3.1,2015-01-29,,,,1.0,1.0,3.0,14.0,1.0,,,,,,,,,,
12,AutoMapper/AutoMapper,3.3.1,2015-01-29,,,,2.0,14.0,19.0,174.0,2.0,,,,,,,,,,
13,AutoMapper/AutoMapper,v4.0.0-alpha1,2015-07-07,BUG,837.0,152752.0,8.0,75.0,114.0,3178.0,8.0,,,,,,1.0,1.0,1.0,2.0,-1.0
14,AutoMapper/AutoMapper,v4.0.0,2015-08-05,BUG,868.0,155936.0,36.0,72.0,47.0,1753.0,36.0,,,,,,6.0,6.0,21.0,640.0,-1.0
15,AutoMapper/AutoMapper,v4.0.1,2015-08-05,,,,1.0,,3.0,47.0,1.0,,,,,,,,,,
16,AutoMapper/AutoMapper,v4.0.4,2015-08-05,,,,,,,,,,,,,,,,,,
17,AutoMapper/AutoMapper,v4.0.2,2015-08-05,,,,,,,,,,,,,,,,,,
18,AutoMapper/AutoMapper,v4.0.3,2015-08-05,BUG,869.0,155964.0,,,,,,,,,,,1.0,1.0,2.0,10.0,-1.0
19,AutoMapper/AutoMapper,v4.1.0,2015-10-21,BUG,898.0,159363.0,27.0,94.0,66.0,1283.0,27.0,3.0,94.0,12.0,154.0,3.0,4.0,11.0,22.0,1075.0,-1.0
20,AutoMapper/AutoMapper,v4.1.1,2015-10-26,,,,4.0,4.0,10.0,179.0,4.0,,,,,,,,,,
21,AutoMapper/AutoMapper,v4.2.0,2016-01-27,BUG,848.0,151895.0,9.0,98.0,,0.0,9.0,2.0,98.0,1.0,2.0,2.0,10.0,51.0,27.0,554.0,-1.0
22,AutoMapper/AutoMapper,v4.2.1,2016-02-24,,,,,,,,,,,,,,,,,,
23,AutoMapper/AutoMapper,v5.0.0-beta-1,2016-05-16,BUG,866.0,152399.0,27.0,299.0,61.0,1021.0,27.0,6.0,302.0,14.0,119.0,6.0,21.0,83.0,65.0,1574.0,-1.0
24,AutoMapper/AutoMapper,v5.0.0,2016-06-27,BUG,866.0,153097.0,3.0,171.0,10.0,2175.0,3.0,3.0,519.0,9.0,178.0,3.0,4.0,77.0,9.0,726.0,-1.0
25,AutoMapper/AutoMapper,v5.0.2,2016-07-07,,,,1.0,,13.0,94.0,1.0,,,,,,,,,,
26,AutoMapper/AutoMapper,v5.0.1,2016-07-07,BUG,864.0,154074.0,6.0,77.0,78.0,1195.0,6.0,64.0,1527.0,21.0,2051.0,64.0,4.0,31.0,8.0,348.0,-1.0
27,AutoMapper/AutoMapper,v5.1.0,2016-08-11,BUG,875.0,155703.0,1.0,108.0,3.0,66.0,1.0,181.0,1675.0,12.0,361.0,181.0,4.0,34.0,12.0,203.0,-1.0
28,AutoMapper/AutoMapper,v5.1.1,2016-08-12,,,,,,,,,,,,,,,,,,
29,AutoMapper/AutoMapper,v5.2.0,2016-11-23,BUG,909.0,159762.0,9.0,150.0,35.0,2139.0,9.0,,,,,,3.0,61.0,6.0,91.0,-1.0
30,AutoMapper/AutoMapper,v1.1.2,2017-03-07,BUG,440.0,140749.0,,,,,,,,,,,1.0,,2.0,5.0,-1.0
31,AutoMapper/AutoMapper,v1.1.1,2017-03-07,,,,,,,,,,,,,,,,,,
32,AutoMapper/AutoMapper,v6.0.0,2017-03-16,BUG,1045.0,164538.0,199.0,1719.0,641.0,19773.0,199.0,260.0,9727.0,73.0,2969.0,260.0,90.0,506.0,241.0,7473.0,-1.0
33,AutoMapper/AutoMapper,v6.0.1,2017-03-17,,,,,,,,,,,,,,,,,,
34,AutoMapper/AutoMapper,v6.0.2,2017-03-22,,,,,,,,,,,,,,,,,,
35,AutoMapper/AutoMapper,v6.1.0,2017-06-13,BUG,663.0,60306.0,1.0,108.0,6.0,98.0,1.0,,,,,,7.0,63.0,20.0,271.0,-1.0
36,AutoMapper/AutoMapper,v6.1.1,2017-06-26,,,,,,,,,,,,,,,,,,
37,AutoMapper/AutoMapper,v6.2.0,2017-11-09,BUG,660.0,62807.0,5.0,241.0,15.0,201.0,5.0,236.0,3721.0,,0.0,236.0,13.0,149.0,44.0,1144.0,-1.0
