,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,AutoMapper/AutoMapper,v1.0,2010-05-05,FEATURE,387,78080,,,,,,,,,,,,,,,
1,AutoMapper/AutoMapper,v2.0.0,2011-09-22,FEATURE,440,77738,,,,,,,,,,,,,,,
2,AutoMapper/AutoMapper,v2.1.267,2012-04-15,FEATURE,452,79654,,,,,,,,,,,,,,,
3,AutoMapper/AutoMapper,v2.2.0,2012-09-22,FEATURE,432,76114,,,,,,,,,,,,,,,
4,AutoMapper/AutoMapper,v2.2.1,2013-02-18,FEATURE,442,77021,,,,,,,,,,,,,,,
5,AutoMapper/AutoMapper,v3.0.0,2013-08-25,FEATURE,736,148711,,,,,,,,,,,,,,,
6,AutoMapper/AutoMapper,v3.1.0,2013-11-17,FEATURE,724,146348,,,,,,,,,,,,,,,
7,AutoMapper/AutoMapper,v3.1.1,2013-12-30,FEATURE,725,146406,,,,,,,,,,,,,,,
8,AutoMapper/AutoMapper,v3.2.0,2014-04-14,FEATURE,738,149012,1.0,65.0,1.0,18.0,1.0,,,,,,,,,,
9,AutoMapper/AutoMapper,v3.2.1,2014-04-25,FEATURE,738,149110,,,,,,,,,,,,,,,
10,AutoMapper/AutoMapper,v3.3.0,2014-11-28,FEATURE,775,151682,,,,,,,,,,,,,,,
11,AutoMapper/AutoMapper,v3.3.1,2015-01-29,FEATURE,774,151612,,,,,,,,,,,,,,,
12,AutoMapper/AutoMapper,3.3.1,2015-01-29,FEATURE,806,152328,,,,,,,,,,,,,,,
13,AutoMapper/AutoMapper,v4.0.0-alpha1,2015-07-07,FEATURE,837,152752,,,,,,,,,,,,,,,
14,AutoMapper/AutoMapper,v4.0.0,2015-08-05,FEATURE,868,155936,,,,,,,,,,,,,,,
15,AutoMapper/AutoMapper,v4.0.4,2015-08-05,FEATURE,869,155960,,,,,,,,,,,,,,,
16,AutoMapper/AutoMapper,v4.0.2,2015-08-05,FEATURE,869,155960,,,,,,,,,,,,,,,
17,AutoMapper/AutoMapper,v4.0.1,2015-08-05,FEATURE,869,155960,,,,,,,,,,,,,,,
18,AutoMapper/AutoMapper,v4.0.3,2015-08-05,FEATURE,869,155964,,,,,,,,,,,,,,,
19,AutoMapper/AutoMapper,v4.1.0,2015-10-21,FEATURE,898,159363,,,,,,,,,,,,,,,
20,AutoMapper/AutoMapper,v4.1.1,2015-10-26,FEATURE,898,159522,,,,,,,,,,,,,,,
21,AutoMapper/AutoMapper,v4.2.0,2016-01-27,FEATURE,848,151895,,,,,,,,,,,,,,,
