,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,AutoMapper/AutoMapper,v1.0,2010-05-05,SUPPORT,387,78080,,,,,,,,,,,,,,,
1,AutoMapper/AutoMapper,v2.0.0,2011-09-22,SUPPORT,440,77738,2.0,100.0,61.0,4767.0,1.0,2.0,100.0,10.0,176.0,2.0,1.0,45.0,9.0,371.0,-1.0
2,AutoMapper/AutoMapper,v2.1.267,2012-04-15,SUPPORT,452,79654,2.0,37.0,16.0,747.0,1.0,,,,,,,,,,
3,AutoMapper/AutoMapper,v2.2.0,2012-09-22,SUPPORT,432,76114,1.0,30.0,32.0,4734.0,1.0,,,,,,,,,,
4,AutoMapper/AutoMapper,v2.2.1,2013-02-18,SUPPORT,442,77021,1.0,24.0,3.0,197.0,1.0,,,,,,2.0,7.0,11.0,597.0,-1.0
5,AutoMapper/AutoMapper,v3.0.0,2013-08-25,SUPPORT,736,148711,1.0,81.0,1.0,9.0,1.0,,,,,,2.0,45.0,17.0,723.0,-1.0
6,AutoMapper/AutoMapper,v3.1.0,2013-11-17,SUPPORT,724,146348,1.0,71.0,9.0,146.0,1.0,,,,,,,,,,
7,AutoMapper/AutoMapper,v3.1.1,2013-12-30,SUPPORT,725,146406,,,,,,,,,,,,,,,
8,AutoMapper/AutoMapper,v3.2.0,2014-04-14,SUPPORT,738,149012,3.0,63.0,9.0,770.0,1.0,,,,,,,,,,
9,AutoMapper/AutoMapper,v3.2.1,2014-04-25,SUPPORT,738,149110,,,,,,,,,,,,,,,
10,AutoMapper/AutoMapper,v3.3.0,2014-11-28,SUPPORT,775,151682,4.0,69.0,17.0,659.0,1.0,,,,,,,,,,
11,AutoMapper/AutoMapper,v3.3.1,2015-01-29,SUPPORT,774,151612,,,,,,,,,,,,,,,
12,AutoMapper/AutoMapper,3.3.1,2015-01-29,SUPPORT,806,152328,1.0,15.0,6.0,113.0,1.0,,,,,,,,,,
13,AutoMapper/AutoMapper,v4.0.0-alpha1,2015-07-07,SUPPORT,837,152752,,,,,,,,,,,,,,,
14,AutoMapper/AutoMapper,v4.0.0,2015-08-05,SUPPORT,868,155936,4.0,110.0,19.0,394.0,1.0,,,,,,,,,,
15,AutoMapper/AutoMapper,v4.0.4,2015-08-05,SUPPORT,869,155960,,,,,,,,,,,,,,,
16,AutoMapper/AutoMapper,v4.0.2,2015-08-05,SUPPORT,869,155960,,,,,,,,,,,,,,,
17,AutoMapper/AutoMapper,v4.0.1,2015-08-05,SUPPORT,869,155960,,,,,,,,,,,,,,,
18,AutoMapper/AutoMapper,v4.0.3,2015-08-05,SUPPORT,869,155964,,,,,,,,,,,,,,,
19,AutoMapper/AutoMapper,v4.1.0,2015-10-21,SUPPORT,898,159363,1.0,126.0,15.0,103.0,1.0,,,,,,1.0,14.0,3.0,99.0,-1.0
20,AutoMapper/AutoMapper,v4.1.1,2015-10-26,SUPPORT,898,159522,,,,,,,,,,,,,,,
21,AutoMapper/AutoMapper,v4.2.0,2016-01-27,SUPPORT,848,151895,,,,,,,,,,,1.0,60.0,3.0,132.0,-1.0
22,AutoMapper/AutoMapper,v4.2.1,2016-02-24,SUPPORT,849,151959,,,,,,,,,,,,,,,
23,AutoMapper/AutoMapper,v5.0.0-beta-1,2016-05-16,SUPPORT,866,152399,,,,,,,,,,,,,,,
24,AutoMapper/AutoMapper,v5.0.0,2016-06-27,SUPPORT,866,153097,2.0,179.0,4.0,198.0,1.0,,,,,,,,,,
25,AutoMapper/AutoMapper,v5.0.2,2016-07-07,SUPPORT,864,154030,,,,,,,,,,,,,,,
26,AutoMapper/AutoMapper,v5.0.1,2016-07-07,SUPPORT,864,154074,,,,,,,,,,,,,,,
27,AutoMapper/AutoMapper,v5.1.0,2016-08-11,SUPPORT,875,155703,,,,,,,,,,,1.0,37.0,7.0,38.0,-1.0
28,AutoMapper/AutoMapper,v5.1.1,2016-08-12,SUPPORT,875,155708,,,,,,,,,,,,,,,
29,AutoMapper/AutoMapper,v5.2.0,2016-11-23,SUPPORT,909,159762,2.0,160.0,12.0,454.0,1.0,,,,,,,,,,
30,AutoMapper/AutoMapper,v1.1.2,2017-03-07,SUPPORT,440,140749,,,,,,,,,,,,,,,
31,AutoMapper/AutoMapper,v1.1.1,2017-03-07,SUPPORT,440,140750,,,,,,,,,,,,,,,
32,AutoMapper/AutoMapper,v6.0.0,2017-03-16,SUPPORT,1045,164538,26.0,1999.0,219.0,14077.0,1.0,3.0,10240.0,11.0,184.0,3.0,8.0,588.0,44.0,1653.0,-1.0
33,AutoMapper/AutoMapper,v6.0.1,2017-03-17,SUPPORT,1045,164537,,,,,,,,,,,,,,,
34,AutoMapper/AutoMapper,v6.0.2,2017-03-22,SUPPORT,1045,164532,,,,,,,,,,,,,,,
35,AutoMapper/AutoMapper,v6.1.0,2017-06-13,SUPPORT,663,60306,,,,,,,,,,,1.0,69.0,40.0,1306.0,-1.0
36,AutoMapper/AutoMapper,v6.1.1,2017-06-26,SUPPORT,663,60521,,,,,,,,,,,,,,,
37,AutoMapper/AutoMapper,v6.2.0,2017-11-09,SUPPORT,660,62807,2.0,261.0,6.0,222.0,1.0,,,,,,,,,,
38,AutoMapper/AutoMapper,v6.2.1,2017-11-16,SUPPORT,660,62984,,,,,,,,,,,,,,,
39,AutoMapper/AutoMapper,v6.2.2,2017-12-06,SUPPORT,661,63153,,,,,,,,,,,,,,,
40,AutoMapper/AutoMapper,v7.0.0-alpha-0001,2018-04-09,SUPPORT,660,64134,,,,,,,,,,,,,,,
41,AutoMapper/AutoMapper,v7.0.0,2018-06-05,SUPPORT,587,56192,,,,,,,,,,,,,,,
42,AutoMapper/AutoMapper,v7.0.1,2018-06-18,SUPPORT,591,56716,1.0,41.0,2.0,12.0,1.0,,,,,,,,,,
43,AutoMapper/AutoMapper,v8.0.0,2018-11-17,SUPPORT,598,58970,2.0,148.0,7.0,108.0,1.0,,,,,,,,,,
44,AutoMapper/AutoMapper,v8.1.0,2019-04-25,SUPPORT,630,63557,,,,,,,,,,,1.0,77.0,6.0,103.0,-1.0
45,AutoMapper/AutoMapper,v8.1.1,2019-06-03,SUPPORT,631,63952,,,,,,,,,,,,,,,
46,AutoMapper/AutoMapper,v9.0.0,2019-08-09,SUPPORT,629,62949,,,,,,,,,,,,,,,
