,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,angular/angular.js,v0.9.1,2010-10-26,DOCS,162,26365,,,,,,,,,,,,,,,
1,angular/angular.js,v0.9.2,2010-11-03,DOCS,185,30279,6.0,54.0,12.0,1000.0,6.0,,,,,,,,,,
2,angular/angular.js,v0.9.3,2010-11-10,DOCS,193,31992,14.0,66.0,70.0,2504.0,14.0,1.0,33.0,7.0,155.0,1.0,,,,,
3,angular/angular.js,v0.9.4,2010-11-18,DOCS,200,34257,12.0,78.0,72.0,1222.0,12.0,,,,,,,,,,
4,angular/angular.js,v0.9.5,2010-11-25,DOCS,200,35422,44.0,16.0,50.0,2124.0,44.0,,,,,,,,,,
5,angular/angular.js,v0.9.6,2010-12-06,DOCS,211,35910,12.0,26.0,42.0,3020.0,12.0,,,,,,,,,,
6,angular/angular.js,v0.9.7,2010-12-10,DOCS,211,35926,4.0,20.0,6.0,96.0,4.0,,,,,,,,,,
7,angular/angular.js,v0.9.9,2011-01-13,DOCS,219,36979,6.0,90.0,86.0,5706.0,6.0,,,,,,,,,,
8,angular/angular.js,v0.9.10,2011-01-26,DOCS,232,38671,12.0,84.0,50.0,2290.0,12.0,,,,,,,,,,
9,angular/angular.js,v0.9.11,2011-02-08,DOCS,253,40866,12.0,82.0,72.0,8516.0,12.0,,,,,,,,,,
10,angular/angular.js,v0.9.12,2011-03-03,DOCS,299,51738,24.0,93.0,44.0,19988.0,24.0,,,,,,,,,,
11,angular/angular.js,v0.9.13,2011-03-13,DOCS,299,52003,,,,,,,,,,,,,,,
12,angular/angular.js,v0.9.14,2011-04-01,DOCS,301,52266,,,,,,,,,,,,,,,
13,angular/angular.js,v0.9.15,2011-04-11,DOCS,301,52404,2.0,32.0,2.0,6.0,2.0,,,,,,,,,,
14,angular/angular.js,v0.9.16,2011-06-07,DOCS,422,123560,48.0,151.0,544.0,33204.0,48.0,,,,,,,,,,
15,angular/angular.js,v0.9.17,2011-06-30,DOCS,417,122778,12.0,98.0,164.0,3634.0,12.0,2.0,50.0,3.0,31.0,2.0,,,,,
16,angular/angular.js,v0.9.18,2011-07-29,DOCS,423,124476,24.0,155.0,70.0,2520.0,24.0,,,,,,,,,,
17,angular/angular.js,v0.9.19,2011-08-21,DOCS,423,124968,,,,,,,,,,,1.0,25.0,1.0,10.0,-1.0
18,angular/angular.js,v0.10.0,2011-09-02,DOCS,594,135360,14.0,142.0,42.0,1700.0,14.0,2.0,75.0,4.0,410.0,2.0,,,,,
19,angular/angular.js,v0.10.1,2011-09-09,DOCS,599,139449,4.0,46.0,10.0,6478.0,4.0,1.0,23.0,4.0,3186.0,1.0,,,,,
20,angular/angular.js,v0.10.2,2011-10-08,DOCS,597,142486,2.0,60.0,24.0,460.0,2.0,,,,,,2.0,10.0,2.0,112.0,-1.0
21,angular/angular.js,v0.10.3,2011-10-14,DOCS,593,145359,8.0,63.0,158.0,368.0,8.0,,,,,,,,,,
22,angular/angular.js,v0.10.4,2011-10-22,DOCS,594,145809,8.0,45.0,12.0,328.0,8.0,,,,,,,,,,
23,angular/angular.js,v0.10.5,2011-11-08,DOCS,599,146194,10.0,53.0,18.0,266.0,10.0,,,,,,1.0,1.0,5.0,194.0,-1.0
24,angular/angular.js,v0.10.6,2012-01-17,DOCS,599,150273,42.0,316.0,124.0,22578.0,42.0,2.0,160.0,2.0,22.0,2.0,,,,,
25,angular/angular.js,v1.0.0rc1,2012-03-14,DOCS,627,155231,14.0,151.0,122.0,3992.0,14.0,3.0,123.0,4.0,30.0,3.0,22.0,95.0,74.0,3699.0,-1.0
26,angular/angular.js,g3-v1.0.0rc1,2012-03-16,DOCS,627,155375,,,,,,,,,,,,,,,
27,angular/angular.js,g3-v1.0.0-rc2,2012-03-16,DOCS,627,155375,,,,,,,,,,,,,,,
28,angular/angular.js,v1.0.0rc2,2012-03-20,DOCS,625,155822,4.0,47.0,8.0,122.0,4.0,,,,,,2.0,5.0,2.0,106.0,-1.0
