,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,angular/angular.js,v0.9.1,2010-10-26,,,,,,,,,,,,,,,,,,
1,angular/angular.js,v0.9.2,2010-11-03,,,,,,,,,,,,,,,,,,
2,angular/angular.js,v0.9.3,2010-11-10,,,,,,,,,,,,,,,,,,
3,angular/angular.js,v0.9.4,2010-11-18,,,,,,,,,,,,,,,,,,
4,angular/angular.js,v0.9.5,2010-11-25,,,,,,,,,,,,,,,,,,
5,angular/angular.js,v0.9.6,2010-12-06,,,,,,,,,,,,,,,,,,
6,angular/angular.js,v0.9.7,2010-12-10,,,,,,,,,,,,,,,,,,
7,angular/angular.js,v0.9.9,2011-01-13,,,,,,,,,,,,,,,,,,
8,angular/angular.js,v0.9.10,2011-01-26,,,,,,,,,,,,,,,,,,
9,angular/angular.js,v0.9.11,2011-02-08,,,,,,,,,,,,,,,,,,
10,angular/angular.js,v0.9.12,2011-03-03,,,,,,,,,,,,,,,,,,
11,angular/angular.js,v0.9.13,2011-03-13,,,,,,,,,,,,,,,,,,
12,angular/angular.js,v0.9.14,2011-04-01,,,,,,,,,,,,,,,,,,
13,angular/angular.js,v0.9.15,2011-04-11,,,,,,,,,,,,,,,,,,
14,angular/angular.js,v0.9.16,2011-06-07,,,,,,,,,,,,,,,,,,
15,angular/angular.js,v0.9.17,2011-06-30,,,,2.0,108.0,10.0,476.0,2.0,,,,,,,,,,
16,angular/angular.js,v0.9.18,2011-07-29,,,,22.0,157.0,280.0,2526.0,22.0,,,,,,,,,,
17,angular/angular.js,v0.9.19,2011-08-21,FEATURE,423.0,124968.0,,,,,,,,,,,3.0,23.0,16.0,568.0,-1.0
18,angular/angular.js,v0.10.0,2011-09-02,,,,32.0,124.0,870.0,30630.0,32.0,1.0,66.0,60.0,4230.0,1.0,,,,,
19,angular/angular.js,v0.10.1,2011-09-09,,,,10.0,40.0,32.0,3714.0,10.0,5.0,20.0,16.0,1857.0,5.0,,,,,
20,angular/angular.js,v0.10.2,2011-10-08,,,,8.0,56.0,42.0,31280.0,8.0,,,,,,,,,,
21,angular/angular.js,v0.10.3,2011-10-14,FEATURE,593.0,145359.0,6.0,62.0,212.0,22100.0,6.0,,,,,,3.0,6.0,11.0,711.0,-1.0
22,angular/angular.js,v0.10.4,2011-10-22,,,,8.0,45.0,18.0,510.0,8.0,,,,,,,,,,
23,angular/angular.js,v0.10.5,2011-11-08,,,,8.0,56.0,24.0,1132.0,8.0,1.0,29.0,3.0,177.0,1.0,,,,,
