,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,angular/angular.js,v0.9.1,2010-10-26,OTHER,162,26365,30.0,36.0,76.0,3298.0,2.0,,,,,,,,,,
1,angular/angular.js,v0.9.2,2010-11-03,OTHER,185,30279,24.0,31.0,118.0,6252.0,1.0,5.0,17.0,16.0,492.0,1.0,,,,,
2,angular/angular.js,v0.9.3,2010-11-10,OTHER,193,31992,36.0,45.0,142.0,10090.0,2.0,,,,,,,,,,
3,angular/angular.js,v0.9.4,2010-11-18,OTHER,200,34257,42.0,48.0,154.0,4104.0,2.0,,,,,,,,,,
4,angular/angular.js,v0.9.5,2010-11-25,OTHER,200,35422,6.0,54.0,10.0,304.0,1.0,,,,,,,,,,
5,angular/angular.js,v0.9.6,2010-12-06,OTHER,211,35910,6.0,32.0,44.0,1132.0,2.0,,,,,,,,,,
6,angular/angular.js,v0.9.7,2010-12-10,OTHER,211,35926,10.0,14.0,28.0,328.0,2.0,,,,,,,,,,
7,angular/angular.js,v0.9.9,2011-01-13,OTHER,219,36979,48.0,46.0,254.0,4620.0,2.0,,,,,,2.0,,5.0,107.0,-1.0
8,angular/angular.js,v0.9.10,2011-01-26,OTHER,232,38671,46.0,50.0,102.0,1956.0,2.0,,,,,,,,,,
9,angular/angular.js,v0.9.11,2011-02-08,OTHER,253,40866,40.0,54.0,132.0,2752.0,2.0,,,,,,,,,,
10,angular/angular.js,v0.9.12,2011-03-03,OTHER,299,51738,66.0,50.0,366.0,19638.0,2.0,1.0,25.0,1.0,2.0,1.0,,,,,
11,angular/angular.js,v0.9.13,2011-03-13,OTHER,299,52003,22.0,16.0,56.0,924.0,2.0,,,,,,,,,,
12,angular/angular.js,v0.9.14,2011-04-01,OTHER,301,52266,32.0,26.0,116.0,956.0,1.0,,,,,,,,,,
13,angular/angular.js,v0.9.15,2011-04-11,OTHER,301,52404,8.0,26.0,14.0,102.0,1.0,,,,,,,,,,
14,angular/angular.js,v0.9.16,2011-06-07,OTHER,422,123560,66.0,132.0,280.0,166444.0,3.0,1.0,67.0,10.0,72.0,1.0,,,,,
15,angular/angular.js,v0.9.17,2011-06-30,OTHER,417,122778,42.0,69.0,148.0,3308.0,3.0,1.0,36.0,12.0,167.0,1.0,,,,,
16,angular/angular.js,v0.9.18,2011-07-29,OTHER,423,124476,36.0,142.0,56.0,488.0,3.0,1.0,71.0,3.0,6.0,1.0,,,,,
17,angular/angular.js,v0.9.19,2011-08-21,OTHER,423,124968,,,,,,,,,,,5.0,21.0,11.0,121.0,-1.0
18,angular/angular.js,v0.10.0,2011-09-02,OTHER,594,135360,26.0,130.0,104.0,952.0,3.0,1.0,69.0,1.0,10.0,1.0,,,,,
19,angular/angular.js,v0.10.1,2011-09-09,OTHER,599,139449,6.0,44.0,10.0,60.0,2.0,2.0,22.0,3.0,22.0,1.0,,,,,
20,angular/angular.js,v0.10.2,2011-10-08,OTHER,597,142486,2.0,61.0,4.0,20.0,1.0,,,,,,1.0,11.0,1.0,2.0,-1.0
21,angular/angular.js,v0.10.3,2011-10-14,OTHER,593,145359,10.0,60.0,254.0,5534.0,1.0,,,,,,1.0,8.0,1.0,1.0,-1.0
22,angular/angular.js,v0.10.4,2011-10-22,OTHER,594,145809,2.0,51.0,2.0,30.0,1.0,,,,,,,,,,
23,angular/angular.js,v0.10.5,2011-11-08,OTHER,599,146194,4.0,60.0,6.0,24.0,2.0,1.0,31.0,1.0,4.0,1.0,,,,,
24,angular/angular.js,v0.10.6,2012-01-17,OTHER,599,150273,58.0,300.0,510.0,8144.0,3.0,4.0,152.0,6.0,212.0,1.0,,,,,
25,angular/angular.js,v1.0.0rc1,2012-03-14,OTHER,627,155231,10.0,167.0,42.0,1308.0,2.0,1.0,137.0,1.0,8.0,1.0,10.0,107.0,78.0,10597.0,-1.0
26,angular/angular.js,g3-v1.0.0rc1,2012-03-16,OTHER,627,155375,,,,,,,,,,,,,,,
27,angular/angular.js,g3-v1.0.0-rc2,2012-03-16,OTHER,627,155375,,,,,,,,,,,,,,,
28,angular/angular.js,v1.0.0rc2,2012-03-20,OTHER,625,155822,6.0,47.0,16.0,406.0,2.0,,,,,,,,,,
29,angular/angular.js,v1.0.0rc3,2012-03-29,OTHER,628,156356,2.0,54.0,2.0,2.0,1.0,1.0,39.0,1.0,35.0,1.0,7.0,24.0,336.0,1011.0,-1.0
30,angular/angular.js,v1.0.0rc4,2012-04-05,OTHER,644,157873,2.0,42.0,6.0,4.0,1.0,1.0,28.0,3.0,2.0,1.0,,,,,
31,angular/angular.js,v1.0.0rc5,2012-04-12,OTHER,646,155273,4.0,39.0,14.0,392.0,1.0,,,,,,1.0,9.0,20.0,545.0,-1.0
32,angular/angular.js,v1.0.0rc6,2012-04-20,OTHER,651,155801,4.0,26.0,26.0,32.0,1.0,,,,,,,,,,
33,angular/angular.js,v1.0.0rc7,2012-04-30,OTHER,654,156102,2.0,22.0,2.0,10.0,1.0,,,,,,,,,,
34,angular/angular.js,v1.0.0rc8,2012-05-07,OTHER,653,162941,,,,,,,,,,,7.0,20.0,12.0,473.0,-1.0
35,angular/angular.js,v1.0.0rc9,2012-05-14,OTHER,653,163103,,,,,,,,,,,,,,,
36,angular/angular.js,v1.0.0rc10,2012-05-23,OTHER,656,163552,,,,,,,,,,,1.0,10.0,2.0,11.0,-1.0
37,angular/angular.js,v1.0.0rc11,2012-06-11,OTHER,648,163902,18.0,56.0,76.0,1390.0,2.0,,,,,,2.0,14.0,8.0,107.0,-1.0
38,angular/angular.js,v1.0.0rc12,2012-06-12,OTHER,654,167129,,,,,,,,,,,1.0,9.0,30.0,3384.0,-1.0
39,angular/angular.js,v1.0.0,2012-06-14,OTHER,654,167266,,,,,,,,,,,,,,,
40,angular/angular.js,v1.0.1,2012-06-25,OTHER,660,167728,,,,,,,,,,,,,,,
41,angular/angular.js,v1.0.2,2012-09-04,OTHER,678,176274,26.0,174.0,56.0,16738.0,2.0,,,,,,,,,,
42,angular/angular.js,v1.1.0,2012-09-04,OTHER,678,176354,6.0,80.0,6.0,94.0,3.0,1.0,64.0,1.0,5.0,1.0,10.0,48.0,25.0,8322.0,-1.0
