,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,angular/angular.js,v0.9.1,2010-10-26,,,,,,,,,,,,,,,,,,
1,angular/angular.js,v0.9.2,2010-11-03,,,,2.0,58.0,2.0,34.0,2.0,,,,,,,,,,
2,angular/angular.js,v0.9.3,2010-11-10,,,,2.0,79.0,4.0,44.0,2.0,,,,,,,,,,
3,angular/angular.js,v0.9.4,2010-11-18,,,,,,,,,,,,,,,,,,
4,angular/angular.js,v0.9.5,2010-11-25,,,,2.0,58.0,2.0,10.0,2.0,,,,,,,,,,
5,angular/angular.js,v0.9.6,2010-12-06,,,,,,,,,,,,,,,,,,
6,angular/angular.js,v0.9.7,2010-12-10,,,,2.0,22.0,4.0,318.0,2.0,,,,,,,,,,
7,angular/angular.js,v0.9.9,2011-01-13,,,,2.0,94.0,4.0,318.0,2.0,,,,,,,,,,
8,angular/angular.js,v0.9.10,2011-01-26,,,,,,,,,,,,,,,,,,
9,angular/angular.js,v0.9.11,2011-02-08,,,,,,,,,,,,,,,,,,
10,angular/angular.js,v0.9.12,2011-03-03,,,,2.0,115.0,8.0,72.0,2.0,,,,,,,,,,
11,angular/angular.js,v0.9.13,2011-03-13,,,,,,,,,,,,,,,,,,
12,angular/angular.js,v0.9.14,2011-04-01,,,,,,,,,,,,,,,,,,
13,angular/angular.js,v0.9.15,2011-04-11,,,,,,,,,,,,,,,,,,
14,angular/angular.js,v0.9.16,2011-06-07,,,,4.0,195.0,10.0,170.0,4.0,,,,,,,,,,
15,angular/angular.js,v0.9.17,2011-06-30,,,,2.0,109.0,22.0,590.0,2.0,,,,,,,,,,
16,angular/angular.js,v0.9.18,2011-07-29,,,,4.0,175.0,14.0,244.0,4.0,,,,,,,,,,
17,angular/angular.js,v0.9.19,2011-08-21,REFACTOR,423.0,124968.0,,,,,,,,,,,2.0,24.0,8.0,124.0,-1.0
18,angular/angular.js,v0.10.0,2011-09-02,,,,14.0,141.0,98.0,3502.0,14.0,,,,,,,,,,
19,angular/angular.js,v0.10.1,2011-09-09,,,,4.0,46.0,4.0,298.0,4.0,2.0,23.0,2.0,149.0,2.0,,,,,
20,angular/angular.js,v0.10.2,2011-10-08,,,,2.0,62.0,22.0,1112.0,2.0,,,,,,,,,,
21,angular/angular.js,v0.10.3,2011-10-14,REFACTOR,593.0,145359.0,6.0,64.0,24.0,600.0,6.0,,,,,,1.0,8.0,5.0,43.0,-1.0
22,angular/angular.js,v0.10.4,2011-10-22,,,,,,,,,,,,,,,,,,
23,angular/angular.js,v0.10.5,2011-11-08,,,,,,,,,,,,,,,,,,
24,angular/angular.js,v0.10.6,2012-01-17,,,,44.0,314.0,566.0,35234.0,44.0,4.0,159.0,14.0,644.0,4.0,,,,,
25,angular/angular.js,v1.0.0rc1,2012-03-14,REFACTOR,627.0,155231.0,6.0,164.0,6.0,36.0,6.0,2.0,132.0,2.0,6.0,2.0,17.0,100.0,218.0,12496.0,-1.0
26,angular/angular.js,g3-v1.0.0rc1,2012-03-16,,,,,,,,,,,,,,,,,,
27,angular/angular.js,g3-v1.0.0-rc2,2012-03-16,,,,,,,,,,,,,,,,,,
28,angular/angular.js,v1.0.0rc2,2012-03-20,,,,2.0,51.0,10.0,1950.0,2.0,,,,,,,,,,
29,angular/angular.js,v1.0.0rc3,2012-03-29,REFACTOR,628.0,156356.0,10.0,51.0,40.0,2130.0,10.0,1.0,40.0,1.0,4.0,1.0,3.0,28.0,12.0,369.0,-1.0
30,angular/angular.js,v1.0.0rc4,2012-04-05,REFACTOR,644.0,157873.0,4.0,38.0,4.0,132.0,4.0,2.0,25.0,2.0,66.0,2.0,2.0,12.0,4.0,202.0,-1.0
31,angular/angular.js,v1.0.0rc5,2012-04-12,,,,,,,,,,,,,,,,,,
32,angular/angular.js,v1.0.0rc6,2012-04-20,,,,,,,,,,,,,,,,,,
33,angular/angular.js,v1.0.0rc7,2012-04-30,,,,,,,,,,,,,,,,,,
34,angular/angular.js,v1.0.0rc8,2012-05-07,,,,,,,,,,,,,,,,,,
35,angular/angular.js,v1.0.0rc9,2012-05-14,,,,,,,,,,,,,,,,,,
36,angular/angular.js,v1.0.0rc10,2012-05-23,REFACTOR,656.0,163552.0,,,,,,,,,,,1.0,10.0,2.0,24.0,-1.0
37,angular/angular.js,v1.0.0rc11,2012-06-11,,,,2.0,74.0,8.0,166.0,2.0,,,,,,,,,,
38,angular/angular.js,v1.0.0rc12,2012-06-12,,,,,,,,,,,,,,,,,,
39,angular/angular.js,v1.0.0,2012-06-14,,,,,,,,,,,,,,,,,,
40,angular/angular.js,v1.0.1,2012-06-25,,,,,,,,,,,,,,,,,,
41,angular/angular.js,v1.0.2,2012-09-04,,,,4.0,196.0,6.0,152.0,4.0,,,,,,,,,,
42,angular/angular.js,v1.1.0,2012-09-04,REFACTOR,678.0,176354.0,4.0,91.0,6.0,194.0,4.0,,,,,,1.0,57.0,2.0,13.0,-1.0
43,angular/angular.js,v1.0.3,2012-11-27,REFACTOR,656.0,174182.0,4.0,324.0,6.0,152.0,4.0,,,,,,1.0,54.0,1.0,8.0,-1.0
44,angular/angular.js,v1.1.1,2012-11-27,REFACTOR,653.0,174490.0,4.0,263.0,6.0,194.0,4.0,,,,,,2.0,153.0,3.0,21.0,-1.0
45,angular/angular.js,v1.0.4,2013-01-23,REFACTOR,627.0,174174.0,4.0,417.0,6.0,152.0,4.0,,,,,,2.0,100.0,3.0,44.0,-1.0
46,angular/angular.js,v1.1.2,2013-01-23,REFACTOR,625.0,174956.0,,,,,,,,,,,1.0,59.0,2.0,36.0,-1.0
47,angular/angular.js,v1.0.5,2013-02-20,REFACTOR,627.0,174918.0,10.0,510.0,12.0,172.0,10.0,,,,,,3.0,102.0,4.0,47.0,-1.0
48,angular/angular.js,v1.1.3,2013-02-20,REFACTOR,625.0,176390.0,6.0,486.0,8.0,200.0,6.0,,,,,,6.0,225.0,8.0,67.0,-1.0
49,angular/angular.js,v1.1.4,2013-04-03,REFACTOR,769.0,224142.0,8.0,608.0,10.0,240.0,8.0,,,,,,8.0,253.0,17.0,682.0,-1.0
50,angular/angular.js,v1.0.6,2013-04-04,REFACTOR,763.0,218807.0,10.0,584.0,12.0,172.0,10.0,,,,,,5.0,126.0,13.0,660.0,-1.0
51,angular/angular.js,v1.0.7,2013-05-22,REFACTOR,758.0,218471.0,10.0,748.0,12.0,172.0,10.0,,,,,,5.0,187.0,13.0,660.0,-1.0
52,angular/angular.js,v1.1.5,2013-05-22,REFACTOR,773.0,229667.0,10.0,876.0,12.0,256.0,10.0,,,,,,8.0,336.0,17.0,682.0,-1.0
53,angular/angular.js,v1.2.0rc1,2013-08-13,REFACTOR,828.0,221436.0,16.0,1471.0,20.0,1082.0,16.0,,,,,,12.0,450.0,49.0,1486.0,-1.0
54,angular/angular.js,v1.0.8,2013-08-22,REFACTOR,762.0,219848.0,16.0,1054.0,18.0,222.0,16.0,1.0,660.0,1.0,17.0,1.0,5.0,213.0,13.0,660.0,-1.0
55,angular/angular.js,v1.2.0-rc.2,2013-09-04,REFACTOR,792.0,219186.0,16.0,1651.0,20.0,1082.0,16.0,,,,,,12.0,495.0,49.0,1486.0,-1.0
56,angular/angular.js,v1.2.0-rc.3,2013-10-14,REFACTOR,805.0,224526.0,16.0,463.0,36.0,1252.0,16.0,,,,,,1.0,28.0,2.0,148.0,-1.0
57,angular/angular.js,v1.2.0,2013-11-08,,,,2.0,298.0,2.0,4.0,2.0,,,,,,,,,,
58,angular/angular.js,v1.2.1,2013-11-14,REFACTOR,809.0,233227.0,,,,,,,,,,,1.0,7.0,1.0,20.0,-1.0
59,angular/angular.js,v1.2.2,2013-11-22,,,,2.0,110.0,8.0,128.0,2.0,,,,,,,,,,
60,angular/angular.js,v1.2.3,2013-11-27,,,,2.0,48.0,2.0,4.0,2.0,,,,,,,,,,
61,angular/angular.js,v1.2.4,2013-12-06,,,,,,,,,,,,,,,,,,
62,angular/angular.js,v1.2.5,2013-12-13,REFACTOR,815.0,235721.0,,,,,,,,,,,1.0,6.0,5.0,15.0,-1.0
63,angular/angular.js,v1.2.6,2013-12-19,REFACTOR,818.0,236485.0,,,,,,,,,,,1.0,8.0,7.0,178.0,-1.0
64,angular/angular.js,v1.2.7,2014-01-03,,,,,,,,,,,,,,,,,,
65,angular/angular.js,v1.2.8,2014-01-10,REFACTOR,824.0,237814.0,6.0,99.0,30.0,1738.0,6.0,,,,,,2.0,11.0,3.0,114.0,-1.0
66,angular/angular.js,v1.2.9,2014-01-15,,,,,,,,,,,,,,,,,,
67,angular/angular.js,v1.2.10,2014-01-24,,,,2.0,62.0,6.0,4030.0,2.0,,,,,,,,,,
68,angular/angular.js,v1.2.11,2014-02-03,,,,,,,,,,,,,,,,,,
69,angular/angular.js,v1.2.12,2014-02-07,,,,6.0,52.0,16.0,86.0,6.0,,,,,,,,,,
70,angular/angular.js,v1.2.13,2014-02-14,REFACTOR,818.0,235437.0,4.0,46.0,14.0,166.0,4.0,,,,,,1.0,3.0,1.0,21.0,-1.0
71,angular/angular.js,v1.2.14,2014-03-01,,,,,,,,,,,,,,,,,,
72,angular/angular.js,v1.3.0-beta.1,2014-03-07,,,,,,,,,,,,,,,,,,
73,angular/angular.js,v1.3.0-beta.2,2014-03-14,,,,2.0,72.0,4.0,364.0,2.0,,,,,,,,,,
74,angular/angular.js,v1.2.15,2014-03-21,REFACTOR,843.0,236189.0,,,,,,,,,,,1.0,3.0,2.0,182.0,-1.0
75,angular/angular.js,v1.3.0-beta.3,2014-03-21,,,,,,,,,,,,,,,,,,
76,angular/angular.js,v1.3.0-beta.4,2014-03-28,,,,2.0,326.0,4.0,364.0,2.0,,,,,,,,,,
