,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,angular/angular.js,v0.9.1,2010-10-26,SUPPORT,162.0,26365.0,6.0,60.0,12.0,100.0,2.0,,,,,
1,angular/angular.js,v0.9.2,2010-11-03,SUPPORT,185.0,30279.0,2.0,58.0,6.0,40.0,1.0,,,,,
2,angular/angular.js,v0.9.3,2010-11-10,SUPPORT,193.0,31992.0,8.0,73.0,32.0,504.0,2.0,,,,,
3,angular/angular.js,v0.9.4,2010-11-18,SUPPORT,200.0,34257.0,12.0,78.0,56.0,2130.0,2.0,,,,,
4,angular/angular.js,v0.9.5,2010-11-25,,,,,,,,,,,,,
5,angular/angular.js,v0.9.6,2010-12-06,,,,,,,,,,,,,
6,angular/angular.js,v0.9.7,2010-12-10,,,,,,,,,,,,,
7,angular/angular.js,v0.9.9,2011-01-13,SUPPORT,219.0,36979.0,2.0,94.0,18.0,288.0,1.0,,,,,
8,angular/angular.js,v0.9.10,2011-01-26,SUPPORT,232.0,38671.0,2.0,94.0,4.0,8.0,1.0,,,,,
9,angular/angular.js,v0.9.11,2011-02-08,SUPPORT,253.0,40866.0,8.0,86.0,16.0,590.0,1.0,,,,,
10,angular/angular.js,v0.9.12,2011-03-03,SUPPORT,299.0,51738.0,4.0,113.0,16.0,1600.0,2.0,,,,,
11,angular/angular.js,v0.9.13,2011-03-13,,,,,,,,,,,,,
12,angular/angular.js,v0.9.14,2011-04-01,,,,,,,,,,,,,
13,angular/angular.js,v0.9.15,2011-04-11,,,,,,,,,,,,,
14,angular/angular.js,v0.9.16,2011-06-07,,,,,,,,,,,,,
15,angular/angular.js,v0.9.17,2011-06-30,SUPPORT,417.0,122778.0,2.0,100.0,4.0,64.0,1.0,,,,,
16,angular/angular.js,v0.9.18,2011-07-29,,,,,,,,,,,,,
17,angular/angular.js,v0.9.19,2011-08-21,,,,,,,,,,,,,
18,angular/angular.js,v0.10.0,2011-09-02,SUPPORT,594.0,135360.0,2.0,147.0,10.0,156.0,1.0,,,,,
19,angular/angular.js,v0.10.1,2011-09-09,,,,,,,,,,,,,
20,angular/angular.js,v0.10.2,2011-10-08,,,,,,,,,,,,,
21,angular/angular.js,v0.10.3,2011-10-14,,,,,,,,,,,,,
22,angular/angular.js,v0.10.4,2011-10-22,,,,,,,,,,,,,
23,angular/angular.js,v0.10.5,2011-11-08,,,,,,,,,,,,,
24,angular/angular.js,v0.10.6,2012-01-17,SUPPORT,599.0,150273.0,2.0,328.0,14.0,266.0,1.0,,,,,
25,angular/angular.js,v1.0.0rc1,2012-03-14,,,,,,,,,,,,,
26,angular/angular.js,g3-v1.0.0rc1,2012-03-16,,,,,,,,,,,,,
27,angular/angular.js,g3-v1.0.0-rc2,2012-03-16,,,,,,,,,,,,,
28,angular/angular.js,v1.0.0rc2,2012-03-20,,,,,,,,,,,,,
29,angular/angular.js,v1.0.0rc3,2012-03-29,,,,,,,,,,,,,
30,angular/angular.js,v1.0.0rc4,2012-04-05,,,,,,,,,,,,,
31,angular/angular.js,v1.0.0rc5,2012-04-12,,,,,,,,,,,,,
32,angular/angular.js,v1.0.0rc6,2012-04-20,,,,,,,,,,,,,
33,angular/angular.js,v1.0.0rc7,2012-04-30,,,,,,,,,,,,,
34,angular/angular.js,v1.0.0rc8,2012-05-07,,,,,,,,,,,,,
35,angular/angular.js,v1.0.0rc9,2012-05-14,,,,,,,,,,,,,
36,angular/angular.js,v1.0.0rc10,2012-05-23,,,,,,,,,,,,,
37,angular/angular.js,v1.0.0rc11,2012-06-11,,,,,,,,,,,,,
38,angular/angular.js,v1.0.0rc12,2012-06-12,,,,,,,,,,,,,
39,angular/angular.js,v1.0.0,2012-06-14,,,,,,,,,,,,,
40,angular/angular.js,v1.0.1,2012-06-25,,,,,,,,,,,,,
41,angular/angular.js,v1.0.2,2012-09-04,SUPPORT,678.0,176274.0,2.0,196.0,2.0,32.0,1.0,,,,,
42,angular/angular.js,v1.1.0,2012-09-04,,,,,,,,,,,,,
43,angular/angular.js,v1.0.3,2012-11-27,SUPPORT,656.0,174182.0,4.0,320.0,6.0,84.0,1.0,,,,,
44,angular/angular.js,v1.1.1,2012-11-27,,,,,,,,,,,,,
45,angular/angular.js,v1.0.4,2013-01-23,SUPPORT,627.0,174174.0,6.0,411.0,8.0,108.0,1.0,,,,,
46,angular/angular.js,v1.1.2,2013-01-23,,,,,,,,,,,,,
47,angular/angular.js,v1.0.5,2013-02-20,SUPPORT,627.0,174918.0,6.0,508.0,8.0,108.0,1.0,,,,,
48,angular/angular.js,v1.1.3,2013-02-20,,,,,,,,,,,,,
49,angular/angular.js,v1.1.4,2013-04-03,,,,,,,,,,,,,
50,angular/angular.js,v1.0.6,2013-04-04,SUPPORT,763.0,218807.0,6.0,584.0,8.0,108.0,1.0,,,,,
51,angular/angular.js,v1.0.7,2013-05-22,SUPPORT,758.0,218471.0,6.0,748.0,8.0,108.0,1.0,,,,,
52,angular/angular.js,v1.1.5,2013-05-22,,,,,,,,,,,,,
53,angular/angular.js,v1.2.0rc1,2013-08-13,,,,,,,,,,,,,
54,angular/angular.js,v1.0.8,2013-08-22,SUPPORT,762.0,219848.0,6.0,1055.0,8.0,108.0,1.0,,,,,
55,angular/angular.js,v1.2.0-rc.2,2013-09-04,SUPPORT,792.0,219186.0,4.0,1645.0,6.0,204.0,2.0,,,,,
56,angular/angular.js,v1.2.0-rc.3,2013-10-14,,,,,,,,,,,,,
57,angular/angular.js,v1.2.0,2013-11-08,,,,,,,,,,,,,
58,angular/angular.js,v1.2.1,2013-11-14,,,,,,,,,,,,,
59,angular/angular.js,v1.2.2,2013-11-22,,,,,,,,,,,,,
60,angular/angular.js,v1.2.3,2013-11-27,,,,,,,,,,,,,
61,angular/angular.js,v1.2.4,2013-12-06,,,,,,,,,,,,,
62,angular/angular.js,v1.2.5,2013-12-13,,,,,,,,,,,,,
63,angular/angular.js,v1.2.6,2013-12-19,,,,,,,,,,,,,
64,angular/angular.js,v1.2.7,2014-01-03,,,,,,,,,,,,,
65,angular/angular.js,v1.2.8,2014-01-10,,,,,,,,,,,,,
66,angular/angular.js,v1.2.9,2014-01-15,,,,,,,,,,,,,
67,angular/angular.js,v1.2.10,2014-01-24,,,,,,,,,,,,,
68,angular/angular.js,v1.2.11,2014-02-03,,,,,,,,,,,,,
69,angular/angular.js,v1.2.12,2014-02-07,,,,,,,,,,,,,
70,angular/angular.js,v1.2.13,2014-02-14,,,,,,,,,,,,,
71,angular/angular.js,v1.2.14,2014-03-01,,,,,,,,,,,,,
72,angular/angular.js,v1.3.0-beta.1,2014-03-07,,,,,,,,,,,,,
73,angular/angular.js,v1.3.0-beta.2,2014-03-14,,,,,,,,,,,,,
74,angular/angular.js,v1.2.15,2014-03-21,,,,,,,,,,,,,
75,angular/angular.js,v1.3.0-beta.3,2014-03-21,,,,,,,,,,,,,
76,angular/angular.js,v1.3.0-beta.4,2014-03-28,,,,,,,,,,,,,
77,angular/angular.js,v1.2.16,2014-04-03,,,,,,,,,,,,,
78,angular/angular.js,v1.3.0-beta.5,2014-04-03,,,,,,,,,,,,,
79,angular/angular.js,v1.3.0-beta.6,2014-04-21,,,,,,,,,,,,,
80,angular/angular.js,v1.3.0-beta.7,2014-04-25,,,,,,,,,,,,,
81,angular/angular.js,v1.3.0-beta.8,2014-05-09,,,,,,,,,,,,,
82,angular/angular.js,v1.3.0-beta.9,2014-05-16,,,,,,,,,,,,,
83,angular/angular.js,v1.3.0-beta.10,2014-05-23,,,,,,,,,,,,,
84,angular/angular.js,v1.2.17,2014-06-06,,,,,,,,,,,,,
85,angular/angular.js,v1.3.0-beta.11,2014-06-06,,,,,,,,,,,,,
86,angular/angular.js,v1.2.18,2014-06-13,,,,,,,,,,,,,
87,angular/angular.js,v1.3.0-beta.12,2014-06-13,,,,,,,,,,,,,
88,angular/angular.js,v1.3.0-beta.13,2014-06-16,,,,,,,,,,,,,
89,angular/angular.js,v1.2.19,2014-07-01,,,,,,,,,,,,,
90,angular/angular.js,v1.3.0-beta.14,2014-07-01,,,,,,,,,,,,,
91,angular/angular.js,v1.2.20,2014-07-11,,,,,,,,,,,,,
92,angular/angular.js,v1.3.0-beta.15,2014-07-11,,,,,,,,,,,,,
93,angular/angular.js,v1.3.0-beta.16,2014-07-18,,,,,,,,,,,,,
94,angular/angular.js,v1.2.21,2014-07-25,,,,,,,,,,,,,
95,angular/angular.js,v1.3.0-beta.17,2014-07-25,,,,,,,,,,,,,
96,angular/angular.js,v1.2.22,2014-08-12,,,,,,,,,,,,,
97,angular/angular.js,v1.3.0-beta.18,2014-08-12,,,,,,,,,,,,,
98,angular/angular.js,v1.2.23,2014-08-22,,,,,,,,,,,,,
99,angular/angular.js,v1.3.0-beta.19,2014-08-22,,,,,,,,,,,,,
100,angular/angular.js,v1.3.0-rc.0,2014-08-29,,,,,,,,,,,,,
101,angular/angular.js,v1.2.24,2014-09-09,,,,,,,,,,,,,
102,angular/angular.js,v1.3.0-rc.1,2014-09-09,,,,,,,,,,,,,
103,angular/angular.js,v1.2.25,2014-09-16,,,,,,,,,,,,,
104,angular/angular.js,v1.3.0-rc.2,2014-09-16,,,,,,,,,,,,,
105,angular/angular.js,v1.3.0-rc.3,2014-09-23,,,,,,,,,,,,,
106,angular/angular.js,v1.3.0-rc.4,2014-10-01,SUPPORT,1371.0,336244.0,2.0,73.0,6.0,22.0,1.0,,,,,
107,angular/angular.js,v1.2.26,2014-10-02,,,,,,,,,,,,,
108,angular/angular.js,v1.3.0-rc.5,2014-10-08,SUPPORT,1377.0,338963.0,2.0,2276.0,6.0,22.0,1.0,,,,,
109,angular/angular.js,v1.3.0,2014-10-13,,,,,,,,,,,,,
110,angular/angular.js,v1.3.1,2014-10-31,,,,,,,,,,,,,
111,angular/angular.js,v1.3.2,2014-11-07,,,,,,,,,,,,,
112,angular/angular.js,v1.3.3,2014-11-18,,,,,,,,,,,,,
113,angular/angular.js,v1.2.27,2014-11-20,,,,,,,,,,,,,
114,angular/angular.js,v1.3.4,2014-11-24,SUPPORT,1377.0,346445.0,2.0,2743.0,6.0,22.0,1.0,,,,,
115,angular/angular.js,v1.3.5,2014-12-01,,,,,,,,,,,,,
116,angular/angular.js,v1.3.6,2014-12-08,,,,,,,,,,,,,
117,angular/angular.js,v1.2.28,2014-12-15,,,,,,,,,,,,,
118,angular/angular.js,v1.3.7,2014-12-15,,,,,,,,,,,,,
119,angular/angular.js,v1.3.8,2014-12-19,SUPPORT,1378.0,348196.0,2.0,2920.0,6.0,22.0,1.0,,,,,
120,angular/angular.js,v1.3.9,2015-01-14,,,,,,,,,,,,,
121,angular/angular.js,v1.4.0-beta.0,2015-01-14,,,,,,,,,,,,,
122,angular/angular.js,v1.3.10,2015-01-20,,,,,,,,,,,,,
123,angular/angular.js,v1.4.0-beta.1,2015-01-20,,,,,,,,,,,,,
124,angular/angular.js,v1.3.11,2015-01-26,,,,,,,,,,,,,
125,angular/angular.js,v1.4.0-beta.2,2015-01-26,,,,,,,,,,,,,
126,angular/angular.js,v1.3.12,2015-02-03,,,,,,,,,,,,,
127,angular/angular.js,v1.4.0-beta.3,2015-02-03,,,,,,,,,,,,,
128,angular/angular.js,v1.3.13,2015-02-09,,,,,,,,,,,,,
129,angular/angular.js,v1.4.0-beta.4,2015-02-09,,,,,,,,,,,,,
130,angular/angular.js,v1.3.14,2015-02-24,,,,,,,,,,,,,
131,angular/angular.js,v1.4.0-beta.5,2015-02-24,SUPPORT,1399.0,365862.0,1.0,327.0,1.0,4.0,1.0,1.0,225.0,1.0,4.0,1.0
