,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,angular/angular,starting,2015-03-23,BUG,565.0,52641.0,14.0,72.0,21.0,213.0,14.0,2.0,53.0,4.0,22.0,2.0,2.0,10.0,5.0,10.0,-1.0
1,angular/angular,2.0.0-alpha.14,2015-03-23,,,,5.0,30.0,13.0,190.0,5.0,2.0,20.0,10.0,96.0,2.0,,,,,
2,angular/angular,2.0.0-alpha.15,2015-03-24,,,,1.0,10.0,2.0,71.0,1.0,,,,,,,,,,
3,angular/angular,2.0.0-alpha.16,2015-03-26,BUG,577.0,54371.0,3.0,26.0,8.0,130.0,3.0,4.0,22.0,8.0,162.0,4.0,2.0,15.0,4.0,14.0,-1.0
4,angular/angular,2.0.0-alpha.17,2015-03-27,,,,1.0,19.0,1.0,5.0,1.0,,,,,,,,,,
5,angular/angular,2.0.0-alpha.18,2015-03-27,BUG,580.0,54996.0,,,,,,,,,,,1.0,,4.0,16.0,-1.0
6,angular/angular,2.0.0-alpha.19,2015-04-13,BUG,670.0,60362.0,46.0,141.0,186.0,2343.0,46.0,16.0,120.0,30.0,382.0,16.0,9.0,33.0,25.0,217.0,-1.0
7,angular/angular,2.0.0-alpha.20,2015-04-20,BUG,771.0,90288.0,18.0,105.0,75.0,2403.0,18.0,3.0,79.0,3.0,23.0,3.0,9.0,33.0,73.0,973.0,-1.0
8,angular/angular,2.0.0-alpha.21,2015-04-27,BUG,804.0,92564.0,31.0,74.0,88.0,796.0,31.0,6.0,46.0,8.0,52.0,6.0,3.0,7.0,7.0,146.0,-1.0
9,angular/angular,2.0.0-alpha.22,2015-05-07,BUG,853.0,95328.0,30.0,103.0,82.0,1104.0,30.0,6.0,80.0,9.0,72.0,6.0,11.0,30.0,35.0,470.0,-1.0
10,angular/angular,2.0.0-alpha.23,2015-05-12,,,,28.0,82.0,78.0,1649.0,28.0,5.0,65.0,11.0,307.0,5.0,,,,,
11,angular/angular,2.0.0-alpha.24,2015-05-19,BUG,900.0,101018.0,37.0,131.0,106.0,1976.0,37.0,8.0,91.0,28.0,803.0,8.0,2.0,12.0,14.0,279.0,-1.0
