,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,angular/angular,starting,2015-03-23,DOCS,565.0,52641.0,21.0,67.0,67.0,4060.0,3.0,,,,,
1,angular/angular,2.0.0-alpha.14,2015-03-23,DOCS,570.0,53111.0,4.0,31.0,8.0,1150.0,1.0,,,,,
2,angular/angular,2.0.0-alpha.15,2015-03-24,DOCS,571.0,53185.0,2.0,9.0,4.0,230.0,1.0,,,,,
3,angular/angular,2.0.0-alpha.16,2015-03-26,DOCS,577.0,54371.0,2.0,29.0,4.0,114.0,1.0,,,,,
4,angular/angular,2.0.0-alpha.17,2015-03-27,DOCS,580.0,54993.0,3.0,17.0,7.0,475.0,2.0,,,,,
5,angular/angular,2.0.0-alpha.18,2015-03-27,,,,,,,,,,,,,
6,angular/angular,2.0.0-alpha.19,2015-04-13,DOCS,670.0,60362.0,16.0,181.0,96.0,931.0,6.0,4.0,142.0,22.0,270.0,2.0
7,angular/angular,2.0.0-alpha.20,2015-04-20,DOCS,771.0,90288.0,27.0,106.0,215.0,3470.0,5.0,2.0,84.0,6.0,101.0,1.0
8,angular/angular,2.0.0-alpha.21,2015-04-27,DOCS,804.0,92564.0,6.0,102.0,7.0,50.0,4.0,2.0,61.0,3.0,12.0,2.0
9,angular/angular,2.0.0-alpha.22,2015-05-07,DOCS,853.0,95328.0,13.0,133.0,41.0,962.0,3.0,1.0,102.0,1.0,6.0,1.0
10,angular/angular,2.0.0-alpha.23,2015-05-12,DOCS,888.0,98299.0,9.0,101.0,9.0,153.0,4.0,2.0,67.0,2.0,8.0,1.0
11,angular/angular,2.0.0-alpha.24,2015-05-19,DOCS,900.0,101018.0,7.0,162.0,7.0,18.0,2.0,3.0,104.0,3.0,6.0,1.0
12,angular/angular,2.0.0-alpha.25,2015-05-21,,,,,,,,,,,,,
13,angular/angular,2.0.0-alpha.26,2015-06-03,DOCS,990.0,105975.0,9.0,228.0,17.0,120.0,5.0,2.0,186.0,9.0,67.0,1.0
