,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,angular/angular,starting,2015-03-23,,,,,,,,,,,,,
1,angular/angular,2.0.0-alpha.14,2015-03-23,,,,,,,,,,,,,
2,angular/angular,2.0.0-alpha.15,2015-03-24,,,,,,,,,,,,,
3,angular/angular,2.0.0-alpha.16,2015-03-26,,,,,,,,,,,,,
4,angular/angular,2.0.0-alpha.17,2015-03-27,RELEASE,580.0,54993.0,4.0,16.0,4.0,8.0,1.0,,,,,
5,angular/angular,2.0.0-alpha.18,2015-03-27,RELEASE,580.0,54996.0,2.0,1.0,2.0,4.0,1.0,,,,,
6,angular/angular,2.0.0-alpha.19,2015-04-13,,,,,,,,,,,,,
7,angular/angular,2.0.0-alpha.20,2015-04-20,,,,,,,,,,,,,
8,angular/angular,2.0.0-alpha.21,2015-04-27,,,,,,,,,,,,,
9,angular/angular,2.0.0-alpha.22,2015-05-07,RELEASE,853.0,95328.0,4.0,142.0,16.0,176.0,2.0,,,,,
10,angular/angular,2.0.0-alpha.23,2015-05-12,RELEASE,888.0,98299.0,2.0,108.0,4.0,8.0,1.0,,,,,
11,angular/angular,2.0.0-alpha.24,2015-05-19,,,,,,,,,,,,,
12,angular/angular,2.0.0-alpha.25,2015-05-21,RELEASE,905.0,100161.0,1.0,62.0,2.0,30.0,1.0,,,,,
13,angular/angular,2.0.0-alpha.26,2015-06-03,RELEASE,990.0,105975.0,2.0,236.0,4.0,286.0,1.0,,,,,
14,angular/angular,2.0.0-alpha.27,2015-06-16,RELEASE,1073.0,112902.0,2.0,286.0,4.0,294.0,1.0,,,,,
15,angular/angular,2.0.0-alpha.28,2015-06-24,,,,,,,,,,,,,
16,angular/angular,2.0.0-alpha.29,2015-07-01,,,,,,,,,,,,,
17,angular/angular,2.0.0-alpha.30,2015-07-07,,,,,,,,,,,,,
18,angular/angular,2.0.0-alpha.31,2015-07-14,,,,,,,,,,,,,
19,angular/angular,2.0.0-alpha.32,2015-07-21,,,,,,,,,,,,,
20,angular/angular,2.0.0-alpha.33,2015-07-29,RELEASE,1299.0,135749.0,2.0,109.0,2.0,130.0,1.0,,,,,
21,angular/angular,2.0.0-alpha.34,2015-08-05,,,,,,,,,,,,,
22,angular/angular,2.0.0-alpha.35,2015-08-18,RELEASE,1391.0,143428.0,1.0,118.0,2.0,56.0,1.0,,,,,
23,angular/angular,2.0.0-alpha.36,2015-08-31,RELEASE,1433.0,148441.0,2.0,119.0,4.0,306.0,1.0,,,,,
24,angular/angular,2.0.0-alpha.37,2015-09-09,,,,,,,,,,,,,
25,angular/angular,2.0.0-alpha.38,2015-10-02,,,,,,,,,,,,,
26,angular/angular,2.0.0-alpha.39,2015-10-06,,,,,,,,,,,,,
27,angular/angular,2.0.0-alpha.40,2015-10-08,,,,,,,,,,,,,
28,angular/angular,2.0.0-alpha.41,2015-10-13,,,,,,,,,,,,,
29,angular/angular,2.0.0-alpha.42,2015-10-13,RELEASE,1464.0,167949.0,2.0,9.0,2.0,4.0,1.0,,,,,
30,angular/angular,2.0.0-alpha.44,2015-10-15,,,,,,,,,,,,,
31,angular/angular,2.0.0-alpha.45,2015-10-28,RELEASE,1457.0,171324.0,1.0,142.0,1.0,2.0,1.0,,,,,
32,angular/angular,2.0.0-alpha.46,2015-11-10,RELEASE,1446.0,176740.0,1.0,185.0,2.0,44.0,1.0,,,,,
33,angular/angular,2.0.0-alpha.47,2015-12-01,,,,,,,,,,,,,
34,angular/angular,2.0.0-alpha.48,2015-12-04,RELEASE,1520.0,187205.0,1.0,60.0,1.0,2.0,1.0,,,,,
35,angular/angular,2.0.0-alpha.49,2015-12-08,RELEASE,1523.0,187650.0,1.0,36.0,2.0,60.0,1.0,,,,,
36,angular/angular,2.0.0-alpha.50,2015-12-08,RELEASE,1523.0,187692.0,1.0,6.0,2.0,17.0,1.0,,,,,
37,angular/angular,2.0.0-alpha.51,2015-12-09,RELEASE,1536.0,188338.0,2.0,26.0,2.0,4.0,1.0,,,,,
38,angular/angular,2.0.0-alpha.52,2015-12-10,RELEASE,1539.0,189048.0,2.0,16.0,2.0,4.0,1.0,,,,,
