,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,angular/angular,starting,2015-03-23,,,,1.0,87.0,2.0,5.0,1.0,,,,,,,,,,
1,angular/angular,2.0.0-alpha.14,2015-03-23,,,,,,,,,,,,,,,,,,
2,angular/angular,2.0.0-alpha.15,2015-03-24,,,,,,,,,,,,,,,,,,
3,angular/angular,2.0.0-alpha.16,2015-03-26,,,,2.0,29.0,2.0,8.0,2.0,1.0,28.0,1.0,4.0,1.0,,,,,
4,angular/angular,2.0.0-alpha.17,2015-03-27,,,,3.0,17.0,39.0,218.0,3.0,2.0,12.0,2.0,4.0,2.0,,,,,
5,angular/angular,2.0.0-alpha.18,2015-03-27,,,,,,,,,,,,,,,,,,
6,angular/angular,2.0.0-alpha.19,2015-04-13,,,,,,,,,,,,,,,,,,
7,angular/angular,2.0.0-alpha.20,2015-04-20,UPGRADE,771.0,90288.0,,,,,,,,,,,3.0,39.0,4.0,32.0,-1.0
8,angular/angular,2.0.0-alpha.21,2015-04-27,,,,2.0,106.0,6.0,20.0,2.0,,,,,,,,,,
9,angular/angular,2.0.0-alpha.22,2015-05-07,,,,,,,,,,,,,,,,,,
10,angular/angular,2.0.0-alpha.23,2015-05-12,,,,,,,,,,,,,,,,,,
11,angular/angular,2.0.0-alpha.24,2015-05-19,,,,1.0,170.0,3.0,1142.0,1.0,2.0,118.0,6.0,2284.0,2.0,,,,,
12,angular/angular,2.0.0-alpha.25,2015-05-21,,,,,,,,,,,,,,,,,,
13,angular/angular,2.0.0-alpha.26,2015-06-03,,,,2.0,236.0,4.0,16.0,2.0,,,,,,,,,,
14,angular/angular,2.0.0-alpha.27,2015-06-16,,,,2.0,286.0,16.0,338.0,2.0,,,,,,,,,,
15,angular/angular,2.0.0-alpha.28,2015-06-24,UPGRADE,1093.0,113827.0,,,,,,,,,,,1.0,3.0,1.0,2.0,-1.0
16,angular/angular,2.0.0-alpha.29,2015-07-01,,,,,,,,,,,,,,,,,,
17,angular/angular,2.0.0-alpha.30,2015-07-07,UPGRADE,1132.0,119359.0,,,,,,,,,,,1.0,27.0,3.0,23.0,-1.0
18,angular/angular,2.0.0-alpha.31,2015-07-14,,,,,,,,,,,,,,,,,,
19,angular/angular,2.0.0-alpha.32,2015-07-21,,,,1.0,81.0,3.0,19.0,1.0,,,,,,,,,,
20,angular/angular,2.0.0-alpha.33,2015-07-29,,,,,,,,,,,,,,,,,,
21,angular/angular,2.0.0-alpha.34,2015-08-05,UPGRADE,1344.0,139097.0,,,,,,,,,,,1.0,24.0,28.0,285.0,-1.0
22,angular/angular,2.0.0-alpha.35,2015-08-18,,,,1.0,118.0,1.0,4.0,1.0,,,,,,,,,,
23,angular/angular,2.0.0-alpha.36,2015-08-31,,,,,,,,,2.0,113.0,10.0,107.0,2.0,,,,,
24,angular/angular,2.0.0-alpha.37,2015-09-09,,,,,,,,,,,,,,,,,,
25,angular/angular,2.0.0-alpha.38,2015-10-02,UPGRADE,1496.0,162707.0,,,,,,,,,,,1.0,96.0,6.0,42.0,-1.0
26,angular/angular,2.0.0-alpha.39,2015-10-06,,,,2.0,63.0,6.0,7972.0,2.0,,,,,,,,,,
27,angular/angular,2.0.0-alpha.40,2015-10-08,,,,,,,,,1.0,49.0,1.0,2.0,1.0,,,,,
28,angular/angular,2.0.0-alpha.41,2015-10-13,UPGRADE,1464.0,167757.0,,,,,,,,,,,1.0,9.0,3.0,23.0,-1.0
29,angular/angular,2.0.0-alpha.42,2015-10-13,,,,,,,,,,,,,,,,,,
30,angular/angular,2.0.0-alpha.44,2015-10-15,,,,,,,,,,,,,,,,,,
31,angular/angular,2.0.0-alpha.45,2015-10-28,,,,,,,,,,,,,,,,,,
32,angular/angular,2.0.0-alpha.46,2015-11-10,,,,4.0,182.0,46.0,1046.0,4.0,,,,,,,,,,
33,angular/angular,2.0.0-alpha.47,2015-12-01,,,,,,,,,,,,,,,,,,
34,angular/angular,2.0.0-alpha.48,2015-12-04,,,,,,,,,,,,,,,,,,
35,angular/angular,2.0.0-alpha.49,2015-12-08,,,,,,,,,,,,,,,,,,
36,angular/angular,2.0.0-alpha.50,2015-12-08,,,,,,,,,,,,,,,,,,
37,angular/angular,2.0.0-alpha.51,2015-12-09,,,,1.0,27.0,1.0,3.0,1.0,2.0,19.0,2.0,6.0,2.0,,,,,
38,angular/angular,2.0.0-alpha.52,2015-12-10,,,,,,,,,,,,,,,,,,
39,angular/angular,2.0.0-alpha.53,2015-12-12,,,,,,,,,,,,,,,,,,
40,angular/angular,2.0.0-alpha.54,2015-12-15,,,,,,,,,,,,,,,,,,
41,angular/angular,2.0.0-alpha.55,2015-12-15,,,,,,,,,,,,,,,,,,
42,angular/angular,2.0.0-beta.0,2015-12-15,,,,,,,,,,,,,,,,,,
43,angular/angular,2.0.0-beta.1,2016-01-08,,,,,,,,,,,,,,,,,,
44,angular/angular,2.0.0-beta.2,2016-01-28,UPGRADE,1548.0,166297.0,14.0,95.0,54.0,21502.0,14.0,,,,,,1.0,14.0,5.0,12.0,-1.0
45,angular/angular,2.0.0-beta.3,2016-02-03,,,,,,,,,,,,,,,,,,
46,angular/angular,2.0.0-beta.4,2016-02-10,,,,,,,,,,,,,,,,,,
47,angular/angular,2.0.0-beta.5,2016-02-10,,,,,,,,,,,,,,,,,,
48,angular/angular,2.0.0-beta.6,2016-02-11,,,,,,,,,,,,,,,,,,
49,angular/angular,2.0.0-beta.7,2016-02-18,,,,,,,,,,,,,,,,,,
50,angular/angular,2.0.0-beta.8,2016-03-02,,,,,,,,,,,,,,,,,,
51,angular/angular,2.0.0-beta.9,2016-03-09,,,,2.0,55.0,2.0,64.0,2.0,,,,,,,,,,
52,angular/angular,2.0.0-beta.10,2016-03-17,,,,2.0,38.0,84.0,5344.0,2.0,,,,,,,,,,
53,angular/angular,2.0.0-beta.11,2016-03-18,,,,1.0,15.0,3.0,12.0,1.0,,,,,,,,,,
54,angular/angular,2.0.0-beta.12,2016-03-23,,,,3.0,30.0,9.0,25.0,3.0,,,,,,,,,,
55,angular/angular,2.0.0-beta.13,2016-03-30,,,,,,,,,,,,,,,,,,
56,angular/angular,2.0.0-beta.14,2016-04-07,,,,,,,,,,,,,,,,,,
57,angular/angular,2.0.0-beta.15,2016-04-13,,,,,,,,,1.0,36.0,3.0,10.0,1.0,,,,,
58,angular/angular,2.0.0-beta.16,2016-04-25,,,,,,,,,,,,,,,,,,
59,angular/angular,2.0.0-beta.17,2016-04-28,,,,,,,,,,,,,,,,,,
60,angular/angular,2.0.0-rc.0,2016-05-02,UPGRADE,1704.0,184651.0,,,,,,,,,,,1.0,25.0,18.0,305.0,-1.0
61,angular/angular,2.0.0-rc.1,2016-05-03,,,,,,,,,,,,,,,,,,
62,angular/angular,2.0.0-rc.2,2016-06-15,UPGRADE,1766.0,199241.0,6.0,560.0,27.0,906.0,6.0,2.0,546.0,8.0,42.0,2.0,4.0,65.0,6.0,110.0,-1.0
63,angular/angular,2.0.0-rc.3,2016-06-21,UPGRADE,1756.0,198135.0,,,,,,,,,,,2.0,100.0,60.0,2590.0,-1.0
64,angular/angular,2.0.0-rc.4,2016-06-30,,,,2.0,119.0,24.0,640.0,2.0,,,,,,,,,,
65,angular/angular,2.0.0-rc.5,2016-08-09,,,,2.0,392.0,2.0,6.0,2.0,,,,,,,,,,
66,angular/angular,2.0.0-rc.6,2016-08-31,,,,1.0,269.0,3.0,9.0,1.0,1.0,947.0,3.0,9.0,1.0,,,,,
67,angular/angular,2.0.0-rc.7,2016-09-12,,,,,,,,,59.0,156.0,59.0,118.0,59.0,,,,,
68,angular/angular,2.0.0,2016-09-14,,,,1.0,55.0,3.0,38.0,1.0,,,,,,,,,,
69,angular/angular,2.0.1,2016-09-23,,,,,,,,,,,,,,,,,,
70,angular/angular,2.1.0-beta.0,2016-09-23,,,,,,,,,,,,,,,,,,
71,angular/angular,2.0.2,2016-10-05,,,,,,,,,,,,,,,,,,
72,angular/angular,2.1.0-rc.0,2016-10-06,,,,,,,,,,,,,,,,,,
73,angular/angular,2.1.0,2016-10-12,,,,,,,,,,,,,,,,,,
74,angular/angular,2.1.1,2016-10-20,,,,,,,,,,,,,,,,,,
75,angular/angular,2.2.0-beta.0,2016-10-20,,,,,,,,,,,,,,,,,,
76,angular/angular,2.1.2,2016-10-27,,,,,,,,,,,,,,,,,,
77,angular/angular,2.2.0-beta.1,2016-10-27,,,,,,,,,,,,,,,,,,
78,angular/angular,2.2.0-rc.0,2016-11-03,,,,,,,,,,,,,,,,,,
79,angular/angular,2.2.0,2016-11-14,,,,2.0,83.0,4.0,160.0,2.0,59.0,315.0,3127.0,31447.0,59.0,,,,,
80,angular/angular,2.2.1,2016-11-16,,,,4.0,24.0,12.0,299.0,4.0,,,,,,,,,,
81,angular/angular,2.3.0-beta.0,2016-11-17,,,,4.0,39.0,12.0,299.0,4.0,,,,,,,,,,
82,angular/angular,2.2.2,2016-11-22,,,,4.0,54.0,12.0,299.0,4.0,,,,,,,,,,
83,angular/angular,2.3.0-beta.1,2016-11-22,,,,4.0,68.0,12.0,299.0,4.0,,,,,,,,,,
84,angular/angular,2.2.3,2016-11-23,,,,4.0,71.0,12.0,299.0,4.0,,,,,,,,,,
85,angular/angular,2.2.4,2016-11-30,,,,,,,,,,,,,,,,,,
