,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,ansible/ansible,0.0.1,2012-03-13,BUG,46.0,3906.0,2.0,25.0,4.0,148.0,1.0,,,,,
1,ansible/ansible,0.0.2,2012-04-03,BUG,71.0,7619.0,19.0,167.0,21.0,184.0,1.0,5.0,167.0,5.0,20.0,5.0
2,ansible/ansible,0.3,2012-04-23,BUG,93.0,9320.0,14.0,160.0,21.0,213.0,1.0,3.0,160.0,3.0,33.0,2.0
3,ansible/ansible,0.3.1,2012-05-01,,,,,,,,,,,,,
4,ansible/ansible,0.4,2012-05-23,BUG,104.0,10624.0,4.0,195.0,3.0,15.0,1.0,3.0,195.0,3.0,15.0,3.0
5,ansible/ansible,0.4.1,2012-06-13,BUG,104.0,10643.0,1.0,11.0,,0.0,1.0,,,,,
6,ansible/ansible,0.5,2012-07-04,BUG,118.0,11458.0,17.0,123.0,25.0,355.0,3.0,5.0,123.0,5.0,237.0,2.0
7,ansible/ansible,0.6,2012-08-08,BUG,132.0,13843.0,76.0,550.0,100.0,1789.0,4.0,22.0,550.0,31.0,832.0,13.0
8,ansible/ansible,0.7,2012-09-06,BUG,156.0,16753.0,37.0,294.0,28.0,286.0,3.0,6.0,294.0,6.0,127.0,5.0
9,ansible/ansible,0.7.1,2012-09-11,,,,,,,,,,,,,
10,ansible/ansible,0.7.2,2012-10-10,,,,,,,,,,,,,
11,ansible/ansible,0.8,2012-10-19,BUG,254.0,34303.0,41.0,929.0,159.0,10597.0,1.0,1.0,929.0,2.0,12.0,1.0
12,ansible/ansible,v0.9,2012-11-30,BUG,293.0,38038.0,74.0,437.0,69.0,527.0,6.0,14.0,437.0,14.0,71.0,11.0
13,ansible/ansible,v1.0,2013-02-01,BUG,304.0,40435.0,28.0,274.0,20.0,123.0,3.0,3.0,274.0,3.0,18.0,3.0
14,ansible/ansible,v1.1,2013-04-03,BUG,350.0,51301.0,58.0,684.0,46.0,498.0,2.0,7.0,686.0,7.0,24.0,4.0
15,ansible/ansible,v1.2,2013-06-10,BUG,367.0,61185.0,84.0,763.0,104.0,2011.0,3.0,7.0,767.0,12.0,240.0,6.0
16,ansible/ansible,v1.2.1,2013-07-04,,,,,,,,,,,,,
17,ansible/ansible,v1.2.2,2013-08-01,BUG,367.0,61425.0,1.0,8.0,1.0,2.0,1.0,,,,,
18,ansible/ansible,v1.2.3,2013-08-21,,,,,,,,,,,,,
19,ansible/ansible,v1.3.0,2013-09-13,BUG,416.0,73785.0,111.0,873.0,78.0,631.0,2.0,30.0,887.0,25.0,247.0,2.0
20,ansible/ansible,v1.3.1,2013-09-16,,,,,,,,,,,,,
21,ansible/ansible,v1.3.2,2013-09-19,BUG,416.0,73854.0,1.0,5.0,1.0,3.0,1.0,,,,,
22,ansible/ansible,v1.3.3,2013-10-07,,,,,,,,,,,,,
23,ansible/ansible,v1.3.4,2013-10-29,,,,,,,,,,,,,
24,ansible/ansible,v1.4.0,2013-11-21,BUG,493.0,91856.0,187.0,937.0,212.0,2404.0,4.0,2.0,937.0,2.0,6.0,2.0
25,ansible/ansible,v1.4.1,2013-11-27,BUG,494.0,92051.0,21.0,27.0,14.0,67.0,3.0,,,,,
26,ansible/ansible,v1.4.2,2013-12-18,,,,,,,,,,,,,
27,ansible/ansible,v1.4.3,2013-12-20,,,,,,,,,,,,,
28,ansible/ansible,v1.4.4,2014-01-06,,,,,,,,,,,,,
29,ansible/ansible,v1.4.5,2014-02-12,,,,,,,,,,,,,
30,ansible/ansible,v1.5.0,2014-02-28,BUG,667.0,107567.0,157.0,918.0,332.0,2231.0,6.0,19.0,960.0,79.0,848.0,5.0
31,ansible/ansible,v1.5.1,2014-03-10,BUG,672.0,108458.0,10.0,18.0,11.0,97.0,1.0,,,,,
32,ansible/ansible,v1.5.2,2014-03-11,BUG,672.0,108526.0,1.0,5.0,1.0,6.0,1.0,,,,,
33,ansible/ansible,v1.5.3,2014-03-14,BUG,672.0,108719.0,15.0,30.0,20.0,85.0,3.0,,,,,
34,ansible/ansible,v1.5.4,2014-04-01,BUG,672.0,108801.0,1.0,2.0,1.0,99.0,1.0,,,,,
35,ansible/ansible,v1.5.5,2014-04-18,,,,,,,,,,,,,
36,ansible/ansible,v1.6.0,2014-05-05,BUG,762.0,128529.0,195.0,1048.0,164.0,2153.0,6.0,7.0,1048.0,52.0,130.0,3.0
37,ansible/ansible,v1.6.1,2014-05-07,,,,,,,,,,,,,
38,ansible/ansible,v1.6.2,2014-05-23,,,,,,,,,,,,,
39,ansible/ansible,v1.6.3,2014-06-09,,,,,,,,,,,,,
40,ansible/ansible,v1.6.4,2014-06-25,,,,,,,,,,,,,
41,ansible/ansible,v1.6.5,2014-06-25,,,,,,,,,,,,,
42,ansible/ansible,v1.6.6,2014-07-01,,,,,,,,,,,,,
43,ansible/ansible,v1.6.7,2014-07-21,,,,,,,,,,,,,
44,ansible/ansible,v1.6.8,2014-07-22,,,,,,,,,,,,,
45,ansible/ansible,v1.6.9,2014-07-24,,,,,,,,,,,,,
46,ansible/ansible,v1.6.10,2014-07-25,,,,,,,,,,,,,
47,ansible/ansible,v1.7.0,2014-08-06,BUG,896.0,140313.0,133.0,859.0,106.0,1403.0,12.0,11.0,863.0,11.0,75.0,9.0
48,ansible/ansible,v1.7.1,2014-08-14,BUG,898.0,140447.0,16.0,29.0,19.0,95.0,1.0,,,,,
49,ansible/ansible,v1.7.2,2014-09-24,,,,,,,,,,,,,
50,ansible/ansible,v1.8.0,2014-11-25,BUG,814.0,86141.0,130.0,921.0,173.0,2536.0,11.0,7.0,949.0,7.0,42.0,5.0
