,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,ansible/ansible,0.0.1,2012-03-13,,,,,,,,,,,,,
1,ansible/ansible,0.0.2,2012-04-03,FEATURE,71.0,7619.0,1.0,211.0,,0.0,1.0,,,,,
2,ansible/ansible,0.3,2012-04-23,FEATURE,93.0,9320.0,1.0,178.0,,0.0,1.0,,,,,
3,ansible/ansible,0.3.1,2012-05-01,,,,,,,,,,,,,
4,ansible/ansible,0.4,2012-05-23,,,,,,,,,,,,,
5,ansible/ansible,0.4.1,2012-06-13,,,,,,,,,,,,,
6,ansible/ansible,0.5,2012-07-04,FEATURE,118.0,11458.0,1.0,151.0,,0.0,1.0,,,,,
7,ansible/ansible,0.6,2012-08-08,FEATURE,132.0,13843.0,3.0,673.0,,0.0,1.0,,,,,
8,ansible/ansible,0.7,2012-09-06,FEATURE,156.0,16753.0,1.0,352.0,,0.0,1.0,,,,,
9,ansible/ansible,0.7.1,2012-09-11,,,,,,,,,,,,,
10,ansible/ansible,0.7.2,2012-10-10,,,,,,,,,,,,,
11,ansible/ansible,0.8,2012-10-19,,,,,,,,,,,,,
12,ansible/ansible,v0.9,2012-11-30,FEATURE,293.0,38038.0,1.0,530.0,12.0,673.0,1.0,,,,,
13,ansible/ansible,v1.0,2013-02-01,,,,,,,,,,,,,
14,ansible/ansible,v1.1,2013-04-03,FEATURE,350.0,51301.0,3.0,816.0,2.0,16.0,2.0,1.0,820.0,1.0,5.0,1.0
15,ansible/ansible,v1.2,2013-06-10,FEATURE,367.0,61185.0,4.0,923.0,6.0,166.0,1.0,,,,,
16,ansible/ansible,v1.2.1,2013-07-04,,,,,,,,,,,,,
17,ansible/ansible,v1.2.2,2013-08-01,,,,,,,,,,,,,
18,ansible/ansible,v1.2.3,2013-08-21,,,,,,,,,,,,,
19,ansible/ansible,v1.3.0,2013-09-13,FEATURE,416.0,73785.0,8.0,1078.0,4.0,13.0,1.0,2.0,1092.0,,0.0,1.0
20,ansible/ansible,v1.3.1,2013-09-16,,,,,,,,,,,,,
21,ansible/ansible,v1.3.2,2013-09-19,,,,,,,,,,,,,
22,ansible/ansible,v1.3.3,2013-10-07,,,,,,,,,,,,,
23,ansible/ansible,v1.3.4,2013-10-29,,,,,,,,,,,,,
24,ansible/ansible,v1.4.0,2013-11-21,FEATURE,493.0,91856.0,14.0,1214.0,25.0,2856.0,3.0,,,,,
25,ansible/ansible,v1.4.1,2013-11-27,,,,,,,,,,,,,
26,ansible/ansible,v1.4.2,2013-12-18,,,,,,,,,,,,,
27,ansible/ansible,v1.4.3,2013-12-20,,,,,,,,,,,,,
28,ansible/ansible,v1.4.4,2014-01-06,,,,,,,,,,,,,
29,ansible/ansible,v1.4.5,2014-02-12,,,,,,,,,,,,,
30,ansible/ansible,v1.5.0,2014-02-28,FEATURE,667.0,107567.0,4.0,1202.0,10.0,287.0,3.0,,,,,
31,ansible/ansible,v1.5.1,2014-03-10,,,,,,,,,,,,,
32,ansible/ansible,v1.5.2,2014-03-11,,,,,,,,,,,,,
33,ansible/ansible,v1.5.3,2014-03-14,,,,,,,,,,,,,
34,ansible/ansible,v1.5.4,2014-04-01,,,,,,,,,,,,,
35,ansible/ansible,v1.5.5,2014-04-18,,,,,,,,,,,,,
36,ansible/ansible,v1.6.0,2014-05-05,FEATURE,762.0,128529.0,3.0,1346.0,2.0,6.0,2.0,,,,,
37,ansible/ansible,v1.6.1,2014-05-07,,,,,,,,,,,,,
38,ansible/ansible,v1.6.2,2014-05-23,,,,,,,,,,,,,
39,ansible/ansible,v1.6.3,2014-06-09,,,,,,,,,,,,,
40,ansible/ansible,v1.6.4,2014-06-25,,,,,,,,,,,,,
41,ansible/ansible,v1.6.5,2014-06-25,,,,,,,,,,,,,
42,ansible/ansible,v1.6.6,2014-07-01,,,,,,,,,,,,,
43,ansible/ansible,v1.6.7,2014-07-21,,,,,,,,,,,,,
44,ansible/ansible,v1.6.8,2014-07-22,,,,,,,,,,,,,
45,ansible/ansible,v1.6.9,2014-07-24,,,,,,,,,,,,,
46,ansible/ansible,v1.6.10,2014-07-25,,,,,,,,,,,,,
47,ansible/ansible,v1.7.0,2014-08-06,FEATURE,896.0,140313.0,9.0,1090.0,4.0,153.0,3.0,1.0,1094.0,1.0,70.0,1.0
48,ansible/ansible,v1.7.1,2014-08-14,,,,,,,,,,,,,
49,ansible/ansible,v1.7.2,2014-09-24,,,,,,,,,,,,,
50,ansible/ansible,v1.8.0,2014-11-25,FEATURE,814.0,86141.0,4.0,1123.0,,0.0,2.0,,,,,
51,ansible/ansible,v1.8.1,2014-11-26,,,,,,,,,,,,,
52,ansible/ansible,v1.8.2,2014-12-04,,,,,,,,,,,,,
53,ansible/ansible,v1.8.3,2015-02-17,,,,,,,,,,,,,
54,ansible/ansible,v1.8.4,2015-02-19,,,,,,,,,,,,,
55,ansible/ansible,v1.9.0-0.1.rc1,2015-03-10,FEATURE,1090.0,124577.0,6.0,769.0,5.0,30.0,3.0,,,,,
56,ansible/ansible,v1.9.0-0.2.rc2,2015-03-20,,,,,,,,,,,,,
57,ansible/ansible,v1.9.0.1-1,2015-03-25,,,,,,,,,,,,,
58,ansible/ansible,v1.9.0-2,2015-03-25,,,,,,,,,,,,,
59,ansible/ansible,v1.9.0-1,2015-03-25,,,,,,,,,,,,,
60,ansible/ansible,v1.9.1-0.1.rc1,2015-04-06,,,,,,,,,,,,,
61,ansible/ansible,v1.9.1-0.2.rc2,2015-04-15,,,,,,,,,,,,,
62,ansible/ansible,v1.9.1-0.3.rc3,2015-04-17,,,,,,,,,,,,,
63,ansible/ansible,v1.9.1-0.4.rc4,2015-04-23,,,,,,,,,,,,,
64,ansible/ansible,v1.9.1-1,2015-04-28,,,,,,,,,,,,,
65,ansible/ansible,v1.9.2-0.1.rc1,2015-05-15,,,,,,,,,,,,,
66,ansible/ansible,v1_last,2015-06-01,FEATURE,1238.0,134403.0,6.0,776.0,,0.0,2.0,,,,,
67,ansible/ansible,v1.9.2-0.2.rc2,2015-06-22,,,,,,,,,,,,,
68,ansible/ansible,v1.9.2-1,2015-06-25,,,,,,,,,,,,,
69,ansible/ansible,v1.9.3-0.1.rc1,2015-08-11,,,,,,,,,,,,,
70,ansible/ansible,v1.9.3-0.2.rc2,2015-08-20,,,,,,,,,,,,,
71,ansible/ansible,v1.9.3-0.3.rc3,2015-08-24,,,,,,,,,,,,,
72,ansible/ansible,v2.0.0-0.1.alpha1,2015-08-27,FEATURE,1157.0,115100.0,14.0,2322.0,10.0,138.0,3.0,1.0,2328.0,1.0,11.0,1.0
73,ansible/ansible,v1.9.3-1,2015-09-03,,,,,,,,,,,,,
74,ansible/ansible,v1.9.4-0.1.rc1,2015-09-04,,,,,,,,,,,,,
75,ansible/ansible,v2.0.0-0.2.alpha2,2015-09-04,FEATURE,1163.0,116491.0,14.0,2500.0,10.0,138.0,3.0,1.0,2506.0,1.0,11.0,1.0
76,ansible/ansible,v1.9.4-0.2.rc2,2015-09-11,,,,,,,,,,,,,
77,ansible/ansible,v1.9.4-0.3.rc3,2015-10-02,FEATURE,842.0,92305.0,1.0,9.0,,0.0,1.0,,,,,
78,ansible/ansible,v2.0.0-0.3.beta1,2015-10-06,FEATURE,1193.0,121079.0,15.0,3020.0,10.0,138.0,3.0,1.0,3027.0,1.0,11.0,1.0
79,ansible/ansible,v1.9.4-1,2015-10-09,FEATURE,842.0,92315.0,1.0,250.0,,0.0,1.0,,,,,
80,ansible/ansible,v2.0.0-0.4.beta2,2015-10-26,FEATURE,1209.0,123848.0,15.0,3339.0,10.0,138.0,3.0,1.0,3353.0,1.0,11.0,1.0
81,ansible/ansible,v2.0.0-0.5.beta3,2015-11-13,FEATURE,1210.0,124523.0,1.0,281.0,,0.0,1.0,,,,,
82,ansible/ansible,v2.0.0-0.6.rc1,2015-11-19,,,,,,,,,,,,,
83,ansible/ansible,v2.0.0-0.7.rc2,2015-12-07,,,,,,,,,,,,,
84,ansible/ansible,v2.0.0-0.8.rc3,2015-12-21,FEATURE,1243.0,128241.0,1.0,187.0,1.0,2.0,0.0,,,,,
85,ansible/ansible,v2.0.0-0.9.rc4,2016-01-07,,,,,,,,,,,,,
86,ansible/ansible,v2.0.0.0-1,2016-01-12,,,,,,,,,,,,,
87,ansible/ansible,v2.0.0.1-1,2016-01-12,,,,,,,,,,,,,
88,ansible/ansible,v2.0.0.2-1,2016-01-14,,,,,,,,,,,,,
89,ansible/ansible,v2.0.1.0-0.1.rc1,2016-01-28,FEATURE,1255.0,130099.0,1.0,118.0,2.0,38.0,1.0,,,,,
90,ansible/ansible,v2.0.1.0-0.2.rc2,2016-02-15,,,,,,,,,,,,,
91,ansible/ansible,v2.0.1.0-1,2016-02-24,,,,,,,,,,,,,
92,ansible/ansible,v1.9.5-0.1.rc1,2016-03-10,FEATURE,842.0,92577.0,1.0,342.0,,0.0,1.0,,,,,
93,ansible/ansible,v1.9.5-1,2016-03-21,,,,,,,,,,,,,
94,ansible/ansible,v2.0.2.0-0.1.rc1,2016-03-23,FEATURE,1309.0,135446.0,18.0,4401.0,13.0,178.0,3.0,1.0,4424.0,1.0,11.0,1.0
95,ansible/ansible,v2.0.2.0-0.2.rc2,2016-04-01,,,,,,,,,,,,,
96,ansible/ansible,v1.9.6-0.1.rc1,2016-04-06,FEATURE,842.0,92687.0,1.0,355.0,,0.0,1.0,,,,,
97,ansible/ansible,v2.0.2.0-0.3.rc3,2016-04-06,FEATURE,1309.0,135478.0,18.0,4425.0,13.0,178.0,3.0,1.0,4448.0,1.0,11.0,1.0
98,ansible/ansible,v2.0.2.0-0.4.rc4,2016-04-12,,,,,,,,,,,,,
99,ansible/ansible,v1.9.6-1,2016-04-15,FEATURE,842.0,92699.0,1.0,356.0,,0.0,1.0,,,,,
100,ansible/ansible,v2.0.2.0-1,2016-04-19,FEATURE,1309.0,135503.0,18.0,4438.0,13.0,178.0,3.0,1.0,4461.0,1.0,11.0,1.0
101,ansible/ansible,v2.1.0.0-0.1.rc1,2016-04-26,FEATURE,1384.0,153730.0,18.0,2031.0,13.0,440.0,4.0,,,,,
102,ansible/ansible,v2.1.0.0-0.2.rc2,2016-05-18,,,,,,,,,,,,,
