,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,ansible/ansible,0.0.1,2012-03-13,REFACTOR,46,3906,,,,,,,,,,,,,,,
1,ansible/ansible,0.0.2,2012-04-03,REFACTOR,71,7619,,,,,,,,,,,,,,,
2,ansible/ansible,0.3,2012-04-23,REFACTOR,93,9320,,,,,,1.0,177.0,4.0,417.0,1.0,1.0,76.0,1.0,6.0,-1.0
3,ansible/ansible,0.3.1,2012-05-01,REFACTOR,94,9364,,,,,,,,,,,,,,,
4,ansible/ansible,0.4,2012-05-23,REFACTOR,104,10624,,,,,,,,,,,1.0,202.0,6.0,674.0,-1.0
5,ansible/ansible,0.4.1,2012-06-13,REFACTOR,104,10643,,,,,,,,,,,,,,,
6,ansible/ansible,0.5,2012-07-04,REFACTOR,118,11458,,,,,,,,,,,2.0,44.0,7.0,924.0,-1.0
7,ansible/ansible,0.6,2012-08-08,REFACTOR,132,13843,3.0,671.0,8.0,1012.0,1.0,1.0,671.0,1.0,143.0,1.0,2.0,244.0,8.0,691.0,-1.0
8,ansible/ansible,0.7,2012-09-06,REFACTOR,156,16753,,,,,,,,,,,,,,,
9,ansible/ansible,0.7.1,2012-09-11,REFACTOR,156,16756,,,,,,,,,,,,,,,
10,ansible/ansible,0.7.2,2012-10-10,REFACTOR,156,16759,,,,,,,,,,,,,,,
11,ansible/ansible,0.8,2012-10-19,REFACTOR,254,34303,,,,,,,,,,,3.0,854.0,13.0,114.0,-1.0
12,ansible/ansible,v0.9,2012-11-30,REFACTOR,293,38038,2.0,529.0,1.0,643.0,2.0,,,,,,,,,,
13,ansible/ansible,v1.0,2013-02-01,REFACTOR,304,40435,,,,,,,,,,,,,,,
14,ansible/ansible,v1.1,2013-04-03,REFACTOR,350,51301,,,,,,,,,,,,,,,
15,ansible/ansible,v1.2,2013-06-10,REFACTOR,367,61185,,,,,,,,,,,2.0,445.0,1.0,64.0,-1.0
16,ansible/ansible,v1.2.1,2013-07-04,REFACTOR,367,61396,,,,,,,,,,,,,,,
17,ansible/ansible,v1.2.2,2013-08-01,REFACTOR,367,61425,,,,,,,,,,,,,,,
18,ansible/ansible,v1.2.3,2013-08-21,REFACTOR,367,61515,,,,,,,,,,,,,,,
19,ansible/ansible,v1.3.0,2013-09-13,REFACTOR,416,73785,,,,,,1.0,1110.0,1.0,100.0,1.0,,,,,
20,ansible/ansible,v1.3.1,2013-09-16,REFACTOR,416,73799,,,,,,,,,,,,,,,
21,ansible/ansible,v1.3.2,2013-09-19,REFACTOR,416,73854,,,,,,,,,,,,,,,
