,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,ansible/ansible,0.0.1,2012-03-13,SUPPORT,46,3906,,,,,,,,,,,,,,,
1,ansible/ansible,0.0.2,2012-04-03,SUPPORT,71,7619,3.0,204.0,7.0,153.0,1.0,,,,,,5.0,134.0,9.0,182.0,-1.0
2,ansible/ansible,0.3,2012-04-23,SUPPORT,93,9320,4.0,169.0,13.0,137.0,1.0,1.0,169.0,3.0,23.0,1.0,5.0,72.0,5.0,539.0,-1.0
3,ansible/ansible,0.3.1,2012-05-01,SUPPORT,94,9364,,,,,,,,,,,,,,,
4,ansible/ansible,0.4,2012-05-23,SUPPORT,104,10624,,,,,,2.0,232.0,3.0,36.0,2.0,9.0,194.0,14.0,470.0,-1.0
5,ansible/ansible,0.4.1,2012-06-13,SUPPORT,104,10643,,,,,,,,,,,,,,,
6,ansible/ansible,0.5,2012-07-04,SUPPORT,118,11458,1.0,147.0,1.0,22.0,1.0,,,,,,4.0,42.0,4.0,70.0,-1.0
7,ansible/ansible,0.6,2012-08-08,SUPPORT,132,13843,5.0,661.0,9.0,150.0,2.0,6.0,661.0,10.0,329.0,4.0,4.0,242.0,7.0,165.0,-1.0
8,ansible/ansible,0.7,2012-09-06,SUPPORT,156,16753,1.0,347.0,4.0,172.0,1.0,,,,,,6.0,149.0,11.0,384.0,-1.0
9,ansible/ansible,0.7.1,2012-09-11,SUPPORT,156,16756,,,,,,,,,,,,,,,
10,ansible/ansible,0.7.2,2012-10-10,SUPPORT,156,16759,,,,,,,,,,,,,,,
11,ansible/ansible,0.8,2012-10-19,SUPPORT,254,34303,1.0,1079.0,1.0,36.0,1.0,1.0,1079.0,3.0,38.0,1.0,15.0,842.0,62.0,1421.0,-1.0
