,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,ansible/ansible,0.0.1,2012-03-13,UPGRADE,46,3906,,,,,,,,,,,,,,,
1,ansible/ansible,0.0.2,2012-04-03,UPGRADE,71,7619,,,,,,,,,,,1.0,138.0,5.0,142.0,-1.0
2,ansible/ansible,0.3,2012-04-23,UPGRADE,93,9320,1.0,175.0,,0.0,1.0,,,,,,3.0,74.0,3.0,51.0,-1.0
3,ansible/ansible,0.3.1,2012-05-01,UPGRADE,94,9364,,,,,,,,,,,,,,,
4,ansible/ansible,0.4,2012-05-23,UPGRADE,104,10624,,,,,,,,,,,1.0,202.0,1.0,2.0,-1.0
5,ansible/ansible,0.4.1,2012-06-13,UPGRADE,104,10643,,,,,,,,,,,,,,,
6,ansible/ansible,0.5,2012-07-04,UPGRADE,118,11458,1.0,151.0,3.0,28.0,1.0,,,,,,,,,,
7,ansible/ansible,0.6,2012-08-08,UPGRADE,132,13843,3.0,670.0,6.0,94.0,3.0,2.0,670.0,2.0,28.0,2.0,2.0,244.0,2.0,55.0,-1.0
8,ansible/ansible,0.7,2012-09-06,UPGRADE,156,16753,1.0,350.0,,0.0,1.0,,,,,,4.0,151.0,4.0,455.0,-1.0
9,ansible/ansible,0.7.1,2012-09-11,UPGRADE,156,16756,,,,,,,,,,,,,,,
10,ansible/ansible,0.7.2,2012-10-10,UPGRADE,156,16759,,,,,,,,,,,,,,,
11,ansible/ansible,0.8,2012-10-19,UPGRADE,254,34303,2.0,1087.0,1.0,2.0,2.0,,,,,,7.0,850.0,10.0,201.0,-1.0
12,ansible/ansible,v0.9,2012-11-30,UPGRADE,293,38038,2.0,527.0,2.0,9.0,2.0,2.0,527.0,2.0,8.0,2.0,,,,,
13,ansible/ansible,v1.0,2013-02-01,UPGRADE,304,40435,,,,,,1.0,323.0,1.0,4.0,1.0,4.0,165.0,4.0,206.0,-1.0
14,ansible/ansible,v1.1,2013-04-03,UPGRADE,350,51301,6.0,803.0,5.0,164.0,6.0,2.0,807.0,2.0,31.0,2.0,11.0,443.0,16.0,289.0,-1.0
15,ansible/ansible,v1.2,2013-06-10,UPGRADE,367,61185,3.0,917.0,8.0,90.0,3.0,1.0,922.0,1.0,3.0,1.0,8.0,439.0,7.0,351.0,-1.0
16,ansible/ansible,v1.2.1,2013-07-04,UPGRADE,367,61396,,,,,,,,,,,,,,,
17,ansible/ansible,v1.2.2,2013-08-01,UPGRADE,367,61425,,,,,,,,,,,,,,,
18,ansible/ansible,v1.2.3,2013-08-21,UPGRADE,367,61515,,,,,,,,,,,,,,,
19,ansible/ansible,v1.3.0,2013-09-13,UPGRADE,416,73785,2.0,1078.0,2.0,76.0,2.0,2.0,1099.0,2.0,49.0,2.0,8.0,492.0,8.0,82.0,-1.0
20,ansible/ansible,v1.3.1,2013-09-16,UPGRADE,416,73799,,,,,,,,,,,,,,,
