,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,Homebrew/brew,0.2,2009-06-05,BUG,6,836,,,,,,,,,,,10.0,62.0,11.0,119.0,-1.0
1,Homebrew/brew,0.3,2009-07-24,BUG,8,1222,,,,,,,,,,,7.0,52.0,9.0,137.0,-1.0
2,Homebrew/brew,0.4,2009-08-10,BUG,16,1793,,,,,,,,,,,19.0,40.0,19.0,164.0,-1.0
3,Homebrew/brew,0.5,2009-11-11,BUG,26,4221,,,,,,,,,,,42.0,290.0,54.0,518.0,-1.0
4,Homebrew/brew,0.6,2010-03-08,BUG,34,4398,,,,,,,,,,,26.0,139.0,28.0,244.0,-1.0
5,Homebrew/brew,0.7,2010-08-07,BUG,60,6699,,,,,,,,,,,37.0,233.0,45.0,295.0,-1.0
6,Homebrew/brew,0.7.1,2010-10-31,BUG,64,7867,,,,,,,,,,,24.0,134.0,38.0,216.0,-1.0
7,Homebrew/brew,0.8,2011-03-12,BUG,94,8415,,,,,,,,,,,18.0,65.0,24.0,165.0,-1.0
8,Homebrew/brew,0.8.1,2011-12-21,BUG,107,11073,,,,,,,,,,,89.0,405.0,101.0,535.0,-1.0
9,Homebrew/brew,0.9,2012-03-16,BUG,116,12934,,,,,,,,,,,27.0,309.0,30.0,144.0,-1.0
10,Homebrew/brew,0.9.1,2012-06-27,BUG,137,15286,,,,,,,,,,,37.0,195.0,64.0,561.0,-1.0
11,Homebrew/brew,0.9.2,2012-07-04,BUG,140,15803,,,,,,,,,,,1.0,34.0,3.0,73.0,-1.0
12,Homebrew/brew,0.9.3,2012-08-29,BUG,168,17374,,,,,,,,,,,29.0,228.0,40.0,179.0,-1.0
13,Homebrew/brew,0.9.4,2013-01-29,BUG,209,20224,,,,,,,,,,,68.0,404.0,85.0,1091.0,-1.0
14,Homebrew/brew,0.9.5,2013-09-19,BUG,270,25435,,,,,,,,,,,137.0,1040.0,176.0,1850.0,-1.0
15,Homebrew/brew,0.9.8,2016-04-02,BUG,445,45633,17.0,4363.0,38.0,365.0,17.0,3.0,4363.0,3.0,39.0,3.0,509.0,4275.0,620.0,5681.0,-1.0
16,Homebrew/brew,0.9.9,2016-04-03,BUG,445,45431,5.0,12.0,5.0,19.0,5.0,,,,,,,,,,
