,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,Homebrew/brew,0.2,2009-06-05,OTHER,6.0,836.0,,,,,,,,,,,54.0,18.0,92.0,1273.0,-1.0
1,Homebrew/brew,0.3,2009-07-24,OTHER,8.0,1222.0,,,,,,,,,,,32.0,27.0,37.0,449.0,-1.0
2,Homebrew/brew,0.4,2009-08-10,OTHER,16.0,1793.0,,,,,,,,,,,29.0,30.0,38.0,537.0,-1.0
3,Homebrew/brew,0.5,2009-11-11,OTHER,26.0,4221.0,,,,,,,,,,,244.0,88.0,389.0,6098.0,-1.0
4,Homebrew/brew,0.6,2010-03-08,OTHER,34.0,4398.0,,,,,,,,,,,113.0,52.0,145.0,1770.0,-1.0
5,Homebrew/brew,0.7,2010-08-07,OTHER,60.0,6699.0,,,,,,,,,,,181.0,89.0,235.0,3518.0,-1.0
6,Homebrew/brew,0.7.1,2010-10-31,OTHER,64.0,7867.0,,,,,,,,,,,116.0,42.0,145.0,1734.0,-1.0
7,Homebrew/brew,0.8,2011-03-12,OTHER,94.0,8415.0,,,,,,,,,,,54.0,29.0,99.0,1563.0,-1.0
8,Homebrew/brew,0.8.1,2011-12-21,OTHER,107.0,11073.0,,,,,,,,,,,343.0,151.0,445.0,5463.0,-1.0
9,Homebrew/brew,0.9,2012-03-16,OTHER,116.0,12934.0,,,,,,,,,,,262.0,74.0,356.0,4851.0,-1.0
10,Homebrew/brew,0.9.1,2012-06-27,OTHER,137.0,15286.0,,,,,,,,,,,161.0,71.0,260.0,3909.0,-1.0
11,Homebrew/brew,0.9.2,2012-07-04,OTHER,140.0,15803.0,,,,,,,,,,,27.0,8.0,44.0,2327.0,-1.0
12,Homebrew/brew,0.9.3,2012-08-29,OTHER,168.0,17374.0,,,,,,,,,,,195.0,62.0,338.0,4967.0,-1.0
13,Homebrew/brew,0.9.4,2013-01-29,OTHER,209.0,20224.0,,,,,,,,,,,318.0,154.0,506.0,7829.0,-1.0
14,Homebrew/brew,0.9.5,2013-09-19,OTHER,270.0,25435.0,,,,,,,,,,,827.0,350.0,1347.0,17251.0,-1.0
15,Homebrew/brew,0.9.8,2016-04-02,OTHER,445.0,45633.0,63.0,1523.0,116.0,1351.0,63.0,5.0,1523.0,5.0,5.0,5.0,3301.0,1483.0,5002.0,59812.0,-1.0
16,Homebrew/brew,0.9.9,2016-04-03,,,,4.0,13.0,26.0,505.0,4.0,,,,,,,,,,
17,Homebrew/brew,1.0.0,2016-09-21,OTHER,983.0,74157.0,412.0,603.0,823.0,16668.0,412.0,9970.0,4837.0,2716.0,57474.0,9970.0,266.0,185.0,1403.0,33101.0,-1.0
18,Homebrew/brew,1.0.1,2016-09-21,OTHER,983.0,74162.0,,,,,,118.0,,,0.0,118.0,2.0,,2.0,13.0,-1.0
19,Homebrew/brew,1.0.2,2016-09-22,OTHER,977.0,74030.0,3.0,8.0,3.0,7.0,3.0,413.0,240.0,,0.0,413.0,10.0,4.0,19.0,356.0,-1.0
20,Homebrew/brew,1.0.3,2016-09-23,OTHER,978.0,74018.0,19.0,46.0,53.0,492.0,19.0,472.0,394.0,,0.0,472.0,23.0,24.0,34.0,208.0,-1.0
21,Homebrew/brew,1.0.4,2016-09-24,OTHER,976.0,73143.0,1.0,9.0,1.0,6.0,1.0,767.0,183.0,,0.0,767.0,15.0,6.0,205.0,12089.0,-1.0
22,Homebrew/brew,1.0.5,2016-09-27,OTHER,1032.0,73325.0,,,,,,413.0,242.0,,0.0,413.0,7.0,6.0,9.0,50.0,-1.0
23,Homebrew/brew,1.0.6,2016-10-03,OTHER,1036.0,74738.0,17.0,32.0,25.0,421.0,17.0,1239.0,496.0,,0.0,1239.0,28.0,15.0,90.0,2075.0,-1.0
24,Homebrew/brew,1.0.7,2016-10-09,OTHER,978.0,72282.0,2.0,26.0,2.0,11.0,2.0,768.0,490.0,2.0,6.0,768.0,21.0,15.0,126.0,606.0,-1.0
25,Homebrew/brew,1.0.8,2016-10-17,OTHER,980.0,72472.0,8.0,24.0,27.0,156.0,8.0,1416.0,198.0,59.0,59.0,1416.0,33.0,17.0,46.0,462.0,-1.0
26,Homebrew/brew,1.0.9,2016-10-28,OTHER,980.0,72217.0,8.0,65.0,16.0,153.0,8.0,1180.0,1283.0,59.0,118.0,1180.0,46.0,40.0,193.0,1229.0,-1.0
27,Homebrew/brew,1.1.0,2016-11-07,OTHER,980.0,72407.0,6.0,21.0,8.0,92.0,6.0,1416.0,485.0,59.0,708.0,1416.0,25.0,11.0,38.0,325.0,-1.0
28,Homebrew/brew,1.1.1,2016-11-16,OTHER,980.0,72910.0,28.0,80.0,58.0,747.0,28.0,1594.0,817.0,237.0,1005.0,1594.0,29.0,30.0,58.0,565.0,-1.0
29,Homebrew/brew,1.1.2,2016-11-28,OTHER,986.0,72504.0,4.0,40.0,5.0,52.0,4.0,1652.0,852.0,59.0,708.0,1652.0,29.0,25.0,61.0,1118.0,-1.0
30,Homebrew/brew,1.1.5,2016-12-13,OTHER,987.0,72804.0,,,,,,,,,,,1.0,1.0,1.0,2.0,-1.0
