,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,Homebrew/brew,0.2,2009-06-05,REFACTOR,6.0,836.0,,,,,,,,,,,1.0,71.0,26.0,1065.0,-1.0
1,Homebrew/brew,0.3,2009-07-24,REFACTOR,8.0,1222.0,,,,,,,,,,,3.0,56.0,10.0,1674.0,-1.0
2,Homebrew/brew,0.4,2009-08-10,REFACTOR,16.0,1793.0,,,,,,,,,,,3.0,56.0,21.0,1608.0,-1.0
3,Homebrew/brew,0.5,2009-11-11,REFACTOR,26.0,4221.0,,,,,,,,,,,1.0,331.0,2.0,111.0,-1.0
4,Homebrew/brew,0.6,2010-03-08,REFACTOR,34.0,4398.0,,,,,,,,,,,2.0,163.0,3.0,44.0,-1.0
5,Homebrew/brew,0.7,2010-08-07,REFACTOR,60.0,6699.0,,,,,,,,,,,2.0,268.0,3.0,55.0,-1.0
6,Homebrew/brew,0.7.1,2010-10-31,REFACTOR,64.0,7867.0,,,,,,,,,,,2.0,156.0,3.0,64.0,-1.0
7,Homebrew/brew,0.8,2011-03-12,REFACTOR,94.0,8415.0,,,,,,,,,,,2.0,81.0,52.0,2666.0,-1.0
8,Homebrew/brew,0.8.1,2011-12-21,REFACTOR,107.0,11073.0,,,,,,,,,,,1.0,493.0,3.0,261.0,-1.0
9,Homebrew/brew,0.9,2012-03-16,REFACTOR,116.0,12934.0,,,,,,,,,,,2.0,334.0,2.0,639.0,-1.0
10,Homebrew/brew,0.9.1,2012-06-27,,,,,,,,,,,,,,,,,,
11,Homebrew/brew,0.9.2,2012-07-04,REFACTOR,140.0,15803.0,,,,,,,,,,,4.0,31.0,15.0,356.0,-1.0
12,Homebrew/brew,0.9.3,2012-08-29,REFACTOR,168.0,17374.0,,,,,,,,,,,6.0,251.0,8.0,968.0,-1.0
13,Homebrew/brew,0.9.4,2013-01-29,REFACTOR,209.0,20224.0,,,,,,,,,,,1.0,471.0,5.0,231.0,-1.0
14,Homebrew/brew,0.9.5,2013-09-19,REFACTOR,270.0,25435.0,,,,,,,,,,,6.0,1171.0,9.0,367.0,-1.0
15,Homebrew/brew,0.9.8,2016-04-02,REFACTOR,445.0,45633.0,,,,,,,,,,,9.0,4775.0,15.0,1044.0,-1.0
16,Homebrew/brew,0.9.9,2016-04-03,,,,,,,,,,,,,,,,,,
17,Homebrew/brew,1.0.0,2016-09-21,REFACTOR,983.0,74157.0,3.0,1453.0,3.0,449.0,3.0,296.0,15183.0,1.0,18.0,296.0,4.0,447.0,11.0,196.0,-1.0
18,Homebrew/brew,1.0.1,2016-09-21,,,,,,,,,,,,,,,,,,
19,Homebrew/brew,1.0.2,2016-09-22,,,,,,,,,,,,,,,,,,
20,Homebrew/brew,1.0.3,2016-09-23,,,,,,,,,,,,,,,,,,
21,Homebrew/brew,1.0.4,2016-09-24,,,,,,,,,,,,,,,,,,
22,Homebrew/brew,1.0.5,2016-09-27,,,,,,,,,,,,,,,,,,
23,Homebrew/brew,1.0.6,2016-10-03,REFACTOR,1036.0,74738.0,2.0,93.0,3.0,1015.0,2.0,59.0,1717.0,,0.0,59.0,2.0,41.0,20.0,259.0,-1.0
24,Homebrew/brew,1.0.7,2016-10-09,,,,1.0,61.0,13.0,39.0,1.0,59.0,1221.0,,0.0,59.0,,,,,
25,Homebrew/brew,1.0.8,2016-10-17,,,,1.0,88.0,2.0,99.0,1.0,,,,,,,,,,
26,Homebrew/brew,1.0.9,2016-10-28,REFACTOR,980.0,72217.0,2.0,123.0,7.0,121.0,2.0,472.0,2037.0,,0.0,472.0,7.0,79.0,10.0,374.0,-1.0
27,Homebrew/brew,1.1.0,2016-11-07,,,,,,,,,59.0,1873.0,,0.0,59.0,,,,,
28,Homebrew/brew,1.1.1,2016-11-16,,,,,,,,,,,,,,,,,,
29,Homebrew/brew,1.1.2,2016-11-28,,,,,,,,,,,,,,,,,,
30,Homebrew/brew,1.1.5,2016-12-13,,,,,,,,,,,,,,,,,,
31,Homebrew/brew,1.1.4,2016-12-13,,,,,,,,,,,,,,,,,,
32,Homebrew/brew,1.1.3,2016-12-13,,,,,,,,,59.0,953.0,,0.0,59.0,,,,,
33,Homebrew/brew,1.1.6,2017-01-03,,,,,,,,,,,,,,,,,,
34,Homebrew/brew,1.1.7,2017-01-09,,,,,,,,,,,,,,,,,,
35,Homebrew/brew,1.1.8,2017-01-23,,,,,,,,,,,,,,,,,,
36,Homebrew/brew,1.1.9,2017-01-30,REFACTOR,997.0,73580.0,,,,,,,,,,,1.0,56.0,,0.0,-1.0
37,Homebrew/brew,1.1.10,2017-02-15,REFACTOR,993.0,73887.0,,,,,,,,,,,4.0,77.0,13.0,176.0,-1.0
38,Homebrew/brew,1.1.11,2017-03-07,REFACTOR,1014.0,76449.0,,,,,,,,,,,4.0,278.0,9.0,474.0,-1.0
39,Homebrew/brew,1.1.12,2017-04-02,REFACTOR,1012.0,77028.0,,,,,,177.0,4934.0,,0.0,177.0,4.0,139.0,30.0,1590.0,-1.0
40,Homebrew/brew,1.1.13,2017-04-16,,,,,,,,,,,,,,,,,,
41,Homebrew/brew,1.2.0,2017-05-01,REFACTOR,1033.0,78431.0,,,,,,59.0,3686.0,,0.0,59.0,3.0,75.0,10.0,236.0,-1.0
42,Homebrew/brew,1.2.1,2017-05-15,,,,,,,,,118.0,1886.0,,0.0,118.0,,,,,
43,Homebrew/brew,1.2.2,2017-06-04,REFACTOR,1047.0,79746.0,4.0,163.0,5.0,136.0,4.0,118.0,3295.0,,0.0,118.0,20.0,99.0,28.0,747.0,-1.0
44,Homebrew/brew,1.2.3,2017-06-12,,,,,,,,,,,,,,,,,,
45,Homebrew/brew,1.2.4,2017-07-02,REFACTOR,1046.0,80272.0,,,,,,59.0,2262.0,,0.0,59.0,4.0,63.0,44.0,695.0,-1.0
46,Homebrew/brew,1.2.5,2017-07-25,,,,,,,,,,,,,,,,,,
47,Homebrew/brew,1.2.6,2017-07-27,,,,,,,,,,,,,,,,,,
48,Homebrew/brew,1.3.0,2017-07-31,,,,,,,,,,,,,,,,,,
49,Homebrew/brew,1.3.1,2017-08-07,REFACTOR,1055.0,80846.0,,,,,,,,,,,1.0,27.0,5.0,205.0,-1.0
50,Homebrew/brew,1.3.2,2017-09-04,,,,,,,,,295.0,3207.0,1239.0,25488.0,295.0,,,,,
51,Homebrew/brew,1.3.3,2017-09-21,,,,,,,,,,,,,,,,,,
52,Homebrew/brew,1.3.4,2017-09-25,,,,,,,,,,,,,,,,,,
53,Homebrew/brew,1.3.5,2017-10-08,REFACTOR,1067.0,82597.0,,,,,,59.0,2832.0,,0.0,59.0,3.0,58.0,45.0,605.0,-1.0
54,Homebrew/brew,1.3.6,2017-10-18,REFACTOR,1071.0,82614.0,,,,,,118.0,1164.0,,0.0,118.0,3.0,38.0,2.0,76.0,-1.0
55,Homebrew/brew,1.3.7,2017-11-10,REFACTOR,1085.0,82934.0,,,,,,59.0,3404.0,,0.0,59.0,2.0,143.0,6.0,113.0,-1.0
56,Homebrew/brew,1.3.8,2017-11-20,,,,,,,,,2.0,859.0,3.0,38.0,2.0,,,,,
57,Homebrew/brew,1.3.9,2017-12-04,REFACTOR,1096.0,83748.0,,,,,,,,,,,1.0,70.0,7.0,169.0,-1.0
58,Homebrew/brew,1.4.0,2017-12-11,REFACTOR,1096.0,83604.0,,,,,,,,,,,1.0,30.0,3.0,199.0,-1.0
59,Homebrew/brew,1.4.1,2017-12-16,,,,,,,,,,,,,,,,,,
60,Homebrew/brew,1.4.2,2018-01-01,,,,,,,,,,,,,,,,,,
61,Homebrew/brew,1.4.3,2018-01-08,,,,,,,,,,,,,,,,,,
62,Homebrew/brew,1.5.0,2018-01-19,,,,,,,,,,,,,,,,,,
63,Homebrew/brew,1.5.1,2018-01-22,,,,,,,,,,,,,,,,,,
