,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,Homebrew/brew,0.2,2009-06-05,SUPPORT,6,836,,,,,,,,,,,2.0,70.0,2.0,14.0,-1.0
1,Homebrew/brew,0.3,2009-07-24,SUPPORT,8,1222,,,,,,,,,,,3.0,56.0,4.0,75.0,-1.0
2,Homebrew/brew,0.4,2009-08-10,SUPPORT,16,1793,,,,,,,,,,,,,,,
3,Homebrew/brew,0.5,2009-11-11,SUPPORT,26,4221,,,,,,,,,,,7.0,325.0,10.0,163.0,-1.0
4,Homebrew/brew,0.6,2010-03-08,SUPPORT,34,4398,,,,,,,,,,,6.0,159.0,9.0,110.0,-1.0
5,Homebrew/brew,0.7,2010-08-07,SUPPORT,60,6699,,,,,,,,,,,9.0,261.0,14.0,226.0,-1.0
6,Homebrew/brew,0.7.1,2010-10-31,SUPPORT,64,7867,,,,,,,,,,,3.0,155.0,3.0,38.0,-1.0
7,Homebrew/brew,0.8,2011-03-12,SUPPORT,94,8415,,,,,,,,,,,1.0,82.0,1.0,1.0,-1.0
8,Homebrew/brew,0.8.1,2011-12-21,SUPPORT,107,11073,,,,,,,,,,,3.0,491.0,6.0,60.0,-1.0
9,Homebrew/brew,0.9,2012-03-16,SUPPORT,116,12934,,,,,,,,,,,6.0,330.0,15.0,269.0,-1.0
10,Homebrew/brew,0.9.1,2012-06-27,SUPPORT,137,15286,,,,,,,,,,,3.0,229.0,4.0,100.0,-1.0
11,Homebrew/brew,0.9.2,2012-07-04,SUPPORT,140,15803,,,,,,,,,,,1.0,34.0,1.0,41.0,-1.0
12,Homebrew/brew,0.9.3,2012-08-29,SUPPORT,168,17374,,,,,,,,,,,4.0,253.0,7.0,74.0,-1.0
13,Homebrew/brew,0.9.4,2013-01-29,SUPPORT,209,20224,,,,,,,,,,,7.0,465.0,13.0,148.0,-1.0
14,Homebrew/brew,0.9.5,2013-09-19,SUPPORT,270,25435,,,,,,,,,,,24.0,1153.0,66.0,1938.0,-1.0
15,Homebrew/brew,0.9.8,2016-04-02,SUPPORT,445,45633,2.0,4789.0,6.0,25.0,2.0,,,,,,101.0,4683.0,170.0,1554.0,-1.0
16,Homebrew/brew,0.9.9,2016-04-03,SUPPORT,445,45431,,,,,,,,,,,,,,,
17,Homebrew/brew,1.0.0,2016-09-21,SUPPORT,983,74157,10.0,1451.0,27.0,311.0,10.0,59.0,15413.0,,0.0,59.0,4.0,447.0,9.0,35.0,-1.0
18,Homebrew/brew,1.0.1,2016-09-21,SUPPORT,983,74162,,,,,,,,,,,,,,,
19,Homebrew/brew,1.0.2,2016-09-22,SUPPORT,977,74030,,,,,,,,,,,,,,,
