,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,BrowserSync/browser-sync,0.7.5,2014-04-12,BUG,112,47738,,,,,,,,,,,,,,,
1,BrowserSync/browser-sync,0.8.1,2014-04-18,BUG,113,48598,,,,,,,,,,,5.0,10.0,9.0,220.0,-1.0
2,BrowserSync/browser-sync,0.9.0,2014-05-05,BUG,117,48949,,,,,,,,,,,1.0,4.0,3.0,49.0,-1.0
3,BrowserSync/browser-sync,0.9.1,2014-05-05,BUG,117,48964,,,,,,,,,,,,,,,
4,BrowserSync/browser-sync,1.0.0,2014-06-20,BUG,124,49118,,,,,,,,,,,6.0,,27.0,717.0,-1.0
5,BrowserSync/browser-sync,1.1.1,2014-06-25,BUG,127,49455,,,,,,,,,,,1.0,,1.0,2.0,-1.0
6,BrowserSync/browser-sync,1.2.0,2014-07-09,BUG,132,49716,,,,,,,,,,,3.0,3.0,4.0,18.0,-1.0
7,BrowserSync/browser-sync,1.2.1,2014-07-09,BUG,133,49810,,,,,,,,,,,1.0,,8.0,122.0,-1.0
8,BrowserSync/browser-sync,1.3.2,2014-07-29,BUG,141,50215,,,,,,,,,,,15.0,11.0,15.0,125.0,-1.0
9,BrowserSync/browser-sync,1.3.3,2014-08-05,BUG,142,50361,,,,,,,,,,,1.0,,4.0,16.0,-1.0
10,BrowserSync/browser-sync,1.3.5,2014-08-10,BUG,146,50608,,,,,,,,,,,,,,,
11,BrowserSync/browser-sync,1.3.4,2014-08-10,BUG,146,50609,,,,,,,,,,,,,,,
12,BrowserSync/browser-sync,1.3.7,2014-09-10,BUG,150,50851,,,,,,,,,,,1.0,4.0,1.0,131.0,-1.0
13,BrowserSync/browser-sync,1.4.0,2014-09-11,BUG,146,50515,,,,,,,,,,,5.0,,6.0,386.0,-1.0
14,BrowserSync/browser-sync,1.5.0,2014-09-21,BUG,156,50252,,,,,,,,,,,8.0,,18.0,337.0,-1.0
15,BrowserSync/browser-sync,1.5.1,2014-09-22,BUG,157,50291,,,,,,,,,,,1.0,,4.0,45.0,-1.0
16,BrowserSync/browser-sync,1.5.2,2014-09-28,BUG,157,50351,,,,,,,,,,,1.0,4.0,1.0,4.0,-1.0
17,BrowserSync/browser-sync,1.5.3,2014-10-06,BUG,160,50425,,,,,,,,,,,3.0,,10.0,97.0,-1.0
18,BrowserSync/browser-sync,1.5.4,2014-10-06,BUG,160,50426,,,,,,,,,,,,,,,
19,BrowserSync/browser-sync,1.5.5,2014-10-07,BUG,160,50476,,,,,,,,,,,1.0,,9.0,316.0,-1.0
20,BrowserSync/browser-sync,1.5.6,2014-10-08,BUG,160,50481,,,,,,,,,,,3.0,,3.0,34.0,-1.0
21,BrowserSync/browser-sync,1.5.7,2014-10-08,BUG,160,50515,,,,,,,,,,,1.0,,4.0,42.0,-1.0
22,BrowserSync/browser-sync,1.5.8,2014-10-13,BUG,160,50590,,,,,,,,,,,,,,,
23,BrowserSync/browser-sync,1.5.9,2014-10-24,BUG,162,50689,,,,,,,,,,,,,,,
24,BrowserSync/browser-sync,1.6.0,2014-10-24,BUG,162,50734,,,,,,,,,,,1.0,,3.0,67.0,-1.0
25,BrowserSync/browser-sync,1.6.1,2014-10-28,BUG,162,50734,,,,,,,,,,,1.0,,1.0,4.0,-1.0
26,BrowserSync/browser-sync,1.6.2,2014-10-29,BUG,162,50810,,,,,,,,,,,2.0,,6.0,124.0,-1.0
27,BrowserSync/browser-sync,1.6.3,2014-11-02,BUG,168,51047,,,,,,,,,,,1.0,,8.0,108.0,-1.0
28,BrowserSync/browser-sync,1.6.4,2014-11-08,BUG,168,51055,,,,,,,,,,,1.0,1.0,2.0,6.0,-1.0
29,BrowserSync/browser-sync,1.6.5,2014-11-08,BUG,168,51056,,,,,,,,,,,,,,,
30,BrowserSync/browser-sync,1.7.0,2014-11-16,BUG,178,51624,,,,,,,,,,,1.0,2.0,7.0,94.0,-1.0
31,BrowserSync/browser-sync,1.7.1,2014-11-22,BUG,178,51784,,,,,,,,,,,2.0,3.0,1.0,6.0,-1.0
32,BrowserSync/browser-sync,1.7.2,2014-11-29,BUG,183,51944,,,,,,,,,,,1.0,4.0,1.0,9.0,-1.0
33,BrowserSync/browser-sync,v1.7.3,2014-12-14,BUG,183,51551,,,,,,,,,,,1.0,1.0,1.0,4.0,-1.0
34,BrowserSync/browser-sync,v1.8.0,2014-12-16,BUG,186,51656,,,,,,,,,,,,,,,
35,BrowserSync/browser-sync,v1.8.1,2014-12-19,BUG,186,51656,,,,,,,,,,,1.0,1.0,2.0,4.0,-1.0
36,BrowserSync/browser-sync,v1.8.2,2014-12-22,BUG,188,51739,,,,,,,,,,,2.0,3.0,3.0,9.0,-1.0
37,BrowserSync/browser-sync,v1.8.3,2015-01-03,BUG,187,51736,,,,,,,,,,,3.0,,4.0,11.0,-1.0
38,BrowserSync/browser-sync,v2,2015-01-03,BUG,191,52326,,,,,,,,,,,7.0,,48.0,383.0,-1.0
39,BrowserSync/browser-sync,v2-rc1,2015-01-07,BUG,191,52391,,,,,,,,,,,,,,,
40,BrowserSync/browser-sync,v2-rc1.1,2015-01-09,BUG,192,52449,,,,,,,,,,,,,,,
41,BrowserSync/browser-sync,v2-rc1.2,2015-01-09,BUG,192,52489,,,,,,,,,,,,,,,
42,BrowserSync/browser-sync,v1.9.0,2015-01-10,BUG,187,51743,,,,,,,,,,,2.0,,2.0,4.0,-1.0
43,BrowserSync/browser-sync,v2-rc1.3,2015-01-13,BUG,193,52673,,,,,,,,,,,7.0,,48.0,383.0,-1.0
44,BrowserSync/browser-sync,v2-rc1.4,2015-01-13,BUG,193,52679,,,,,,,,,,,,,,,
45,BrowserSync/browser-sync,v2-rc1.5,2015-01-13,BUG,193,52682,,,,,,,,,,,,,,,
46,BrowserSync/browser-sync,v2-rc1.7,2015-01-14,BUG,193,52659,,,,,,,,,,,,,,,
47,BrowserSync/browser-sync,v2-rc1.6,2015-01-14,BUG,194,53354,,,,,,,,,,,,,,,
48,BrowserSync/browser-sync,v2-rc1.8,2015-01-19,BUG,193,52661,,,,,,,,,,,,,,,
49,BrowserSync/browser-sync,v2-rc1.9,2015-01-19,BUG,193,52667,,,,,,,,,,,,,,,
50,BrowserSync/browser-sync,v2-rc1.10,2015-01-19,BUG,194,52771,,,,,,,,,,,,,,,
51,BrowserSync/browser-sync,v2-rc2.3,2015-01-20,BUG,194,52820,,,,,,,,,,,,,,,
52,BrowserSync/browser-sync,v2-rc2.1,2015-01-20,BUG,194,52820,,,,,,,,,,,1.0,,2.0,8.0,-1.0
53,BrowserSync/browser-sync,v2-rc2,2015-01-20,BUG,194,52820,,,,,,,,,,,,,,,
54,BrowserSync/browser-sync,1.9.1,2015-01-21,BUG,187,51743,,,,,,,,,,,,,,,
55,BrowserSync/browser-sync,v2-rc2.2,2015-01-22,BUG,194,52820,,,,,,,,,,,8.0,,50.0,391.0,-1.0
56,BrowserSync/browser-sync,v2-rc2.4,2015-01-22,BUG,194,52833,,,,,,,,,,,1.0,,7.0,39.0,-1.0
57,BrowserSync/browser-sync,v2-rc2.5,2015-01-22,BUG,194,52869,,,,,,,,,,,,,,,
58,BrowserSync/browser-sync,v2-rc2.6,2015-01-22,BUG,194,52911,,,,,,,,,,,,,,,
59,BrowserSync/browser-sync,v2-rc2.7,2015-01-22,BUG,194,52952,,,,,,,,,,,,,,,
60,BrowserSync/browser-sync,v2-rc2.9,2015-01-25,BUG,198,53035,,,,,,,,,,,,,,,
61,BrowserSync/browser-sync,v2-rc2.8,2015-01-25,BUG,198,53040,,,,,,,,,,,1.0,,9.0,121.0,-1.0
62,BrowserSync/browser-sync,v2-rc3,2015-01-27,BUG,200,53383,,,,,,,,,,,,,,,
63,BrowserSync/browser-sync,v2-rc3.1,2015-01-27,BUG,200,53479,,,,,,,,,,,,,,,
64,BrowserSync/browser-sync,v2-rc3.2,2015-01-27,BUG,200,53490,,,,,,,,,,,,,,,
65,BrowserSync/browser-sync,v2-rc3.4,2015-01-28,BUG,200,53497,,,,,,,,,,,,,,,
66,BrowserSync/browser-sync,v2-rc3.3,2015-01-28,BUG,200,53497,,,,,,,,,,,,,,,
