,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,cloudfoundry/cf-deployment,v0.0.1,2017-03-14,DOCS,25,3154,,,,,,,,,,,,,,,
1,cloudfoundry/cf-deployment,v0.0.2,2017-03-24,DOCS,27,3293,,,,,,,,,,,,,,,
2,cloudfoundry/cf-deployment,v0.1.0,2017-04-04,DOCS,28,3327,,,,,,,,,,,,,,,
3,cloudfoundry/cf-deployment,v0.2.0,2017-04-14,DOCS,41,4456,,,,,,,,,,,,,,,
4,cloudfoundry/cf-deployment,v0.2.1,2017-04-17,DOCS,41,4465,,,,,,,,,,,,,,,
5,cloudfoundry/cf-deployment,v0.2.2,2017-04-25,DOCS,46,4834,,,,,,,,,,,,,,,
6,cloudfoundry/cf-deployment,v0.3.0,2017-05-03,DOCS,55,4850,,,,,,,,,,,,,,,
7,cloudfoundry/cf-deployment,v0.4.0,2017-05-22,DOCS,46,4340,,,,,,,,,,,,,,,
8,cloudfoundry/cf-deployment,v0.5.0,2017-06-05,DOCS,51,4464,,,,,,,,,,,,,,,
9,cloudfoundry/cf-deployment,v0.7.0,2017-06-13,DOCS,52,4484,,,,,,,,,,,,,,,
10,cloudfoundry/cf-deployment,v0.8.0,2017-06-20,DOCS,55,4799,,,,,,,,,,,,,,,
11,cloudfoundry/cf-deployment,v0.9.0,2017-06-26,DOCS,61,4897,,,,,,,,,,,,,,,
12,cloudfoundry/cf-deployment,v0.9.1,2017-06-27,DOCS,61,4856,,,,,,,,,,,,,,,
13,cloudfoundry/cf-deployment,v0.10.0,2017-06-28,DOCS,61,4856,,,,,,,,,,,,,,,
14,cloudfoundry/cf-deployment,v0.11.0,2017-07-03,DOCS,63,5244,,,,,,,,,,,,,,,
15,cloudfoundry/cf-deployment,v0.12.0,2017-07-12,DOCS,63,5213,,,,,,,,,,,,,,,
16,cloudfoundry/cf-deployment,v0.13.0,2017-07-13,DOCS,63,5242,,,,,,,,,,,,,,,
17,cloudfoundry/cf-deployment,v0.14.0,2017-07-17,DOCS,63,5242,,,,,,,,,,,,,,,
18,cloudfoundry/cf-deployment,v0.15.0,2017-07-20,DOCS,62,5262,,,,,,,,,,,,,,,
19,cloudfoundry/cf-deployment,v0.16.0,2017-07-25,DOCS,62,5241,,,,,,,,,,,,,,,
20,cloudfoundry/cf-deployment,v0.17.0,2017-07-26,DOCS,62,5255,,,,,,,,,,,,,,,
21,cloudfoundry/cf-deployment,v0.18.0,2017-08-01,DOCS,65,5403,,,,,,,,,,,,,,,
22,cloudfoundry/cf-deployment,v0.19.0,2017-08-04,DOCS,71,5529,,,,,,,,,,,,,,,
23,cloudfoundry/cf-deployment,v0.20.0,2017-08-07,DOCS,72,5546,,,,,,,,,,,,,,,
