,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,openstack/cinder,folsom-3,2012-08-17,DOCS,356,242899,,,,,,,,,,,1.0,113.0,1.0,36.0,-1.0
1,openstack/cinder,folsom-rc1,2012-09-18,DOCS,361,247758,,,,,,3.0,315.0,,0.0,1.0,,,,,
2,openstack/cinder,folsom-rc2,2012-09-25,DOCS,362,247887,,,,,,,,,,,,,,,
3,openstack/cinder,folsom-rc3,2012-09-26,DOCS,362,247886,,,,,,,,,,,,,,,
4,openstack/cinder,2012.2,2012-09-27,DOCS,362,247886,,,,,,,,,,,,,,,
5,openstack/cinder,grizzly-1,2012-11-23,DOCS,426,254284,,,,,,,,,,,,,,,
6,openstack/cinder,2012.2.1,2012-11-29,DOCS,362,247975,,,,,,,,,,,,,,,
7,openstack/cinder,grizzly-2,2013-01-10,DOCS,469,261632,,,,,,,,,,,,,,,
8,openstack/cinder,2012.2.3,2013-01-31,DOCS,362,247983,,,,,,,,,,,,,,,
9,openstack/cinder,2013.1.g3,2013-02-21,DOCS,517,279026,,,,,,,,,,,,,,,
10,openstack/cinder,2013.1.rc1,2013-03-15,DOCS,486,248484,,,,,,,,,,,,,,,
11,openstack/cinder,2013.1.rc2,2013-03-25,DOCS,487,248686,,,,,,,,,,,,,,,
12,openstack/cinder,2013.1.rc3,2013-03-27,DOCS,487,248848,,,,,,,,,,,,,,,
13,openstack/cinder,2013.1,2013-04-04,DOCS,487,248848,,,,,,,,,,,,,,,
14,openstack/cinder,2012.2.4,2013-04-11,DOCS,362,248127,,,,,,,,,,,,,,,
15,openstack/cinder,2013.1.1,2013-05-10,DOCS,486,248975,,,,,,,,,,,,,,,
16,openstack/cinder,2013.2.b1,2013-05-30,DOCS,516,234349,,,,,,,,,,,,,,,
17,openstack/cinder,2013.1.2,2013-06-06,DOCS,491,249244,,,,,,,,,,,,,,,
18,openstack/cinder,2013.2.b2,2013-07-18,DOCS,570,353195,,,,,,,,,,,,,,,
19,openstack/cinder,2013.1.3,2013-08-08,DOCS,491,249362,,,,,,,,,,,,,,,
20,openstack/cinder,2013.2.b3,2013-09-06,DOCS,636,464801,,,,,,,,,,,,,,,
21,openstack/cinder,2013.2.rc1,2013-10-04,DOCS,649,622753,,,,,,,,,,,,,,,
22,openstack/cinder,2013.2.rc2,2013-10-11,DOCS,649,622952,,,,,,,,,,,,,,,
23,openstack/cinder,2013.2.rc3,2013-10-16,DOCS,649,622961,,,,,,,,,,,,,,,
24,openstack/cinder,2013.1.4,2013-10-17,DOCS,491,249650,,,,,,,,,,,,,,,
25,openstack/cinder,2013.2,2013-10-17,DOCS,649,622961,,,,,,,,,,,,,,,
26,openstack/cinder,folsom-eol,2013-11-19,DOCS,362,248127,,,,,,,,,,,,,,,
27,openstack/cinder,2014.1.b1,2013-12-05,DOCS,665,738812,,,,,,,,,,,,,,,
28,openstack/cinder,2013.2.1,2013-12-14,DOCS,649,623683,,,,,,,,,,,,,,,
29,openstack/cinder,2014.1.b2,2014-01-23,DOCS,655,766074,,,,,,9.0,1321.0,4.0,162.0,3.0,,,,,
30,openstack/cinder,2013.2.2,2014-02-13,DOCS,649,624353,,,,,,,,,,,,,,,
31,openstack/cinder,2014.1.b3,2014-03-06,DOCS,718,837707,,,,,,9.0,2166.0,4.0,162.0,3.0,,,,,
32,openstack/cinder,2013.1.5,2014-03-20,DOCS,491,249711,,,,,,,,,,,,,,,
33,openstack/cinder,2014.1.rc1,2014-03-27,DOCS,715,1037440,,,,,,9.0,5684.0,4.0,162.0,3.0,,,,,
34,openstack/cinder,grizzly-eol,2014-03-29,DOCS,491,249711,,,,,,,,,,,,,,,
35,openstack/cinder,2013.2.3,2014-04-03,DOCS,650,624843,,,,,,,,,,,,,,,
36,openstack/cinder,2014.1.rc2,2014-04-07,DOCS,715,956242,,,,,,9.0,2533.0,4.0,162.0,3.0,,,,,
37,openstack/cinder,2014.1.rc3,2014-04-15,DOCS,715,956268,,,,,,,,,,,,,,,
38,openstack/cinder,2014.1,2014-04-17,DOCS,715,956268,,,,,,,,,,,,,,,
39,openstack/cinder,2014.1.1,2014-06-05,DOCS,715,956389,,,,,,,,,,,,,,,
40,openstack/cinder,2014.2.b1,2014-06-11,DOCS,654,190952,,,,,,,,,,,,,,,
41,openstack/cinder,2014.2.b2,2014-07-24,DOCS,686,192615,,,,,,6.0,545.0,6.0,24.0,2.0,,,,,
42,openstack/cinder,2014.1.2,2014-08-07,DOCS,715,956714,,,,,,,,,,,,,,,
43,openstack/cinder,2014.2.b3,2014-09-04,DOCS,781,237617,,,,,,6.0,1596.0,6.0,24.0,2.0,,,,,
44,openstack/cinder,2013.2.4,2014-09-20,DOCS,652,625478,,,,,,,,,,,,,,,
45,openstack/cinder,havana-eol,2014-09-30,DOCS,652,625478,,,,,,,,,,,,,,,
46,openstack/cinder,2014.2.rc1,2014-10-01,DOCS,785,250650,,,,,,20.0,4453.0,12.0,194.0,5.0,,,,,
47,openstack/cinder,2014.1.3,2014-10-02,DOCS,716,956963,,,,,,,,,,,,,,,
48,openstack/cinder,2014.2.rc2,2014-10-09,DOCS,777,238494,,,,,,11.0,2014.0,8.0,32.0,3.0,,,,,
49,openstack/cinder,2014.2.rc3,2014-10-15,DOCS,777,238344,,,,,,,,,,,,,,,
50,openstack/cinder,2014.2,2014-10-16,DOCS,777,238344,,,,,,,,,,,,,,,
51,openstack/cinder,2014.2.1,2014-12-04,DOCS,777,238913,,,,,,,,,,,,,,,
52,openstack/cinder,2015.1.0b1,2014-12-18,DOCS,824,267136,,,,,,11.0,983.0,11.0,72.0,3.0,,,,,
