,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,openstack/cinder,folsom-3,2012-08-17,,,,,,,,,,,,,
1,openstack/cinder,folsom-rc1,2012-09-18,,,,,,,,,,,,,
2,openstack/cinder,folsom-rc2,2012-09-25,,,,,,,,,,,,,
3,openstack/cinder,folsom-rc3,2012-09-26,,,,,,,,,,,,,
4,openstack/cinder,2012.2,2012-09-27,,,,,,,,,,,,,
5,openstack/cinder,grizzly-1,2012-11-23,,,,,,,,,,,,,
6,openstack/cinder,2012.2.1,2012-11-29,,,,,,,,,,,,,
7,openstack/cinder,grizzly-2,2013-01-10,,,,,,,,,,,,,
8,openstack/cinder,2012.2.3,2013-01-31,,,,,,,,,,,,,
9,openstack/cinder,2013.1.g3,2013-02-21,,,,,,,,,,,,,
10,openstack/cinder,2013.1.rc1,2013-03-15,,,,,,,,,,,,,
11,openstack/cinder,2013.1.rc2,2013-03-25,,,,,,,,,,,,,
12,openstack/cinder,2013.1.rc3,2013-03-27,,,,,,,,,,,,,
13,openstack/cinder,2013.1,2013-04-04,,,,,,,,,,,,,
14,openstack/cinder,2012.2.4,2013-04-11,,,,,,,,,,,,,
15,openstack/cinder,2013.1.1,2013-05-10,,,,,,,,,,,,,
16,openstack/cinder,2013.2.b1,2013-05-30,,,,,,,,,,,,,
17,openstack/cinder,2013.1.2,2013-06-06,,,,,,,,,,,,,
18,openstack/cinder,2013.2.b2,2013-07-18,,,,,,,,,,,,,
19,openstack/cinder,2013.1.3,2013-08-08,,,,,,,,,,,,,
20,openstack/cinder,2013.2.b3,2013-09-06,RELEASE,636.0,464801.0,2.0,1151.0,3.0,99.0,0.0,3.0,2529.0,,0.0,1.0
21,openstack/cinder,2013.2.rc1,2013-10-04,,,,,,,,,,,,,
22,openstack/cinder,2013.2.rc2,2013-10-11,,,,,,,,,,,,,
23,openstack/cinder,2013.2.rc3,2013-10-16,,,,,,,,,,,,,
24,openstack/cinder,2013.1.4,2013-10-17,,,,,,,,,,,,,
25,openstack/cinder,2013.2,2013-10-17,,,,,,,,,,,,,
26,openstack/cinder,folsom-eol,2013-11-19,,,,,,,,,,,,,
27,openstack/cinder,2014.1.b1,2013-12-05,RELEASE,665.0,738812.0,2.0,2285.0,3.0,99.0,0.0,3.0,4800.0,,0.0,1.0
28,openstack/cinder,2013.2.1,2013-12-14,,,,,,,,,,,,,
29,openstack/cinder,2014.1.b2,2014-01-23,,,,,,,,,,,,,
30,openstack/cinder,2013.2.2,2014-02-13,,,,,,,,,,,,,
31,openstack/cinder,2014.1.b3,2014-03-06,,,,,,,,,,,,,
32,openstack/cinder,2013.1.5,2014-03-20,,,,,,,,,,,,,
33,openstack/cinder,2014.1.rc1,2014-03-27,RELEASE,715.0,1037440.0,2.0,2476.0,3.0,99.0,0.0,3.0,5689.0,,0.0,1.0
34,openstack/cinder,grizzly-eol,2014-03-29,,,,,,,,,,,,,
35,openstack/cinder,2013.2.3,2014-04-03,RELEASE,650.0,624843.0,2.0,1545.0,3.0,99.0,0.0,3.0,3503.0,,0.0,1.0
36,openstack/cinder,2014.1.rc2,2014-04-07,,,,,,,,,,,,,
37,openstack/cinder,2014.1.rc3,2014-04-15,,,,,,,,,,,,,
38,openstack/cinder,2014.1,2014-04-17,,,,,,,,,,,,,
39,openstack/cinder,2014.1.1,2014-06-05,RELEASE,715.0,956389.0,1.0,26.0,1.0,20.0,0.0,3.0,54.0,3.0,60.0,1.0
40,openstack/cinder,2014.2.b1,2014-06-11,RELEASE,654.0,190952.0,1.0,198.0,1.0,20.0,0.0,3.0,451.0,3.0,60.0,1.0
41,openstack/cinder,2014.2.b2,2014-07-24,,,,,,,,,,,,,
42,openstack/cinder,2014.1.2,2014-08-07,RELEASE,715.0,956714.0,1.0,85.0,1.0,20.0,0.0,3.0,198.0,3.0,60.0,1.0
43,openstack/cinder,2014.2.b3,2014-09-04,RELEASE,781.0,237617.0,1.0,692.0,1.0,20.0,0.0,3.0,1599.0,3.0,60.0,1.0
44,openstack/cinder,2013.2.4,2014-09-20,,,,,,,,,,,,,
45,openstack/cinder,havana-eol,2014-09-30,,,,,,,,,,,,,
46,openstack/cinder,2014.2.rc1,2014-10-01,RELEASE,785.0,250650.0,1.0,1905.0,1.0,20.0,0.0,3.0,4470.0,3.0,60.0,1.0
47,openstack/cinder,2014.1.3,2014-10-02,RELEASE,716.0,956963.0,1.0,118.0,1.0,20.0,0.0,3.0,263.0,3.0,60.0,1.0
48,openstack/cinder,2014.2.rc2,2014-10-09,RELEASE,777.0,238494.0,1.0,878.0,1.0,20.0,0.0,3.0,2022.0,3.0,60.0,1.0
49,openstack/cinder,2014.2.rc3,2014-10-15,,,,,,,,,,,,,
50,openstack/cinder,2014.2,2014-10-16,,,,,,,,,,,,,
51,openstack/cinder,2014.2.1,2014-12-04,RELEASE,777.0,238913.0,2.0,27.0,2.0,13.0,0.0,6.0,58.0,6.0,39.0,2.0
52,openstack/cinder,2015.1.0b1,2014-12-18,RELEASE,824.0,267136.0,1.0,453.0,2.0,13.0,0.0,3.0,991.0,6.0,39.0,1.0
53,openstack/cinder,2014.2.2,2015-02-05,RELEASE,780.0,239815.0,2.0,91.0,2.0,13.0,0.0,6.0,187.0,6.0,39.0,2.0
54,openstack/cinder,2015.1.0b2,2015-02-05,,,,,,,,,,,,,
