,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,openstack/cinder,folsom-3,2012-08-17,UPGRADE,356,242899,,,,,,,,,,,,,,,
1,openstack/cinder,folsom-rc1,2012-09-18,UPGRADE,361,247758,,,,,,,,,,,,,,,
2,openstack/cinder,folsom-rc2,2012-09-25,UPGRADE,362,247887,,,,,,,,,,,,,,,
3,openstack/cinder,folsom-rc3,2012-09-26,UPGRADE,362,247886,,,,,,,,,,,,,,,
4,openstack/cinder,2012.2,2012-09-27,UPGRADE,362,247886,,,,,,,,,,,,,,,
5,openstack/cinder,grizzly-1,2012-11-23,UPGRADE,426,254284,,,,,,,,,,,,,,,
6,openstack/cinder,2012.2.1,2012-11-29,UPGRADE,362,247975,,,,,,,,,,,,,,,
7,openstack/cinder,grizzly-2,2013-01-10,UPGRADE,469,261632,,,,,,,,,,,,,,,
8,openstack/cinder,2012.2.3,2013-01-31,UPGRADE,362,247983,,,,,,,,,,,,,,,
9,openstack/cinder,2013.1.g3,2013-02-21,UPGRADE,517,279026,,,,,,11.0,617.0,6.0,880.0,11.0,3.0,303.0,2.0,8.0,-1.0
10,openstack/cinder,2013.1.rc1,2013-03-15,UPGRADE,486,248484,1.0,92.0,1.0,30.0,1.0,3.0,196.0,3.0,90.0,3.0,,,,,
11,openstack/cinder,2013.1.rc2,2013-03-25,UPGRADE,487,248686,,,,,,,,,,,,,,,
12,openstack/cinder,2013.1.rc3,2013-03-27,UPGRADE,487,248848,,,,,,,,,,,,,,,
13,openstack/cinder,2013.1,2013-04-04,UPGRADE,487,248848,,,,,,,,,,,,,,,
14,openstack/cinder,2012.2.4,2013-04-11,UPGRADE,362,248127,,,,,,,,,,,,,,,
15,openstack/cinder,2013.1.1,2013-05-10,UPGRADE,486,248975,1.0,591.0,1.0,30.0,1.0,14.0,967.0,9.0,970.0,14.0,3.0,354.0,2.0,8.0,-1.0
16,openstack/cinder,2013.2.b1,2013-05-30,UPGRADE,516,234349,,,,,,4.0,495.0,7.0,19.0,4.0,,,,,
17,openstack/cinder,2013.1.2,2013-06-06,UPGRADE,491,249244,,,,,,,,,,,,,,,
18,openstack/cinder,2013.2.b2,2013-07-18,UPGRADE,570,353195,1.0,659.0,2.0,44.0,1.0,13.0,1371.0,13.0,151.0,13.0,,,,,
19,openstack/cinder,2013.1.3,2013-08-08,UPGRADE,491,249362,,,,,,,,,,,,,,,
20,openstack/cinder,2013.2.b3,2013-09-06,UPGRADE,636,464801,1.0,1147.0,2.0,44.0,1.0,13.0,2519.0,13.0,151.0,13.0,,,,,
