,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,cloudfoundry/cli,v6.0.0-beta,2013-11-05,OTHER,761.0,95879.0,272.0,147.0,1833.0,39227.0,272.0,129.0,153.0,704.0,12392.0,129.0,24.0,5.0,485.0,65757.0,-1.0
1,cloudfoundry/cli,v6.0.0-beta2,2013-12-19,OTHER,858.0,109801.0,17.0,23.0,80.0,2036.0,17.0,24.0,23.0,87.0,2696.0,24.0,62.0,16.0,380.0,32828.0,-1.0
2,cloudfoundry/cli,v6.0.0,2014-01-31,OTHER,855.0,104433.0,,,,,,,,,,,187.0,80.0,591.0,22179.0,-1.0
3,cloudfoundry/cli,v6.0.1,2014-02-24,OTHER,916.0,105281.0,,,,,,,,,,,86.0,62.0,905.0,18457.0,-1.0
4,cloudfoundry/cli,v9001,2014-03-05,,,,,,,,,,,,,,,,,,
5,cloudfoundry/cli,v9000,2014-03-05,OTHER,928.0,106394.0,,,,,,,,,,,2.0,,2.0,4.0,-1.0
6,cloudfoundry/cli,v6.0.1234,2014-03-05,OTHER,928.0,106394.0,,,,,,,,,,,56.0,22.0,566.0,10178.0,-1.0
7,cloudfoundry/cli,v6.0.2,2014-04-10,OTHER,939.0,105783.0,,,,,,,,,,,6.0,2.0,31.0,556.0,-1.0
8,cloudfoundry/cli,v6.1.0,2014-04-10,OTHER,943.0,279850.0,,,,,,,,,,,199.0,88.0,1403.0,190122.0,-1.0
9,cloudfoundry/cli,v6.1.1,2014-04-23,OTHER,978.0,284466.0,,,,,,,,,,,305.0,127.0,2243.0,206180.0,-1.0
10,cloudfoundry/cli,v6.1.2,2014-05-07,OTHER,958.0,241906.0,,,,,,,,,,,55.0,25.0,3015.0,705035.0,-1.0
11,cloudfoundry/cli,v6.2.0,2014-06-19,OTHER,1364.0,279579.0,,,,,,,,,,,159.0,92.0,1052.0,44715.0,-1.0
12,cloudfoundry/cli,v6.3.0,2014-07-14,OTHER,1464.0,289303.0,,,,,,,,,,,118.0,33.0,911.0,20746.0,-1.0
13,cloudfoundry/cli,v6.3.1,2014-07-22,OTHER,1404.0,282954.0,,,,,,,,,,,40.0,10.0,172.0,5967.0,-1.0
14,cloudfoundry/cli,v6.3.2,2014-07-23,OTHER,1107.0,281067.0,,,,,,,,,,,23.0,4.0,660.0,136591.0,-1.0
15,cloudfoundry/cli,v6.4.0,2014-08-13,OTHER,1156.0,295796.0,,,,,,,,,,,71.0,26.0,405.0,241608.0,-1.0
16,cloudfoundry/cli,v6.5.0,2014-08-25,OTHER,1178.0,300810.0,,,,,,,,,,,46.0,8.0,311.0,450114.0,-1.0
17,cloudfoundry/cli,v6.5.1,2014-08-27,OTHER,1181.0,302070.0,,,,,,,,,,,6.0,1.0,33.0,1649.0,-1.0
18,cloudfoundry/cli,v6.6.0,2014-09-05,OTHER,1211.0,306392.0,,,,,,,,,,,25.0,15.0,222.0,3179.0,-1.0
19,cloudfoundry/cli,v6.6.1,2014-09-23,OTHER,1234.0,308641.0,,,,,,,,,,,24.0,10.0,135.0,2437.0,-1.0
20,cloudfoundry/cli,v6.6.2,2014-10-17,OTHER,1260.0,313268.0,,,,,,,,,,,40.0,42.0,509.0,61976.0,-1.0
21,cloudfoundry/cli,v6.7.0,2014-11-11,OTHER,1300.0,319576.0,,,,,,,,,,,78.0,27.0,597.0,10510.0,-1.0
22,cloudfoundry/cli,v6.8.0,2014-12-10,OTHER,1320.0,325285.0,,,,,,,,,,,90.0,29.0,572.0,9241.0,-1.0
23,cloudfoundry/cli,v6.9.0,2015-01-20,OTHER,1331.0,328074.0,,,,,,,,,,,68.0,21.0,250.0,5563.0,-1.0
24,cloudfoundry/cli,v6.10.0,2015-02-11,OTHER,1353.0,333181.0,,,,,,,,,,,51.0,11.0,316.0,7730.0,-1.0
25,cloudfoundry/cli,v6.11.0,2015-04-13,OTHER,1443.0,357836.0,,,,,,,,,,,82.0,19.0,474.0,36559.0,-1.0
26,cloudfoundry/cli,v6.11.1,2015-04-20,OTHER,1448.0,359123.0,,,,,,,,,,,12.0,2.0,39.0,1428.0,-1.0
27,cloudfoundry/cli,v6.11.2,2015-04-27,OTHER,1453.0,360850.0,,,,,,,,,,,12.0,3.0,64.0,1918.0,-1.0
28,cloudfoundry/cli,v6.11.3,2015-05-20,OTHER,1472.0,364061.0,,,,,,,,,,,30.0,5.0,127.0,4857.0,-1.0
29,cloudfoundry/cli,v6.12.0,2015-06-29,OTHER,1516.0,372224.0,,,,,,,,,,,154.0,29.0,943.0,23458.0,-1.0
30,cloudfoundry/cli,v6.12.1,2015-07-06,OTHER,1516.0,372663.0,,,,,,,,,,,8.0,,21.0,953.0,-1.0
31,cloudfoundry/cli,v6.12.2,2015-07-15,OTHER,1516.0,374282.0,,,,,,,,,,,27.0,5.0,195.0,2371.0,-1.0
32,cloudfoundry/cli,v6.12.3,2015-08-31,OTHER,1440.0,370818.0,,,,,,,,,,,90.0,18.0,801.0,28623.0,-1.0
33,cloudfoundry/cli,v6.12.4,2015-09-18,OTHER,1422.0,361101.0,,,,,,,,,,,15.0,4.0,236.0,29945.0,-1.0
34,cloudfoundry/cli,v6.13.0,2015-10-15,OTHER,1703.0,410237.0,,,,,,,,,,,104.0,39.0,1049.0,93733.0,-1.0
35,cloudfoundry/cli,v6.14.0,2015-11-18,OTHER,1728.0,417706.0,,,,,,,,,,,82.0,28.0,337.0,10811.0,-1.0
36,cloudfoundry/cli,v6.14.1,2015-12-22,OTHER,1468.0,377435.0,,,,,,,,,,,113.0,46.0,1266.0,77838.0,-1.0
37,cloudfoundry/cli,v6.15.0,2016-01-13,OTHER,1662.0,478259.0,,,,,,,,,,,53.0,21.0,699.0,124523.0,-1.0
38,cloudfoundry/cli,v6.16.0,2016-02-24,OTHER,1718.0,481991.0,,,,,,,,,,,134.0,43.0,1219.0,307609.0,-1.0
39,cloudfoundry/cli,v6.16.1,2016-02-26,OTHER,1718.0,482098.0,,,,,,,,,,,2.0,,25.0,139.0,-1.0
40,cloudfoundry/cli,v6.17.0,2016-04-15,OTHER,1762.0,495151.0,,,,,,,,,,,248.0,68.0,4019.0,51780.0,-1.0
41,cloudfoundry/cli,v6.17.1,2016-05-02,OTHER,1789.0,506472.0,,,,,,,,,,,59.0,15.0,2086.0,72329.0,-1.0
42,cloudfoundry/cli,v6.18.0,2016-05-10,OTHER,1848.0,511940.0,,,,,,,,,,,48.0,19.0,323.0,7671.0,-1.0
43,cloudfoundry/cli,v6.18.1,2016-05-24,OTHER,1851.0,505322.0,,,,,,,,,,,68.0,20.0,216.0,96480.0,-1.0
44,cloudfoundry/cli,v6.19.0,2016-06-08,OTHER,1856.0,478575.0,,,,,,,,,,,83.0,24.0,981.0,43507.0,-1.0
45,cloudfoundry/cli,v6.20.0,2016-06-29,OTHER,1844.0,480626.0,,,,,,,,,,,51.0,25.0,556.0,7642.0,-1.0
46,cloudfoundry/cli,v6.21.0,2016-07-27,OTHER,1937.0,511345.0,,,,,,,,,,,102.0,18.0,1082.0,56316.0,-1.0
47,cloudfoundry/cli,v6.21.1,2016-08-10,OTHER,1941.0,511802.0,,,,,,,,,,,21.0,7.0,99.0,1235.0,-1.0
48,cloudfoundry/cli,v6.22.0,2016-09-22,OTHER,2220.0,561287.0,,,,,,,,,,,167.0,71.0,2841.0,77757.0,-1.0
49,cloudfoundry/cli,v6.22.1,2016-09-23,OTHER,2222.0,561478.0,,,,,,,,,,,7.0,5.0,15.0,325.0,-1.0
50,cloudfoundry/cli,v6.22.2,2016-10-26,OTHER,2356.0,575926.0,,,,,,,,,,,126.0,44.0,907.0,16981.0,-1.0
51,cloudfoundry/cli,v6.23.0,2016-12-21,OTHER,2549.0,614595.0,,,,,,,,,,,189.0,84.0,2378.0,54253.0,-1.0
52,cloudfoundry/cli,v6.23.1,2017-01-12,OTHER,2574.0,619857.0,40.0,21.0,413.0,8050.0,40.0,355.0,18.0,296.0,6102.0,355.0,5.0,,76.0,1480.0,-1.0
53,cloudfoundry/cli,v6.24.0,2017-02-10,OTHER,2535.0,618071.0,28.0,37.0,312.0,12528.0,28.0,118.0,33.0,118.0,177.0,118.0,42.0,20.0,483.0,26227.0,-1.0
54,cloudfoundry/cli,v6.25.0,2017-02-27,OTHER,2571.0,624924.0,49.0,31.0,177.0,2916.0,49.0,4.0,25.0,8.0,178.0,4.0,15.0,2.0,139.0,1528.0,-1.0
55,cloudfoundry/cli,v6.26.0,2017-04-06,OTHER,2682.0,650157.0,87.0,75.0,911.0,27824.0,87.0,424.0,180.0,343.0,4120.0,424.0,63.0,26.0,581.0,11578.0,-1.0
56,cloudfoundry/cli,v6.27.0,2017-06-08,OTHER,2919.0,686936.0,20.0,131.0,48.0,1198.0,20.0,,,,,,182.0,114.0,1742.0,85909.0,-1.0
57,cloudfoundry/cli,v6.28.0,2017-06-27,OTHER,3271.0,1048891.0,,,,,,,,,,,73.0,18.0,1068.0,446228.0,-1.0
58,cloudfoundry/cli,v6.29.0,2017-07-24,OTHER,3417.0,1064213.0,,,,,,,,,,,113.0,46.0,1122.0,23853.0,-1.0
59,cloudfoundry/cli,v6.29.1,2017-08-16,OTHER,3526.0,1081366.0,16.0,37.0,100.0,3999.0,16.0,3.0,36.0,56.0,3364.0,3.0,63.0,29.0,486.0,13961.0,-1.0
60,cloudfoundry/cli,v6.29.2,2017-08-25,OTHER,3559.0,1086619.0,29.0,12.0,262.0,3846.0,29.0,10.0,14.0,73.0,1009.0,10.0,15.0,3.0,145.0,5042.0,-1.0
61,cloudfoundry/cli,v6.30.0,2017-08-31,OTHER,3588.0,1093746.0,21.0,14.0,202.0,4414.0,21.0,69.0,12.0,114.0,3091.0,69.0,6.0,2.0,54.0,2958.0,-1.0
