,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,cloudfoundry/cli,v6.0.0-beta,2013-11-05,REFACTOR,761.0,95879.0,20.0,559.0,214.0,5541.0,2.0,4.0,559.0,10.0,309.0,1.0
1,cloudfoundry/cli,v6.0.0-beta2,2013-12-19,REFACTOR,858.0,109801.0,1.0,122.0,232.0,7483.0,1.0,,,,,
2,cloudfoundry/cli,v6.0.0,2014-01-31,,,,,,,,,,,,,
3,cloudfoundry/cli,v6.0.1,2014-02-24,,,,,,,,,,,,,
4,cloudfoundry/cli,v9001,2014-03-05,,,,,,,,,,,,,
5,cloudfoundry/cli,v9000,2014-03-05,,,,,,,,,,,,,
6,cloudfoundry/cli,v6.0.1234,2014-03-05,,,,,,,,,,,,,
7,cloudfoundry/cli,v6.0.2,2014-04-10,,,,,,,,,,,,,
8,cloudfoundry/cli,v6.1.0,2014-04-10,,,,,,,,,,,,,
9,cloudfoundry/cli,v6.1.1,2014-04-23,,,,,,,,,,,,,
10,cloudfoundry/cli,v6.1.2,2014-05-07,,,,,,,,,,,,,
11,cloudfoundry/cli,v6.2.0,2014-06-19,,,,,,,,,,,,,
12,cloudfoundry/cli,v6.3.0,2014-07-14,,,,,,,,,,,,,
13,cloudfoundry/cli,v6.3.1,2014-07-22,,,,,,,,,,,,,
14,cloudfoundry/cli,v6.3.2,2014-07-23,,,,,,,,,,,,,
15,cloudfoundry/cli,v6.4.0,2014-08-13,,,,,,,,,,,,,
16,cloudfoundry/cli,v6.5.0,2014-08-25,,,,,,,,,,,,,
17,cloudfoundry/cli,v6.5.1,2014-08-27,,,,,,,,,,,,,
18,cloudfoundry/cli,v6.6.0,2014-09-05,,,,,,,,,,,,,
19,cloudfoundry/cli,v6.6.1,2014-09-23,,,,,,,,,,,,,
20,cloudfoundry/cli,v6.6.2,2014-10-17,,,,,,,,,,,,,
21,cloudfoundry/cli,v6.7.0,2014-11-11,,,,,,,,,,,,,
22,cloudfoundry/cli,v6.8.0,2014-12-10,,,,,,,,,,,,,
23,cloudfoundry/cli,v6.9.0,2015-01-20,,,,,,,,,,,,,
24,cloudfoundry/cli,v6.10.0,2015-02-11,,,,,,,,,,,,,
25,cloudfoundry/cli,v6.11.0,2015-04-13,,,,,,,,,,,,,
26,cloudfoundry/cli,v6.11.1,2015-04-20,,,,,,,,,,,,,
27,cloudfoundry/cli,v6.11.2,2015-04-27,,,,,,,,,,,,,
28,cloudfoundry/cli,v6.11.3,2015-05-20,,,,,,,,,,,,,
29,cloudfoundry/cli,v6.12.0,2015-06-29,,,,,,,,,,,,,
30,cloudfoundry/cli,v6.12.1,2015-07-06,,,,,,,,,,,,,
31,cloudfoundry/cli,v6.12.2,2015-07-15,,,,,,,,,,,,,
32,cloudfoundry/cli,v6.12.3,2015-08-31,,,,,,,,,,,,,
33,cloudfoundry/cli,v6.12.4,2015-09-18,,,,,,,,,,,,,
34,cloudfoundry/cli,v6.13.0,2015-10-15,,,,,,,,,,,,,
35,cloudfoundry/cli,v6.14.0,2015-11-18,,,,,,,,,,,,,
36,cloudfoundry/cli,v6.14.1,2015-12-22,,,,,,,,,,,,,
37,cloudfoundry/cli,v6.15.0,2016-01-13,,,,,,,,,,,,,
38,cloudfoundry/cli,v6.16.0,2016-02-24,,,,,,,,,,,,,
39,cloudfoundry/cli,v6.16.1,2016-02-26,,,,,,,,,,,,,
40,cloudfoundry/cli,v6.17.0,2016-04-15,,,,,,,,,,,,,
41,cloudfoundry/cli,v6.17.1,2016-05-02,,,,,,,,,,,,,
42,cloudfoundry/cli,v6.18.0,2016-05-10,,,,,,,,,,,,,
43,cloudfoundry/cli,v6.18.1,2016-05-24,,,,,,,,,,,,,
44,cloudfoundry/cli,v6.19.0,2016-06-08,,,,,,,,,,,,,
45,cloudfoundry/cli,v6.20.0,2016-06-29,,,,,,,,,,,,,
46,cloudfoundry/cli,v6.21.0,2016-07-27,,,,,,,,,,,,,
47,cloudfoundry/cli,v6.21.1,2016-08-10,,,,,,,,,,,,,
48,cloudfoundry/cli,v6.22.0,2016-09-22,,,,,,,,,,,,,
49,cloudfoundry/cli,v6.22.1,2016-09-23,,,,,,,,,,,,,
50,cloudfoundry/cli,v6.22.2,2016-10-26,,,,,,,,,,,,,
51,cloudfoundry/cli,v6.23.0,2016-12-21,,,,,,,,,,,,,
52,cloudfoundry/cli,v6.23.1,2017-01-12,REFACTOR,2574.0,619857.0,1.0,73.0,35.0,1742.0,1.0,,,,,
53,cloudfoundry/cli,v6.24.0,2017-02-10,REFACTOR,2535.0,618071.0,1.0,104.0,2.0,311.0,1.0,,,,,
54,cloudfoundry/cli,v6.25.0,2017-02-27,REFACTOR,2571.0,624924.0,3.0,96.0,31.0,1711.0,1.0,1.0,76.0,17.0,1653.0,1.0
55,cloudfoundry/cli,v6.26.0,2017-04-06,REFACTOR,2682.0,650157.0,2.0,241.0,10.0,108.0,0.0,23.0,382.0,31.0,1032.0,2.0
56,cloudfoundry/cli,v6.27.0,2017-06-08,,,,,,,,,,,,,
57,cloudfoundry/cli,v6.28.0,2017-06-27,,,,,,,,,,,,,
58,cloudfoundry/cli,v6.29.0,2017-07-24,,,,,,,,,,,,,
59,cloudfoundry/cli,v6.29.1,2017-08-16,,,,,,,,,,,,,
60,cloudfoundry/cli,v6.29.2,2017-08-25,,,,,,,,,,,,,
61,cloudfoundry/cli,v6.30.0,2017-08-31,REFACTOR,3588.0,1093746.0,2.0,52.0,30.0,1626.0,0.0,2.0,66.0,30.0,1626.0,2.0
62,cloudfoundry/cli,v6.31.0,2017-09-15,REFACTOR,3694.0,1121114.0,1.0,125.0,119.0,3410.0,1.0,,,,,
63,cloudfoundry/cli,v6.32.0,2017-09-26,,,,,,,,,,,,,
64,cloudfoundry/cli,st,2017-10-31,REFACTOR,3847.0,1048126.0,6.0,150.0,66.0,8128.0,2.0,,,,,
65,cloudfoundry/cli,v6.33.0,2017-11-20,REFACTOR,3874.0,1053685.0,3.0,99.0,122.0,869.0,1.0,,,,,
