,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,cloudfoundry/cli,v6.0.0-beta,2013-11-05,SUPPORT,761,95879,8.0,569.0,39.0,1110.0,8.0,4.0,610.0,17.0,452.0,4.0,,,,,
1,cloudfoundry/cli,v6.0.0-beta2,2013-12-19,SUPPORT,858,109801,,,,,,,,,,,,,,,
2,cloudfoundry/cli,v6.0.0,2014-01-31,SUPPORT,855,104433,,,,,,,,,,,8.0,259.0,51.0,1121.0,-1.0
3,cloudfoundry/cli,v6.0.1,2014-02-24,SUPPORT,916,105281,,,,,,,,,,,1.0,147.0,3.0,307.0,-1.0
4,cloudfoundry/cli,v9001,2014-03-05,SUPPORT,928,106394,,,,,,,,,,,,,,,
5,cloudfoundry/cli,v9000,2014-03-05,SUPPORT,928,106394,,,,,,,,,,,,,,,
6,cloudfoundry/cli,v6.0.1234,2014-03-05,SUPPORT,928,106394,,,,,,,,,,,,,,,
7,cloudfoundry/cli,v6.0.2,2014-04-10,SUPPORT,939,105783,,,,,,,,,,,,,,,
8,cloudfoundry/cli,v6.1.0,2014-04-10,SUPPORT,943,279850,,,,,,,,,,,1.0,286.0,4.0,121.0,-1.0
9,cloudfoundry/cli,v6.1.1,2014-04-23,SUPPORT,978,284466,,,,,,,,,,,4.0,428.0,67.0,11647.0,-1.0
10,cloudfoundry/cli,v6.1.2,2014-05-07,SUPPORT,958,241906,,,,,,,,,,,,,,,
11,cloudfoundry/cli,v6.2.0,2014-06-19,SUPPORT,1364,279579,,,,,,,,,,,4.0,247.0,22.0,625.0,-1.0
12,cloudfoundry/cli,v6.3.0,2014-07-14,SUPPORT,1464,289303,,,,,,,,,,,,,,,
13,cloudfoundry/cli,v6.3.1,2014-07-22,SUPPORT,1404,282954,,,,,,,,,,,2.0,48.0,67.0,6364.0,-1.0
14,cloudfoundry/cli,v6.3.2,2014-07-23,SUPPORT,1107,281067,,,,,,,,,,,1.0,26.0,2.0,119.0,-1.0
15,cloudfoundry/cli,v6.4.0,2014-08-13,SUPPORT,1156,295796,,,,,,,,,,,,,,,
16,cloudfoundry/cli,v6.5.0,2014-08-25,SUPPORT,1178,300810,,,,,,,,,,,,,,,
17,cloudfoundry/cli,v6.5.1,2014-08-27,SUPPORT,1181,302070,,,,,,,,,,,,,,,
18,cloudfoundry/cli,v6.6.0,2014-09-05,SUPPORT,1211,306392,,,,,,,,,,,,,,,
19,cloudfoundry/cli,v6.6.1,2014-09-23,SUPPORT,1234,308641,,,,,,,,,,,,,,,
20,cloudfoundry/cli,v6.6.2,2014-10-17,SUPPORT,1260,313268,,,,,,,,,,,,,,,
21,cloudfoundry/cli,v6.7.0,2014-11-11,SUPPORT,1300,319576,,,,,,,,,,,1.0,104.0,1.0,4.0,-1.0
22,cloudfoundry/cli,v6.8.0,2014-12-10,SUPPORT,1320,325285,,,,,,,,,,,,,,,
23,cloudfoundry/cli,v6.9.0,2015-01-20,SUPPORT,1331,328074,,,,,,,,,,,,,,,
24,cloudfoundry/cli,v6.10.0,2015-02-11,SUPPORT,1353,333181,,,,,,,,,,,,,,,
25,cloudfoundry/cli,v6.11.0,2015-04-13,SUPPORT,1443,357836,,,,,,,,,,,1.0,100.0,4.0,20.0,-1.0
26,cloudfoundry/cli,v6.11.1,2015-04-20,SUPPORT,1448,359123,,,,,,,,,,,,,,,
27,cloudfoundry/cli,v6.11.2,2015-04-27,SUPPORT,1453,360850,,,,,,,,,,,,,,,
28,cloudfoundry/cli,v6.11.3,2015-05-20,SUPPORT,1472,364061,,,,,,,,,,,,,,,
29,cloudfoundry/cli,v6.12.0,2015-06-29,SUPPORT,1516,372224,,,,,,,,,,,1.0,182.0,4.0,44.0,-1.0
30,cloudfoundry/cli,v6.12.1,2015-07-06,SUPPORT,1516,372663,,,,,,,,,,,,,,,
31,cloudfoundry/cli,v6.12.2,2015-07-15,SUPPORT,1516,374282,,,,,,,,,,,,,,,
32,cloudfoundry/cli,v6.12.3,2015-08-31,SUPPORT,1440,370818,,,,,,,,,,,1.0,107.0,80.0,15114.0,-1.0
33,cloudfoundry/cli,v6.12.4,2015-09-18,SUPPORT,1422,361101,,,,,,,,,,,,,,,
34,cloudfoundry/cli,v6.13.0,2015-10-15,SUPPORT,1703,410237,,,,,,,,,,,1.0,142.0,2.0,31.0,-1.0
35,cloudfoundry/cli,v6.14.0,2015-11-18,SUPPORT,1728,417706,,,,,,,,,,,1.0,109.0,4.0,203.0,-1.0
36,cloudfoundry/cli,v6.14.1,2015-12-22,SUPPORT,1468,377435,,,,,,,,,,,3.0,156.0,5.0,6137.0,-1.0
37,cloudfoundry/cli,v6.15.0,2016-01-13,SUPPORT,1662,478259,,,,,,,,,,,5.0,69.0,77.0,1511.0,-1.0
38,cloudfoundry/cli,v6.16.0,2016-02-24,SUPPORT,1718,481991,,,,,,,,,,,2.0,175.0,19.0,350.0,-1.0
39,cloudfoundry/cli,v6.16.1,2016-02-26,SUPPORT,1718,482098,,,,,,,,,,,,,,,
40,cloudfoundry/cli,v6.17.0,2016-04-15,SUPPORT,1762,495151,,,,,,,,,,,3.0,313.0,50.0,771.0,-1.0
41,cloudfoundry/cli,v6.17.1,2016-05-02,SUPPORT,1789,506472,,,,,,,,,,,,,,,
42,cloudfoundry/cli,v6.18.0,2016-05-10,SUPPORT,1848,511940,,,,,,,,,,,2.0,65.0,26.0,173.0,-1.0
43,cloudfoundry/cli,v6.18.1,2016-05-24,SUPPORT,1851,505322,,,,,,,,,,,1.0,87.0,2.0,97.0,-1.0
44,cloudfoundry/cli,v6.19.0,2016-06-08,SUPPORT,1856,478575,,,,,,,,,,,,,,,
45,cloudfoundry/cli,v6.20.0,2016-06-29,SUPPORT,1844,480626,,,,,,,,,,,,,,,
46,cloudfoundry/cli,v6.21.0,2016-07-27,SUPPORT,1937,511345,,,,,,,,,,,2.0,118.0,29.0,725.0,-1.0
47,cloudfoundry/cli,v6.21.1,2016-08-10,SUPPORT,1941,511802,,,,,,,,,,,,,,,
48,cloudfoundry/cli,v6.22.0,2016-09-22,SUPPORT,2220,561287,,,,,,,,,,,3.0,235.0,6.0,49.0,-1.0
49,cloudfoundry/cli,v6.22.1,2016-09-23,SUPPORT,2222,561478,,,,,,,,,,,,,,,
50,cloudfoundry/cli,v6.22.2,2016-10-26,SUPPORT,2356,575926,,,,,,,,,,,1.0,169.0,1.0,2.0,-1.0
51,cloudfoundry/cli,v6.23.0,2016-12-21,SUPPORT,2549,614595,,,,,,,,,,,2.0,271.0,36.0,546.0,-1.0
52,cloudfoundry/cli,v6.23.1,2017-01-12,SUPPORT,2574,619857,1.0,73.0,1.0,2.0,1.0,,,,,,,,,,
53,cloudfoundry/cli,v6.24.0,2017-02-10,SUPPORT,2535,618071,,,,,,,,,,,,,,,
54,cloudfoundry/cli,v6.25.0,2017-02-27,SUPPORT,2571,624924,3.0,96.0,39.0,830.0,3.0,2.0,74.0,4.0,48.0,2.0,,,,,
55,cloudfoundry/cli,v6.26.0,2017-04-06,SUPPORT,2682,650157,1.0,244.0,34.0,1294.0,1.0,,,,,,,,,,
56,cloudfoundry/cli,v6.27.0,2017-06-08,SUPPORT,2919,686936,1.0,331.0,2.0,270.0,1.0,,,,,,2.0,294.0,53.0,2606.0,-1.0
57,cloudfoundry/cli,v6.28.0,2017-06-27,SUPPORT,3271,1048891,,,,,,,,,,,1.0,90.0,21.0,779.0,-1.0
58,cloudfoundry/cli,v6.29.0,2017-07-24,SUPPORT,3417,1064213,,,,,,,,,,,4.0,155.0,23.0,758.0,-1.0
