,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,zloirock/core-js,v0.1.2,2014-11-19,,,,2.0,1.0,18.0,102.0,2.0,,,,,,,,,,
1,zloirock/core-js,v0.1.3,2014-11-20,,,,1.0,,30.0,727.0,1.0,,,,,,,,,,
2,zloirock/core-js,v0.1.4,2014-11-27,,,,1.0,,25.0,1583.0,1.0,,,,,,,,,,
3,zloirock/core-js,v0.1.5,2014-12-01,,,,16.0,1.0,76.0,3262.0,16.0,,,,,,,,,,
4,zloirock/core-js,v0.2.0,2014-12-07,,,,1.0,1.0,43.0,2536.0,1.0,,,,,,,,,,
5,zloirock/core-js,v0.2.1,2014-12-12,,,,2.0,1.0,22.0,289.0,2.0,,,,,,,,,,
6,zloirock/core-js,v0.2.2,2014-12-13,,,,2.0,1.0,29.0,716.0,2.0,,,,,,,,,,
7,zloirock/core-js,v0.2.3,2014-12-15,,,,1.0,1.0,26.0,719.0,1.0,,,,,,,,,,
8,zloirock/core-js,v0.2.4,2014-12-17,,,,1.0,,28.0,1344.0,1.0,,,,,,,,,,
9,zloirock/core-js,v0.2.5,2014-12-20,,,,1.0,,26.0,1451.0,1.0,,,,,,,,,,
10,zloirock/core-js,v0.3.1,2014-12-23,,,,1.0,1.0,13.0,285.0,1.0,,,,,,,,,,
11,zloirock/core-js,v0.3.0,2014-12-23,,,,1.0,1.0,27.0,4511.0,1.0,,,,,,,,,,
12,zloirock/core-js,v0.3.2,2014-12-25,,,,4.0,2.0,61.0,873.0,4.0,,,,,,,,,,
13,zloirock/core-js,v0.3.3,2014-12-28,,,,8.0,2.0,78.0,1639.0,8.0,,,,,,,,,,
14,zloirock/core-js,v0.4.0,2015-01-04,,,,10.0,8.0,101.0,2139.0,10.0,,,,,,,,,,
15,zloirock/core-js,v0.4.1,2015-01-06,,,,3.0,1.0,39.0,132.0,3.0,,,,,,,,,,
16,zloirock/core-js,v0.4.2,2015-01-10,,,,5.0,5.0,72.0,830.0,5.0,,,,,,,,,,
17,zloirock/core-js,v0.4.3,2015-01-10,,,,2.0,1.0,31.0,189.0,2.0,,,,,,,,,,
18,zloirock/core-js,v0.4.4,2015-01-11,,,,2.0,2.0,33.0,573.0,2.0,,,,,,,,,,
19,zloirock/core-js,v0.4.5,2015-01-16,,,,8.0,2.0,69.0,246.0,8.0,,,,,,,,,,
20,zloirock/core-js,v0.4.6,2015-01-21,OTHER,79.0,41552.0,10.0,6.0,72.0,874.0,10.0,,,,,,1.0,,1.0,2.0,-1.0
21,zloirock/core-js,v0.4.7,2015-01-25,,,,3.0,4.0,28.0,400.0,3.0,,,,,,,,,,
22,zloirock/core-js,v0.4.8,2015-01-25,,,,2.0,2.0,25.0,268.0,2.0,,,,,,,,,,
23,zloirock/core-js,v0.4.9,2015-01-27,,,,1.0,2.0,14.0,329.0,1.0,,,,,,,,,,
24,zloirock/core-js,v0.4.10,2015-01-28,,,,1.0,,16.0,99.0,1.0,,,,,,,,,,
25,zloirock/core-js,0.5.0,2015-02-08,OTHER,96.0,43407.0,13.0,6.0,126.0,7379.0,13.0,,,,,,1.0,,1.0,3.0,-1.0
26,zloirock/core-js,0.5.1,2015-02-09,,,,3.0,2.0,17.0,109.0,3.0,,,,,,,,,,
27,zloirock/core-js,0.5.2,2015-02-10,,,,2.0,1.0,17.0,119.0,2.0,,,,,,,,,,
28,zloirock/core-js,0.5.3,2015-02-14,,,,6.0,4.0,46.0,540.0,6.0,,,,,,,,,,
29,zloirock/core-js,0.5.4,2015-02-15,,,,3.0,,31.0,269.0,3.0,,,,,,,,,,
30,zloirock/core-js,0.6.0,2015-02-23,,,,13.0,9.0,55.0,3693.0,13.0,,,,,,,,,,
31,zloirock/core-js,0.6.1,2015-02-24,,,,1.0,2.0,16.0,319.0,1.0,,,,,,,,,,
32,zloirock/core-js,0.7.0,2015-03-06,,,,11.0,4.0,257.0,20360.0,11.0,,,,,,,,,,
33,zloirock/core-js,0.7.1,2015-03-07,,,,7.0,,66.0,7660.0,7.0,,,,,,,,,,
34,zloirock/core-js,0.7.2,2015-03-09,,,,7.0,,69.0,2490.0,7.0,,,,,,,,,,
