,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,d3/d3,v1.0.0,2011-02-17,BUG,196,44540,,,,,,,,,,,,,,,
1,d3/d3,v1.0.1,2011-02-18,BUG,196,44540,,,,,,,,,,,,,,,
2,d3/d3,v1.0.2,2011-02-19,BUG,196,44568,,,,,,,,,,,1.0,1.0,1.0,31.0,-1.0
3,d3/d3,v1.0.3,2011-02-23,BUG,196,44568,1.0,,6.0,16.0,1.0,,,,,,,,,,
4,d3/d3,v1.1.0,2011-02-23,BUG,197,44868,,,,,,,,,,,,,,,
5,d3/d3,v1.2.0,2011-02-24,BUG,198,44999,1.0,3.0,6.0,16.0,1.0,,,,,,,,,,
6,d3/d3,v1.2.1,2011-02-24,BUG,198,45017,,,,,,,,,,,,,,,
7,d3/d3,v1.3.0,2011-02-27,BUG,213,45031,1.0,9.0,2.0,8.0,1.0,,,,,,,,,,
8,d3/d3,v1.4.0,2011-03-01,BUG,219,45583,,,,,,,,,,,,,,,
9,d3/d3,v1.5.0,2011-03-03,BUG,221,45973,,,,,,,,,,,,,,,
10,d3/d3,v1.5.1,2011-03-04,BUG,249,83351,2.0,3.0,8.0,403.0,2.0,,,,,,,,,,
11,d3/d3,v1.5.2,2011-03-04,BUG,253,83414,,,,,,,,,,,,,,,
12,d3/d3,v1.6.0,2011-03-08,BUG,256,83444,,,,,,,,,,,,,,,
13,d3/d3,v1.5.3,2011-03-08,BUG,256,83446,,,,,,,,,,,,,,,
14,d3/d3,v1.6.1,2011-03-12,BUG,262,83680,2.0,7.0,9.0,350.0,2.0,,,,,,,,,,
15,d3/d3,v1.7.0,2011-03-12,BUG,278,84595,1.0,12.0,11.0,304.0,1.0,,,,,,,,,,
16,d3/d3,v1.8.0,2011-03-14,BUG,283,84915,1.0,3.0,10.0,383.0,1.0,,,,,,,,,,
17,d3/d3,v1.8.1,2011-03-15,BUG,283,84915,,,,,,,,,,,,,,,
18,d3/d3,v1.8.2,2011-03-17,BUG,283,84916,,,,,,,,,,,,,,,
19,d3/d3,v1.8.3,2011-03-17,BUG,285,84957,,,,,,,,,,,2.0,,11.0,66.0,-1.0
20,d3/d3,v1.8.4,2011-03-30,BUG,287,85341,1.0,9.0,8.0,142.0,1.0,,,,,,,,,,
21,d3/d3,v1.8.5,2011-04-05,BUG,292,87940,,,,,,,,,,,,,,,
22,d3/d3,v1.9.1,2011-04-09,BUG,304,88564,2.0,4.0,8.0,19.0,2.0,,,,,,,,,,
23,d3/d3,v1.9.0,2011-04-09,BUG,301,88634,3.0,43.0,10.0,120.0,3.0,,,,,,,,,,
24,d3/d3,v1.10.1,2011-04-10,BUG,311,89483,1.0,1.0,7.0,47.0,1.0,,,,,,,,,,
25,d3/d3,v1.10.0,2011-04-10,BUG,311,89484,1.0,15.0,3.0,72.0,1.0,,,,,,,,,,
26,d3/d3,v1.11.0,2011-04-13,BUG,331,91877,2.0,38.0,6.0,26.0,2.0,,,,,,5.0,24.0,12.0,45.0,-1.0
27,d3/d3,v1.11.1,2011-04-24,BUG,334,91048,1.0,5.0,1.0,7.0,1.0,,,,,,,,,,
28,d3/d3,v1.12.0,2011-04-24,BUG,335,91382,1.0,13.0,4.0,22.0,1.0,,,,,,,,,,
29,d3/d3,v1.13.0,2011-04-26,BUG,335,91484,,,,,,1.0,8.0,3.0,18.0,1.0,,,,,
30,d3/d3,v1.13.1,2011-04-27,BUG,335,91498,,,,,,,,,,,,,,,
31,d3/d3,v1.13.2,2011-04-27,BUG,335,91502,,,,,,,,,,,,,,,
32,d3/d3,v1.13.3,2011-04-28,BUG,335,91488,,,,,,,,,,,,,,,
33,d3/d3,v1.13.4,2011-04-28,BUG,335,91498,,,,,,,,,,,,,,,
34,d3/d3,v1.14.0,2011-04-30,BUG,352,92550,,,,,,,,,,,,,,,
35,d3/d3,v1.14.1,2011-05-01,BUG,352,92552,,,,,,,,,,,,,,,
36,d3/d3,v1.14.2,2011-05-01,BUG,352,92556,1.0,,6.0,12.0,1.0,,,,,,,,,,
37,d3/d3,v1.15.0,2011-05-07,BUG,360,93297,,,,,,,,,,,3.0,25.0,7.0,46.0,-1.0
38,d3/d3,v1.15.1,2011-05-08,BUG,365,93399,,,,,,,,,,,1.0,2.0,8.0,144.0,-1.0
39,d3/d3,v1.16.0,2011-05-12,BUG,370,93688,,,,,,,,,,,,,,,
40,d3/d3,v1.17.0,2011-05-21,BUG,380,94792,,,,,,,,,,,,,,,
41,d3/d3,v1.17.1,2011-05-26,BUG,380,94791,,,,,,,,,,,,,,,
42,d3/d3,v1.18.0,2011-05-30,BUG,390,95400,,,,,,,,,,,1.0,11.0,5.0,53.0,-1.0
43,d3/d3,v1.19.0,2011-05-30,BUG,394,95647,,,,,,,,,,,,,,,
44,d3/d3,v1.19.1,2011-05-30,BUG,394,95707,1.0,,9.0,192.0,1.0,,,,,,,,,,
45,d3/d3,v1.20.0,2011-06-11,BUG,400,96275,,,,,,,,,,,2.0,9.0,9.0,90.0,-1.0
46,d3/d3,v1.20.1,2011-06-11,BUG,403,96532,,,,,,,,,,,,,,,
47,d3/d3,v1.20.2,2011-06-11,BUG,404,96653,,,,,,,,,,,,,,,
48,d3/d3,v1.20.3,2011-06-13,BUG,409,97043,,,,,,,,,,,,,,,
49,d3/d3,v1.21.0,2011-06-16,BUG,422,97494,,,,,,,,,,,1.0,2.0,4.0,68.0,-1.0
50,d3/d3,v1.22.0,2011-06-23,BUG,435,98421,,,,,,,,,,,,,,,
51,d3/d3,v1.22.1,2011-06-25,BUG,436,98525,,,,,,,,,,,,,,,
52,d3/d3,v1.23.0,2011-06-28,BUG,436,98558,,,,,,,,,,,,,,,
53,d3/d3,v1.24.0,2011-06-29,BUG,438,98612,,,,,,,,,,,,,,,
54,d3/d3,v1.24.1,2011-07-02,BUG,438,98612,,,,,,,,,,,,,,,
55,d3/d3,v1.25.0,2011-07-02,BUG,433,98834,1.0,7.0,1.0,11.0,1.0,,,,,,,,,,
56,d3/d3,v1.26.0,2011-07-08,BUG,439,99336,2.0,20.0,6.0,54.0,2.0,,,,,,1.0,12.0,1.0,14.0,-1.0
57,d3/d3,v1.27.0,2011-07-09,BUG,449,99725,,,,,,,,,,,1.0,23.0,10.0,98.0,-1.0
58,d3/d3,v1.27.1,2011-07-10,BUG,449,99739,,,,,,,,,,,,,,,
59,d3/d3,v1.27.2,2011-07-16,BUG,449,99759,,,,,,,,,,,2.0,14.0,6.0,32.0,-1.0
60,d3/d3,v1.28.0,2011-07-20,BUG,504,102489,1.0,15.0,6.0,48.0,1.0,,,,,,1.0,8.0,5.0,21.0,-1.0
