,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,d3/d3,v1.0.0,2011-02-17,,,,,,,,,,,,,
1,d3/d3,v1.0.1,2011-02-18,OTHER,196.0,44540.0,1.0,,4.0,154.0,1.0,,,,,
2,d3/d3,v1.0.2,2011-02-19,OTHER,196.0,44568.0,1.0,1.0,,0.0,1.0,,,,,
3,d3/d3,v1.0.3,2011-02-23,,,,,,,,,,,,,
4,d3/d3,v1.1.0,2011-02-23,OTHER,197.0,44868.0,1.0,,11.0,366.0,1.0,,,,,
5,d3/d3,v1.2.0,2011-02-24,OTHER,198.0,44999.0,3.0,1.0,14.0,605.0,1.0,,,,,
6,d3/d3,v1.2.1,2011-02-24,OTHER,198.0,45017.0,1.0,,8.0,60.0,1.0,,,,,
7,d3/d3,v1.3.0,2011-02-27,OTHER,213.0,45031.0,9.0,1.0,35.0,1674.0,1.0,,,,,
8,d3/d3,v1.4.0,2011-03-01,OTHER,219.0,45583.0,6.0,1.0,17.0,898.0,1.0,,,,,
9,d3/d3,v1.5.0,2011-03-03,OTHER,221.0,45973.0,2.0,,17.0,1132.0,1.0,,,,,
10,d3/d3,v1.5.1,2011-03-04,OTHER,249.0,83351.0,3.0,2.0,47.0,37429.0,1.0,,,,,
11,d3/d3,v1.5.2,2011-03-04,OTHER,253.0,83414.0,1.0,,9.0,117.0,1.0,,,,,
12,d3/d3,v1.6.0,2011-03-08,OTHER,256.0,83444.0,1.0,,7.0,174.0,1.0,,,,,
13,d3/d3,v1.5.3,2011-03-08,OTHER,256.0,83446.0,3.0,1.0,12.0,4841.0,1.0,,,,,
14,d3/d3,v1.6.1,2011-03-12,OTHER,262.0,83680.0,3.0,4.0,2.0,177.0,1.0,,,,,
15,d3/d3,v1.7.0,2011-03-12,OTHER,278.0,84595.0,10.0,3.0,41.0,1301.0,1.0,,,,,
16,d3/d3,v1.8.0,2011-03-14,OTHER,283.0,84915.0,3.0,1.0,11.0,937.0,1.0,,,,,
17,d3/d3,v1.8.1,2011-03-15,,,,,,,,,,,,,
18,d3/d3,v1.8.2,2011-03-17,OTHER,283.0,84916.0,2.0,,4.0,12.0,1.0,,,,,
19,d3/d3,v1.8.3,2011-03-17,OTHER,285.0,84957.0,2.0,2.0,,0.0,1.0,,,,,
20,d3/d3,v1.8.4,2011-03-30,OTHER,287.0,85341.0,5.0,3.0,3.0,39.0,1.0,,,,,
21,d3/d3,v1.8.5,2011-04-05,OTHER,292.0,87940.0,3.0,,1.0,13.0,1.0,,,,,
22,d3/d3,v1.9.1,2011-04-09,OTHER,304.0,88564.0,2.0,4.0,7.0,277.0,1.0,,,,,
23,d3/d3,v1.9.0,2011-04-09,OTHER,301.0,88634.0,40.0,6.0,107.0,3513.0,2.0,,,,,
24,d3/d3,v1.10.1,2011-04-10,OTHER,311.0,89483.0,1.0,1.0,4.0,8.0,1.0,,,,,
25,d3/d3,v1.10.0,2011-04-10,OTHER,311.0,89484.0,8.0,1.0,20.0,560.0,1.0,,,,,
26,d3/d3,v1.11.0,2011-04-13,OTHER,331.0,91877.0,9.0,13.0,47.0,1177.0,1.0,,,,,
27,d3/d3,v1.11.1,2011-04-24,OTHER,334.0,91048.0,4.0,1.0,8.0,990.0,1.0,,,,,
28,d3/d3,v1.12.0,2011-04-24,OTHER,335.0,91382.0,13.0,1.0,39.0,1140.0,1.0,,,,,
29,d3/d3,v1.13.0,2011-04-26,OTHER,335.0,91484.0,8.0,1.0,17.0,272.0,0.0,8.0,1.0,17.0,272.0,1.0
30,d3/d3,v1.13.1,2011-04-27,OTHER,335.0,91498.0,1.0,,5.0,28.0,1.0,,,,,
31,d3/d3,v1.13.2,2011-04-27,OTHER,335.0,91502.0,1.0,,6.0,46.0,1.0,,,,,
32,d3/d3,v1.13.3,2011-04-28,OTHER,335.0,91488.0,1.0,,6.0,162.0,1.0,,,,,
33,d3/d3,v1.13.4,2011-04-28,OTHER,335.0,91498.0,1.0,,6.0,34.0,1.0,,,,,
34,d3/d3,v1.14.0,2011-04-30,OTHER,352.0,92550.0,8.0,,18.0,1144.0,1.0,,,,,
35,d3/d3,v1.14.1,2011-05-01,OTHER,352.0,92552.0,1.0,,6.0,18.0,1.0,,,,,
36,d3/d3,v1.14.2,2011-05-01,,,,,,,,,,,,,
37,d3/d3,v1.15.0,2011-05-07,OTHER,360.0,93297.0,5.0,14.0,24.0,509.0,2.0,,,,,
38,d3/d3,v1.15.1,2011-05-08,OTHER,365.0,93399.0,2.0,2.0,4.0,25.0,1.0,,,,,
39,d3/d3,v1.16.0,2011-05-12,OTHER,370.0,93688.0,4.0,4.0,17.0,562.0,1.0,,,,,
40,d3/d3,v1.17.0,2011-05-21,OTHER,380.0,94792.0,3.0,5.0,13.0,300.0,1.0,,,,,
41,d3/d3,v1.17.1,2011-05-26,OTHER,380.0,94791.0,1.0,,16.0,105.0,1.0,,,,,
42,d3/d3,v1.18.0,2011-05-30,OTHER,390.0,95400.0,3.0,8.0,15.0,105.0,1.0,,,,,
43,d3/d3,v1.19.0,2011-05-30,OTHER,394.0,95647.0,3.0,,,0.0,1.0,,,,,
44,d3/d3,v1.19.1,2011-05-30,,,,,,,,,,,,,
45,d3/d3,v1.20.0,2011-06-11,OTHER,400.0,96275.0,5.0,11.0,16.0,488.0,1.0,,,,,
46,d3/d3,v1.20.1,2011-06-11,OTHER,403.0,96532.0,3.0,,6.0,298.0,1.0,,,,,
47,d3/d3,v1.20.2,2011-06-11,OTHER,404.0,96653.0,4.0,,9.0,153.0,1.0,,,,,
48,d3/d3,v1.20.3,2011-06-13,OTHER,409.0,97043.0,7.0,1.0,26.0,735.0,2.0,,,,,
49,d3/d3,v1.21.0,2011-06-16,OTHER,422.0,97494.0,1.0,7.0,9.0,198.0,1.0,,,,,
50,d3/d3,v1.22.0,2011-06-23,OTHER,435.0,98421.0,5.0,5.0,16.0,327.0,1.0,,,,,
51,d3/d3,v1.22.1,2011-06-25,OTHER,436.0,98525.0,2.0,,8.0,142.0,1.0,,,,,
52,d3/d3,v1.23.0,2011-06-28,OTHER,436.0,98558.0,2.0,,8.0,303.0,1.0,,,,,
53,d3/d3,v1.24.0,2011-06-29,OTHER,438.0,98612.0,1.0,,6.0,62.0,1.0,,,,,
54,d3/d3,v1.24.1,2011-07-02,OTHER,438.0,98612.0,2.0,,,0.0,1.0,,,,,
55,d3/d3,v1.25.0,2011-07-02,OTHER,433.0,98834.0,7.0,1.0,84.0,1275.0,1.0,,,,,
