,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,datproject/dat,v6.1.3,2014-08-18,BUG,61,8308,,,,,,,,,,,,,,,
1,datproject/dat,v6.3.0,2014-08-19,BUG,61,8282,,,,,,,,,,,,,,,
2,datproject/dat,v6.2.0,2014-08-19,BUG,61,8284,,,,,,,,,,,1.0,13.0,1.0,2.0,-1.0
3,datproject/dat,v6.3.1,2014-08-19,BUG,61,8285,,,,,,,,,,,1.0,1.0,2.0,19.0,-1.0
4,datproject/dat,v6.3.3,2014-08-20,BUG,61,8351,,,,,,,,,,,4.0,4.0,5.0,21.0,-1.0
5,datproject/dat,v6.3.4,2014-08-20,BUG,61,8388,,,,,,,,,,,1.0,4.0,1.0,11.0,-1.0
6,datproject/dat,v6.4.0,2014-08-22,BUG,61,8415,,,,,,,,,,,2.0,10.0,2.0,9.0,-1.0
7,datproject/dat,v6.5.2,2014-09-10,BUG,71,8528,,,,,,,,,,,5.0,18.0,7.0,72.0,-1.0
8,datproject/dat,v6.6.1,2014-09-18,BUG,73,8710,,,,,,,,,,,,,,,
9,datproject/dat,v6.6.0,2014-09-18,BUG,73,8710,,,,,,,,,,,,,,,
10,datproject/dat,v6.6.2,2014-09-22,BUG,73,8712,,,,,,,,,,,,,,,
11,datproject/dat,v6.6.3,2014-09-24,BUG,73,8713,,,,,,,,,,,,,,,
12,datproject/dat,v6.6.5,2014-10-01,BUG,73,8717,,,,,,,,,,,1.0,1.0,2.0,4.0,-1.0
13,datproject/dat,v6.6.4,2014-10-01,BUG,73,8717,,,,,,,,,,,,,,,
14,datproject/dat,v6.7.0,2014-10-02,BUG,73,8718,,,,,,,,,,,,,,,
15,datproject/dat,v6.7.1,2014-10-03,BUG,73,8718,,,,,,,,,,,,,,,
16,datproject/dat,v6.8.1,2014-10-08,BUG,74,8724,,,,,,,,,,,1.0,1.0,1.0,6.0,-1.0
17,datproject/dat,v6.8.0,2014-10-08,BUG,74,8724,,,,,,,,,,,1.0,8.0,,0.0,-1.0
18,datproject/dat,v6.9.7,2015-02-25,BUG,79,9734,,,,,,,,,,,22.0,107.0,25.0,162.0,-1.0
19,datproject/dat,v7.0.0,2015-07-22,BUG,105,4515,,,,,,,,,,,43.0,367.0,115.0,939.0,-1.0
20,datproject/dat,v7.0.1,2015-07-27,BUG,107,4682,,,,,,,,,,,6.0,20.0,8.0,75.0,-1.0
21,datproject/dat,v7.0.2,2015-07-27,BUG,106,4766,,,,,,,,,,,,,,,
22,datproject/dat,v7.0.4,2015-08-20,BUG,107,4869,,,,,,,,,,,3.0,37.0,4.0,22.0,-1.0
23,datproject/dat,v7.1.1,2015-09-15,BUG,112,5351,,,,,,,,,,,9.0,35.0,11.0,49.0,-1.0
24,datproject/dat,v7.1.2,2015-09-23,BUG,117,5661,,,,,,,,,,,2.0,14.0,2.0,6.0,-1.0
25,datproject/dat,v8.0.0,2016-01-19,BUG,16,691,,,,,,,,,,,11.0,91.0,18.0,118.0,-1.0
26,datproject/dat,v8.0.1,2016-01-20,BUG,16,757,,,,,,,,,,,,,,,
27,datproject/dat,v8.0.2,2016-01-24,BUG,16,788,,,,,,,,,,,2.0,5.0,4.0,41.0,-1.0
28,datproject/dat,v8.0.3,2016-01-24,BUG,16,792,,,,,,,,,,,,,,,
29,datproject/dat,v8.0.4,2016-01-27,BUG,17,853,,,,,,,,,,,2.0,11.0,4.0,14.0,-1.0
30,datproject/dat,v8.0.5,2016-01-28,BUG,17,883,,,,,,,,,,,2.0,4.0,3.0,36.0,-1.0
31,datproject/dat,v8.0.6,2016-01-29,BUG,17,885,,,,,,,,,,,2.0,3.0,2.0,7.0,-1.0
32,datproject/dat,v8.0.7,2016-02-01,BUG,17,897,,,,,,,,,,,,,,,
33,datproject/dat,v8.0.8,2016-02-03,BUG,17,910,,,,,,,,,,,1.0,9.0,1.0,2.0,-1.0
34,datproject/dat,v9.0.0,2016-02-05,BUG,17,911,,,,,,,,,,,,,,,
35,datproject/dat,v9.0.1,2016-02-05,BUG,17,915,,,,,,,,,,,,,,,
36,datproject/dat,v9.1.0,2016-02-07,BUG,17,919,,,,,,,,,,,,,,,
37,datproject/dat,v9.1.1,2016-02-07,BUG,17,920,,,,,,,,,,,,,,,
38,datproject/dat,v9.1.2,2016-02-19,BUG,19,994,,,,,,,,,,,8.0,33.0,7.0,46.0,-1.0
39,datproject/dat,v9.2.0,2016-02-21,BUG,19,996,,,,,,,,,,,,,,,
40,datproject/dat,v9.3.0,2016-02-21,BUG,19,1001,,,,,,,,,,,,,,,
41,datproject/dat,v9.4.0,2016-02-25,BUG,19,1177,,,,,,,,,,,2.0,14.0,4.0,11.0,-1.0
42,datproject/dat,v9.5.0,2016-02-26,BUG,19,1212,,,,,,,,,,,2.0,7.0,2.0,15.0,-1.0
43,datproject/dat,v9.6.0,2016-02-28,BUG,19,1232,,,,,,,,,,,1.0,5.0,1.0,2.0,-1.0
44,datproject/dat,v9.7.0,2016-02-28,BUG,19,1273,,,,,,,,,,,,,,,
45,datproject/dat,v9.8.0,2016-03-01,BUG,19,1277,,,,,,,,,,,1.0,16.0,1.0,2.0,-1.0
46,datproject/dat,v9.8.1,2016-03-05,BUG,19,1298,,,,,,,,,,,,,,,
47,datproject/dat,v9.8.2,2016-03-07,BUG,19,1298,,,,,,,,,,,1.0,1.0,1.0,2.0,-1.0
48,datproject/dat,v10.0.0,2016-06-06,BUG,24,1552,,,,,,,,,,,5.0,16.0,9.0,159.0,-1.0
