,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,datproject/dat,v6.1.3,2014-08-18,SUPPORT,61,8308,,,,,,,,,,,,,,,
1,datproject/dat,v6.3.0,2014-08-19,SUPPORT,61,8282,,,,,,,,,,,1.0,1.0,2.0,62.0,-1.0
2,datproject/dat,v6.2.0,2014-08-19,SUPPORT,61,8284,,,,,,,,,,,,,,,
3,datproject/dat,v6.3.1,2014-08-19,SUPPORT,61,8285,,,,,,,,,,,,,,,
4,datproject/dat,v6.3.3,2014-08-20,SUPPORT,61,8351,,,,,,,,,,,,,,,
5,datproject/dat,v6.3.4,2014-08-20,SUPPORT,61,8388,,,,,,,,,,,1.0,4.0,1.0,4.0,-1.0
6,datproject/dat,v6.4.0,2014-08-22,SUPPORT,61,8415,,,,,,,,,,,2.0,10.0,4.0,31.0,-1.0
7,datproject/dat,v6.5.2,2014-09-10,SUPPORT,71,8528,,,,,,,,,,,,,,,
8,datproject/dat,v6.6.1,2014-09-18,SUPPORT,73,8710,,,,,,,,,,,,,,,
9,datproject/dat,v6.6.0,2014-09-18,SUPPORT,73,8710,,,,,,,,,,,,,,,
10,datproject/dat,v6.6.2,2014-09-22,SUPPORT,73,8712,,,,,,,,,,,,,,,
11,datproject/dat,v6.6.3,2014-09-24,SUPPORT,73,8713,,,,,,,,,,,,,,,
12,datproject/dat,v6.6.5,2014-10-01,SUPPORT,73,8717,,,,,,,,,,,,,,,
13,datproject/dat,v6.6.4,2014-10-01,SUPPORT,73,8717,,,,,,,,,,,,,,,
14,datproject/dat,v6.7.0,2014-10-02,SUPPORT,73,8718,,,,,,,,,,,,,,,
15,datproject/dat,v6.7.1,2014-10-03,SUPPORT,73,8718,,,,,,,,,,,,,,,
16,datproject/dat,v6.8.1,2014-10-08,SUPPORT,74,8724,,,,,,,,,,,,,,,
17,datproject/dat,v6.8.0,2014-10-08,SUPPORT,74,8724,,,,,,,,,,,,,,,
18,datproject/dat,v6.9.7,2015-02-25,SUPPORT,79,9734,,,,,,,,,,,,,,,
19,datproject/dat,v7.0.0,2015-07-22,SUPPORT,105,4515,,,,,,,,,,,4.0,406.0,12.0,194.0,-1.0
20,datproject/dat,v7.0.1,2015-07-27,SUPPORT,107,4682,,,,,,,,,,,,,,,
21,datproject/dat,v7.0.2,2015-07-27,SUPPORT,106,4766,,,,,,,,,,,,,,,
