,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,plataformatec/devise,v0.8.0,2010-01-07,,,,,,,,,,,,,,,,,,
1,plataformatec/devise,v0.8.1,2010-01-08,,,,,,,,,,,,,,,,,,
2,plataformatec/devise,v0.8.2,2010-01-13,,,,1.0,3.0,3.0,28.0,1.0,,,,,,,,,,
3,plataformatec/devise,v0.9.0,2010-01-21,,,,3.0,24.0,8.0,27.0,3.0,2.0,24.0,1.0,2.0,2.0,,,,,
4,plataformatec/devise,v0.9.1,2010-01-25,,,,,,,,,,,,,,,,,,
5,plataformatec/devise,v0.9.2,2010-02-05,,,,1.0,8.0,2.0,27.0,1.0,,,,,,,,,,
6,plataformatec/devise,v1.0.0,2010-02-09,,,,2.0,17.0,16.0,132.0,2.0,,,,,,,,,,
7,plataformatec/devise,v1.0.1,2010-02-15,,,,1.0,5.0,1.0,2.0,1.0,,,,,,,,,,
8,plataformatec/devise,v1.1.pre,2010-02-17,,,,,,,,,,,,,,,,,,
9,plataformatec/devise,v1.0.2,2010-02-17,,,,,,,,,,,,,,,,,,
10,plataformatec/devise,v1.1.pre2,2010-02-18,,,,1.0,20.0,1.0,2.0,1.0,,,,,,,,,,
11,plataformatec/devise,v1.0.3,2010-02-23,,,,,,,,,,,,,,,,,,
12,plataformatec/devise,v1.1.pre3,2010-02-24,,,,5.0,31.0,11.0,46.0,5.0,,,,,,,,,,
13,plataformatec/devise,v1.1.pre4,2010-03-03,,,,1.0,13.0,1.0,109.0,1.0,,,,,,,,,,
14,plataformatec/devise,v1.0.4,2010-03-03,,,,4.0,15.0,10.0,54.0,4.0,,,,,,,,,,
15,plataformatec/devise,v1.0.5,2010-03-26,,,,,,,,,,,,,,,,,,
16,plataformatec/devise,v1.1.rc0,2010-04-03,,,,12.0,123.0,33.0,318.0,12.0,,,,,,,,,,
17,plataformatec/devise,v1.0.6,2010-04-13,,,,5.0,40.0,18.0,162.0,5.0,,,,,,,,,,
18,plataformatec/devise,v1.1.rc1,2010-04-15,,,,15.0,149.0,39.0,363.0,15.0,,,,,,,,,,
19,plataformatec/devise,v1.0.7,2010-05-03,,,,7.0,43.0,23.0,181.0,7.0,,,,,,,,,,
20,plataformatec/devise,v1.0.8,2010-06-23,,,,3.0,6.0,5.0,32.0,3.0,,,,,,,,,,
21,plataformatec/devise,v1.1.rc2,2010-06-23,BUG,170.0,9058.0,21.0,229.0,48.0,422.0,21.0,,,,,,1.0,16.0,1.0,13.0,-1.0
22,plataformatec/devise,v1.1.0,2010-07-26,,,,6.0,62.0,13.0,69.0,6.0,,,,,,,,,,
23,plataformatec/devise,v1.1.1,2010-07-27,BUG,170.0,9599.0,,,,,,,,,,,1.0,1.0,3.0,6.0,-1.0
24,plataformatec/devise,v1.1.2,2010-08-25,,,,,,,,,,,,,,,,,,
25,plataformatec/devise,v1.1.3,2010-09-24,BUG,170.0,9661.0,,,,,,,,,,,3.0,13.0,6.0,23.0,-1.0
26,plataformatec/devise,v1.0.9,2010-11-26,,,,16.0,62.0,37.0,289.0,16.0,,,,,,,,,,
27,plataformatec/devise,v1.1.4,2010-11-26,BUG,170.0,9759.0,,,,,,,,,,,6.0,21.0,15.0,131.0,-1.0
28,plataformatec/devise,v1.2.rc,2010-11-26,BUG,182.0,11245.0,15.0,186.0,28.0,224.0,15.0,1.0,186.0,1.0,2.0,1.0,5.0,23.0,8.0,32.0,-1.0
29,plataformatec/devise,v1.1.5,2010-11-27,BUG,171.0,9806.0,27.0,315.0,61.0,491.0,27.0,,,,,,7.0,38.0,16.0,144.0,-1.0
30,plataformatec/devise,v1.1.6,2011-02-15,BUG,171.0,9842.0,,,,,,,,,,,2.0,4.0,4.0,20.0,-1.0
31,plataformatec/devise,v1.1.7,2011-02-16,BUG,171.0,9856.0,,,,,,,,,,,2.0,7.0,3.0,18.0,-1.0
32,plataformatec/devise,v1.0.11,2011-03-11,,,,18.0,72.0,40.0,299.0,18.0,,,,,,,,,,
33,plataformatec/devise,v1.1.8,2011-03-11,BUG,171.0,9896.0,,,,,,,,,,,10.0,31.0,23.0,237.0,-1.0
34,plataformatec/devise,v1.2.rc2,2011-03-11,BUG,189.0,11653.0,34.0,277.0,67.0,528.0,34.0,3.0,277.0,3.0,6.0,3.0,5.0,23.0,8.0,32.0,-1.0
35,plataformatec/devise,v1.1.9,2011-03-25,BUG,171.0,9902.0,27.0,326.0,61.0,491.0,27.0,,,,,,11.0,49.0,24.0,250.0,-1.0
36,plataformatec/devise,v1.2.0,2011-03-25,BUG,186.0,11615.0,37.0,288.0,72.0,550.0,37.0,4.0,288.0,4.0,42.0,4.0,5.0,23.0,8.0,32.0,-1.0
37,plataformatec/devise,v1.2.1,2011-03-28,,,,,,,,,,,,,,,,,,
38,plataformatec/devise,v1.3.0,2011-04-16,,,,1.0,46.0,1.0,2.0,1.0,,,,,,,,,,
39,plataformatec/devise,v1.3.1,2011-04-19,,,,1.0,15.0,2.0,9.0,1.0,,,,,,,,,,
40,plataformatec/devise,v1.3.2,2011-04-21,BUG,188.0,12117.0,,,,,,,,,,,1.0,4.0,1.0,4.0,-1.0
41,plataformatec/devise,v1.3.3,2011-04-21,,,,,,,,,,,,,,,,,,
42,plataformatec/devise,v1.3.4,2011-04-29,BUG,188.0,12137.0,,,,,,,,,,,1.0,2.0,2.0,9.0,-1.0
