,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,plataformatec/devise,v0.8.0,2010-01-07,DOCS,146,6866,1.0,10.0,1.0,3.0,1.0,,,,,,,,,,
1,plataformatec/devise,v0.8.1,2010-01-08,DOCS,147,6851,,,,,,,,,,,,,,,
2,plataformatec/devise,v0.8.2,2010-01-13,DOCS,147,6899,,,,,,,,,,,,,,,
3,plataformatec/devise,v0.9.0,2010-01-21,DOCS,150,7152,1.0,28.0,4.0,48.0,1.0,,,,,,,,,,
4,plataformatec/devise,v0.9.1,2010-01-25,DOCS,150,7154,,,,,,,,,,,,,,,
5,plataformatec/devise,v0.9.2,2010-02-05,DOCS,156,7644,,,,,,,,,,,,,,,
6,plataformatec/devise,v1.0.0,2010-02-09,DOCS,161,8176,1.0,18.0,4.0,30.0,1.0,,,,,,,,,,
7,plataformatec/devise,v1.0.1,2010-02-15,DOCS,162,8203,,,,,,,,,,,,,,,
8,plataformatec/devise,v1.1.pre,2010-02-17,DOCS,154,8123,,,,,,,,,,,,,,,
9,plataformatec/devise,v1.0.2,2010-02-17,DOCS,162,8237,,,,,,,,,,,,,,,
10,plataformatec/devise,v1.1.pre2,2010-02-18,DOCS,154,8138,,,,,,,,,,,,,,,
11,plataformatec/devise,v1.0.3,2010-02-23,DOCS,162,8253,,,,,,,,,,,,,,,
12,plataformatec/devise,v1.1.pre3,2010-02-24,DOCS,154,8101,,,,,,,,,,,,,,,
13,plataformatec/devise,v1.1.pre4,2010-03-03,DOCS,155,8116,,,,,,,,,,,,,,,
14,plataformatec/devise,v1.0.4,2010-03-03,DOCS,162,8280,,,,,,,,,,,,,,,
15,plataformatec/devise,v1.0.5,2010-03-26,DOCS,162,8291,,,,,,,,,,,,,,,
16,plataformatec/devise,v1.1.rc0,2010-04-03,DOCS,160,8631,1.0,134.0,5.0,31.0,1.0,,,,,,,,,,
17,plataformatec/devise,v1.0.6,2010-04-13,DOCS,163,8357,,,,,,,,,,,,,,,
18,plataformatec/devise,v1.1.rc1,2010-04-15,DOCS,161,8694,1.0,163.0,5.0,31.0,1.0,,,,,,,,,,
19,plataformatec/devise,v1.0.7,2010-05-03,DOCS,163,8381,,,,,,,,,,,,,,,
20,plataformatec/devise,v1.0.8,2010-06-23,DOCS,163,8427,,,,,,,,,,,,,,,
21,plataformatec/devise,v1.1.rc2,2010-06-23,DOCS,170,9058,2.0,249.0,7.0,37.0,1.0,,,,,,,,,,
22,plataformatec/devise,v1.1.0,2010-07-26,DOCS,170,9594,3.0,65.0,7.0,59.0,1.0,,,,,,,,,,
23,plataformatec/devise,v1.1.1,2010-07-27,DOCS,170,9599,,,,,,,,,,,,,,,
24,plataformatec/devise,v1.1.2,2010-08-25,DOCS,170,9595,,,,,,,,,,,,,,,
25,plataformatec/devise,v1.1.3,2010-09-24,DOCS,170,9661,,,,,,,,,,,,,,,
26,plataformatec/devise,v1.0.9,2010-11-26,DOCS,163,8605,,,,,,,,,,,,,,,
27,plataformatec/devise,v1.1.4,2010-11-26,DOCS,170,9759,,,,,,,,,,,,,,,
28,plataformatec/devise,v1.2.rc,2010-11-26,DOCS,182,11245,7.0,199.0,21.0,424.0,1.0,1.0,199.0,1.0,2.0,1.0,,,,,
29,plataformatec/devise,v1.1.5,2010-11-27,DOCS,171,9806,5.0,344.0,14.0,96.0,1.0,,,,,,,,,,
30,plataformatec/devise,v1.1.6,2011-02-15,DOCS,171,9842,,,,,,,,,,,,,,,
31,plataformatec/devise,v1.1.7,2011-02-16,DOCS,171,9856,,,,,,,,,,,,,,,
32,plataformatec/devise,v1.0.11,2011-03-11,DOCS,163,8668,,,,,,,,,,,,,,,
33,plataformatec/devise,v1.1.8,2011-03-11,DOCS,171,9896,,,,,,,,,,,,,,,
34,plataformatec/devise,v1.2.rc2,2011-03-11,DOCS,189,11653,8.0,310.0,32.0,466.0,1.0,1.0,310.0,1.0,2.0,1.0,,,,,
35,plataformatec/devise,v1.1.9,2011-03-25,DOCS,171,9902,5.0,359.0,14.0,96.0,1.0,,,,,,,,,,
36,plataformatec/devise,v1.2.0,2011-03-25,DOCS,186,11615,8.0,325.0,32.0,466.0,1.0,1.0,325.0,1.0,2.0,1.0,,,,,
37,plataformatec/devise,v1.2.1,2011-03-28,DOCS,186,11622,,,,,,,,,,,,,,,
38,plataformatec/devise,v1.3.0,2011-04-16,DOCS,187,12035,1.0,46.0,1.0,5.0,1.0,,,,,,,,,,
39,plataformatec/devise,v1.3.1,2011-04-19,DOCS,188,12104,,,,,,,,,,,,,,,
40,plataformatec/devise,v1.3.2,2011-04-21,DOCS,188,12117,,,,,,,,,,,,,,,
41,plataformatec/devise,v1.3.3,2011-04-21,DOCS,188,12123,,,,,,,,,,,,,,,
42,plataformatec/devise,v1.3.4,2011-04-29,DOCS,188,12137,,,,,,,,,,,,,,,
43,plataformatec/devise,v1.4.0,2011-06-23,DOCS,192,12740,,,,,,,,,,,,,,,
44,plataformatec/devise,v1.4.1,2011-06-29,DOCS,201,13086,,,,,,,,,,,1.0,18.0,1.0,7.0,-1.0
45,plataformatec/devise,v1.4.2,2011-06-30,DOCS,203,13168,,,,,,,,,,,,,,,
46,plataformatec/devise,v1.4.3,2011-08-30,DOCS,203,13255,1.0,83.0,,0.0,1.0,,,,,,,,,,
47,plataformatec/devise,v1.4.4,2011-08-31,DOCS,203,13278,,,,,,,,,,,,,,,
48,plataformatec/devise,v1.4.5,2011-09-08,DOCS,203,13299,,,,,,,,,,,,,,,
49,plataformatec/devise,v1.4.6,2011-09-14,DOCS,203,13335,,,,,,,,,,,,,,,
50,plataformatec/devise,v1.4.7,2011-09-22,DOCS,203,13348,,,,,,,,,,,,,,,
51,plataformatec/devise,v1.4.8,2011-10-10,DOCS,203,13370,,,,,,,,,,,1.0,2.0,2.0,15.0,-1.0
52,plataformatec/devise,v1.4.9,2011-10-20,DOCS,203,13373,,,,,,,,,,,,,,,
53,plataformatec/devise,v1.5.0.rc1,2011-11-10,DOCS,211,13778,,,,,,,,,,,,,,,
54,plataformatec/devise,v1.5.0.rc,2011-11-10,DOCS,211,13778,,,,,,,,,,,2.0,74.0,3.0,27.0,-1.0
55,plataformatec/devise,v1.5.0,2011-11-13,DOCS,211,13778,,,,,,,,,,,,,,,
56,plataformatec/devise,v1.5.1,2011-11-22,DOCS,209,13776,,,,,,,,,,,,,,,
57,plataformatec/devise,v1.5.2,2011-11-30,DOCS,209,13822,,,,,,,,,,,,,,,
58,plataformatec/devise,v1.5.3,2011-12-19,DOCS,211,13869,,,,,,,,,,,,,,,
59,plataformatec/devise,v2.0.0.rc,2011-12-19,DOCS,211,14305,,,,,,,,,,,,,,,
60,plataformatec/devise,v2.0.0.rc2,2012-01-24,DOCS,212,14346,1.0,64.0,1.0,6.0,1.0,,,,,,1.0,35.0,1.0,13.0,-1.0
61,plataformatec/devise,v2.0.0,2012-01-26,DOCS,212,14344,,,,,,,,,,,,,,,
62,plataformatec/devise,v2.0.1,2012-02-09,DOCS,212,14415,,,,,,,,,,,,,,,
63,plataformatec/devise,v2.0.2,2012-02-15,DOCS,212,14432,,,,,,,,,,,,,,,
64,plataformatec/devise,v2.0.3,2012-02-16,DOCS,210,14579,1.0,20.0,1.0,12.0,1.0,,,,,,,,,,
65,plataformatec/devise,v2.0.4,2012-02-17,DOCS,210,14580,,,,,,,,,,,,,,,
66,plataformatec/devise,v2.1.0.rc,2012-03-15,DOCS,214,14991,,,,,,,,,,,,,,,
67,plataformatec/devise,v2.1.0.rc2,2012-05-09,DOCS,205,14603,,,,,,,,,,,1.0,42.0,1.0,10.0,-1.0
