,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,plataformatec/devise,v0.8.0,2010-01-07,FEATURE,146,6866,,,,,,,,,,,,,,,
1,plataformatec/devise,v0.8.1,2010-01-08,FEATURE,147,6851,,,,,,,,,,,,,,,
2,plataformatec/devise,v0.8.2,2010-01-13,FEATURE,147,6899,,,,,,,,,,,,,,,
3,plataformatec/devise,v0.9.0,2010-01-21,FEATURE,150,7152,,,,,,,,,,,,,,,
4,plataformatec/devise,v0.9.1,2010-01-25,FEATURE,150,7154,,,,,,,,,,,,,,,
5,plataformatec/devise,v0.9.2,2010-02-05,FEATURE,156,7644,,,,,,,,,,,,,,,
6,plataformatec/devise,v1.0.0,2010-02-09,FEATURE,161,8176,,,,,,,,,,,,,,,
7,plataformatec/devise,v1.0.1,2010-02-15,FEATURE,162,8203,,,,,,,,,,,,,,,
8,plataformatec/devise,v1.1.pre,2010-02-17,FEATURE,154,8123,,,,,,,,,,,,,,,
9,plataformatec/devise,v1.0.2,2010-02-17,FEATURE,162,8237,,,,,,,,,,,,,,,
10,plataformatec/devise,v1.1.pre2,2010-02-18,FEATURE,154,8138,,,,,,,,,,,,,,,
11,plataformatec/devise,v1.0.3,2010-02-23,FEATURE,162,8253,,,,,,,,,,,,,,,
12,plataformatec/devise,v1.1.pre3,2010-02-24,FEATURE,154,8101,,,,,,,,,,,,,,,
13,plataformatec/devise,v1.1.pre4,2010-03-03,FEATURE,155,8116,,,,,,,,,,,,,,,
14,plataformatec/devise,v1.0.4,2010-03-03,FEATURE,162,8280,,,,,,,,,,,,,,,
15,plataformatec/devise,v1.0.5,2010-03-26,FEATURE,162,8291,,,,,,,,,,,,,,,
16,plataformatec/devise,v1.1.rc0,2010-04-03,FEATURE,160,8631,,,,,,,,,,,,,,,
17,plataformatec/devise,v1.0.6,2010-04-13,FEATURE,163,8357,,,,,,,,,,,,,,,
18,plataformatec/devise,v1.1.rc1,2010-04-15,FEATURE,161,8694,,,,,,,,,,,,,,,
19,plataformatec/devise,v1.0.7,2010-05-03,FEATURE,163,8381,,,,,,,,,,,,,,,
20,plataformatec/devise,v1.0.8,2010-06-23,FEATURE,163,8427,,,,,,,,,,,,,,,
21,plataformatec/devise,v1.1.rc2,2010-06-23,FEATURE,170,9058,,,,,,,,,,,,,,,
22,plataformatec/devise,v1.1.0,2010-07-26,FEATURE,170,9594,1.0,67.0,7.0,91.0,1.0,,,,,,,,,,
23,plataformatec/devise,v1.1.1,2010-07-27,FEATURE,170,9599,,,,,,,,,,,,,,,
24,plataformatec/devise,v1.1.2,2010-08-25,FEATURE,170,9595,,,,,,,,,,,,,,,
25,plataformatec/devise,v1.1.3,2010-09-24,FEATURE,170,9661,,,,,,,,,,,,,,,
26,plataformatec/devise,v1.0.9,2010-11-26,FEATURE,163,8605,,,,,,,,,,,,,,,
27,plataformatec/devise,v1.1.4,2010-11-26,FEATURE,170,9759,,,,,,,,,,,,,,,
28,plataformatec/devise,v1.2.rc,2010-11-26,FEATURE,182,11245,,,,,,,,,,,,,,,
29,plataformatec/devise,v1.1.5,2010-11-27,FEATURE,171,9806,1.0,348.0,7.0,91.0,1.0,,,,,,,,,,
30,plataformatec/devise,v1.1.6,2011-02-15,FEATURE,171,9842,,,,,,,,,,,,,,,
31,plataformatec/devise,v1.1.7,2011-02-16,FEATURE,171,9856,,,,,,,,,,,,,,,
32,plataformatec/devise,v1.0.11,2011-03-11,FEATURE,163,8668,,,,,,,,,,,,,,,
33,plataformatec/devise,v1.1.8,2011-03-11,FEATURE,171,9896,,,,,,,,,,,,,,,
34,plataformatec/devise,v1.2.rc2,2011-03-11,FEATURE,189,11653,,,,,,,,,,,,,,,
35,plataformatec/devise,v1.1.9,2011-03-25,FEATURE,171,9902,1.0,363.0,7.0,91.0,1.0,,,,,,,,,,
36,plataformatec/devise,v1.2.0,2011-03-25,FEATURE,186,11615,,,,,,,,,,,,,,,
37,plataformatec/devise,v1.2.1,2011-03-28,FEATURE,186,11622,,,,,,,,,,,,,,,
38,plataformatec/devise,v1.3.0,2011-04-16,FEATURE,187,12035,,,,,,,,,,,,,,,
39,plataformatec/devise,v1.3.1,2011-04-19,FEATURE,188,12104,,,,,,,,,,,,,,,
40,plataformatec/devise,v1.3.2,2011-04-21,FEATURE,188,12117,,,,,,,,,,,,,,,
41,plataformatec/devise,v1.3.3,2011-04-21,FEATURE,188,12123,,,,,,,,,,,,,,,
42,plataformatec/devise,v1.3.4,2011-04-29,FEATURE,188,12137,,,,,,,,,,,,,,,
43,plataformatec/devise,v1.4.0,2011-06-23,FEATURE,192,12740,,,,,,,,,,,,,,,
44,plataformatec/devise,v1.4.1,2011-06-29,FEATURE,201,13086,,,,,,,,,,,,,,,
45,plataformatec/devise,v1.4.2,2011-06-30,FEATURE,203,13168,,,,,,,,,,,,,,,
46,plataformatec/devise,v1.4.3,2011-08-30,FEATURE,203,13255,,,,,,,,,,,,,,,
47,plataformatec/devise,v1.4.4,2011-08-31,FEATURE,203,13278,,,,,,,,,,,,,,,
48,plataformatec/devise,v1.4.5,2011-09-08,FEATURE,203,13299,,,,,,,,,,,,,,,
49,plataformatec/devise,v1.4.6,2011-09-14,FEATURE,203,13335,,,,,,,,,,,,,,,
50,plataformatec/devise,v1.4.7,2011-09-22,FEATURE,203,13348,,,,,,,,,,,,,,,
51,plataformatec/devise,v1.4.8,2011-10-10,FEATURE,203,13370,,,,,,,,,,,,,,,
52,plataformatec/devise,v1.4.9,2011-10-20,FEATURE,203,13373,,,,,,,,,,,,,,,
53,plataformatec/devise,v1.5.0.rc1,2011-11-10,FEATURE,211,13778,,,,,,,,,,,,,,,
54,plataformatec/devise,v1.5.0.rc,2011-11-10,FEATURE,211,13778,,,,,,,,,,,,,,,
55,plataformatec/devise,v1.5.0,2011-11-13,FEATURE,211,13778,,,,,,,,,,,,,,,
56,plataformatec/devise,v1.5.1,2011-11-22,FEATURE,209,13776,,,,,,,,,,,,,,,
57,plataformatec/devise,v1.5.2,2011-11-30,FEATURE,209,13822,,,,,,,,,,,,,,,
58,plataformatec/devise,v1.5.3,2011-12-19,FEATURE,211,13869,,,,,,,,,,,,,,,
59,plataformatec/devise,v2.0.0.rc,2011-12-19,FEATURE,211,14305,,,,,,,,,,,,,,,
60,plataformatec/devise,v2.0.0.rc2,2012-01-24,FEATURE,212,14346,,,,,,,,,,,,,,,
61,plataformatec/devise,v2.0.0,2012-01-26,FEATURE,212,14344,,,,,,,,,,,,,,,
62,plataformatec/devise,v2.0.1,2012-02-09,FEATURE,212,14415,,,,,,,,,,,,,,,
