,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,plataformatec/devise,v0.8.0,2010-01-07,RELEASE,146,6866,,,,,,,,,,,,,,,
1,plataformatec/devise,v0.8.1,2010-01-08,RELEASE,147,6851,,,,,,,,,,,,,,,
2,plataformatec/devise,v0.8.2,2010-01-13,RELEASE,147,6899,,,,,,,,,,,,,,,
3,plataformatec/devise,v0.9.0,2010-01-21,RELEASE,150,7152,,,,,,,,,,,,,,,
4,plataformatec/devise,v0.9.1,2010-01-25,RELEASE,150,7154,,,,,,,,,,,,,,,
5,plataformatec/devise,v0.9.2,2010-02-05,RELEASE,156,7644,,,,,,,,,,,,,,,
6,plataformatec/devise,v1.0.0,2010-02-09,RELEASE,161,8176,1.0,18.0,2.0,4.0,1.0,,,,,,,,,,
7,plataformatec/devise,v1.0.1,2010-02-15,RELEASE,162,8203,,,,,,,,,,,,,,,
8,plataformatec/devise,v1.1.pre,2010-02-17,RELEASE,154,8123,1.0,16.0,7.0,126.0,1.0,,,,,,,,,,
9,plataformatec/devise,v1.0.2,2010-02-17,RELEASE,162,8237,,,,,,,,,,,,,,,
10,plataformatec/devise,v1.1.pre2,2010-02-18,RELEASE,154,8138,2.0,19.0,9.0,132.0,2.0,,,,,,,,,,
11,plataformatec/devise,v1.0.3,2010-02-23,RELEASE,162,8253,,,,,,,,,,,,,,,
12,plataformatec/devise,v1.1.pre3,2010-02-24,RELEASE,154,8101,2.0,34.0,9.0,132.0,2.0,,,,,,,,,,
13,plataformatec/devise,v1.1.pre4,2010-03-03,RELEASE,155,8116,1.0,13.0,2.0,4.0,1.0,,,,,,,,,,
14,plataformatec/devise,v1.0.4,2010-03-03,RELEASE,162,8280,,,,,,,,,,,,,,,
15,plataformatec/devise,v1.0.5,2010-03-26,RELEASE,162,8291,,,,,,,,,,,,,,,
16,plataformatec/devise,v1.1.rc0,2010-04-03,RELEASE,160,8631,3.0,132.0,11.0,136.0,3.0,,,,,,,,,,
17,plataformatec/devise,v1.0.6,2010-04-13,RELEASE,163,8357,1.0,44.0,3.0,10.0,1.0,,,,,,,,,,
18,plataformatec/devise,v1.1.rc1,2010-04-15,RELEASE,161,8694,4.0,160.0,15.0,146.0,4.0,,,,,,,,,,
19,plataformatec/devise,v1.0.7,2010-05-03,RELEASE,163,8381,1.0,49.0,3.0,10.0,1.0,,,,,,,,,,
20,plataformatec/devise,v1.0.8,2010-06-23,RELEASE,163,8427,,,,,,,,,,,,,,,
21,plataformatec/devise,v1.1.rc2,2010-06-23,RELEASE,170,9058,5.0,246.0,18.0,215.0,5.0,,,,,,,,,,
22,plataformatec/devise,v1.1.0,2010-07-26,RELEASE,170,9594,1.0,67.0,2.0,4.0,1.0,,,,,,,,,,
23,plataformatec/devise,v1.1.1,2010-07-27,RELEASE,170,9599,,,,,,,,,,,1.0,1.0,3.0,17.0,-1.0
24,plataformatec/devise,v1.1.2,2010-08-25,RELEASE,170,9595,,,,,,,,,,,1.0,2.0,3.0,11.0,-1.0
