,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,plataformatec/devise,v0.8.0,2010-01-07,UPGRADE,146.0,6866.0,1.0,10.0,3.0,17.0,1.0,,,,,
1,plataformatec/devise,v0.8.1,2010-01-08,,,,,,,,,,,,,
2,plataformatec/devise,v0.8.2,2010-01-13,,,,,,,,,,,,,
3,plataformatec/devise,v0.9.0,2010-01-21,,,,,,,,,,,,,
4,plataformatec/devise,v0.9.1,2010-01-25,,,,,,,,,,,,,
5,plataformatec/devise,v0.9.2,2010-02-05,,,,,,,,,,,,,
6,plataformatec/devise,v1.0.0,2010-02-09,,,,,,,,,,,,,
7,plataformatec/devise,v1.0.1,2010-02-15,,,,,,,,,,,,,
8,plataformatec/devise,v1.1.pre,2010-02-17,UPGRADE,154.0,8123.0,1.0,16.0,7.0,51.0,1.0,,,,,
9,plataformatec/devise,v1.0.2,2010-02-17,,,,,,,,,,,,,
10,plataformatec/devise,v1.1.pre2,2010-02-18,UPGRADE,154.0,8138.0,1.0,20.0,7.0,51.0,1.0,,,,,
11,plataformatec/devise,v1.0.3,2010-02-23,,,,,,,,,,,,,
12,plataformatec/devise,v1.1.pre3,2010-02-24,UPGRADE,154.0,8101.0,1.0,35.0,7.0,51.0,1.0,,,,,
13,plataformatec/devise,v1.1.pre4,2010-03-03,,,,,,,,,,,,,
14,plataformatec/devise,v1.0.4,2010-03-03,,,,,,,,,,,,,
15,plataformatec/devise,v1.0.5,2010-03-26,,,,,,,,,,,,,
16,plataformatec/devise,v1.1.rc0,2010-04-03,UPGRADE,160.0,8631.0,1.0,134.0,7.0,51.0,1.0,,,,,
17,plataformatec/devise,v1.0.6,2010-04-13,,,,,,,,,,,,,
18,plataformatec/devise,v1.1.rc1,2010-04-15,UPGRADE,161.0,8694.0,2.0,162.0,8.0,57.0,1.0,,,,,
19,plataformatec/devise,v1.0.7,2010-05-03,,,,,,,,,,,,,
20,plataformatec/devise,v1.0.8,2010-06-23,,,,,,,,,,,,,
21,plataformatec/devise,v1.1.rc2,2010-06-23,UPGRADE,170.0,9058.0,3.0,247.0,22.0,413.0,1.0,,,,,
22,plataformatec/devise,v1.1.0,2010-07-26,UPGRADE,170.0,9594.0,2.0,66.0,2.0,13.0,1.0,,,,,
23,plataformatec/devise,v1.1.1,2010-07-27,,,,,,,,,,,,,
24,plataformatec/devise,v1.1.2,2010-08-25,,,,,,,,,,,,,
25,plataformatec/devise,v1.1.3,2010-09-24,,,,,,,,,,,,,
26,plataformatec/devise,v1.0.9,2010-11-26,UPGRADE,163.0,8605.0,1.0,77.0,1.0,4.0,0.0,1.0,77.0,1.0,4.0,1.0
27,plataformatec/devise,v1.1.4,2010-11-26,,,,,,,,,,,,,
28,plataformatec/devise,v1.2.rc,2010-11-26,,,,,,,,,,,,,
29,plataformatec/devise,v1.1.5,2010-11-27,UPGRADE,171.0,9806.0,5.0,343.0,24.0,426.0,1.0,,,,,
30,plataformatec/devise,v1.1.6,2011-02-15,,,,,,,,,,,,,
31,plataformatec/devise,v1.1.7,2011-02-16,,,,,,,,,,,,,
32,plataformatec/devise,v1.0.11,2011-03-11,UPGRADE,163.0,8668.0,2.0,88.0,2.0,6.0,1.0,1.0,88.0,1.0,4.0,1.0
33,plataformatec/devise,v1.1.8,2011-03-11,,,,,,,,,,,,,
34,plataformatec/devise,v1.2.rc2,2011-03-11,,,,,,,,,,,,,
35,plataformatec/devise,v1.1.9,2011-03-25,UPGRADE,171.0,9902.0,5.0,358.0,24.0,426.0,1.0,,,,,
36,plataformatec/devise,v1.2.0,2011-03-25,,,,,,,,,,,,,
37,plataformatec/devise,v1.2.1,2011-03-28,,,,,,,,,,,,,
38,plataformatec/devise,v1.3.0,2011-04-16,,,,,,,,,,,,,
39,plataformatec/devise,v1.3.1,2011-04-19,,,,,,,,,,,,,
40,plataformatec/devise,v1.3.2,2011-04-21,,,,,,,,,,,,,
41,plataformatec/devise,v1.3.3,2011-04-21,,,,,,,,,,,,,
42,plataformatec/devise,v1.3.4,2011-04-29,,,,,,,,,,,,,
43,plataformatec/devise,v1.4.0,2011-06-23,,,,,,,,,,,,,
44,plataformatec/devise,v1.4.1,2011-06-29,,,,,,,,,,,,,
45,plataformatec/devise,v1.4.2,2011-06-30,,,,,,,,,,,,,
46,plataformatec/devise,v1.4.3,2011-08-30,,,,,,,,,,,,,
47,plataformatec/devise,v1.4.4,2011-08-31,,,,,,,,,,,,,
48,plataformatec/devise,v1.4.5,2011-09-08,,,,,,,,,,,,,
49,plataformatec/devise,v1.4.6,2011-09-14,,,,,,,,,,,,,
50,plataformatec/devise,v1.4.7,2011-09-22,,,,,,,,,,,,,
51,plataformatec/devise,v1.4.8,2011-10-10,,,,,,,,,,,,,
52,plataformatec/devise,v1.4.9,2011-10-20,,,,,,,,,,,,,
