,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,elastic/elasticsearch,v0.5.0,2010-03-05,,,,,,,,,,,,,
1,elastic/elasticsearch,v0.5.1,2010-03-09,,,,,,,,,,,,,
2,elastic/elasticsearch,v0.6.0,2010-04-09,,,,,,,,,,,,,
3,elastic/elasticsearch,v0.7.0,2010-05-14,,,,,,,,,,,,,
4,elastic/elasticsearch,v0.7.1,2010-05-17,,,,,,,,,,,,,
5,elastic/elasticsearch,v0.8.0,2010-05-27,,,,,,,,,,,,,
6,elastic/elasticsearch,v0.9.0,2010-07-26,,,,,,,,,,,,,
7,elastic/elasticsearch,v0.10.0,2010-08-27,,,,,,,,,,,,,
8,elastic/elasticsearch,v0.11.0,2010-09-28,,,,,,,,,,,,,
9,elastic/elasticsearch,v0.12.0,2010-10-18,,,,,,,,,,,,,
10,elastic/elasticsearch,v0.12.1,2010-10-27,DOCS,2111.0,231277.0,1.0,22.0,9.0,513.0,1.0,,,,,
11,elastic/elasticsearch,v0.13.0,2010-11-18,,,,,,,,,,,,,
12,elastic/elasticsearch,v0.13.1,2010-12-03,,,,,,,,,,,,,
13,elastic/elasticsearch,v0.14.0,2010-12-27,,,,,,,,,,,,,
14,elastic/elasticsearch,v0.14.1,2010-12-29,,,,,,,,,,,,,
15,elastic/elasticsearch,v0.14.2,2011-01-05,,,,,,,,,,,,,
16,elastic/elasticsearch,v0.14.3,2011-01-23,,,,,,,,,,,,,
17,elastic/elasticsearch,v0.14.4,2011-01-31,,,,,,,,,,,,,
18,elastic/elasticsearch,v0.15.0,2011-02-18,,,,,,,,,,,,,
19,elastic/elasticsearch,v0.15.1,2011-03-01,,,,,,,,,,,,,
20,elastic/elasticsearch,v0.15.2,2011-03-07,,,,,,,,,,,,,
21,elastic/elasticsearch,v0.16.0,2011-04-23,,,,,,,,,,,,,
22,elastic/elasticsearch,v0.16.1,2011-05-12,,,,,,,,,,,,,
23,elastic/elasticsearch,v0.16.2,2011-06-01,,,,,,,,,,,,,
24,elastic/elasticsearch,v0.16.3,2011-07-08,,,,,,,,,,,,,
25,elastic/elasticsearch,v0.16.4,2011-07-14,,,,,,,,,,,,,
26,elastic/elasticsearch,v0.17.0,2011-07-19,,,,,,,,,,,,,
27,elastic/elasticsearch,v0.17.1,2011-07-21,,,,,,,,,,,,,
