,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,elastic/elasticsearch,v0.5.0,2010-03-05,OTHER,1555,209109,,,,,,,,,,,103.0,,874.0,29557.0,-1.0
1,elastic/elasticsearch,v0.5.1,2010-03-09,OTHER,1563,209683,,,,,,,,,,,6.0,,18.0,658.0,-1.0
2,elastic/elasticsearch,v0.6.0,2010-04-09,OTHER,1701,233675,,,,,,,,,,,130.0,,1019.0,26796.0,-1.0
3,elastic/elasticsearch,v0.7.0,2010-05-14,OTHER,2146,299306,,,,,,,,,,,138.0,,3329.0,103021.0,-1.0
4,elastic/elasticsearch,v0.7.1,2010-05-17,OTHER,2151,300385,,,,,,,,,,,19.0,,90.0,1726.0,-1.0
5,elastic/elasticsearch,v0.8.0,2010-05-27,OTHER,2221,309564,,,,,,,,,,,46.0,,241.0,9453.0,-1.0
6,elastic/elasticsearch,v0.9.0,2010-07-26,OTHER,1785,193100,,,,,,,,,,,241.0,,1573.0,48744.0,-1.0
7,elastic/elasticsearch,v0.10.0,2010-08-27,OTHER,1882,200156,,,,,,,,,,,151.0,,648.0,25618.0,-1.0
8,elastic/elasticsearch,v0.11.0,2010-09-28,OTHER,2014,216717,,,,,,,,,,,103.0,,664.0,22450.0,-1.0
9,elastic/elasticsearch,v0.12.0,2010-10-18,OTHER,2099,230340,,,,,,,,,,,68.0,,435.0,15831.0,-1.0
10,elastic/elasticsearch,v0.12.1,2010-10-27,OTHER,2111,231277,10.0,13.0,16.0,248.0,10.0,,,,,,,,,,
11,elastic/elasticsearch,v0.13.0,2010-11-18,OTHER,2172,239773,,,,,,,,,,,123.0,,625.0,12052.0,-1.0
12,elastic/elasticsearch,v0.13.1,2010-12-03,OTHER,2172,239767,4.0,1.0,4.0,44.0,4.0,,,,,,1.0,,1.0,18.0,-1.0
13,elastic/elasticsearch,v0.14.0,2010-12-27,OTHER,2250,249897,,,,,,,,,,,89.0,,437.0,11122.0,-1.0
14,elastic/elasticsearch,v0.14.1,2010-12-29,OTHER,2250,250025,,,,,,,,,,,4.0,,17.0,162.0,-1.0
15,elastic/elasticsearch,v0.14.2,2011-01-05,OTHER,2248,250272,,,,,,,,,,,9.0,,30.0,1030.0,-1.0
16,elastic/elasticsearch,v0.14.3,2011-01-23,OTHER,2248,250475,,,,,,,,,,,8.0,,11.0,255.0,-1.0
17,elastic/elasticsearch,v0.14.4,2011-01-31,OTHER,2248,250493,,,,,,,,,,,5.0,,5.0,38.0,-1.0
18,elastic/elasticsearch,v0.15.0,2011-02-18,OTHER,2329,267764,,,,,,,,,,,207.0,,1203.0,31080.0,-1.0
19,elastic/elasticsearch,v0.15.1,2011-03-01,OTHER,2330,268058,,,,,,,,,,,23.0,7.0,64.0,1429.0,-1.0
20,elastic/elasticsearch,v0.15.2,2011-03-07,OTHER,2334,268259,,,,,,,,,,,12.0,8.0,21.0,357.0,-1.0
21,elastic/elasticsearch,v0.16.0,2011-04-23,OTHER,2424,287277,,,,,,,,,,,217.0,8.0,895.0,28421.0,-1.0
22,elastic/elasticsearch,v0.16.1,2011-05-12,OTHER,2466,292326,,,,,,,,,,,36.0,10.0,178.0,4935.0,-1.0
23,elastic/elasticsearch,v0.16.2,2011-06-01,OTHER,2480,294037,,,,,,,,,,,38.0,11.0,150.0,3319.0,-1.0
24,elastic/elasticsearch,v0.16.3,2011-07-08,OTHER,2480,294200,,,,,,,,,,,11.0,2.0,22.0,242.0,-1.0
25,elastic/elasticsearch,v0.16.4,2011-07-14,OTHER,2482,294295,,,,,,,,,,,3.0,2.0,7.0,145.0,-1.0
26,elastic/elasticsearch,v0.17.0,2011-07-19,OTHER,2719,327021,,,,,,,,,,,233.0,16.0,1029.0,34240.0,-1.0
27,elastic/elasticsearch,v0.17.1,2011-07-21,OTHER,2719,327101,,,,,,,,,,,13.0,7.0,19.0,161.0,-1.0
28,elastic/elasticsearch,v0.16.5,2011-07-26,OTHER,2482,294359,,,,,,,,,,,91.0,27.0,369.0,8690.0,-1.0
29,elastic/elasticsearch,v0.17.2,2011-07-27,OTHER,2723,328537,,,,,,,,,,,276.0,28.0,1208.0,37440.0,-1.0
30,elastic/elasticsearch,v0.17.3,2011-08-04,OTHER,2733,330101,,,,,,,,,,,40.0,10.0,104.0,2566.0,-1.0
31,elastic/elasticsearch,v0.17.4,2011-08-05,OTHER,2733,330095,,,,,,,,,,,2.0,1.0,3.0,10.0,-1.0
32,elastic/elasticsearch,v0.17.5,2011-08-12,OTHER,2737,330894,,,,,,,,,,,27.0,9.0,52.0,1522.0,-1.0
33,elastic/elasticsearch,v0.17.6,2011-08-13,OTHER,2737,330903,,,,,,,,,,,2.0,1.0,3.0,17.0,-1.0
34,elastic/elasticsearch,v0.17.7,2011-09-19,OTHER,2740,330970,,,,,,,,,,,44.0,17.0,85.0,1131.0,-1.0
35,elastic/elasticsearch,v0.17.8,2011-10-06,OTHER,2740,331045,,,,,,,,,,,9.0,2.0,10.0,174.0,-1.0
