,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,elastic/elasticsearch,v0.5.0,2010-03-05,REFACTOR,1555,209109,,,,,,,,,,,8.0,,231.0,5398.0,-1.0
1,elastic/elasticsearch,v0.5.1,2010-03-09,REFACTOR,1563,209683,,,,,,,,,,,,,,,
2,elastic/elasticsearch,v0.6.0,2010-04-09,REFACTOR,1701,233675,,,,,,,,,,,3.0,,238.0,4922.0,-1.0
3,elastic/elasticsearch,v0.7.0,2010-05-14,REFACTOR,2146,299306,,,,,,,,,,,2.0,,37.0,183.0,-1.0
4,elastic/elasticsearch,v0.7.1,2010-05-17,REFACTOR,2151,300385,,,,,,,,,,,,,,,
5,elastic/elasticsearch,v0.8.0,2010-05-27,REFACTOR,2221,309564,,,,,,,,,,,,,,,
6,elastic/elasticsearch,v0.9.0,2010-07-26,REFACTOR,1785,193100,,,,,,,,,,,15.0,,2456.0,161717.0,-1.0
7,elastic/elasticsearch,v0.10.0,2010-08-27,REFACTOR,1882,200156,,,,,,,,,,,11.0,,177.0,5738.0,-1.0
8,elastic/elasticsearch,v0.11.0,2010-09-28,REFACTOR,2014,216717,,,,,,,,,,,5.0,,245.0,3618.0,-1.0
9,elastic/elasticsearch,v0.12.0,2010-10-18,REFACTOR,2099,230340,,,,,,,,,,,2.0,,73.0,1228.0,-1.0
10,elastic/elasticsearch,v0.12.1,2010-10-27,REFACTOR,2111,231277,,,,,,,,,,,,,,,
11,elastic/elasticsearch,v0.13.0,2010-11-18,REFACTOR,2172,239773,,,,,,,,,,,3.0,1.0,38.0,264.0,-1.0
12,elastic/elasticsearch,v0.13.1,2010-12-03,REFACTOR,2172,239767,,,,,,,,,,,,,,,
13,elastic/elasticsearch,v0.14.0,2010-12-27,REFACTOR,2250,249897,,,,,,,,,,,,,,,
14,elastic/elasticsearch,v0.14.1,2010-12-29,REFACTOR,2250,250025,,,,,,,,,,,,,,,
15,elastic/elasticsearch,v0.14.2,2011-01-05,REFACTOR,2248,250272,,,,,,,,,,,,,,,
16,elastic/elasticsearch,v0.14.3,2011-01-23,REFACTOR,2248,250475,,,,,,,,,,,,,,,
17,elastic/elasticsearch,v0.14.4,2011-01-31,REFACTOR,2248,250493,,,,,,,,,,,,,,,
18,elastic/elasticsearch,v0.15.0,2011-02-18,REFACTOR,2329,267764,,,,,,,,,,,8.0,2.0,289.0,6650.0,-1.0
19,elastic/elasticsearch,v0.15.1,2011-03-01,REFACTOR,2330,268058,,,,,,,,,,,,,,,
20,elastic/elasticsearch,v0.15.2,2011-03-07,REFACTOR,2334,268259,,,,,,,,,,,,,,,
21,elastic/elasticsearch,v0.16.0,2011-04-23,REFACTOR,2424,287277,,,,,,,,,,,2.0,17.0,4.0,93.0,-1.0
22,elastic/elasticsearch,v0.16.1,2011-05-12,REFACTOR,2466,292326,,,,,,,,,,,,,,,
23,elastic/elasticsearch,v0.16.2,2011-06-01,REFACTOR,2480,294037,,,,,,,,,,,,,,,
24,elastic/elasticsearch,v0.16.3,2011-07-08,REFACTOR,2480,294200,,,,,,,,,,,,,,,
25,elastic/elasticsearch,v0.16.4,2011-07-14,REFACTOR,2482,294295,,,,,,,,,,,,,,,
