,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,elastic/elasticsearch,v0.5.0,2010-03-05,RELEASE,1555.0,209109.0,,,,,,,,,,,1.0,,5.0,44.0,-1.0
1,elastic/elasticsearch,v0.5.1,2010-03-09,,,,,,,,,,,,,,,,,,
2,elastic/elasticsearch,v0.6.0,2010-04-09,RELEASE,1701.0,233675.0,,,,,,,,,,,4.0,,23.0,280.0,-1.0
3,elastic/elasticsearch,v0.7.0,2010-05-14,RELEASE,2146.0,299306.0,,,,,,,,,,,2.0,,6.0,27.0,-1.0
4,elastic/elasticsearch,v0.7.1,2010-05-17,RELEASE,2151.0,300385.0,,,,,,,,,,,2.0,,4.0,41.0,-1.0
5,elastic/elasticsearch,v0.8.0,2010-05-27,RELEASE,2221.0,309564.0,,,,,,,,,,,1.0,,1.0,2.0,-1.0
6,elastic/elasticsearch,v0.9.0,2010-07-26,RELEASE,1785.0,193100.0,,,,,,,,,,,1.0,,1.0,2.0,-1.0
7,elastic/elasticsearch,v0.10.0,2010-08-27,RELEASE,1882.0,200156.0,,,,,,,,,,,1.0,,1.0,2.0,-1.0
8,elastic/elasticsearch,v0.11.0,2010-09-28,RELEASE,2014.0,216717.0,,,,,,,,,,,1.0,,1.0,2.0,-1.0
9,elastic/elasticsearch,v0.12.0,2010-10-18,RELEASE,2099.0,230340.0,,,,,,,,,,,1.0,,1.0,2.0,-1.0
10,elastic/elasticsearch,v0.12.1,2010-10-27,,,,1.0,22.0,1.0,2.0,1.0,,,,,,,,,,
11,elastic/elasticsearch,v0.13.0,2010-11-18,RELEASE,2172.0,239773.0,,,,,,,,,,,1.0,1.0,1.0,2.0,-1.0
12,elastic/elasticsearch,v0.13.1,2010-12-03,,,,,,,,,,,,,,,,,,
13,elastic/elasticsearch,v0.14.0,2010-12-27,RELEASE,2250.0,249897.0,,,,,,,,,,,1.0,,1.0,2.0,-1.0
14,elastic/elasticsearch,v0.14.1,2010-12-29,RELEASE,2250.0,250025.0,,,,,,,,,,,1.0,,1.0,2.0,-1.0
15,elastic/elasticsearch,v0.14.2,2011-01-05,,,,,,,,,,,,,,,,,,
16,elastic/elasticsearch,v0.14.3,2011-01-23,,,,,,,,,,,,,,,,,,
17,elastic/elasticsearch,v0.14.4,2011-01-31,RELEASE,2248.0,250493.0,,,,,,,,,,,1.0,,1.0,2.0,-1.0
18,elastic/elasticsearch,v0.15.0,2011-02-18,RELEASE,2329.0,267764.0,,,,,,,,,,,1.0,2.0,1.0,34.0,-1.0
19,elastic/elasticsearch,v0.15.1,2011-03-01,RELEASE,2330.0,268058.0,,,,,,,,,,,1.0,29.0,1.0,2.0,-1.0
20,elastic/elasticsearch,v0.15.2,2011-03-07,RELEASE,2334.0,268259.0,,,,,,,,,,,1.0,19.0,1.0,2.0,-1.0
21,elastic/elasticsearch,v0.16.0,2011-04-23,RELEASE,2424.0,287277.0,,,,,,,,,,,1.0,16.0,1.0,2.0,-1.0
22,elastic/elasticsearch,v0.16.1,2011-05-12,RELEASE,2466.0,292326.0,,,,,,,,,,,1.0,45.0,1.0,2.0,-1.0
23,elastic/elasticsearch,v0.16.2,2011-06-01,,,,,,,,,,,,,,,,,,
24,elastic/elasticsearch,v0.16.3,2011-07-08,RELEASE,2480.0,294200.0,,,,,,,,,,,1.0,12.0,1.0,2.0,-1.0
25,elastic/elasticsearch,v0.16.4,2011-07-14,RELEASE,2482.0,294295.0,,,,,,,,,,,1.0,4.0,1.0,2.0,-1.0
26,elastic/elasticsearch,v0.17.0,2011-07-19,RELEASE,2719.0,327021.0,,,,,,,,,,,1.0,78.0,1.0,2.0,-1.0
