,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,jordansissel/fpm,v0.1.3,2011-01-03,,,,,,,,,,,,,
1,jordansissel/fpm,v0.1.4,2011-01-04,BUG,10.0,509.0,1.0,9.0,1.0,3.0,1.0,,,,,
2,jordansissel/fpm,v0.1.7,2011-01-13,BUG,20.0,1058.0,8.0,43.0,14.0,104.0,1.0,2.0,43.0,2.0,3.0,1.0
3,jordansissel/fpm,v0.2.0,2011-01-22,BUG,21.0,1140.0,3.0,11.0,7.0,42.0,1.0,,,,,
4,jordansissel/fpm,v0.2.1,2011-01-22,,,,,,,,,,,,,
5,jordansissel/fpm,v0.2.7,2011-03-17,BUG,23.0,1211.0,7.0,29.0,10.0,46.0,1.0,,,,,
6,jordansissel/fpm,v0.3.1,2011-06-20,BUG,47.0,2959.0,10.0,120.0,13.0,86.0,1.0,,,,,
7,jordansissel/fpm,v0.3.2,2011-06-20,BUG,47.0,2960.0,1.0,,2.0,3.0,1.0,,,,,
8,jordansissel/fpm,v0.3.3,2011-06-24,BUG,47.0,2962.0,1.0,6.0,1.0,4.0,0.0,1.0,6.0,1.0,4.0,1.0
9,jordansissel/fpm,v0.3.6,2011-07-08,BUG,47.0,3039.0,3.0,27.0,2.0,16.0,1.0,,,,,
10,jordansissel/fpm,v0.3.7,2011-07-11,,,,,,,,,,,,,
11,jordansissel/fpm,v0.3.8,2011-09-05,BUG,56.0,3307.0,8.0,32.0,8.0,55.0,1.0,6.0,32.0,6.0,43.0,5.0
12,jordansissel/fpm,v0.3.10,2011-10-11,,,,,,,,,,,,,
13,jordansissel/fpm,v0.3.11,2011-11-03,,,,,,,,,,,,,
14,jordansissel/fpm,v0.3.12,2012-02-22,BUG,64.0,3288.0,5.0,44.0,,0.0,1.0,1.0,44.0,,0.0,1.0
15,jordansissel/fpm,v0.4.0,2012-03-19,BUG,61.0,4082.0,11.0,138.0,14.0,131.0,1.0,,,,,
