,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,jordansissel/fpm,v0.1.3,2011-01-03,OTHER,10,420,5.0,1.0,5.0,35.0,5.0,,,,,,,,,,
1,jordansissel/fpm,v0.1.4,2011-01-04,OTHER,10,509,7.0,3.0,10.0,83.0,7.0,,,,,,,,,,
2,jordansissel/fpm,v0.1.7,2011-01-13,OTHER,20,1058,17.0,9.0,37.0,315.0,17.0,21.0,9.0,27.0,545.0,21.0,4.0,,4.0,141.0,-1.0
3,jordansissel/fpm,v0.2.0,2011-01-22,OTHER,21,1140,8.0,6.0,7.0,68.0,8.0,,,,,,,,,,
4,jordansissel/fpm,v0.2.1,2011-01-22,OTHER,21,1142,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,
5,jordansissel/fpm,v0.2.7,2011-03-17,OTHER,23,1211,18.0,10.0,22.0,182.0,18.0,1.0,10.0,2.0,17.0,1.0,4.0,,4.0,20.0,-1.0
6,jordansissel/fpm,v0.3.1,2011-06-20,OTHER,47,2959,85.0,37.0,119.0,2700.0,85.0,1.0,37.0,2.0,4.0,1.0,9.0,3.0,17.0,126.0,-1.0
7,jordansissel/fpm,v0.3.2,2011-06-20,OTHER,47,2960,,,,,,,,,,,,,,,
8,jordansissel/fpm,v0.3.3,2011-06-24,OTHER,47,2962,4.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,8.0,1.0,1.0,,1.0,4.0,-1.0
9,jordansissel/fpm,v0.3.6,2011-07-08,OTHER,47,3039,11.0,9.0,7.0,28.0,11.0,,,,,,13.0,5.0,44.0,208.0,-1.0
10,jordansissel/fpm,v0.3.7,2011-07-11,OTHER,47,3041,3.0,1.0,1.0,2.0,3.0,,,,,,2.0,,2.0,12.0,-1.0
11,jordansissel/fpm,v0.3.8,2011-09-05,OTHER,56,3307,17.0,13.0,6.0,31.0,17.0,9.0,13.0,22.0,168.0,9.0,,,,,
12,jordansissel/fpm,v0.3.10,2011-10-11,OTHER,60,3469,3.0,7.0,3.0,10.0,3.0,,,,,,9.0,7.0,15.0,94.0,-1.0
13,jordansissel/fpm,v0.3.11,2011-11-03,OTHER,60,3488,,,,,,,,,,,6.0,2.0,4.0,25.0,-1.0
14,jordansissel/fpm,v0.3.12,2012-02-22,OTHER,64,3288,5.0,17.0,6.0,532.0,5.0,3.0,17.0,5.0,35.0,3.0,30.0,12.0,27.0,161.0,-1.0
15,jordansissel/fpm,v0.4.0,2012-03-19,OTHER,61,4082,62.0,42.0,106.0,3415.0,62.0,,,,,,53.0,17.0,70.0,1373.0,-1.0
16,jordansissel/fpm,v0.4.1,2012-03-19,OTHER,62,4117,9.0,7.0,10.0,32.0,9.0,,,,,,,,,,
17,jordansissel/fpm,v0.4.2,2012-03-20,OTHER,62,4163,3.0,4.0,3.0,5.0,3.0,,,,,,3.0,4.0,2.0,29.0,-1.0
18,jordansissel/fpm,v0.4.3,2012-03-21,OTHER,62,4168,2.0,1.0,2.0,28.0,2.0,,,,,,,,,,
19,jordansissel/fpm,v0.4.4,2012-03-30,OTHER,62,4418,6.0,10.0,4.0,68.0,6.0,,,,,,12.0,7.0,15.0,145.0,-1.0
20,jordansissel/fpm,v0.4.5,2012-04-03,OTHER,62,4424,,,,,,,,,,,2.0,2.0,2.0,8.0,-1.0
21,jordansissel/fpm,v0.4.6,2012-04-10,OTHER,62,4432,,,,,,,,,,,2.0,,3.0,10.0,-1.0
22,jordansissel/fpm,v0.4.7,2012-04-25,OTHER,62,4447,,,,,,,,,,,12.0,3.0,13.0,189.0,-1.0
23,jordansissel/fpm,v0.4.8,2012-04-25,OTHER,62,4449,,,,,,,,,,,6.0,1.0,7.0,36.0,-1.0
24,jordansissel/fpm,v0.4.9,2012-04-25,OTHER,62,4452,,,,,,,,,,,2.0,1.0,2.0,5.0,-1.0
25,jordansissel/fpm,v0.4.10,2012-05-25,OTHER,62,4574,2.0,6.0,2.0,13.0,2.0,,,,,,13.0,5.0,11.0,119.0,-1.0
26,jordansissel/fpm,v0.4.11,2012-08-07,OTHER,61,4744,,,,,,,,,,,29.0,12.0,26.0,102.0,-1.0
27,jordansissel/fpm,v0.4.12,2012-08-10,OTHER,61,4747,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,
28,jordansissel/fpm,v0.4.13,2012-08-14,OTHER,61,4782,,,,,,,,,,,1.0,,2.0,50.0,-1.0
29,jordansissel/fpm,v0.4.14,2012-08-24,OTHER,61,4801,3.0,1.0,2.0,8.0,3.0,,,,,,1.0,,1.0,13.0,-1.0
30,jordansissel/fpm,v0.4.15,2012-09-06,OTHER,61,4960,19.0,18.0,27.0,156.0,19.0,,,,,,1.0,2.0,1.0,2.0,-1.0
31,jordansissel/fpm,v0.4.16,2012-09-06,OTHER,61,4965,1.0,1.0,3.0,7.0,1.0,,,,,,,,,,
32,jordansissel/fpm,v0.4.17,2012-09-12,OTHER,61,4969,3.0,,3.0,8.0,3.0,,,,,,,,,,
33,jordansissel/fpm,v0.4.18,2012-09-25,OTHER,61,5005,1.0,2.0,1.0,9.0,1.0,,,,,,,,,,
34,jordansissel/fpm,v0.4.19,2012-09-26,OTHER,61,5011,2.0,2.0,2.0,5.0,2.0,,,,,,1.0,1.0,1.0,2.0,-1.0
35,jordansissel/fpm,v0.4.20,2012-10-05,OTHER,61,5011,,,,,,,,,,,3.0,5.0,3.0,8.0,-1.0
36,jordansissel/fpm,v0.4.21,2012-11-08,OTHER,61,5048,1.0,2.0,1.0,8.0,1.0,,,,,,6.0,,9.0,45.0,-1.0
37,jordansissel/fpm,v0.4.22,2012-11-15,OTHER,61,5094,,,,,,,,,,,4.0,3.0,2.0,8.0,-1.0
38,jordansissel/fpm,v0.4.23,2012-11-27,OTHER,61,5105,2.0,2.0,2.0,9.0,2.0,,,,,,12.0,2.0,10.0,99.0,-1.0
39,jordansissel/fpm,v0.4.24,2012-11-30,OTHER,61,5161,5.0,9.0,6.0,18.0,5.0,,,,,,,,,,
40,jordansissel/fpm,v0.4.25,2012-12-07,OTHER,61,5239,1.0,9.0,1.0,8.0,1.0,,,,,,8.0,6.0,10.0,70.0,-1.0
41,jordansissel/fpm,v0.4.26,2012-12-27,OTHER,61,5326,2.0,4.0,2.0,10.0,2.0,,,,,,5.0,4.0,4.0,93.0,-1.0
42,jordansissel/fpm,v0.4.27,2013-01-16,OTHER,64,5683,8.0,11.0,11.0,55.0,8.0,6.0,11.0,4.0,125.0,6.0,10.0,6.0,13.0,146.0,-1.0
43,jordansissel/fpm,v0.4.29,2013-01-22,OTHER,64,5689,2.0,3.0,2.0,5.0,2.0,,,,,,1.0,,1.0,2.0,-1.0
44,jordansissel/fpm,v0.4.30,2013-03-21,OTHER,64,5692,16.0,10.0,11.0,203.0,16.0,3.0,10.0,3.0,36.0,3.0,9.0,3.0,10.0,52.0,-1.0
45,jordansissel/fpm,v0.4.31,2013-03-21,OTHER,64,5702,3.0,4.0,4.0,34.0,3.0,1.0,4.0,1.0,9.0,1.0,3.0,2.0,4.0,75.0,-1.0
46,jordansissel/fpm,v0.4.32,2013-04-09,OTHER,63,5839,15.0,17.0,11.0,72.0,15.0,1.0,17.0,1.0,22.0,1.0,16.0,6.0,28.0,432.0,-1.0
47,jordansissel/fpm,v0.4.33,2013-04-09,OTHER,63,5906,2.0,3.0,2.0,43.0,2.0,,,,,,,,,,
48,jordansissel/fpm,v0.4.34,2013-05-07,OTHER,68,20767,17.0,19.0,13.0,53.0,17.0,,,,,,4.0,7.0,9.0,14581.0,-1.0
49,jordansissel/fpm,v0.4.35,2013-05-08,OTHER,68,20788,2.0,,1.0,9.0,2.0,,,,,,4.0,,5.0,22.0,-1.0
50,jordansissel/fpm,v0.4.36,2013-05-15,OTHER,68,20846,5.0,8.0,4.0,15.0,5.0,,,,,,1.0,2.0,1.0,16.0,-1.0
51,jordansissel/fpm,v0.4.37,2013-05-30,OTHER,67,20929,10.0,10.0,8.0,84.0,10.0,,,,,,5.0,5.0,7.0,85.0,-1.0
52,jordansissel/fpm,v0.4.38,2013-06-24,OTHER,67,20988,19.0,4.0,9.0,112.0,19.0,3.0,4.0,3.0,21.0,3.0,10.0,4.0,13.0,77.0,-1.0
53,jordansissel/fpm,v0.4.39,2013-06-27,OTHER,67,21036,4.0,3.0,4.0,30.0,4.0,,,,,,,,,,
54,jordansissel/fpm,v0.4.40,2013-07-12,OTHER,67,21090,2.0,3.0,6.0,186.0,2.0,,,,,,2.0,,2.0,4.0,-1.0
55,jordansissel/fpm,v0.4.41,2013-07-17,OTHER,67,21101,3.0,1.0,3.0,7.0,3.0,,,,,,1.0,,1.0,36.0,-1.0
56,jordansissel/fpm,v0.4.42,2013-07-23,OTHER,67,21164,6.0,5.0,5.0,71.0,6.0,,,,,,2.0,1.0,3.0,71.0,-1.0
57,jordansissel/fpm,v1.0.0,2013-12-05,OTHER,69,21620,42.0,31.0,16.0,212.0,42.0,,,,,,39.0,18.0,41.0,425.0,-1.0
58,jordansissel/fpm,v1.0.1,2013-12-07,OTHER,69,21625,1.0,,2.0,5.0,1.0,,,,,,1.0,,1.0,2.0,-1.0
59,jordansissel/fpm,v1.0.2,2014-01-10,OTHER,69,21644,9.0,5.0,8.0,44.0,9.0,,,,,,2.0,1.0,2.0,15.0,-1.0
60,jordansissel/fpm,v1.1.0,2014-04-23,OTHER,76,22573,26.0,29.0,26.0,324.0,26.0,1.0,29.0,3.0,374.0,1.0,25.0,11.0,21.0,231.0,-1.0
61,jordansissel/fpm,v1.2.0,2014-07-25,OTHER,79,22963,18.0,35.0,8.0,60.0,18.0,3.0,35.0,4.0,30.0,3.0,11.0,19.0,24.0,196.0,-1.0
62,jordansissel/fpm,v1.3.0,2014-10-25,OTHER,86,23488,15.0,18.0,25.0,406.0,15.0,3.0,18.0,4.0,141.0,3.0,7.0,6.0,6.0,107.0,-1.0
63,jordansissel/fpm,v1.3.2,2014-11-05,OTHER,86,23509,5.0,4.0,5.0,29.0,5.0,,,,,,1.0,2.0,1.0,2.0,-1.0
64,jordansissel/fpm,v1.3.3,2014-12-11,OTHER,87,23543,8.0,2.0,6.0,42.0,8.0,1.0,2.0,1.0,20.0,1.0,,,,,
65,jordansissel/fpm,v1.4.0,2015-07-26,OTHER,93,24338,24.0,43.0,31.0,497.0,24.0,2.0,43.0,3.0,61.0,2.0,24.0,18.0,32.0,496.0,-1.0
66,jordansissel/fpm,v1.5.0,2016-04-12,OTHER,100,25809,33.0,71.0,14.0,145.0,33.0,21.0,72.0,25.0,314.0,21.0,64.0,36.0,74.0,1514.0,-1.0
67,jordansissel/fpm,v1.6.0,2016-05-23,OTHER,111,26870,20.0,26.0,15.0,304.0,20.0,20.0,26.0,32.0,1406.0,20.0,9.0,7.0,19.0,235.0,-1.0
68,jordansissel/fpm,v1.6.2,2016-06-30,OTHER,113,27084,9.0,640.0,8.0,182.0,9.0,9.0,756.0,13.0,242.0,9.0,1208.0,625.0,1398.0,35772.0,-1.0
69,jordansissel/fpm,v1.6.3,2016-09-15,OTHER,113,27226,3.0,15.0,5.0,56.0,3.0,236.0,363.0,59.0,177.0,236.0,4.0,7.0,6.0,55.0,-1.0
70,jordansissel/fpm,v1.7.0,2016-11-28,OTHER,134,28628,12.0,19.0,23.0,2050.0,12.0,472.0,309.0,,0.0,472.0,4.0,7.0,4.0,100.0,-1.0
71,jordansissel/fpm,v1.8.0,2016-12-28,OTHER,134,28672,,,,,,118.0,122.0,,0.0,118.0,2.0,3.0,2.0,15.0,-1.0
72,jordansissel/fpm,v1.8.1,2017-02-05,OTHER,134,28680,2.0,,2.0,6.0,2.0,,,,,,1.0,,2.0,6.0,-1.0
73,jordansissel/fpm,v1.9.0,2017-07-28,OTHER,137,29410,25.0,25.0,42.0,747.0,25.0,,,,,,2.0,6.0,1.0,4.0,-1.0
74,jordansissel/fpm,v1.9.1,2017-07-28,OTHER,137,29415,1.0,,3.0,11.0,1.0,,,,,,,,,,
75,jordansissel/fpm,v1.9.2,2017-07-29,OTHER,137,29471,4.0,1.0,6.0,106.0,4.0,,,,,,,,,,
76,jordansissel/fpm,v1.9.3,2017-08-20,OTHER,137,29490,2.0,,4.0,23.0,2.0,59.0,,,0.0,59.0,1.0,,1.0,2.0,-1.0
77,jordansissel/fpm,v1.10.0,2018-05-18,OTHER,140,29687,21.0,10.0,22.0,191.0,21.0,118.0,10.0,118.0,3304.0,118.0,,,,,
78,jordansissel/fpm,v1.10.1,2018-07-03,OTHER,140,29693,,,,,,,,,,,,,,,
79,jordansissel/fpm,v1.10.2,2018-07-03,OTHER,140,29718,,,,,,177.0,1.0,354.0,1475.0,177.0,,,,,
80,jordansissel/fpm,v1.11.0,2019-02-03,OTHER,144,30125,7.0,7.0,10.0,50.0,7.0,59.0,123.0,59.0,236.0,59.0,,,,,
