,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,jordansissel/fpm,v0.1.3,2011-01-03,UPGRADE,10,420,,,,,,,,,,,,,,,
1,jordansissel/fpm,v0.1.4,2011-01-04,UPGRADE,10,509,1.0,9.0,1.0,8.0,1.0,,,,,,,,,,
2,jordansissel/fpm,v0.1.7,2011-01-13,UPGRADE,20,1058,,,,,,,,,,,,,,,
3,jordansissel/fpm,v0.2.0,2011-01-22,UPGRADE,21,1140,,,,,,,,,,,,,,,
4,jordansissel/fpm,v0.2.1,2011-01-22,UPGRADE,21,1142,,,,,,,,,,,,,,,
5,jordansissel/fpm,v0.2.7,2011-03-17,UPGRADE,23,1211,,,,,,,,,,,,,,,
6,jordansissel/fpm,v0.3.1,2011-06-20,UPGRADE,47,2959,3.0,129.0,3.0,11.0,3.0,,,,,,,,,,
7,jordansissel/fpm,v0.3.2,2011-06-20,UPGRADE,47,2960,,,,,,,,,,,,,,,
8,jordansissel/fpm,v0.3.3,2011-06-24,UPGRADE,47,2962,,,,,,,,,,,,,,,
9,jordansissel/fpm,v0.3.6,2011-07-08,UPGRADE,47,3039,1.0,32.0,1.0,5.0,1.0,,,,,,,,,,
10,jordansissel/fpm,v0.3.7,2011-07-11,UPGRADE,47,3041,,,,,,1.0,5.0,1.0,6.0,1.0,,,,,
11,jordansissel/fpm,v0.3.8,2011-09-05,UPGRADE,56,3307,,,,,,,,,,,,,,,
12,jordansissel/fpm,v0.3.10,2011-10-11,UPGRADE,60,3469,,,,,,,,,,,1.0,15.0,1.0,2.0,-1.0
13,jordansissel/fpm,v0.3.11,2011-11-03,UPGRADE,60,3488,1.0,8.0,1.0,6.0,1.0,,,,,,,,,,
14,jordansissel/fpm,v0.3.12,2012-02-22,UPGRADE,64,3288,,,,,,,,,,,1.0,41.0,2.0,13.0,-1.0
15,jordansissel/fpm,v0.4.0,2012-03-19,UPGRADE,61,4082,4.0,153.0,5.0,108.0,4.0,,,,,,,,,,
16,jordansissel/fpm,v0.4.1,2012-03-19,UPGRADE,62,4117,,,,,,,,,,,,,,,
17,jordansissel/fpm,v0.4.2,2012-03-20,UPGRADE,62,4163,,,,,,,,,,,1.0,6.0,1.0,42.0,-1.0
18,jordansissel/fpm,v0.4.3,2012-03-21,UPGRADE,62,4168,,,,,,,,,,,,,,,
19,jordansissel/fpm,v0.4.4,2012-03-30,UPGRADE,62,4418,,,,,,,,,,,1.0,18.0,1.0,1.0,-1.0
20,jordansissel/fpm,v0.4.5,2012-04-03,UPGRADE,62,4424,,,,,,,,,,,,,,,
21,jordansissel/fpm,v0.4.6,2012-04-10,UPGRADE,62,4432,,,,,,,,,,,,,,,
22,jordansissel/fpm,v0.4.7,2012-04-25,UPGRADE,62,4447,,,,,,,,,,,2.0,13.0,2.0,26.0,-1.0
23,jordansissel/fpm,v0.4.8,2012-04-25,UPGRADE,62,4449,,,,,,,,,,,,,,,
24,jordansissel/fpm,v0.4.9,2012-04-25,UPGRADE,62,4452,,,,,,,,,,,,,,,
25,jordansissel/fpm,v0.4.10,2012-05-25,UPGRADE,62,4574,,,,,,,,,,,2.0,16.0,2.0,14.0,-1.0
26,jordansissel/fpm,v0.4.11,2012-08-07,UPGRADE,61,4744,,,,,,,,,,,1.0,40.0,3.0,17.0,-1.0
27,jordansissel/fpm,v0.4.12,2012-08-10,UPGRADE,61,4747,,,,,,,,,,,,,,,
28,jordansissel/fpm,v0.4.13,2012-08-14,UPGRADE,61,4782,,,,,,,,,,,,,,,
29,jordansissel/fpm,v0.4.14,2012-08-24,UPGRADE,61,4801,,,,,,,,,,,,,,,
30,jordansissel/fpm,v0.4.15,2012-09-06,UPGRADE,61,4960,,,,,,,,,,,1.0,2.0,1.0,7.0,-1.0
31,jordansissel/fpm,v0.4.16,2012-09-06,UPGRADE,61,4965,,,,,,,,,,,,,,,
32,jordansissel/fpm,v0.4.17,2012-09-12,UPGRADE,61,4969,,,,,,,,,,,,,,,
33,jordansissel/fpm,v0.4.18,2012-09-25,UPGRADE,61,5005,,,,,,,,,,,,,,,
34,jordansissel/fpm,v0.4.19,2012-09-26,UPGRADE,61,5011,,,,,,,,,,,1.0,1.0,1.0,4.0,-1.0
35,jordansissel/fpm,v0.4.20,2012-10-05,UPGRADE,61,5011,,,,,,,,,,,1.0,7.0,1.0,30.0,-1.0
36,jordansissel/fpm,v0.4.21,2012-11-08,UPGRADE,61,5048,,,,,,,,,,,,,,,
37,jordansissel/fpm,v0.4.22,2012-11-15,UPGRADE,61,5094,,,,,,,,,,,,,,,
38,jordansissel/fpm,v0.4.23,2012-11-27,UPGRADE,61,5105,,,,,,,,,,,,,,,
39,jordansissel/fpm,v0.4.24,2012-11-30,UPGRADE,61,5161,,,,,,,,,,,,,,,
40,jordansissel/fpm,v0.4.25,2012-12-07,UPGRADE,61,5239,1.0,17.0,,0.0,1.0,,,,,,,,,,
41,jordansissel/fpm,v0.4.26,2012-12-27,UPGRADE,61,5326,,,,,,,,,,,,,,,
42,jordansissel/fpm,v0.4.27,2013-01-16,UPGRADE,64,5683,,,,,,,,,,,,,,,
43,jordansissel/fpm,v0.4.29,2013-01-22,UPGRADE,64,5689,,,,,,,,,,,,,,,
44,jordansissel/fpm,v0.4.30,2013-03-21,UPGRADE,64,5692,,,,,,,,,,,,,,,
45,jordansissel/fpm,v0.4.31,2013-03-21,UPGRADE,64,5702,,,,,,,,,,,,,,,
46,jordansissel/fpm,v0.4.32,2013-04-09,UPGRADE,63,5839,1.0,48.0,2.0,27.0,1.0,,,,,,,,,,
47,jordansissel/fpm,v0.4.33,2013-04-09,UPGRADE,63,5906,,,,,,,,,,,,,,,
48,jordansissel/fpm,v0.4.34,2013-05-07,UPGRADE,68,20767,,,,,,,,,,,,,,,
49,jordansissel/fpm,v0.4.35,2013-05-08,UPGRADE,68,20788,,,,,,,,,,,,,,,
50,jordansissel/fpm,v0.4.36,2013-05-15,UPGRADE,68,20846,,,,,,,,,,,,,,,
51,jordansissel/fpm,v0.4.37,2013-05-30,UPGRADE,67,20929,,,,,,,,,,,1.0,9.0,1.0,40.0,-1.0
52,jordansissel/fpm,v0.4.38,2013-06-24,UPGRADE,67,20988,,,,,,,,,,,,,,,
53,jordansissel/fpm,v0.4.39,2013-06-27,UPGRADE,67,21036,,,,,,,,,,,,,,,
54,jordansissel/fpm,v0.4.40,2013-07-12,UPGRADE,67,21090,1.0,6.0,1.0,2.0,1.0,,,,,,,,,,
55,jordansissel/fpm,v0.4.41,2013-07-17,UPGRADE,67,21101,,,,,,,,,,,,,,,
56,jordansissel/fpm,v0.4.42,2013-07-23,UPGRADE,67,21164,,,,,,,,,,,,,,,
57,jordansissel/fpm,v1.0.0,2013-12-05,UPGRADE,69,21620,,,,,,,,,,,2.0,55.0,2.0,16.0,-1.0
58,jordansissel/fpm,v1.0.1,2013-12-07,UPGRADE,69,21625,,,,,,,,,,,,,,,
59,jordansissel/fpm,v1.0.2,2014-01-10,UPGRADE,69,21644,,,,,,,,,,,,,,,
60,jordansissel/fpm,v1.1.0,2014-04-23,UPGRADE,76,22573,,,,,,,,,,,3.0,33.0,3.0,25.0,-1.0
61,jordansissel/fpm,v1.2.0,2014-07-25,UPGRADE,79,22963,,,,,,,,,,,2.0,28.0,2.0,8.0,-1.0
62,jordansissel/fpm,v1.3.0,2014-10-25,UPGRADE,86,23488,,,,,,1.0,41.0,5.0,144.0,1.0,1.0,12.0,1.0,12.0,-1.0
63,jordansissel/fpm,v1.3.2,2014-11-05,UPGRADE,86,23509,,,,,,,,,,,,,,,
64,jordansissel/fpm,v1.3.3,2014-12-11,UPGRADE,87,23543,,,,,,,,,,,1.0,1.0,1.0,2.0,-1.0
65,jordansissel/fpm,v1.4.0,2015-07-26,UPGRADE,93,24338,,,,,,,,,,,4.0,38.0,7.0,32.0,-1.0
