,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,jhipster/generator-jhipster,v0.4.0,2013-12-15,,,,,,,,,,,,,,,,,,
1,jhipster/generator-jhipster,v0.5.0,2013-12-17,,,,1.0,19.0,1.0,2.0,1.0,,,,,,,,,,
2,jhipster/generator-jhipster,v0.5.2,2013-12-21,,,,1.0,,1.0,2.0,1.0,,,,,,,,,,
3,jhipster/generator-jhipster,v0.5.1,2013-12-21,,,,,,,,,,,,,,,,,,
4,jhipster/generator-jhipster,v0.6.0,2013-12-23,,,,1.0,19.0,1.0,2.0,1.0,,,,,,,,,,
5,jhipster/generator-jhipster,v0.6.1,2013-12-27,,,,1.0,18.0,1.0,2.0,1.0,,,,,,,,,,
6,jhipster/generator-jhipster,v0.6.2,2014-01-08,,,,1.0,5.0,1.0,2.0,1.0,,,,,,,,,,
7,jhipster/generator-jhipster,v0.7.0,2014-01-13,,,,,,,,,,,,,,,,,,
8,jhipster/generator-jhipster,v0.7.1,2014-01-14,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,
9,jhipster/generator-jhipster,v0.8.0,2014-01-23,,,,1.0,47.0,1.0,2.0,1.0,,,,,,,,,,
10,jhipster/generator-jhipster,v0.8.1,2014-01-24,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,
11,jhipster/generator-jhipster,v0.8.2,2014-01-24,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,
12,jhipster/generator-jhipster,v0.8.3,2014-01-29,,,,1.0,27.0,1.0,2.0,1.0,,,,,,,,,,
13,jhipster/generator-jhipster,v0.8.4,2014-01-31,,,,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,
14,jhipster/generator-jhipster,v0.9.0,2014-02-07,,,,1.0,23.0,1.0,2.0,1.0,,,,,,,,,,
15,jhipster/generator-jhipster,v0.9.1,2014-02-13,,,,,,,,,,,,,,,,,,
16,jhipster/generator-jhipster,v0.9.2,2014-02-14,,,,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,
