,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,gitlabhq/gitlabhq,v0.9.5,2011-10-10,BUG,313,11211,,,,,,,,,,,2.0,8.0,5.0,17.0,-1.0
1,gitlabhq/gitlabhq,v0.9.6,2011-10-11,BUG,313,11283,,,,,,,,,,,,,,,
2,gitlabhq/gitlabhq,v1.0.0,2011-10-13,BUG,318,11396,,,,,,,,,,,1.0,3.0,1.0,16.0,-1.0
3,gitlabhq/gitlabhq,v1.0.1,2011-10-15,BUG,320,11451,,,,,,,,,,,5.0,12.0,8.0,61.0,-1.0
4,gitlabhq/gitlabhq,v1.0.2,2011-10-21,BUG,319,11523,,,,,,1.0,11.0,1.0,2.0,1.0,,,,,
5,gitlabhq/gitlabhq,v1.1.0pre,2011-10-21,BUG,343,12419,,,,,,,,,,,14.0,61.0,25.0,157.0,-1.0
6,gitlabhq/gitlabhq,v1.1.0,2011-10-22,BUG,345,12471,,,,,,,,,,,4.0,19.0,12.0,213.0,-1.0
7,gitlabhq/gitlabhq,v1.2.0,2011-11-22,BUG,398,16222,2.0,,4.0,11.0,1.0,,,,,,,,,,
8,gitlabhq/gitlabhq,v1.2.0pre,2011-11-22,BUG,398,16225,28.0,303.0,70.0,586.0,3.0,54.0,305.0,151.0,1462.0,6.0,3.0,35.0,12.0,62.0,-1.0
9,gitlabhq/gitlabhq,v1.2.1,2011-11-22,BUG,398,16227,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,
10,gitlabhq/gitlabhq,v1.2.2,2011-11-26,BUG,397,16366,2.0,21.0,2.0,7.0,1.0,2.0,21.0,3.0,9.0,2.0,,,,,
11,gitlabhq/gitlabhq,v2.0.0,2011-12-21,BUG,461,18622,21.0,118.0,47.0,345.0,3.0,2.0,118.0,2.0,6.0,2.0,18.0,23.0,61.0,546.0,-1.0
12,gitlabhq/gitlabhq,v2.1.0,2012-01-22,BUG,507,20665,8.0,127.0,10.0,61.0,3.0,2.0,127.0,2.0,3.0,2.0,18.0,72.0,31.0,196.0,-1.0
13,gitlabhq/gitlabhq,v2.2.0pre,2012-02-20,BUG,533,21179,20.0,87.0,100.0,1168.0,2.0,1.0,87.0,1.0,2.0,1.0,20.0,36.0,60.0,996.0,-1.0
14,gitlabhq/gitlabhq,v2.2.0,2012-02-22,BUG,546,21526,1.0,18.0,,0.0,1.0,,,,,,3.0,6.0,7.0,35.0,-1.0
15,gitlabhq/gitlabhq,v2.3.0pre,2012-03-20,BUG,575,23378,2.0,115.0,6.0,40.0,2.0,,,,,,34.0,104.0,77.0,1402.0,-1.0
16,gitlabhq/gitlabhq,v2.3.0,2012-03-21,BUG,576,23390,,,,,,,,,,,,,,,
17,gitlabhq/gitlabhq,v2.3.1,2012-03-23,BUG,583,23573,,,,,,,,,,,4.0,9.0,12.0,79.0,-1.0
18,gitlabhq/gitlabhq,v2.4.0pre,2012-04-19,BUG,611,25067,17.0,115.0,50.0,427.0,2.0,4.0,115.0,4.0,22.0,4.0,22.0,50.0,53.0,540.0,-1.0
19,gitlabhq/gitlabhq,v2.4.0,2012-04-22,BUG,620,25452,3.0,29.0,6.0,32.0,1.0,,,,,,1.0,2.0,1.0,2.0,-1.0
20,gitlabhq/gitlabhq,v2.4.1,2012-04-23,BUG,620,25474,,,,,,1.0,1.0,6.0,26.0,1.0,,,,,
21,gitlabhq/gitlabhq,v2.4.2,2012-04-30,BUG,620,25615,1.0,16.0,,0.0,1.0,1.0,16.0,1.0,2.0,1.0,2.0,11.0,2.0,6.0,-1.0
22,gitlabhq/gitlabhq,v2.5.0,2012-05-22,BUG,627,26012,2.0,66.0,2.0,16.0,2.0,5.0,66.0,5.0,24.0,2.0,4.0,19.0,4.0,19.0,-1.0
23,gitlabhq/gitlabhq,v2.6.0pre,2012-06-13,BUG,576,21947,6.0,88.0,20.0,52.0,2.0,1.0,88.0,1.0,2.0,1.0,15.0,29.0,20.0,114.0,-1.0
24,gitlabhq/gitlabhq,v2.6.0,2012-06-21,BUG,615,23088,6.0,64.0,8.0,34.0,1.0,,,,,,3.0,18.0,3.0,97.0,-1.0
25,gitlabhq/gitlabhq,v2.6.2,2012-06-22,BUG,615,23081,1.0,2.0,3.0,5.0,1.0,,,,,,,,,,
26,gitlabhq/gitlabhq,v2.6.1,2012-06-22,BUG,615,23082,1.0,6.0,1.0,2.0,1.0,,,,,,,,,,
27,gitlabhq/gitlabhq,v2.6.3,2012-06-26,BUG,620,23403,2.0,21.0,9.0,38.0,1.0,1.0,21.0,1.0,6.0,1.0,,,,,
28,gitlabhq/gitlabhq,v2.7.0pre,2012-07-18,BUG,655,25674,6.0,108.0,7.0,25.0,3.0,,,,,,12.0,66.0,55.0,315.0,-1.0
29,gitlabhq/gitlabhq,v2.7.0,2012-07-21,BUG,668,26085,2.0,16.0,1.0,45.0,1.0,2.0,16.0,2.0,8.0,2.0,2.0,9.0,17.0,116.0,-1.0
30,gitlabhq/gitlabhq,v2.8.0pre,2012-08-12,BUG,677,27163,8.0,112.0,12.0,61.0,3.0,5.0,112.0,8.0,19.0,5.0,21.0,79.0,44.0,500.0,-1.0
31,gitlabhq/gitlabhq,v2.8.0,2012-08-22,BUG,679,26931,2.0,28.0,2.0,9.0,2.0,2.0,28.0,2.0,4.0,1.0,1.0,24.0,6.0,16.0,-1.0
32,gitlabhq/gitlabhq,v2.8.1,2012-08-23,BUG,682,27004,,,,,,,,,,,1.0,5.0,2.0,6.0,-1.0
33,gitlabhq/gitlabhq,v2.8.2,2012-08-24,BUG,680,27016,,,,,,2.0,14.0,7.0,13.0,2.0,2.0,8.0,2.0,6.0,-1.0
34,gitlabhq/gitlabhq,v2.9.0,2012-09-21,BUG,1597,31295,35.0,393.0,49.0,354.0,5.0,12.0,395.0,17.0,58.0,8.0,27.0,102.0,54.0,911.0,-1.0
35,gitlabhq/gitlabhq,v2.9.1,2012-09-24,BUG,1594,31305,,,,,,,,,,,,,,,
36,gitlabhq/gitlabhq,v3.0.0,2012-10-22,BUG,901,196198,48.0,282.0,90.0,411.0,6.0,7.0,282.0,7.0,35.0,6.0,23.0,62.0,23.0,123.0,-1.0
37,gitlabhq/gitlabhq,v3.0.1,2012-10-22,BUG,901,196215,,,,,,,,,,,1.0,1.0,1.0,14.0,-1.0
38,gitlabhq/gitlabhq,v3.0.2,2012-10-24,BUG,903,196361,,,,,,,,,,,3.0,5.0,4.0,8.0,-1.0
39,gitlabhq/gitlabhq,v3.0.3,2012-10-24,BUG,904,196493,,,,,,,,,,,1.0,6.0,1.0,2.0,-1.0
40,gitlabhq/gitlabhq,v3.1.0,2012-11-22,BUG,1135,298704,16.0,178.0,27.0,210.0,5.0,7.0,178.0,8.0,56.0,4.0,33.0,115.0,53.0,409.0,-1.0
41,gitlabhq/gitlabhq,v4.0.0rc1,2012-12-20,BUG,1166,301875,3.0,238.0,7.0,97.0,2.0,,,,,,82.0,213.0,243.0,3321.0,-1.0
42,gitlabhq/gitlabhq,v4.0.0rc2,2012-12-22,BUG,1167,301954,2.0,8.0,2.0,16.0,1.0,,,,,,9.0,6.0,14.0,379.0,-1.0
43,gitlabhq/gitlabhq,v4.0.0,2012-12-23,BUG,1167,301999,,,,,,,,,,,8.0,11.0,9.0,35.0,-1.0
44,gitlabhq/gitlabhq,v4.1.0,2013-01-21,BUG,1395,280631,35.0,252.0,59.0,432.0,3.0,1.0,252.0,1.0,2.0,1.0,90.0,176.0,257.0,2854.0,-1.0
45,gitlabhq/gitlabhq,v4.2.0,2013-02-21,BUG,1487,284749,30.0,155.0,63.0,331.0,3.0,1.0,155.0,1.0,2.0,1.0,28.0,53.0,43.0,314.0,-1.0
46,gitlabhq/gitlabhq,v5.0.0,2013-03-21,BUG,1162,212468,75.0,492.0,118.0,1121.0,2.0,4.0,492.0,11.0,62.0,2.0,87.0,230.0,130.0,1441.0,-1.0
47,gitlabhq/gitlabhq,v5.0.1,2013-04-04,BUG,1162,212482,,,,,,,,,,,7.0,4.0,10.0,62.0,-1.0
48,gitlabhq/gitlabhq,v5.1.0,2013-04-22,BUG,1198,212898,42.0,272.0,75.0,746.0,2.0,2.0,272.0,2.0,4.0,2.0,34.0,107.0,56.0,623.0,-1.0
49,gitlabhq/gitlabhq,v5.2.0,2013-05-20,BUG,1231,215265,29.0,219.0,23.0,213.0,1.0,,,,,,37.0,72.0,52.0,542.0,-1.0
50,gitlabhq/gitlabhq,v5.2.1,2013-06-10,BUG,1231,215339,4.0,9.0,7.0,21.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0
51,gitlabhq/gitlabhq,v5.3.0,2013-06-19,BUG,1304,219241,54.0,222.0,75.0,635.0,3.0,,,,,,32.0,64.0,62.0,331.0,-1.0
52,gitlabhq/gitlabhq,v5.4.0,2013-07-22,BUG,1312,220477,11.0,102.0,8.0,35.0,4.0,1.0,102.0,1.0,2.0,1.0,16.0,42.0,34.0,117.0,-1.0
53,gitlabhq/gitlabhq,v6.0.0,2013-08-20,BUG,1293,220635,84.0,416.0,210.0,1969.0,4.0,,,,,,28.0,71.0,115.0,728.0,-1.0
54,gitlabhq/gitlabhq,v6.0.1,2013-09-03,BUG,1293,220661,5.0,7.0,5.0,15.0,1.0,,,,,,1.0,1.0,1.0,10.0,-1.0
