,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,gitlabhq/gitlabhq,v0.9.5,2011-10-10,OTHER,313,11211,,,,,,,,,,,7.0,3.0,35.0,170.0,-1.0
1,gitlabhq/gitlabhq,v0.9.6,2011-10-11,OTHER,313,11283,,,,,,,,,,,3.0,,6.0,148.0,-1.0
2,gitlabhq/gitlabhq,v1.0.0,2011-10-13,OTHER,318,11396,,,,,,,,,,,3.0,1.0,17.0,168.0,-1.0
3,gitlabhq/gitlabhq,v1.0.1,2011-10-15,OTHER,320,11451,,,,,,,,,,,8.0,9.0,343.0,11592.0,-1.0
4,gitlabhq/gitlabhq,v1.0.2,2011-10-21,OTHER,319,11523,,,,,,2.0,1.0,2.0,4.0,1.0,9.0,,56.0,570.0,-1.0
5,gitlabhq/gitlabhq,v1.1.0pre,2011-10-21,OTHER,343,12419,,,,,,,,,,,55.0,20.0,555.0,13434.0,-1.0
6,gitlabhq/gitlabhq,v1.1.0,2011-10-22,OTHER,345,12471,,,,,,,,,,,16.0,7.0,41.0,367.0,-1.0
7,gitlabhq/gitlabhq,v1.2.0,2011-11-22,OTHER,398,16222,,,,,,,,,,,,,,,
8,gitlabhq/gitlabhq,v1.2.0pre,2011-11-22,OTHER,398,16225,90.0,123.0,367.0,5865.0,6.0,140.0,123.0,1081.0,29712.0,8.0,34.0,4.0,217.0,2760.0,-1.0
9,gitlabhq/gitlabhq,v1.2.1,2011-11-22,OTHER,398,16227,3.0,1.0,2.0,5.0,2.0,,,,,,,,,,
10,gitlabhq/gitlabhq,v1.2.2,2011-11-26,OTHER,397,16366,12.0,6.0,39.0,429.0,2.0,4.0,6.0,11.0,276.0,2.0,3.0,,2.0,92.0,-1.0
11,gitlabhq/gitlabhq,v2.0.0,2011-12-21,OTHER,461,18622,65.0,70.0,221.0,3670.0,3.0,2.0,70.0,2.0,32.0,2.0,19.0,22.0,113.0,1397.0,-1.0
12,gitlabhq/gitlabhq,v2.1.0,2012-01-22,OTHER,507,20665,29.0,45.0,114.0,56534.0,4.0,17.0,45.0,29.0,278.0,7.0,65.0,25.0,271.0,2779.0,-1.0
13,gitlabhq/gitlabhq,v2.2.0pre,2012-02-20,OTHER,533,21179,47.0,47.0,310.0,5902.0,3.0,1.0,47.0,1.0,4.0,1.0,34.0,22.0,226.0,4821.0,-1.0
14,gitlabhq/gitlabhq,v2.2.0,2012-02-22,OTHER,546,21526,11.0,5.0,74.0,1088.0,2.0,1.0,5.0,1.0,4.0,1.0,5.0,4.0,25.0,206.0,-1.0
15,gitlabhq/gitlabhq,v2.3.0pre,2012-03-20,OTHER,575,23378,10.0,48.0,55.0,1541.0,1.0,1.0,48.0,1.0,2.0,1.0,92.0,46.0,304.0,3836.0,-1.0
16,gitlabhq/gitlabhq,v2.3.0,2012-03-21,OTHER,576,23390,,,,,,,,,,,1.0,,5.0,30.0,-1.0
17,gitlabhq/gitlabhq,v2.3.1,2012-03-23,OTHER,583,23573,,,,,,,,,,,9.0,4.0,35.0,248.0,-1.0
18,gitlabhq/gitlabhq,v2.4.0pre,2012-04-19,OTHER,611,25067,48.0,59.0,156.0,3333.0,4.0,5.0,59.0,8.0,169.0,3.0,45.0,27.0,106.0,1378.0,-1.0
19,gitlabhq/gitlabhq,v2.4.0,2012-04-22,OTHER,620,25452,27.0,5.0,83.0,936.0,3.0,2.0,5.0,13.0,120.0,1.0,1.0,2.0,1.0,2.0,-1.0
