,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,gitlabhq/gitlabhq,v0.9.5,2011-10-10,REFACTOR,313,11211,,,,,,,,,,,,,,,
1,gitlabhq/gitlabhq,v0.9.6,2011-10-11,REFACTOR,313,11283,,,,,,,,,,,,,,,
2,gitlabhq/gitlabhq,v1.0.0,2011-10-13,REFACTOR,318,11396,,,,,,,,,,,,,,,
3,gitlabhq/gitlabhq,v1.0.1,2011-10-15,REFACTOR,320,11451,,,,,,,,,,,1.0,16.0,7.0,86.0,-1.0
4,gitlabhq/gitlabhq,v1.0.2,2011-10-21,REFACTOR,319,11523,,,,,,,,,,,,,,,
5,gitlabhq/gitlabhq,v1.1.0pre,2011-10-21,REFACTOR,343,12419,,,,,,,,,,,2.0,73.0,14.0,189.0,-1.0
6,gitlabhq/gitlabhq,v1.1.0,2011-10-22,REFACTOR,345,12471,,,,,,,,,,,,,,,
7,gitlabhq/gitlabhq,v1.2.0,2011-11-22,REFACTOR,398,16222,,,,,,,,,,,,,,,
8,gitlabhq/gitlabhq,v1.2.0pre,2011-11-22,REFACTOR,398,16225,11.0,372.0,30.0,996.0,3.0,5.0,374.0,51.0,478.0,1.0,1.0,37.0,7.0,103.0,-1.0
9,gitlabhq/gitlabhq,v1.2.1,2011-11-22,REFACTOR,398,16227,,,,,,,,,,,,,,,
10,gitlabhq/gitlabhq,v1.2.2,2011-11-26,REFACTOR,397,16366,,,,,,,,,,,,,,,
11,gitlabhq/gitlabhq,v2.0.0,2011-12-21,REFACTOR,461,18622,9.0,153.0,52.0,758.0,2.0,,,,,,1.0,40.0,2.0,8.0,-1.0
12,gitlabhq/gitlabhq,v2.1.0,2012-01-22,REFACTOR,507,20665,1.0,152.0,1.0,3.0,1.0,1.0,152.0,1.0,2.0,1.0,2.0,88.0,25.0,1381.0,-1.0
13,gitlabhq/gitlabhq,v2.2.0pre,2012-02-20,REFACTOR,533,21179,1.0,126.0,7.0,105.0,1.0,,,,,,2.0,54.0,14.0,435.0,-1.0
14,gitlabhq/gitlabhq,v2.2.0,2012-02-22,REFACTOR,546,21526,,,,,,,,,,,,,,,
15,gitlabhq/gitlabhq,v2.3.0pre,2012-03-20,REFACTOR,575,23378,,,,,,,,,,,8.0,130.0,57.0,1916.0,-1.0
16,gitlabhq/gitlabhq,v2.3.0,2012-03-21,REFACTOR,576,23390,,,,,,,,,,,,,,,
17,gitlabhq/gitlabhq,v2.3.1,2012-03-23,REFACTOR,583,23573,,,,,,,,,,,,,,,
18,gitlabhq/gitlabhq,v2.4.0pre,2012-04-19,REFACTOR,611,25067,2.0,161.0,26.0,537.0,1.0,,,,,,2.0,70.0,21.0,669.0,-1.0
19,gitlabhq/gitlabhq,v2.4.0,2012-04-22,REFACTOR,620,25452,,,,,,,,,,,,,,,
20,gitlabhq/gitlabhq,v2.4.1,2012-04-23,REFACTOR,620,25474,,,,,,,,,,,,,,,
21,gitlabhq/gitlabhq,v2.4.2,2012-04-30,REFACTOR,620,25615,,,,,,,,,,,,,,,
22,gitlabhq/gitlabhq,v2.5.0,2012-05-22,REFACTOR,627,26012,,,,,,,,,,,1.0,22.0,1.0,6.0,-1.0
23,gitlabhq/gitlabhq,v2.6.0pre,2012-06-13,REFACTOR,576,21947,8.0,99.0,61.0,2508.0,1.0,,,,,,3.0,41.0,21.0,174.0,-1.0
24,gitlabhq/gitlabhq,v2.6.0,2012-06-21,REFACTOR,615,23088,4.0,68.0,15.0,479.0,1.0,,,,,,1.0,20.0,1.0,4.0,-1.0
25,gitlabhq/gitlabhq,v2.6.2,2012-06-22,REFACTOR,615,23081,,,,,,,,,,,,,,,
26,gitlabhq/gitlabhq,v2.6.1,2012-06-22,REFACTOR,615,23082,,,,,,,,,,,,,,,
27,gitlabhq/gitlabhq,v2.6.3,2012-06-26,REFACTOR,620,23403,,,,,,,,,,,1.0,20.0,2.0,12.0,-1.0
28,gitlabhq/gitlabhq,v2.7.0pre,2012-07-18,REFACTOR,655,25674,4.0,120.0,37.0,818.0,2.0,,,,,,2.0,76.0,13.0,398.0,-1.0
