,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,home-assistant/home-assistant,0.7-rc.1,2015-08-29,BUG,225.0,32086.0,,,,,,,,,,,290.0,1277.0,528.0,68242.0,-1.0
1,home-assistant/home-assistant,0.7,2015-09-01,BUG,225.0,32466.0,,,,,,,,,,,19.0,45.0,20.0,157.0,-1.0
2,home-assistant/home-assistant,0.7.1,2015-09-01,BUG,226.0,32471.0,,,,,,,,,,,2.0,4.0,4.0,14.0,-1.0
3,home-assistant/home-assistant,0.7.2,2015-09-09,BUG,226.0,33046.0,,,,,,,,,,,17.0,55.0,27.0,229.0,-1.0
4,home-assistant/home-assistant,0.7.3,2015-09-19,BUG,248.0,36476.0,,,,,,,,,,,62.0,162.0,82.0,1182.0,-1.0
5,home-assistant/home-assistant,0.7.4,2015-10-05,BUG,276.0,39855.0,,,,,,,,,,,23.0,160.0,35.0,797.0,-1.0
6,home-assistant/home-assistant,0.7.5,2015-10-10,BUG,279.0,40482.0,,,,,,,,,,,15.0,95.0,24.0,270.0,-1.0
7,home-assistant/home-assistant,0.7.6,2015-10-26,BUG,296.0,40408.0,,,,,,,,,,,25.0,233.0,27.0,301.0,-1.0
8,home-assistant/home-assistant,0.7.7,2015-10-28,BUG,296.0,40461.0,,,,,,,,,,,3.0,8.0,5.0,42.0,-1.0
9,home-assistant/home-assistant,0.8,2015-11-16,BUG,310.0,41849.0,,,,,,,,,,,41.0,166.0,42.0,533.0,-1.0
10,home-assistant/home-assistant,0.9,2015-12-06,BUG,344.0,44869.0,,,,,,,,,,,40.0,174.0,86.0,860.0,-1.0
11,home-assistant/home-assistant,0.9.1,2015-12-06,BUG,344.0,44896.0,,,,,,,,,,,1.0,11.0,2.0,36.0,-1.0
12,home-assistant/home-assistant,0.10,2015-12-20,BUG,361.0,47195.0,,,,,,,,,,,29.0,163.0,35.0,624.0,-1.0
13,home-assistant/home-assistant,0.10.1,2015-12-22,BUG,361.0,47238.0,,,,,,,,,,,2.0,2.0,3.0,53.0,-1.0
14,home-assistant/home-assistant,0.11,2016-01-16,BUG,388.0,51576.0,,,,,,,,,,,72.0,275.0,88.0,2388.0,-1.0
15,home-assistant/home-assistant,0.11.1,2016-01-19,BUG,388.0,51634.0,,,,,,,,,,,3.0,4.0,6.0,311.0,-1.0
16,home-assistant/home-assistant,0.12,2016-01-29,BUG,411.0,54866.0,,,,,,,,,,,66.0,240.0,92.0,1009.0,-1.0
17,home-assistant/home-assistant,0.13,2016-02-12,BUG,461.0,61883.0,,,,,,,,,,,62.0,264.0,69.0,1139.0,-1.0
18,home-assistant/home-assistant,0.13.1,2016-02-13,BUG,461.0,61868.0,,,,,,,,,,,2.0,2.0,5.0,45.0,-1.0
19,home-assistant/home-assistant,0.14,2016-02-27,BUG,492.0,66460.0,,,,,,,,,,,44.0,233.0,279.0,2659.0,-1.0
20,home-assistant/home-assistant,0.14.1,2016-02-28,BUG,492.0,66461.0,,,,,,,,,,,3.0,2.0,2.0,9.0,-1.0
21,home-assistant/home-assistant,0.14.2,2016-02-29,BUG,492.0,66468.0,,,,,,,,,,,2.0,1.0,2.0,55.0,-1.0
22,home-assistant/home-assistant,0.15,2016-03-12,BUG,502.0,67968.0,,,,,,,,,,,48.0,118.0,452.0,9448.0,-1.0
23,home-assistant/home-assistant,0.16,2016-03-26,BUG,517.0,69401.0,,,,,,,,,,,10.0,109.0,17.0,299.0,-1.0
