,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,home-assistant/home-assistant,0.7-rc.1,2015-08-29,SUPPORT,225.0,32086.0,,,,,,,,,,,57.0,1510.0,146.0,70615.0,-1.0
1,home-assistant/home-assistant,0.7,2015-09-01,SUPPORT,225.0,32466.0,,,,,,,,,,,1.0,63.0,1.0,29.0,-1.0
2,home-assistant/home-assistant,0.7.1,2015-09-01,,,,,,,,,,,,,,,,,,
3,home-assistant/home-assistant,0.7.2,2015-09-09,SUPPORT,226.0,33046.0,,,,,,,,,,,4.0,68.0,5.0,347.0,-1.0
4,home-assistant/home-assistant,0.7.3,2015-09-19,SUPPORT,248.0,36476.0,,,,,,,,,,,5.0,219.0,6.0,457.0,-1.0
5,home-assistant/home-assistant,0.7.4,2015-10-05,SUPPORT,276.0,39855.0,,,,,,,,,,,8.0,175.0,23.0,1364.0,-1.0
6,home-assistant/home-assistant,0.7.5,2015-10-10,SUPPORT,279.0,40482.0,,,,,,,,,,,7.0,103.0,11.0,378.0,-1.0
7,home-assistant/home-assistant,0.7.6,2015-10-26,SUPPORT,296.0,40408.0,,,,,,,,,,,6.0,252.0,11.0,731.0,-1.0
8,home-assistant/home-assistant,0.7.7,2015-10-28,,,,,,,,,,,,,,,,,,
9,home-assistant/home-assistant,0.8,2015-11-16,SUPPORT,310.0,41849.0,,,,,,,,,,,5.0,202.0,12.0,447.0,-1.0
10,home-assistant/home-assistant,0.9,2015-12-06,SUPPORT,344.0,44869.0,,,,,,,,,,,10.0,204.0,29.0,765.0,-1.0
11,home-assistant/home-assistant,0.9.1,2015-12-06,SUPPORT,344.0,44896.0,,,,,,,,,,,3.0,9.0,4.0,51.0,-1.0
12,home-assistant/home-assistant,0.10,2015-12-20,SUPPORT,361.0,47195.0,,,,,,,,,,,16.0,176.0,28.0,920.0,-1.0
13,home-assistant/home-assistant,0.10.1,2015-12-22,,,,,,,,,,,,,,,,,,
14,home-assistant/home-assistant,0.11,2016-01-16,SUPPORT,388.0,51576.0,,,,,,,,,,,9.0,338.0,21.0,619.0,-1.0
15,home-assistant/home-assistant,0.11.1,2016-01-19,,,,,,,,,,,,,,,,,,
16,home-assistant/home-assistant,0.12,2016-01-29,SUPPORT,411.0,54866.0,,,,,,,,,,,11.0,295.0,24.0,1412.0,-1.0
17,home-assistant/home-assistant,0.13,2016-02-12,SUPPORT,461.0,61883.0,,,,,,,,,,,23.0,303.0,63.0,3472.0,-1.0
18,home-assistant/home-assistant,0.13.1,2016-02-13,,,,,,,,,,,,,,,,,,
19,home-assistant/home-assistant,0.14,2016-02-27,SUPPORT,492.0,66460.0,,,,,,,,,,,10.0,267.0,21.0,556.0,-1.0
20,home-assistant/home-assistant,0.14.1,2016-02-28,,,,,,,,,,,,,,,,,,
21,home-assistant/home-assistant,0.14.2,2016-02-29,,,,,,,,,,,,,,,,,,
22,home-assistant/home-assistant,0.15,2016-03-12,SUPPORT,502.0,67968.0,,,,,,,,,,,4.0,162.0,7.0,437.0,-1.0
23,home-assistant/home-assistant,0.16,2016-03-26,SUPPORT,517.0,69401.0,,,,,,,,,,,4.0,115.0,9.0,624.0,-1.0
24,home-assistant/home-assistant,0.16.1,2016-03-27,,,,,,,,,,,,,,,,,,
25,home-assistant/home-assistant,0.17,2016-04-08,SUPPORT,556.0,72800.0,,,,,,,,,,,4.0,158.0,15.0,459.0,-1.0
26,home-assistant/home-assistant,0.17.1,2016-04-09,,,,,,,,,,,,,,,,,,
27,home-assistant/home-assistant,0.17.2,2016-04-09,,,,,,,,,,,,,,,,,,
28,home-assistant/home-assistant,0.17.3,2016-04-11,,,,,,,,,,,,,,,,,,
29,home-assistant/home-assistant,0.18,2016-04-20,SUPPORT,569.0,74758.0,3.0,122.0,16.0,322.0,3.0,,,,,,3.0,55.0,7.0,411.0,-1.0
30,home-assistant/home-assistant,0.19,2016-05-07,,,,9.0,104.0,42.0,1991.0,9.0,,,,,,,,,,
31,home-assistant/home-assistant,0.19.1,2016-05-07,,,,,,,,,,,,,,,,,,
32,home-assistant/home-assistant,0.19.2,2016-05-08,,,,,,,,,,,,,,,,,,
33,home-assistant/home-assistant,0.19.3,2016-05-10,,,,,,,,,,,,,,,,,,
34,home-assistant/home-assistant,0.19.4,2016-05-10,,,,,,,,,,,,,,,,,,
35,home-assistant/home-assistant,0.20,2016-05-21,,,,4.0,102.0,18.0,468.0,4.0,,,,,,,,,,
36,home-assistant/home-assistant,0.20.1,2016-05-22,,,,,,,,,,,,,,,,,,
37,home-assistant/home-assistant,0.20.2,2016-05-23,,,,,,,,,,,,,,,,,,
38,home-assistant/home-assistant,0.20.3,2016-06-01,,,,,,,,,,,,,,,,,,
39,home-assistant/home-assistant,0.21,2016-06-07,SUPPORT,656.0,77491.0,3.0,122.0,11.0,507.0,3.0,,,,,,1.0,20.0,3.0,84.0,-1.0
