,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,jekyll/jekyll,v0.1.4,2008-12-08,OTHER,30.0,1150.0,,,,,,,,,,,3.0,2.0,4.0,35.0,-1.0
1,jekyll/jekyll,v0.1.5,2008-12-12,OTHER,31.0,1337.0,,,,,,,,,,,15.0,4.0,21.0,237.0,-1.0
2,jekyll/jekyll,v0.1.6,2008-12-13,OTHER,34.0,1419.0,,,,,,,,,,,3.0,2.0,14.0,69.0,-1.0
3,jekyll/jekyll,v0.2.0,2008-12-14,OTHER,34.0,1603.0,,,,,,,,,,,13.0,6.0,16.0,310.0,-1.0
4,jekyll/jekyll,v0.2.1,2008-12-15,OTHER,34.0,1654.0,,,,,,,,,,,7.0,3.0,9.0,27.0,-1.0
5,jekyll/jekyll,v0.3.0,2008-12-24,OTHER,38.0,1984.0,,,,,,,,,,,32.0,7.0,52.0,536.0,-1.0
6,jekyll/jekyll,v0.4.0,2009-02-03,OTHER,45.0,2421.0,,,,,,,,,,,52.0,12.0,53.0,621.0,-1.0
7,jekyll/jekyll,v0.4.1,2009-02-10,OTHER,45.0,2437.0,,,,,,,,,,,7.0,1.0,8.0,46.0,-1.0
8,jekyll/jekyll,v0.4.4,2009-02-16,OTHER,53.0,2634.0,,,,,,,,,,,22.0,9.0,32.0,148.0,-1.0
9,jekyll/jekyll,v0.4.5,2009-03-08,OTHER,53.0,2658.0,,,,,,,,,,,16.0,2.0,25.0,134.0,-1.0
10,jekyll/jekyll,v0.5.0,2009-04-07,OTHER,56.0,3378.0,,,,,,,,,,,43.0,25.0,73.0,1477.0,-1.0
11,jekyll/jekyll,v0.5.1,2009-05-06,OTHER,58.0,3244.0,,,,,,,,,,,19.0,13.0,33.0,770.0,-1.0
12,jekyll/jekyll,v0.5.2,2009-06-24,OTHER,69.0,3767.0,,,,,,,,,,,27.0,14.0,60.0,794.0,-1.0
13,jekyll/jekyll,v0.5.4,2009-08-24,OTHER,70.0,3811.0,,,,,,,,,,,3.0,3.0,3.0,160.0,-1.0
14,jekyll/jekyll,v0.5.5,2010-01-08,OTHER,71.0,3952.0,,,,,,,,,,,3.0,3.0,3.0,21.0,-1.0
15,jekyll/jekyll,v0.5.6,2010-01-08,OTHER,72.0,3997.0,,,,,,,,,,,10.0,6.0,11.0,40.0,-1.0
16,jekyll/jekyll,v0.5.7,2010-01-12,OTHER,80.0,4207.0,,,,,,,,,,,13.0,12.0,30.0,238.0,-1.0
17,jekyll/jekyll,v0.6.0,2010-06-22,OTHER,90.0,4905.0,,,,,,,,,,,47.0,22.0,100.0,1819.0,-1.0
18,jekyll/jekyll,v0.6.1,2010-06-23,,,,,,,,,,,,,,,,,,
19,jekyll/jekyll,v0.6.2,2010-06-25,,,,,,,,,,,,,,,,,,
20,jekyll/jekyll,v0.7.0,2010-08-24,OTHER,91.0,4960.0,,,,,,,,,,,4.0,2.0,6.0,29.0,-1.0
21,jekyll/jekyll,ruby-1.9.2,2010-08-30,,,,,,,,,,,,,,,,,,
22,jekyll/jekyll,v0.8.0,2010-11-22,OTHER,95.0,5244.0,,,,,,,,,,,23.0,8.0,30.0,252.0,-1.0
23,jekyll/jekyll,v0.9.0,2010-12-15,OTHER,97.0,5467.0,,,,,,,,,,,9.0,1.0,12.0,312.0,-1.0
24,jekyll/jekyll,v0.10.0,2010-12-16,OTHER,97.0,5475.0,,,,,,,,,,,1.0,1.0,2.0,8.0,-1.0
25,jekyll/jekyll,v0.11.0,2011-07-10,OTHER,114.0,7614.0,,,,,,,,,,,60.0,28.0,86.0,1550.0,-1.0
26,jekyll/jekyll,v0.11.1,2011-12-27,OTHER,103.0,6124.0,,,,,,,,,,,5.0,3.0,18.0,1552.0,-1.0
27,jekyll/jekyll,v0.11.2,2011-12-27,,,,,,,,,,,,,,,,,,
28,jekyll/jekyll,v0.12.0,2012-12-22,OTHER,111.0,7060.0,,,,,,,,,,,83.0,33.0,70.0,1048.0,-1.0
29,jekyll/jekyll,v0.12.1,2013-02-19,OTHER,111.0,7069.0,,,,,,,,,,,5.0,4.0,7.0,22.0,-1.0
30,jekyll/jekyll,v1.0.0.beta1,2013-03-14,OTHER,162.0,12294.0,,,,,,,,,,,230.0,84.0,365.0,13868.0,-1.0
31,jekyll/jekyll,v1.0.0.beta2,2013-03-19,OTHER,176.0,11673.0,,,,,,,,,,,60.0,21.0,67.0,2532.0,-1.0
32,jekyll/jekyll,v1.0.0.beta3,2013-04-04,OTHER,178.0,11710.0,,,,,,,,,,,14.0,11.0,12.0,38.0,-1.0
33,jekyll/jekyll,v1.0.0.beta4,2013-04-09,OTHER,179.0,12395.0,5.0,19.0,2.0,2.0,5.0,,,,,,29.0,19.0,26.0,176.0,-1.0
34,jekyll/jekyll,v1.0.0.rc1,2013-04-16,OTHER,187.0,12874.0,4.0,40.0,2.0,2.0,4.0,,,,,,67.0,37.0,97.0,1077.0,-1.0
35,jekyll/jekyll,v1.0.0,2013-05-06,OTHER,190.0,13513.0,,,,,,,,,,,126.0,46.0,183.0,2540.0,-1.0
36,jekyll/jekyll,v1.0.1,2013-05-08,OTHER,190.0,13601.0,,,,,,,,,,,31.0,23.0,23.0,1054.0,-1.0
37,jekyll/jekyll,v1.0.2,2013-05-12,OTHER,191.0,13683.0,,,,,,,,,,,33.0,26.0,30.0,117.0,-1.0
38,jekyll/jekyll,v1.0.3,2013-06-07,OTHER,194.0,14611.0,4.0,48.0,2.0,2.0,4.0,,,,,,95.0,48.0,105.0,3172.0,-1.0
39,jekyll/jekyll,v1.1.0,2013-07-14,OTHER,214.0,15767.0,,,,,,,,,,,176.0,67.0,208.0,1868.0,-1.0
40,jekyll/jekyll,v1.1.1,2013-07-24,OTHER,218.0,16099.0,,,,,,,,,,,45.0,18.0,37.0,455.0,-1.0
41,jekyll/jekyll,v1.0.4,2013-07-25,OTHER,194.0,14608.0,,,,,,,,,,,2.0,1.0,2.0,9.0,-1.0
42,jekyll/jekyll,v1.1.2,2013-07-25,OTHER,220.0,16145.0,,,,,,,,,,,3.0,1.0,2.0,3.0,-1.0
43,jekyll/jekyll,v1.2.0,2013-09-06,OTHER,225.0,16086.0,,,,,,,,,,,405.0,125.0,442.0,4551.0,-1.0
44,jekyll/jekyll,v1.2.1,2013-09-14,OTHER,228.0,16267.0,,,,,,,,,,,35.0,29.0,33.0,282.0,-1.0
45,jekyll/jekyll,v1.3.0.rc,2013-10-29,OTHER,237.0,16974.0,,,,,,,,,,,171.0,55.0,165.0,1008.0,-1.0
46,jekyll/jekyll,v1.3.0,2013-11-04,OTHER,238.0,17036.0,,,,,,,,,,,10.0,8.0,10.0,18.0,-1.0
