,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,facebook/jest,v0.1.1,2014-05-14,DOCS,110,14081,,,,,,,,,,,,,,,
1,facebook/jest,v0.1.2,2014-05-14,DOCS,110,14121,,,,,,,,,,,,,,,
2,facebook/jest,v0.1.4,2014-05-15,DOCS,110,14123,,,,,,,,,,,,,,,
3,facebook/jest,v0.1.3,2014-05-15,DOCS,110,14129,,,,,,,,,,,,,,,
4,facebook/jest,v0.1.6,2014-05-15,DOCS,110,14217,,,,,,,,,,,,,,,
5,facebook/jest,v0.1.5,2014-05-15,DOCS,110,14217,,,,,,,,,,,,,,,
6,facebook/jest,v0.1.8,2014-05-16,DOCS,110,14215,,,,,,,,,,,,,,,
7,facebook/jest,v0.1.7,2014-05-16,DOCS,110,14217,,,,,,,,,,,,,,,
8,facebook/jest,v0.1.9,2014-05-16,DOCS,110,14234,,,,,,,,,,,,,,,
9,facebook/jest,v0.1.10,2014-05-19,DOCS,110,14264,,,,,,,,,,,,,,,
10,facebook/jest,v0.1.11,2014-05-20,DOCS,110,14264,,,,,,,,,,,,,,,
11,facebook/jest,v0.1.12,2014-05-22,DOCS,110,14264,2.0,19.0,4.0,16.0,1.0,,,,,,,,,,
12,facebook/jest,v0.1.13,2014-05-24,DOCS,110,14316,,,,,,,,,,,,,,,
13,facebook/jest,v0.1.14,2014-05-28,DOCS,110,14316,,,,,,,,,,,,,,,
14,facebook/jest,v0.1.15,2014-05-31,DOCS,112,14366,,,,,,,,,,,,,,,
15,facebook/jest,v0.1.16,2014-06-25,DOCS,113,14621,,,,,,,,,,,,,,,
16,facebook/jest,v0.1.17,2014-07-03,DOCS,113,14627,,,,,,,,,,,,,,,
17,facebook/jest,v0.1.18,2014-08-05,DOCS,115,14699,,,,,,,,,,,,,,,
18,facebook/jest,v0.2.0,2014-12-03,DOCS,124,15227,,,,,,,,,,,,,,,
19,facebook/jest,v0.2.1,2014-12-10,DOCS,124,15227,,,,,,,,,,,,,,,
20,facebook/jest,v0.3.0,2015-02-17,DOCS,126,15546,,,,,,,,,,,2.0,15.0,2.0,4.0,-1.0
21,facebook/jest,v0.4.0,2015-02-19,DOCS,128,15680,,,,,,,,,,,,,,,
22,facebook/jest,v0.4.1,2015-05-04,DOCS,134,16061,,,,,,,,,,,,,,,
23,facebook/jest,v0.4.2,2015-05-08,DOCS,134,16084,,,,,,,,,,,,,,,
24,facebook/jest,v0.4.3,2015-05-11,DOCS,134,16105,,,,,,,,,,,1.0,5.0,2.0,9.0,-1.0
25,facebook/jest,v0.4.4,2015-05-16,DOCS,134,16179,,,,,,,,,,,,,,,
26,facebook/jest,v0.4.5,2015-05-17,DOCS,134,16179,,,,,,,,,,,,,,,
27,facebook/jest,v0.4.6,2015-06-04,DOCS,136,16459,,,,,,,,,,,2.0,21.0,2.0,73.0,-1.0
28,facebook/jest,v0.4.7,2015-06-06,DOCS,136,16481,,,,,,,,,,,,,,,
29,facebook/jest,v0.4.8,2015-06-08,DOCS,136,16525,,,,,,,,,,,,,,,
30,facebook/jest,v0.4.9,2015-06-08,DOCS,136,16540,,,,,,,,,,,,,,,
31,facebook/jest,v0.4.10,2015-06-08,DOCS,136,16540,,,,,,,,,,,,,,,
32,facebook/jest,v0.4.11,2015-06-10,DOCS,136,16548,,,,,,,,,,,,,,,
33,facebook/jest,v0.4.12,2015-06-11,DOCS,136,16549,,,,,,,,,,,,,,,
34,facebook/jest,v0.4.13,2015-06-15,DOCS,136,16558,,,,,,,,,,,,,,,
35,facebook/jest,v0.4.14,2015-06-28,DOCS,136,16715,,,,,,,,,,,,,,,
36,facebook/jest,v0.4.15,2015-07-03,DOCS,136,16728,,,,,,,,,,,,,,,
37,facebook/jest,v0.4.17,2015-07-23,DOCS,136,16755,,,,,,1.0,18.0,1.0,6.0,1.0,,,,,
38,facebook/jest,v0.4.18,2015-08-04,DOCS,136,16765,,,,,,,,,,,,,,,
39,facebook/jest,v0.5.0,2015-08-14,DOCS,136,16367,,,,,,,,,,,,,,,
40,facebook/jest,0.4.19,2015-08-14,DOCS,136,16764,,,,,,,,,,,,,,,
41,facebook/jest,v0.5.1,2015-09-02,DOCS,137,16418,,,,,,,,,,,,,,,
42,facebook/jest,v0.5.2,2015-09-08,DOCS,137,16435,,,,,,,,,,,,,,,
43,facebook/jest,v5.0.3,2015-09-10,DOCS,137,16443,,,,,,,,,,,,,,,
44,facebook/jest,v0.5.3,2015-09-10,DOCS,137,16443,,,,,,,,,,,,,,,
45,facebook/jest,v0.5.4,2015-09-10,DOCS,137,16450,,,,,,,,,,,,,,,
46,facebook/jest,v0.5.5,2015-09-15,DOCS,137,16530,2.0,23.0,2.0,40.0,1.0,,,,,,,,,,
47,facebook/jest,v0.5.6,2015-09-18,DOCS,137,16611,,,,,,,,,,,,,,,
48,facebook/jest,v0.5.8,2015-09-23,DOCS,137,16608,,,,,,,,,,,,,,,
49,facebook/jest,0.6.0,2015-10-21,DOCS,142,16784,2.0,67.0,,0.0,1.0,1.0,53.0,3.0,46.0,1.0,1.0,9.0,1.0,14.0,-1.0
50,facebook/jest,0.6.1,2015-10-23,DOCS,138,16771,2.0,15.0,26.0,3260.0,1.0,,,,,,,,,,
51,facebook/jest,0.7.0,2015-11-02,DOCS,140,16597,,,,,,,,,,,,,,,
52,facebook/jest,0.7.1,2015-11-03,DOCS,143,16702,,,,,,,,,,,,,,,
53,facebook/jest,0.8.0,2015-11-18,DOCS,152,20474,,,,,,,,,,,,,,,
54,facebook/jest,0.8.1,2015-12-07,DOCS,153,20515,,,,,,,,,,,,,,,
55,facebook/jest,0.8.2,2015-12-15,DOCS,153,20252,,,,,,,,,,,,,,,
56,facebook/jest,0.9.0,2016-03-04,DOCS,191,22350,,,,,,,,,,,,,,,
57,facebook/jest,v9.0.3,2016-03-22,DOCS,218,23905,,,,,,,,,,,,,,,
58,facebook/jest,v0.10.0,2016-03-30,DOCS,225,24346,,,,,,,,,,,,,,,
59,facebook/jest,v12.0.1,2016-04-27,DOCS,269,29054,,,,,,,,,,,,,,,
60,facebook/jest,v12.0.2,2016-04-27,DOCS,269,29075,,,,,,,,,,,,,,,
61,facebook/jest,v12.1.0,2016-05-20,DOCS,312,30573,,,,,,,,,,,,,,,
62,facebook/jest,v12.1.1,2016-05-24,DOCS,313,30624,,,,,,,,,,,,,,,
63,facebook/jest,v13.0.0,2016-06-22,DOCS,404,36046,,,,,,,,,,,,,,,
64,facebook/jest,v13.1.0,2016-07-05,DOCS,422,36590,,,,,,,,,,,,,,,
65,facebook/jest,v13.1.1,2016-07-06,DOCS,422,36610,,,,,,,,,,,,,,,
66,facebook/jest,v13.1.3,2016-07-07,DOCS,424,36605,,,,,,,,,,,,,,,
67,facebook/jest,v13.1.2,2016-07-07,DOCS,424,36605,,,,,,,,,,,,,,,
68,facebook/jest,v13.2.1,2016-07-07,DOCS,424,36609,,,,,,,,,,,,,,,
69,facebook/jest,v13.2.2,2016-07-07,DOCS,424,36610,,,,,,,,,,,,,,,
70,facebook/jest,v13.2.0,2016-07-07,DOCS,424,36610,,,,,,,,,,,,,,,
71,facebook/jest,v13.2.3,2016-07-07,DOCS,424,36675,,,,,,,,,,,,,,,
72,facebook/jest,v14.0.0,2016-07-27,DOCS,505,39168,,,,,,,,,,,,,,,
73,facebook/jest,v14.0.2,2016-07-29,DOCS,505,39212,,,,,,,,,,,,,,,
74,facebook/jest,v14.0.1,2016-07-29,DOCS,505,39212,,,,,,,,,,,,,,,
75,facebook/jest,v14.1.0,2016-08-01,DOCS,522,39711,,,,,,,,,,,,,,,
76,facebook/jest,v15.0.0,2016-08-31,DOCS,585,44881,12.0,134.0,16.0,3142.0,1.0,,,,,,,,,,
77,facebook/jest,v15.0.1,2016-09-01,DOCS,587,45124,,,,,,,,,,,1.0,3.0,1.0,2.0,-1.0
78,facebook/jest,v15.0.2,2016-09-01,DOCS,587,45125,,,,,,,,,,,,,,,
79,facebook/jest,v15.1.0,2016-09-01,DOCS,593,45462,,,,,,,,,,,,,,,
80,facebook/jest,v15.1.1,2016-09-02,DOCS,593,45495,,,,,,,,,,,,,,,
81,facebook/jest,v16.0.0,2016-10-03,DOCS,643,47888,28.0,205.0,40.0,2102.0,1.0,,,,,,3.0,21.0,11.0,1403.0,-1.0
82,facebook/jest,v16.0.1,2016-10-05,DOCS,643,47998,4.0,12.0,4.0,216.0,1.0,,,,,,,,,,
83,facebook/jest,v16.0.2,2016-10-20,DOCS,641,46846,4.0,38.0,4.0,6.0,1.0,,,,,,,,,,
84,facebook/jest,v17.0.0,2016-11-08,DOCS,681,50827,8.0,82.0,8.0,142.0,1.0,,,,,,,,,,
85,facebook/jest,v17.0.1,2016-11-14,DOCS,684,50876,,,,,,,,,,,,,,,
86,facebook/jest,v17.0.2,2016-11-15,DOCS,677,50604,,,,,,,,,,,,,,,
87,facebook/jest,v17.0.3,2016-11-17,DOCS,677,51063,,,,,,,,,,,,,,,
88,facebook/jest,v18.0.0,2016-12-15,DOCS,730,57519,10.0,110.0,10.0,182.0,1.0,,,,,,4.0,29.0,5.0,76.0,-1.0
89,facebook/jest,v18.1.0,2016-12-29,DOCS,741,59222,,,,,,,,,,,,,,,
90,facebook/jest,v19.0.0,2017-02-21,DOCS,899,70744,20.0,360.0,28.0,784.0,1.0,,,,,,4.0,62.0,119.0,7063.0,-1.0
91,facebook/jest,v19.0.1,2017-02-22,DOCS,902,70860,,,,,,,,,,,,,,,
92,facebook/jest,v19.0.2,2017-02-23,DOCS,903,70874,,,,,,,,,,,,,,,
