,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,jsdom/jsdom,v0.0.1,2010-05-05,OTHER,1918.0,451619.0,,,,,,,,,,,6.0,3.0,6.0,319.0,-1.0
1,jsdom/jsdom,0.1.1,2010-05-12,OTHER,1919.0,463033.0,,,,,,,,,,,9.0,3.0,12.0,12026.0,-1.0
2,jsdom/jsdom,rm,2010-07-23,,,,,,,,,,,,,,,,,,
3,jsdom/jsdom,0.0.2,2010-07-23,OTHER,1090.0,297322.0,,,,,,,,,,,34.0,21.0,1014.0,183554.0,-1.0
4,jsdom/jsdom,0.1.2,2010-07-26,OTHER,1090.0,297322.0,,,,,,,,,,,2.0,,2.0,4.0,-1.0
5,jsdom/jsdom,0.1.4,2010-07-29,OTHER,1090.0,297325.0,,,,,,,,,,,1.0,,1.0,28.0,-1.0
6,jsdom/jsdom,0.1.3,2010-07-29,OTHER,1090.0,297325.0,,,,,,,,,,,1.0,2.0,1.0,2.0,-1.0
7,jsdom/jsdom,0.1.5,2010-07-30,OTHER,1091.0,297378.0,,,,,,,,,,,5.0,2.0,11.0,175.0,-1.0
8,jsdom/jsdom,0.1.6,2010-08-12,OTHER,1092.0,297418.0,,,,,,,,,,,11.0,3.0,16.0,97.0,-1.0
9,jsdom/jsdom,0.1.7,2010-09-08,OTHER,1093.0,297990.0,,,,,,,,,,,38.0,11.0,100.0,1481.0,-1.0
10,jsdom/jsdom,0.1.9,2010-09-08,,,,,,,,,,,,,,,,,,
11,jsdom/jsdom,0.1.8,2010-09-08,OTHER,1093.0,297991.0,,,,,,,,,,,3.0,,3.0,9.0,-1.0
12,jsdom/jsdom,0.1.10,2010-09-14,OTHER,383.0,192445.0,,,,,,,,,,,4.0,9.0,4.0,171.0,-1.0
13,jsdom/jsdom,0.1.11,2010-09-18,OTHER,383.0,192470.0,,,,,,,,,,,6.0,3.0,7.0,110.0,-1.0
14,jsdom/jsdom,0.1.12,2010-09-18,OTHER,383.0,192472.0,,,,,,,,,,,1.0,1.0,1.0,2.0,-1.0
15,jsdom/jsdom,0.1.13,2010-09-18,,,,,,,,,,,,,,,,,,
16,jsdom/jsdom,0.1.14,2010-09-22,OTHER,385.0,194211.0,,,,,,,,,,,2.0,,6.0,1981.0,-1.0
17,jsdom/jsdom,0.1.15,2010-10-09,OTHER,211.0,168898.0,,,,,,,,,,,56.0,25.0,55.0,937.0,-1.0
18,jsdom/jsdom,0.1.16,2010-10-12,OTHER,212.0,168917.0,,,,,,,,,,,5.0,4.0,30.0,1059.0,-1.0
19,jsdom/jsdom,0.1.17,2010-10-21,OTHER,212.0,168978.0,,,,,,,,,,,25.0,13.0,11.0,177.0,-1.0
20,jsdom/jsdom,0.1.18,2010-10-22,OTHER,212.0,168980.0,,,,,,,,,,,4.0,2.0,4.0,20.0,-1.0
21,jsdom/jsdom,0.1.19,2010-10-27,OTHER,212.0,169104.0,,,,,,,,,,,17.0,12.0,10.0,228.0,-1.0
22,jsdom/jsdom,0.1.20,2010-11-05,OTHER,281.0,171175.0,,,,,,,,,,,19.0,16.0,24.0,47425.0,-1.0
23,jsdom/jsdom,0.1.21,2010-12-05,OTHER,287.0,172130.0,,,,,,,,,,,71.0,24.0,78.0,4184.0,-1.0
24,jsdom/jsdom,0.1.22,2010-12-28,OTHER,291.0,180817.0,,,,,,,,,,,43.0,21.0,55.0,1678.0,-1.0
25,jsdom/jsdom,0.1.23,2011-01-03,OTHER,291.0,180846.0,,,,,,,,,,,2.0,2.0,2.0,8.0,-1.0
26,jsdom/jsdom,0.2.0,2011-02-18,OTHER,274.0,174094.0,,,,,,,,,,,86.0,90.0,128.0,15704.0,-1.0
27,jsdom/jsdom,0.2.1,2011-07-21,OTHER,294.0,180947.0,,,,,,,,,,,212.0,207.0,264.0,466496.0,-1.0
28,jsdom/jsdom,0.2.2,2011-08-06,OTHER,296.0,181112.0,,,,,,,,,,,7.0,14.0,8.0,58.0,-1.0
29,jsdom/jsdom,0.2.3,2011-08-08,OTHER,296.0,181112.0,,,,,,,,,,,1.0,1.0,1.0,2.0,-1.0
30,jsdom/jsdom,0.2.4,2011-09-01,OTHER,299.0,181535.0,,,,,,,,,,,9.0,14.0,12.0,222.0,-1.0
31,jsdom/jsdom,0.2.5,2011-09-25,OTHER,305.0,182097.0,,,,,,,,,,,24.0,24.0,25.0,328.0,-1.0
32,jsdom/jsdom,0.2.6,2011-10-09,OTHER,305.0,183597.0,,,,,,,,,,,17.0,13.0,27.0,4627.0,-1.0
33,jsdom/jsdom,0.2.7,2011-10-09,OTHER,306.0,183648.0,,,,,,,,,,,3.0,4.0,3.0,7.0,-1.0
34,jsdom/jsdom,0.2.8,2011-10-16,OTHER,306.0,183663.0,,,,,,,,,,,2.0,1.0,3.0,8.0,-1.0
35,jsdom/jsdom,0.2.9,2011-10-30,OTHER,308.0,183773.0,,,,,,,,,,,2.0,23.0,2.0,16.0,-1.0
36,jsdom/jsdom,0.2.10,2011-11-20,OTHER,308.0,183863.0,,,,,,,,,,,17.0,13.0,34.0,338.0,-1.0
37,jsdom/jsdom,0.2.11,2012-02-23,OTHER,310.0,184468.0,,,,,,,,,,,22.0,17.0,22.0,282.0,-1.0
38,jsdom/jsdom,0.2.12,2012-02-23,OTHER,310.0,184476.0,,,,,,,,,,,1.0,1.0,1.0,2.0,-1.0
39,jsdom/jsdom,0.2.13,2012-02-27,OTHER,310.0,184478.0,,,,,,,,,,,1.0,1.0,2.0,5.0,-1.0
40,jsdom/jsdom,v0.2.13-patch2,2012-04-01,OTHER,310.0,184373.0,,,,,,,,,,,5.0,7.0,9.0,113.0,-1.0
41,jsdom/jsdom,v0.2.13-patch3,2012-04-02,OTHER,310.0,184373.0,,,,,,,,,,,1.0,1.0,2.0,6.0,-1.0
