,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,jsdom/jsdom,v0.0.1,2010-05-05,,,,,,,,,,,,,,,,,,
1,jsdom/jsdom,0.1.1,2010-05-12,,,,,,,,,,,,,,,,,,
2,jsdom/jsdom,rm,2010-07-23,,,,,,,,,,,,,,,,,,
3,jsdom/jsdom,0.0.2,2010-07-23,,,,,,,,,,,,,,,,,,
4,jsdom/jsdom,0.1.2,2010-07-26,,,,,,,,,,,,,,,,,,
5,jsdom/jsdom,0.1.4,2010-07-29,,,,,,,,,,,,,,,,,,
6,jsdom/jsdom,0.1.3,2010-07-29,,,,,,,,,,,,,,,,,,
7,jsdom/jsdom,0.1.5,2010-07-30,,,,,,,,,,,,,,,,,,
8,jsdom/jsdom,0.1.6,2010-08-12,,,,,,,,,,,,,,,,,,
9,jsdom/jsdom,0.1.7,2010-09-08,,,,,,,,,,,,,,,,,,
10,jsdom/jsdom,0.1.9,2010-09-08,,,,,,,,,,,,,,,,,,
11,jsdom/jsdom,0.1.8,2010-09-08,,,,,,,,,,,,,,,,,,
12,jsdom/jsdom,0.1.10,2010-09-14,,,,,,,,,,,,,,,,,,
13,jsdom/jsdom,0.1.11,2010-09-18,,,,,,,,,,,,,,,,,,
14,jsdom/jsdom,0.1.12,2010-09-18,,,,,,,,,,,,,,,,,,
15,jsdom/jsdom,0.1.13,2010-09-18,,,,,,,,,,,,,,,,,,
16,jsdom/jsdom,0.1.14,2010-09-22,,,,,,,,,,,,,,,,,,
17,jsdom/jsdom,0.1.15,2010-10-09,,,,,,,,,,,,,,,,,,
18,jsdom/jsdom,0.1.16,2010-10-12,,,,,,,,,,,,,,,,,,
19,jsdom/jsdom,0.1.17,2010-10-21,,,,,,,,,,,,,,,,,,
20,jsdom/jsdom,0.1.18,2010-10-22,,,,,,,,,,,,,,,,,,
21,jsdom/jsdom,0.1.19,2010-10-27,,,,,,,,,,,,,,,,,,
22,jsdom/jsdom,0.1.20,2010-11-05,,,,,,,,,,,,,,,,,,
23,jsdom/jsdom,0.1.21,2010-12-05,,,,,,,,,,,,,,,,,,
24,jsdom/jsdom,0.1.22,2010-12-28,,,,,,,,,,,,,,,,,,
25,jsdom/jsdom,0.1.23,2011-01-03,,,,,,,,,,,,,,,,,,
26,jsdom/jsdom,0.2.0,2011-02-18,,,,,,,,,,,,,,,,,,
27,jsdom/jsdom,0.2.1,2011-07-21,,,,,,,,,,,,,,,,,,
28,jsdom/jsdom,0.2.2,2011-08-06,,,,,,,,,,,,,,,,,,
29,jsdom/jsdom,0.2.3,2011-08-08,,,,,,,,,,,,,,,,,,
30,jsdom/jsdom,0.2.4,2011-09-01,,,,,,,,,,,,,,,,,,
31,jsdom/jsdom,0.2.5,2011-09-25,,,,,,,,,,,,,,,,,,
32,jsdom/jsdom,0.2.6,2011-10-09,,,,,,,,,,,,,,,,,,
33,jsdom/jsdom,0.2.7,2011-10-09,,,,,,,,,,,,,,,,,,
34,jsdom/jsdom,0.2.8,2011-10-16,,,,,,,,,,,,,,,,,,
35,jsdom/jsdom,0.2.9,2011-10-30,,,,,,,,,,,,,,,,,,
36,jsdom/jsdom,0.2.10,2011-11-20,,,,,,,,,,,,,,,,,,
37,jsdom/jsdom,0.2.11,2012-02-23,,,,,,,,,,,,,,,,,,
38,jsdom/jsdom,0.2.12,2012-02-23,,,,,,,,,,,,,,,,,,
39,jsdom/jsdom,0.2.13,2012-02-27,,,,,,,,,,,,,,,,,,
40,jsdom/jsdom,v0.2.13-patch2,2012-04-01,RELEASE,310.0,184373.0,,,,,,,,,,,2.0,10.0,2.0,135.0,-1.0
41,jsdom/jsdom,v0.2.13-patch3,2012-04-02,RELEASE,310.0,184373.0,,,,,,,,,,,1.0,1.0,1.0,2.0,-1.0
42,jsdom/jsdom,0.2.14,2012-04-12,,,,,,,,,,,,,,,,,,
43,jsdom/jsdom,0.2.14-patch1,2012-04-14,RELEASE,312.0,184450.0,,,,,,,,,,,1.0,4.0,1.0,146.0,-1.0
44,jsdom/jsdom,v0.2.14-patch2,2012-05-14,RELEASE,312.0,184460.0,,,,,,,,,,,1.0,2.0,1.0,2.0,-1.0
45,jsdom/jsdom,0.2.15,2012-07-12,,,,,,,,,,,,,,,,,,
46,jsdom/jsdom,0.2.16,2012-10-11,,,,,,,,,,,,,,,,,,
47,jsdom/jsdom,0.2.17,2012-10-12,,,,,,,,,,,,,,,,,,
48,jsdom/jsdom,0.2.18,2012-10-12,,,,,,,,,,,,,,,,,,
49,jsdom/jsdom,0.2.19,2012-10-26,,,,,,,,,,,,,,,,,,
50,jsdom/jsdom,0.3.0,2012-12-10,,,,,,,,,,,,,,,,,,
51,jsdom/jsdom,0.3.1,2012-12-11,,,,,,,,,,,,,,,,,,
52,jsdom/jsdom,0.3.2,2012-12-16,,,,,,,,,,,,,,,,,,
53,jsdom/jsdom,0.3.3,2012-12-19,,,,,,,,,,,,,,,,,,
54,jsdom/jsdom,0.3.4,2012-12-29,,,,,,,,,,,,,,,,,,
55,jsdom/jsdom,0.4.0,2013-02-06,,,,,,,,,,,,,,,,,,
56,jsdom/jsdom,0.4.1,2013-02-08,,,,,,,,,,,,,,,,,,
57,jsdom/jsdom,0.4.2,2013-02-12,,,,,,,,,,,,,,,,,,
58,jsdom/jsdom,0.5.0,2013-02-12,,,,,,,,,,,,,,,,,,
59,jsdom/jsdom,0.5.1,2013-03-02,,,,,,,,,,,,,,,,,,
60,jsdom/jsdom,0.5.2,2013-03-10,,,,,,,,,,,,,,,,,,
61,jsdom/jsdom,0.5.3,2013-03-16,,,,,,,,,,,,,,,,,,
62,jsdom/jsdom,0.5.4,2013-03-24,,,,,,,,,,,,,,,,,,
63,jsdom/jsdom,0.5.5,2013-03-29,,,,,,,,,,,,,,,,,,
64,jsdom/jsdom,0.5.6,2013-04-07,,,,,,,,,,,,,,,,,,
65,jsdom/jsdom,0.5.7,2013-04-15,,,,,,,,,,,,,,,,,,
66,jsdom/jsdom,0.6.0,2013-04-15,,,,,,,,,,,,,,,,,,
67,jsdom/jsdom,0.6.1,2013-05-06,,,,,,,,,,,,,,,,,,
68,jsdom/jsdom,0.6.2,2013-05-11,,,,,,,,,,,,,,,,,,
69,jsdom/jsdom,0.6.3,2013-05-16,,,,,,,,,,,,,,,,,,
70,jsdom/jsdom,0.6.4,2013-05-20,,,,,,,,,,,,,,,,,,
71,jsdom/jsdom,0.6.5,2013-05-20,,,,,,,,,,,,,,,,,,
72,jsdom/jsdom,0.7.0,2013-07-04,,,,,,,,,,,,,,,,,,
73,jsdom/jsdom,0.8.0,2013-07-21,,,,,,,,,,,,,,,,,,
74,jsdom/jsdom,0.8.1,2013-07-21,,,,,,,,,,,,,,,,,,
75,jsdom/jsdom,0.8.2,2013-07-28,,,,,,,,,,,,,,,,,,
76,jsdom/jsdom,0.8.3,2013-08-04,,,,,,,,,,,,,,,,,,
77,jsdom/jsdom,0.8.4,2013-08-24,,,,,,,,,,,,,,,,,,
78,jsdom/jsdom,0.8.5,2013-09-22,,,,,,,,,,,,,,,,,,
79,jsdom/jsdom,0.8.6,2013-09-27,,,,,,,,,,,,,,,,,,
80,jsdom/jsdom,0.8.7,2013-10-20,,,,,,,,,,,,,,,,,,
81,jsdom/jsdom,0.8.8,2013-10-23,,,,,,,,,,,,,,,,,,
82,jsdom/jsdom,0.8.9,2013-11-30,,,,,,,,,,,,,,,,,,
83,jsdom/jsdom,0.8.10,2013-12-17,,,,,,,,,,,,,,,,,,
84,jsdom/jsdom,0.8.11,2014-01-17,,,,,,,,,,,,,,,,,,
85,jsdom/jsdom,0.9.0,2014-02-02,,,,,,,,,,,,,,,,,,
86,jsdom/jsdom,0.10.0,2014-02-06,,,,,,,,,,,,,,,,,,
87,jsdom/jsdom,0.10.1,2014-02-08,,,,,,,,,,,,,,,,,,
88,jsdom/jsdom,0.10.2,2014-03-08,,,,,,,,,,,,,,,,,,
89,jsdom/jsdom,0.10.3,2014-03-15,,,,,,,,,,,,,,,,,,
90,jsdom/jsdom,0.10.4,2014-03-29,,,,,,,,,,,,,,,,,,
91,jsdom/jsdom,0.10.5,2014-04-03,,,,,,,,,,,,,,,,,,
92,jsdom/jsdom,0.10.6,2014-05-30,,,,,,,,,,,,,,,,,,
93,jsdom/jsdom,0.11.0,2014-06-15,,,,,,,,,,,,,,,,,,
94,jsdom/jsdom,0.11.1,2014-06-30,,,,,,,,,,,,,,,,,,
95,jsdom/jsdom,1.0.0-pre.1,2014-08-19,,,,,,,,,,,,,,,,,,
96,jsdom/jsdom,1.0.0-pre.2,2014-08-21,,,,,,,,,,,,,,,,,,
97,jsdom/jsdom,1.0.0-pre.3,2014-08-22,,,,,,,,,,,,,,,,,,
98,jsdom/jsdom,1.0.0-pre.4,2014-08-28,,,,,,,,,,,,,,,,,,
99,jsdom/jsdom,1.0.0-pre.5,2014-08-30,,,,,,,,,,,,,,,,,,
100,jsdom/jsdom,1.0.0-pre.6,2014-09-02,,,,,,,,,,,,,,,,,,
101,jsdom/jsdom,1.0.0-pre.7,2014-09-18,,,,,,,,,,,,,,,,,,
102,jsdom/jsdom,1.0.0,2014-09-28,,,,,,,,,,,,,,,,,,
103,jsdom/jsdom,1.0.1,2014-10-02,,,,,,,,,,,,,,,,,,
104,jsdom/jsdom,1.0.2,2014-10-13,,,,,,,,,,,,,,,,,,
105,jsdom/jsdom,1.0.3,2014-10-13,,,,,,,,,,,,,,,,,,
106,jsdom/jsdom,1.1.0,2014-10-29,,,,,,,,,,,,,,,,,,
107,jsdom/jsdom,1.2.0,2014-11-05,,,,,,,,,,,,,,,,,,
108,jsdom/jsdom,1.2.1,2014-11-08,,,,,,,,,,,,,,,,,,
109,jsdom/jsdom,1.2.2,2014-11-17,,,,,,,,,,,,,,,,,,
110,jsdom/jsdom,1.3.0,2014-11-18,,,,,,,,,,,,,,,,,,
