,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,typicode/json-server,v0.1.1,2013-12-17,OTHER,19.0,1099.0,4.0,1.0,4.0,6.0,1.0,,,,,
1,typicode/json-server,v0.2.0,2013-12-29,OTHER,19.0,1146.0,4.0,3.0,3.0,14.0,1.0,,,,,
2,typicode/json-server,v0.3.0,2014-04-02,OTHER,16.0,819.0,18.0,6.0,44.0,1662.0,1.0,,,,,
3,typicode/json-server,v0.3.1,2014-04-14,OTHER,16.0,819.0,1.0,1.0,1.0,2.0,1.0,,,,,
4,typicode/json-server,v0.3.2,2014-05-07,OTHER,16.0,819.0,2.0,,2.0,14.0,1.0,,,,,
5,typicode/json-server,v0.3.4,2014-05-09,OTHER,17.0,854.0,2.0,,2.0,4.0,1.0,,,,,
6,typicode/json-server,v0.3.3,2014-05-09,,,,,,,,,,,,,
7,typicode/json-server,v0.3.6,2014-05-12,OTHER,17.0,854.0,2.0,,2.0,18.0,1.0,,,,,
8,typicode/json-server,0.3.5,2014-05-12,OTHER,17.0,854.0,2.0,,2.0,4.0,1.0,,,,,
9,typicode/json-server,v0.3.7,2014-06-12,OTHER,17.0,854.0,4.0,,5.0,12.0,1.0,,,,,
10,typicode/json-server,v0.3.8,2014-06-24,OTHER,17.0,854.0,1.0,1.0,1.0,2.0,1.0,,,,,
11,typicode/json-server,v0.3.9,2014-06-26,OTHER,17.0,833.0,1.0,1.0,1.0,2.0,1.0,,,,,
12,typicode/json-server,v0.3.10,2014-08-07,OTHER,17.0,838.0,3.0,2.0,2.0,10.0,1.0,,,,,
13,typicode/json-server,v0.3.11,2014-08-07,OTHER,17.0,844.0,5.0,,6.0,32.0,1.0,,,,,
14,typicode/json-server,v0.4.0,2014-09-19,OTHER,17.0,1000.0,9.0,2.0,10.0,125.0,2.0,,,,,
15,typicode/json-server,v0.4.1,2014-09-30,OTHER,17.0,1042.0,5.0,2.0,3.0,22.0,2.0,,,,,
16,typicode/json-server,v0.4.2,2014-10-06,OTHER,17.0,1047.0,3.0,,3.0,11.0,1.0,,,,,
17,typicode/json-server,v0.5.0,2014-10-13,OTHER,15.0,1029.0,2.0,1.0,1.0,2.0,1.0,,,,,
18,typicode/json-server,v0.5.2,2014-10-20,OTHER,15.0,1035.0,2.0,,2.0,8.0,1.0,,,,,
19,typicode/json-server,v0.5.1,2014-10-20,OTHER,15.0,1035.0,2.0,1.0,3.0,16.0,1.0,,,,,
20,typicode/json-server,v0.5.3,2014-10-23,OTHER,15.0,1035.0,2.0,,1.0,2.0,1.0,,,,,
21,typicode/json-server,v0.5.4,2014-10-23,OTHER,15.0,1038.0,4.0,,4.0,13.0,1.0,,,,,
22,typicode/json-server,v0.5.5,2014-11-16,OTHER,15.0,1044.0,5.0,1.0,5.0,84.0,1.0,,,,,
23,typicode/json-server,v0.5.6,2015-01-06,OTHER,15.0,1057.0,1.0,1.0,1.0,2.0,1.0,,,,,
24,typicode/json-server,v0.5.7,2015-01-07,OTHER,15.0,1057.0,2.0,,1.0,2.0,1.0,,,,,
25,typicode/json-server,v0.5.8,2015-01-08,OTHER,15.0,1059.0,1.0,1.0,1.0,2.0,1.0,,,,,
26,typicode/json-server,v0.5.9,2015-01-08,OTHER,15.0,1062.0,1.0,1.0,1.0,2.0,1.0,,,,,
27,typicode/json-server,v0.5.10,2015-01-24,OTHER,15.0,1064.0,1.0,1.0,1.0,2.0,1.0,,,,,
28,typicode/json-server,v0.5.11,2015-02-03,OTHER,15.0,1093.0,2.0,,5.0,65.0,1.0,,,,,
29,typicode/json-server,v0.5.12,2015-02-04,OTHER,15.0,1083.0,4.0,,6.0,204.0,1.0,,,,,
30,typicode/json-server,v0.6.0,2015-02-06,OTHER,16.0,1095.0,6.0,1.0,10.0,498.0,1.0,,,,,
31,typicode/json-server,v0.6.1,2015-02-06,OTHER,17.0,1210.0,4.0,1.0,4.0,22.0,1.0,,,,,
32,typicode/json-server,v0.6.2,2015-02-10,OTHER,17.0,1207.0,3.0,,3.0,9.0,1.0,,,,,
33,typicode/json-server,v0.6.3,2015-03-05,OTHER,16.0,1101.0,4.0,4.0,3.0,7.0,1.0,,,,,
34,typicode/json-server,v0.6.4,2015-03-16,OTHER,16.0,1104.0,2.0,1.0,2.0,3.0,1.0,,,,,
35,typicode/json-server,v0.6.5,2015-03-23,OTHER,16.0,1115.0,4.0,1.0,4.0,23.0,1.0,,,,,
36,typicode/json-server,v0.6.6,2015-03-24,OTHER,16.0,1115.0,2.0,,2.0,24.0,1.0,,,,,
37,typicode/json-server,v0.6.7,2015-04-03,OTHER,16.0,1115.0,4.0,,4.0,10.0,1.0,,,,,
38,typicode/json-server,v0.6.8,2015-04-04,OTHER,16.0,1126.0,2.0,,3.0,15.0,1.0,,,,,
39,typicode/json-server,v0.6.9,2015-04-12,OTHER,16.0,1134.0,1.0,1.0,1.0,2.0,1.0,,,,,
40,typicode/json-server,v0.6.10,2015-04-17,OTHER,16.0,1138.0,2.0,,2.0,12.0,1.0,,,,,
41,typicode/json-server,v0.7.0,2015-04-17,OTHER,16.0,1143.0,2.0,,8.0,91.0,1.0,,,,,
42,typicode/json-server,v0.7.1,2015-04-21,OTHER,16.0,1143.0,4.0,,6.0,10.0,1.0,,,,,
43,typicode/json-server,v0.7.2,2015-04-27,OTHER,16.0,1138.0,4.0,,4.0,21.0,1.0,,,,,
44,typicode/json-server,v0.7.3,2015-05-04,OTHER,16.0,1156.0,5.0,1.0,5.0,17.0,1.0,,,,,
45,typicode/json-server,v0.7.4,2015-05-07,OTHER,16.0,1156.0,8.0,1.0,8.0,32.0,1.0,,,,,
46,typicode/json-server,v0.7.5,2015-05-12,OTHER,16.0,1179.0,8.0,,7.0,85.0,1.0,,,,,
47,typicode/json-server,v0.7.6,2015-05-13,OTHER,16.0,1167.0,5.0,1.0,5.0,32.0,1.0,,,,,
48,typicode/json-server,v0.7.7,2015-05-15,OTHER,16.0,1212.0,11.0,2.0,12.0,134.0,1.0,,,,,
49,typicode/json-server,v0.7.8,2015-05-15,OTHER,16.0,1215.0,1.0,1.0,1.0,2.0,0.0,,,,,
50,typicode/json-server,v0.7.9,2015-05-22,OTHER,16.0,1215.0,7.0,4.0,7.0,100.0,1.0,,,,,
51,typicode/json-server,v0.7.10,2015-05-25,OTHER,16.0,1278.0,6.0,1.0,9.0,68.0,1.0,,,,,
52,typicode/json-server,v0.7.11,2015-05-27,OTHER,16.0,1280.0,3.0,1.0,2.0,6.0,1.0,,,,,
53,typicode/json-server,v0.7.12,2015-06-01,OTHER,16.0,1288.0,2.0,1.0,1.0,2.0,1.0,,,,,
54,typicode/json-server,v0.7.13,2015-06-04,OTHER,16.0,1299.0,5.0,,5.0,31.0,1.0,,,,,
55,typicode/json-server,v0.7.14,2015-06-11,OTHER,16.0,1330.0,3.0,,5.0,59.0,1.0,,,,,
56,typicode/json-server,v0.7.15,2015-06-15,OTHER,17.0,1454.0,7.0,1.0,14.0,221.0,1.0,,,,,
57,typicode/json-server,v0.7.16,2015-06-16,OTHER,17.0,1457.0,1.0,1.0,1.0,2.0,1.0,,,,,
58,typicode/json-server,v0.7.17,2015-06-16,OTHER,19.0,1515.0,4.0,1.0,5.0,64.0,1.0,,,,,
59,typicode/json-server,v0.7.18,2015-06-18,OTHER,19.0,1545.0,7.0,,8.0,64.0,1.0,,,,,
60,typicode/json-server,v0.7.19,2015-06-20,OTHER,19.0,1546.0,1.0,1.0,1.0,2.0,1.0,,,,,
61,typicode/json-server,v0.7.20,2015-06-26,OTHER,19.0,1560.0,8.0,1.0,5.0,32.0,1.0,,,,,
62,typicode/json-server,v0.7.21,2015-07-15,OTHER,26.0,1764.0,4.0,2.0,3.0,8.0,1.0,,,,,
63,typicode/json-server,v0.7.22,2015-07-17,,,,,,,,,,,,,
64,typicode/json-server,v0.7.23,2015-07-23,OTHER,30.0,1979.0,1.0,2.0,1.0,2.0,1.0,,,,,
65,typicode/json-server,v0.7.24,2015-07-31,OTHER,30.0,2034.0,2.0,,1.0,2.0,1.0,,,,,
66,typicode/json-server,v0.7.25,2015-08-04,OTHER,30.0,2040.0,1.0,1.0,1.0,2.0,1.0,,,,,
67,typicode/json-server,v0.7.26,2015-09-01,OTHER,31.0,2126.0,2.0,,2.0,17.0,1.0,,,,,
68,typicode/json-server,v0.7.27,2015-09-03,,,,,,,,,,,,,
69,typicode/json-server,v0.7.28,2015-09-09,OTHER,31.0,2214.0,1.0,1.0,1.0,2.0,1.0,,,,,
70,typicode/json-server,v0.8.0,2015-09-21,OTHER,32.0,2313.0,4.0,2.0,14.0,176.0,1.0,,,,,
71,typicode/json-server,v0.8.1,2015-10-06,OTHER,32.0,2325.0,4.0,1.0,4.0,13.0,1.0,,,,,
72,typicode/json-server,v0.8.2,2015-10-15,OTHER,32.0,2370.0,7.0,1.0,8.0,35.0,1.0,,,,,
73,typicode/json-server,v0.8.3,2015-11-29,OTHER,32.0,2440.0,11.0,2.0,13.0,83.0,1.0,,,,,
74,typicode/json-server,v0.8.4,2015-12-13,OTHER,32.0,2469.0,2.0,,6.0,43.0,1.0,,,,,
75,typicode/json-server,v0.8.5,2015-12-28,OTHER,32.0,2480.0,2.0,1.0,2.0,8.0,1.0,,,,,
76,typicode/json-server,v0.8.6,2016-01-07,OTHER,32.0,2503.0,2.0,,6.0,51.0,1.0,,,,,
77,typicode/json-server,v0.8.7,2016-01-22,OTHER,32.0,2558.0,5.0,,6.0,21.0,1.0,,,,,
78,typicode/json-server,v0.8.8,2016-02-13,OTHER,32.0,2558.0,1.0,1.0,1.0,2.0,1.0,,,,,
79,typicode/json-server,v0.8.9,2016-03-17,OTHER,32.0,2628.0,6.0,3.0,5.0,20.0,1.0,,,,,
