,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,karma-runner/karma,v0.0.4,2012-03-11,OTHER,48,10957,,,,,,,,,,,14.0,2.0,41.0,1279.0,-1.0
1,karma-runner/karma,v0.0.2,2012-03-11,OTHER,48,11056,,,,,,,,,,,5.0,2.0,14.0,181.0,-1.0
2,karma-runner/karma,v0.0.6,2012-03-11,OTHER,53,11191,,,,,,,,,,,7.0,5.0,16.0,185.0,-1.0
3,karma-runner/karma,v0.0.7,2012-03-11,OTHER,53,11197,,,,,,,,,,,,,,,
4,karma-runner/karma,v0.0.5,2012-03-11,OTHER,53,11197,,,,,,,,,,,5.0,3.0,13.0,192.0,-1.0
5,karma-runner/karma,v0.0.3,2012-03-11,OTHER,52,11274,,,,,,,,,,,4.0,1.0,13.0,302.0,-1.0
6,karma-runner/karma,v0.0.8,2012-03-11,OTHER,59,11651,,,,,,,,,,,21.0,5.0,51.0,661.0,-1.0
7,karma-runner/karma,v0.0.9,2012-03-19,OTHER,61,11878,,,,,,,,,,,11.0,3.0,23.0,299.0,-1.0
8,karma-runner/karma,v0.0.10,2012-03-22,OTHER,61,12177,,,,,,,,,,,10.0,4.0,24.0,478.0,-1.0
9,karma-runner/karma,v0.0.11,2012-03-23,OTHER,61,12252,,,,,,,,,,,5.0,1.0,16.0,172.0,-1.0
10,karma-runner/karma,v0.0.12,2012-03-26,OTHER,61,12342,,,,,,,,,,,4.0,1.0,5.0,100.0,-1.0
11,karma-runner/karma,v0.0.13,2012-06-11,OTHER,63,12860,,,,,,,,,,,8.0,10.0,27.0,552.0,-1.0
12,karma-runner/karma,v0.0.14,2012-06-24,OTHER,64,12990,,,,,,,,,,,8.0,4.0,17.0,266.0,-1.0
13,karma-runner/karma,v0.0.15,2012-07-21,OTHER,67,13240,,,,,,,,,,,10.0,5.0,19.0,207.0,-1.0
14,karma-runner/karma,v0.0.16,2012-07-26,OTHER,78,21716,,,,,,,,,,,9.0,5.0,39.0,9430.0,-1.0
15,karma-runner/karma,v0.0.17,2012-07-30,OTHER,78,21722,,,,,,,,,,,1.0,2.0,2.0,8.0,-1.0
16,karma-runner/karma,v0.1.0,2012-08-13,OTHER,95,49419,,,,,,,,,,,21.0,19.0,61.0,27955.0,-1.0
17,karma-runner/karma,v0.1.1,2012-08-22,OTHER,95,49640,,,,,,,,,,,17.0,3.0,22.0,180.0,-1.0
18,karma-runner/karma,v0.1.2,2012-08-30,OTHER,95,49662,,,,,,,,,,,1.0,3.0,2.0,6.0,-1.0
19,karma-runner/karma,v0.1.3,2012-09-06,OTHER,96,49741,,,,,,,,,,,6.0,4.0,9.0,107.0,-1.0
20,karma-runner/karma,v0.2.0,2012-09-06,OTHER,96,49747,,,,,,,,,,,1.0,,2.0,16.0,-1.0
21,karma-runner/karma,v0.3.0,2012-09-11,OTHER,101,50025,,,,,,,,,,,11.0,9.0,20.0,245.0,-1.0
22,karma-runner/karma,v0.3.1,2012-09-12,OTHER,101,50062,,,,,,,,,,,3.0,2.0,4.0,41.0,-1.0
23,karma-runner/karma,v0.3.2,2012-09-12,OTHER,101,50087,,,,,,,,,,,4.0,4.0,8.0,52.0,-1.0
