,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,kubernetes/kubernetes,v0.3,2014-09-19,OTHER,883,168058,,,,,,,,,,,150.0,30.0,353.0,13181.0,-1.0
1,kubernetes/kubernetes,v0.4,2014-10-15,OTHER,1052,188538,,,,,,,,,,,400.0,45.0,1103.0,27494.0,-1.0
2,kubernetes/kubernetes,v0.4.1,2014-10-17,OTHER,1052,188538,,,,,,,,,,,4.0,,4.0,12.0,-1.0
3,kubernetes/kubernetes,v0.4.2,2014-10-29,OTHER,1050,189218,,,,,,,,,,,8.0,4.0,36.0,1336.0,-1.0
4,kubernetes/kubernetes,v0.4.3,2014-10-30,OTHER,1053,189448,,,,,,,,,,,10.0,5.0,36.0,1013.0,-1.0
5,kubernetes/kubernetes,v0.5,2014-11-17,OTHER,1451,257658,,,,,,,,,,,574.0,142.0,1549.0,82053.0,-1.0
6,kubernetes/kubernetes,v0.5.1,2014-11-18,OTHER,1462,258968,,,,,,,,,,,4.0,1.0,27.0,1643.0,-1.0
7,kubernetes/kubernetes,v0.4.4,2014-11-19,OTHER,1055,189581,,,,,,,,,,,26.0,12.0,82.0,2504.0,-1.0
8,kubernetes/kubernetes,v0.5.2,2014-11-19,OTHER,1462,258968,,,,,,,,,,,580.0,143.0,1578.0,83704.0,-1.0
9,kubernetes/kubernetes,v0.5.3,2014-11-24,OTHER,1463,259381,,,,,,,,,,,13.0,3.0,28.0,2426.0,-1.0
10,kubernetes/kubernetes,v0.5.4,2014-11-25,OTHER,1463,259390,,,,,,,,,,,2.0,,2.0,8.0,-1.0
11,kubernetes/kubernetes,v0.6.0,2014-12-01,OTHER,1488,264356,,,,,,,,,,,173.0,33.0,471.0,14633.0,-1.0
12,kubernetes/kubernetes,v0.5.5,2014-12-02,OTHER,1463,259420,,,,,,,,,,,25.0,5.0,62.0,4123.0,-1.0
13,kubernetes/kubernetes,v0.6.1,2014-12-09,OTHER,1488,264356,,,,,,,,,,,174.0,33.0,472.0,14637.0,-1.0
14,kubernetes/kubernetes,v0.5.6,2014-12-12,OTHER,1463,259421,,,,,,,,,,,28.0,5.0,65.0,4138.0,-1.0
15,kubernetes/kubernetes,v0.6.2,2014-12-12,OTHER,1488,264357,,,,,,,,,,,177.0,33.0,475.0,14652.0,-1.0
16,kubernetes/kubernetes,v0.7.0,2014-12-15,OTHER,1533,275176,,,,,,,,,,,263.0,44.0,572.0,37736.0,-1.0
17,kubernetes/kubernetes,v0.7.1,2014-12-22,OTHER,1533,275227,,,,,,,,,,,3.0,,8.0,89.0,-1.0
18,kubernetes/kubernetes,v0.7.2,2014-12-29,OTHER,1655,286090,,,,,,,,,,,6.0,,116.0,9986.0,-1.0
19,kubernetes/kubernetes,v0.8.0,2015-01-07,OTHER,2113,352744,,,,,,,,,,,273.0,57.0,1114.0,116088.0,-1.0
20,kubernetes/kubernetes,v0.7.3,2015-01-08,OTHER,1655,286089,,,,,,,,,,,11.0,1.0,126.0,10080.0,-1.0
21,kubernetes/kubernetes,v0.7.4,2015-01-09,OTHER,1655,286089,,,,,,,,,,,2.0,1.0,2.0,8.0,-1.0
22,kubernetes/kubernetes,v0.8.1,2015-01-12,OTHER,2113,352748,,,,,,,,,,,276.0,57.0,1117.0,116100.0,-1.0
23,kubernetes/kubernetes,v0.8.2,2015-01-20,OTHER,2113,352684,,,,,,,,,,,4.0,1.0,5.0,71.0,-1.0
24,kubernetes/kubernetes,v0.9.0,2015-01-23,OTHER,2413,414191,,,,,,,,,,,345.0,42.0,1157.0,125085.0,-1.0
25,kubernetes/kubernetes,v0.9.1,2015-01-23,OTHER,2419,414910,,,,,,,,,,,5.0,,56.0,1405.0,-1.0
26,kubernetes/kubernetes,v0.9.2,2015-01-27,OTHER,2419,415097,,,,,,,,,,,4.0,,7.0,303.0,-1.0
27,kubernetes/kubernetes,v0.8.4,2015-01-28,OTHER,2113,352712,,,,,,,,,,,10.0,2.0,13.0,119.0,-1.0
28,kubernetes/kubernetes,v0.9.3,2015-01-29,OTHER,2419,415094,,,,,,,,,,,357.0,43.0,1223.0,126804.0,-1.0
29,kubernetes/kubernetes,v0.10.0,2015-02-03,OTHER,2732,452425,,,,,,,,,,,345.0,83.0,1012.0,51823.0,-1.0
30,kubernetes/kubernetes,v0.10.1,2015-02-05,OTHER,2732,452604,,,,,,,,,,,3.0,,6.0,163.0,-1.0
31,kubernetes/kubernetes,v0.11.0,2015-02-17,OTHER,3087,523144,,,,,,,,,,,444.0,114.0,916.0,81887.0,-1.0
32,kubernetes/kubernetes,v0.12.0,2015-03-02,OTHER,3380,571454,,,,,,,,,,,420.0,74.0,1124.0,60344.0,-1.0
33,kubernetes/kubernetes,v0.12.1,2015-03-11,OTHER,3380,571451,,,,,,,,,,,5.0,,7.0,45.0,-1.0
34,kubernetes/kubernetes,v0.12.2,2015-03-16,OTHER,3380,571527,,,,,,,,,,,4.0,,5.0,86.0,-1.0
35,kubernetes/kubernetes,v0.13.0,2015-03-16,OTHER,3963,647916,,,,,,,,,,,383.0,61.0,2095.0,141240.0,-1.0
36,kubernetes/kubernetes,v0.13.1,2015-03-17,OTHER,3999,653657,,,,,,,,,,,184.0,20.0,449.0,27800.0,-1.0
37,kubernetes/kubernetes,v0.13.2,2015-03-18,OTHER,3999,653670,,,,,,,,,,,3.0,,3.0,35.0,-1.0
38,kubernetes/kubernetes,v0.13.1-dev,2015-03-24,OTHER,3999,653656,,,,,,,,,,,,,,,
39,kubernetes/kubernetes,v0.14.0,2015-03-30,OTHER,4133,668505,,,,,,,,,,,554.0,90.0,1537.0,69495.0,-1.0
40,kubernetes/kubernetes,v0.14.1,2015-04-01,OTHER,4133,668665,,,,,,,,,,,4.0,,7.0,206.0,-1.0
41,kubernetes/kubernetes,v0.14.2,2015-04-07,OTHER,4133,668626,,,,,,,,,,,4.0,,18.0,249.0,-1.0
42,kubernetes/kubernetes,v0.15.0,2015-04-13,OTHER,4306,703223,,,,,,,,,,,536.0,113.0,1355.0,52758.0,-1.0
43,kubernetes/kubernetes,v0.16.0,2015-04-28,OTHER,5751,1066766,,,,,,,,,,,645.0,140.0,2920.0,411550.0,-1.0
44,kubernetes/kubernetes,v0.16.1,2015-05-01,OTHER,5751,1066788,,,,,,,,,,,2.0,,2.0,8.0,-1.0
45,kubernetes/kubernetes,v0.16.2,2015-05-04,OTHER,5752,1066954,,,,,,,,,,,3.0,,3.0,10.0,-1.0
46,kubernetes/kubernetes,v0.17.0,2015-05-11,OTHER,5675,1012288,,,,,,,,,,,603.0,88.0,2963.0,199552.0,-1.0
47,kubernetes/kubernetes,v0.17.1,2015-05-21,OTHER,5675,1012331,,,,,,,,,,,4.0,,4.0,31.0,-1.0
48,kubernetes/kubernetes,v0.18.0,2015-05-29,OTHER,6013,1115409,,,,,,,,,,,751.0,131.0,2415.0,280683.0,-1.0
49,kubernetes/kubernetes,v0.18.1,2015-06-02,OTHER,6013,1115527,,,,,,,,,,,5.0,,9.0,146.0,-1.0
50,kubernetes/kubernetes,v0.18.2,2015-06-08,OTHER,6013,1115529,,,,,,,,,,,3.0,,3.0,14.0,-1.0
51,kubernetes/kubernetes,v0.19.0,2015-06-10,OTHER,6622,1159940,,,,,,,,,,,429.0,112.0,1055.0,191928.0,-1.0
52,kubernetes/kubernetes,v0.19.1,2015-06-18,OTHER,6627,1160356,,,,,,,,,,,13.0,8.0,33.0,418.0,-1.0
53,kubernetes/kubernetes,v0.19.3,2015-06-22,OTHER,6627,1160356,,,,,,,,,,,2.0,,2.0,8.0,-1.0
54,kubernetes/kubernetes,v0.19.2,2015-06-22,OTHER,6627,1160356,,,,,,,,,,,3.0,,4.0,16.0,-1.0
55,kubernetes/kubernetes,v0.20.0,2015-06-25,OTHER,7351,1363647,,,,,,,,,,,634.0,104.0,1404.0,184102.0,-1.0
56,kubernetes/kubernetes,v0.20.1,2015-06-29,OTHER,7351,1363641,,,,,,,,,,,9.0,,18.0,140.0,-1.0
57,kubernetes/kubernetes,v0.20.2,2015-06-30,OTHER,7351,1363648,,,,,,,,,,,5.0,1.0,5.0,30.0,-1.0
58,kubernetes/kubernetes,v0.21.0,2015-07-07,OTHER,6388,1232814,16.0,132.0,7.0,89.0,7.0,6.0,135.0,38.0,271.0,3.0,320.0,60.0,757.0,60141.0,-1.0
59,kubernetes/kubernetes,v0.21.1,2015-07-08,OTHER,6392,1233032,5.0,7.0,8.0,32.0,2.0,,,,,,7.0,1.0,10.0,75.0,-1.0
60,kubernetes/kubernetes,v0.21.2,2015-07-10,OTHER,6392,1233050,,,,,,,,,,,6.0,3.0,8.0,63.0,-1.0
61,kubernetes/kubernetes,v1.0.0,2015-07-10,OTHER,6467,1238841,27.0,118.0,37.0,1075.0,11.0,32.0,122.0,45.0,1344.0,7.0,125.0,51.0,157.0,4826.0,-1.0
62,kubernetes/kubernetes,v0.21.3,2015-07-15,OTHER,6392,1233128,1.0,5.0,1.0,4.0,1.0,,,,,,,,,,
63,kubernetes/kubernetes,v0.21.4,2015-07-16,OTHER,6392,1233190,2.0,2.0,5.0,444.0,1.0,,,,,,2.0,,7.0,320.0,-1.0
64,kubernetes/kubernetes,v1.0.1,2015-07-17,OTHER,6467,1239052,27.0,144.0,37.0,1075.0,11.0,32.0,148.0,45.0,1344.0,7.0,136.0,61.0,184.0,6158.0,-1.0
65,kubernetes/kubernetes,v1.1.0-alpha.0,2015-07-31,OTHER,6467,1238861,,,,,,,,,,,1.0,1.0,,0.0,-1.0
66,kubernetes/kubernetes,v1.0.2,2015-07-31,OTHER,6527,1307708,17.0,174.0,62.0,609.0,1.0,,,,,,126.0,137.0,931.0,26053.0,-1.0
67,kubernetes/kubernetes,v1.0.3,2015-08-06,OTHER,6537,1308163,1.0,17.0,1.0,4.0,1.0,,,,,,15.0,13.0,44.0,462.0,-1.0
68,kubernetes/kubernetes,v1.0.4,2015-08-25,OTHER,6537,1308230,,,,,,,,,,,16.0,22.0,1025.0,7614.0,-1.0
69,kubernetes/kubernetes,v1.1.0-alpha.1,2015-08-28,OTHER,5791,1174314,628.0,767.0,2233.0,162428.0,38.0,195.0,783.0,1947.0,263857.0,62.0,941.0,372.0,3747.0,189859.0,-1.0
70,kubernetes/kubernetes,v1.0.5,2015-08-31,OTHER,6550,1310141,20.0,221.0,106.0,2886.0,3.0,,,,,,161.0,177.0,2029.0,34983.0,-1.0
71,kubernetes/kubernetes,v1.0.6,2015-09-10,OTHER,6551,1310258,,,,,,,,,,,7.0,2.0,15.0,183.0,-1.0
72,kubernetes/kubernetes,v1.1.0,2015-09-25,OTHER,6017,1235224,914.0,1253.0,2954.0,192429.0,39.0,296.0,1271.0,2624.0,298634.0,85.0,1474.0,673.0,5359.0,316236.0,-1.0
73,kubernetes/kubernetes,v1.2.0-alpha.0,2015-09-25,OTHER,6017,1240852,,,,,,,,,,,,,,,
74,kubernetes/kubernetes,v1.2.0-alpha.1,2015-10-02,OTHER,6017,1240847,,,,,,,,,,,,,,,
75,kubernetes/kubernetes,v1.1.0-beta,2015-10-13,OTHER,6017,1235224,2.0,1.0,2.0,11.0,1.0,,,,,,,,,,
76,kubernetes/kubernetes,v1.1.1-beta,2015-10-14,OTHER,6017,1235224,,,,,,,,,,,,,,,
77,kubernetes/kubernetes,v1.2.0-alpha.2,2015-10-19,OTHER,5266,1233672,490.0,499.0,878.0,208069.0,38.0,110.0,501.0,610.0,50637.0,46.0,207.0,146.0,723.0,46651.0,-1.0
78,kubernetes/kubernetes,v1.0.7,2015-10-26,OTHER,6553,1308448,24.0,255.0,111.0,2996.0,6.0,,,,,,182.0,186.0,2101.0,37107.0,-1.0
79,kubernetes/kubernetes,v1.0.8-beta,2015-10-29,OTHER,6553,1308448,,,,,,,,,,,,,,,
80,kubernetes/kubernetes,v1.1.1-beta.1,2015-11-03,OTHER,5179,1071227,100.0,303.0,582.0,92073.0,23.0,9.0,304.0,434.0,37138.0,2.0,127.0,90.0,826.0,31512.0,-1.0
81,kubernetes/kubernetes,v1.1.1-beta.0,2015-11-03,OTHER,6017,1235224,2.0,1.0,2.0,11.0,1.0,,,,,,,,,,
82,kubernetes/kubernetes,v1.2.0-alpha.3,2015-11-03,OTHER,5888,1370174,1661.0,1988.0,4254.0,454599.0,43.0,476.0,2015.0,3839.0,469834.0,113.0,1788.0,893.0,6615.0,409792.0,-1.0
