,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,kubernetes/kubernetes,v0.3,2014-09-19,REFACTOR,883.0,168058.0,,,,,,,,,,,4.0,101.0,31.0,583.0,-1.0
1,kubernetes/kubernetes,v0.4,2014-10-15,REFACTOR,1052.0,188538.0,,,,,,,,,,,6.0,128.0,50.0,2506.0,-1.0
2,kubernetes/kubernetes,v0.4.1,2014-10-17,,,,,,,,,,,,,,,,,,
3,kubernetes/kubernetes,v0.4.2,2014-10-29,,,,,,,,,,,,,,,,,,
4,kubernetes/kubernetes,v0.4.3,2014-10-30,,,,,,,,,,,,,,,,,,
5,kubernetes/kubernetes,v0.5,2014-11-17,REFACTOR,1451.0,257658.0,,,,,,,,,,,22.0,350.0,136.0,4010.0,-1.0
6,kubernetes/kubernetes,v0.5.1,2014-11-18,,,,,,,,,,,,,,,,,,
7,kubernetes/kubernetes,v0.4.4,2014-11-19,,,,,,,,,,,,,,,,,,
8,kubernetes/kubernetes,v0.5.2,2014-11-19,REFACTOR,1462.0,258968.0,,,,,,,,,,,22.0,352.0,136.0,4010.0,-1.0
9,kubernetes/kubernetes,v0.5.3,2014-11-24,,,,,,,,,,,,,,,,,,
10,kubernetes/kubernetes,v0.5.4,2014-11-25,,,,,,,,,,,,,,,,,,
11,kubernetes/kubernetes,v0.6.0,2014-12-01,REFACTOR,1488.0,264356.0,,,,,,,,,,,6.0,87.0,52.0,1256.0,-1.0
12,kubernetes/kubernetes,v0.5.5,2014-12-02,,,,,,,,,,,,,,,,,,
13,kubernetes/kubernetes,v0.6.1,2014-12-09,REFACTOR,1488.0,264356.0,,,,,,,,,,,6.0,88.0,52.0,1256.0,-1.0
14,kubernetes/kubernetes,v0.5.6,2014-12-12,,,,,,,,,,,,,,,,,,
15,kubernetes/kubernetes,v0.6.2,2014-12-12,REFACTOR,1488.0,264357.0,,,,,,,,,,,6.0,90.0,52.0,1256.0,-1.0
16,kubernetes/kubernetes,v0.7.0,2014-12-15,REFACTOR,1533.0,275176.0,,,,,,,,,,,4.0,124.0,6.0,711.0,-1.0
17,kubernetes/kubernetes,v0.7.1,2014-12-22,,,,,,,,,,,,,,,,,,
18,kubernetes/kubernetes,v0.7.2,2014-12-29,,,,,,,,,,,,,,,,,,
19,kubernetes/kubernetes,v0.8.0,2015-01-07,REFACTOR,2113.0,352744.0,,,,,,,,,,,1.0,155.0,9.0,429.0,-1.0
20,kubernetes/kubernetes,v0.7.3,2015-01-08,,,,,,,,,,,,,,,,,,
21,kubernetes/kubernetes,v0.7.4,2015-01-09,,,,,,,,,,,,,,,,,,
22,kubernetes/kubernetes,v0.8.1,2015-01-12,REFACTOR,2113.0,352748.0,,,,,,,,,,,1.0,157.0,9.0,429.0,-1.0
23,kubernetes/kubernetes,v0.8.2,2015-01-20,,,,,,,,,,,,,,,,,,
24,kubernetes/kubernetes,v0.9.0,2015-01-23,,,,,,,,,,,,,,,,,,
25,kubernetes/kubernetes,v0.9.1,2015-01-23,,,,,,,,,,,,,,,,,,
26,kubernetes/kubernetes,v0.9.2,2015-01-27,,,,,,,,,,,,,,,,,,
27,kubernetes/kubernetes,v0.8.4,2015-01-28,,,,,,,,,,,,,,,,,,
28,kubernetes/kubernetes,v0.9.3,2015-01-29,,,,,,,,,,,,,,,,,,
29,kubernetes/kubernetes,v0.10.0,2015-02-03,REFACTOR,2732.0,452425.0,,,,,,,,,,,4.0,225.0,5.0,524.0,-1.0
30,kubernetes/kubernetes,v0.10.1,2015-02-05,,,,,,,,,,,,,,,,,,
31,kubernetes/kubernetes,v0.11.0,2015-02-17,REFACTOR,3087.0,523144.0,,,,,,,,,,,3.0,298.0,30.0,542.0,-1.0
32,kubernetes/kubernetes,v0.12.0,2015-03-02,REFACTOR,3380.0,571454.0,,,,,,,,,,,3.0,222.0,5.0,503.0,-1.0
33,kubernetes/kubernetes,v0.12.1,2015-03-11,,,,,,,,,,,,,,,,,,
34,kubernetes/kubernetes,v0.12.2,2015-03-16,,,,,,,,,,,,,,,,,,
35,kubernetes/kubernetes,v0.13.0,2015-03-16,REFACTOR,3963.0,647916.0,,,,,,,,,,,9.0,178.0,20.0,1376.0,-1.0
36,kubernetes/kubernetes,v0.13.1,2015-03-17,REFACTOR,3999.0,653657.0,,,,,,,,,,,2.0,69.0,3.0,288.0,-1.0
37,kubernetes/kubernetes,v0.13.2,2015-03-18,,,,,,,,,,,,,,,,,,
38,kubernetes/kubernetes,v0.13.1-dev,2015-03-24,,,,,,,,,,,,,,,,,,
39,kubernetes/kubernetes,v0.14.0,2015-03-30,REFACTOR,4133.0,668505.0,,,,,,,,,,,12.0,261.0,28.0,2416.0,-1.0
40,kubernetes/kubernetes,v0.14.1,2015-04-01,,,,,,,,,,,,,,,,,,
41,kubernetes/kubernetes,v0.14.2,2015-04-07,,,,,,,,,,,,,,,,,,
42,kubernetes/kubernetes,v0.15.0,2015-04-13,REFACTOR,4306.0,703223.0,,,,,,,,,,,7.0,259.0,45.0,1516.0,-1.0
43,kubernetes/kubernetes,v0.16.0,2015-04-28,REFACTOR,5751.0,1066766.0,,,,,,,,,,,12.0,390.0,62.0,1983.0,-1.0
44,kubernetes/kubernetes,v0.16.1,2015-05-01,,,,,,,,,,,,,,,,,,
45,kubernetes/kubernetes,v0.16.2,2015-05-04,,,,,,,,,,,,,,,,,,
46,kubernetes/kubernetes,v0.17.0,2015-05-11,REFACTOR,5675.0,1012288.0,,,,,,,,,,,7.0,302.0,31.0,1200.0,-1.0
47,kubernetes/kubernetes,v0.17.1,2015-05-21,,,,,,,,,,,,,,,,,,
48,kubernetes/kubernetes,v0.18.0,2015-05-29,REFACTOR,6013.0,1115409.0,,,,,,,,,,,8.0,365.0,13.0,1135.0,-1.0
49,kubernetes/kubernetes,v0.18.1,2015-06-02,,,,,,,,,,,,,,,,,,
50,kubernetes/kubernetes,v0.18.2,2015-06-08,,,,,,,,,,,,,,,,,,
51,kubernetes/kubernetes,v0.19.0,2015-06-10,REFACTOR,6622.0,1159940.0,,,,,,,,,,,9.0,243.0,31.0,1188.0,-1.0
52,kubernetes/kubernetes,v0.19.1,2015-06-18,,,,,,,,,,,,,,,,,,
53,kubernetes/kubernetes,v0.19.3,2015-06-22,,,,,,,,,,,,,,,,,,
54,kubernetes/kubernetes,v0.19.2,2015-06-22,,,,,,,,,,,,,,,,,,
55,kubernetes/kubernetes,v0.20.0,2015-06-25,REFACTOR,7351.0,1363647.0,,,,,,,,,,,3.0,313.0,7.0,232.0,-1.0
56,kubernetes/kubernetes,v0.20.1,2015-06-29,,,,,,,,,,,,,,,,,,
57,kubernetes/kubernetes,v0.20.2,2015-06-30,,,,,,,,,,,,,,,,,,
58,kubernetes/kubernetes,v0.21.0,2015-07-07,,,,,,,,,,,,,,,,,,
59,kubernetes/kubernetes,v0.21.1,2015-07-08,,,,,,,,,,,,,,,,,,
60,kubernetes/kubernetes,v0.21.2,2015-07-10,,,,,,,,,,,,,,,,,,
61,kubernetes/kubernetes,v1.0.0,2015-07-10,,,,,,,,,,,,,,,,,,
62,kubernetes/kubernetes,v0.21.3,2015-07-15,,,,,,,,,,,,,,,,,,
63,kubernetes/kubernetes,v0.21.4,2015-07-16,,,,,,,,,,,,,,,,,,
64,kubernetes/kubernetes,v1.0.1,2015-07-17,,,,,,,,,,,,,,,,,,
65,kubernetes/kubernetes,v1.1.0-alpha.0,2015-07-31,,,,,,,,,,,,,,,,,,
66,kubernetes/kubernetes,v1.0.2,2015-07-31,,,,,,,,,,,,,,,,,,
67,kubernetes/kubernetes,v1.0.3,2015-08-06,REFACTOR,6537.0,1308163.0,,,,,,,,,,,1.0,25.0,1.0,82.0,-1.0
68,kubernetes/kubernetes,v1.0.4,2015-08-25,,,,,,,,,,,,,,,,,,
69,kubernetes/kubernetes,v1.1.0-alpha.1,2015-08-28,REFACTOR,5791.0,1174314.0,15.0,2435.0,72.0,3966.0,15.0,4.0,2466.0,17.0,286.0,4.0,17.0,1086.0,104.0,4146.0,-1.0
70,kubernetes/kubernetes,v1.0.5,2015-08-31,REFACTOR,6550.0,1310141.0,,,,,,,,,,,1.0,335.0,1.0,82.0,-1.0
71,kubernetes/kubernetes,v1.0.6,2015-09-10,,,,,,,,,,,,,,,,,,
72,kubernetes/kubernetes,v1.1.0,2015-09-25,REFACTOR,6017.0,1235224.0,21.0,3810.0,103.0,5851.0,21.0,7.0,3847.0,26.0,1416.0,7.0,28.0,1909.0,268.0,9599.0,-1.0
73,kubernetes/kubernetes,v1.2.0-alpha.0,2015-09-25,,,,,,,,,,,,,,,,,,
74,kubernetes/kubernetes,v1.2.0-alpha.1,2015-10-02,,,,,,,,,,,,,,,,,,
75,kubernetes/kubernetes,v1.1.0-beta,2015-10-13,,,,,,,,,,,,,,,,,,
76,kubernetes/kubernetes,v1.1.1-beta,2015-10-14,,,,,,,,,,,,,,,,,,
77,kubernetes/kubernetes,v1.2.0-alpha.2,2015-10-19,REFACTOR,5266.0,1233672.0,11.0,1289.0,37.0,1578.0,11.0,3.0,1293.0,23.0,1506.0,3.0,1.0,352.0,3.0,319.0,-1.0
78,kubernetes/kubernetes,v1.0.7,2015-10-26,REFACTOR,6553.0,1308448.0,,,,,,,,,,,1.0,365.0,1.0,82.0,-1.0
79,kubernetes/kubernetes,v1.0.8-beta,2015-10-29,,,,,,,,,,,,,,,,,,
80,kubernetes/kubernetes,v1.1.1-beta.1,2015-11-03,REFACTOR,5179.0,1071227.0,,,,,,1.0,537.0,13.0,619.0,1.0,2.0,215.0,6.0,323.0,-1.0
81,kubernetes/kubernetes,v1.1.1-beta.0,2015-11-03,,,,,,,,,,,,,,,,,,
82,kubernetes/kubernetes,v1.2.0-alpha.3,2015-11-03,REFACTOR,5888.0,1370174.0,35.0,5739.0,140.0,7429.0,35.0,12.0,5815.0,68.0,3948.0,12.0,30.0,2441.0,280.0,10059.0,-1.0
83,kubernetes/kubernetes,v1.1.2-beta.0,2015-11-09,,,,,,,,,,,,,,,,,,
84,kubernetes/kubernetes,v1.1.1,2015-11-09,,,,,,,,,,,,,,,,,,
85,kubernetes/kubernetes,v1.1.3-beta.0,2015-11-18,,,,,,,,,,,,,,,,,,
86,kubernetes/kubernetes,v1.1.2,2015-11-18,,,,,,,,,,,,,,,,,,
87,kubernetes/kubernetes,v1.2.0-alpha.4,2015-11-25,REFACTOR,6098.0,1391670.0,23.0,2940.0,122.0,3579.0,23.0,10.0,2990.0,82.0,3274.0,10.0,9.0,821.0,32.0,1567.0,-1.0
88,kubernetes/kubernetes,v1.1.4-beta.0,2015-12-07,,,,,,,,,,,,,,,,,,
89,kubernetes/kubernetes,v1.1.3,2015-12-07,REFACTOR,5400.0,1125342.0,,,,,,1.0,749.0,13.0,619.0,1.0,2.0,300.0,6.0,323.0,-1.0
90,kubernetes/kubernetes,v1.2.0-alpha.5,2015-12-16,REFACTOR,6256.0,1444562.0,25.0,3762.0,122.0,3579.0,25.0,13.0,3817.0,89.0,4068.0,13.0,13.0,1148.0,76.0,2122.0,-1.0
91,kubernetes/kubernetes,v1.1.5-beta.0,2016-01-08,,,,,,,,,,,,,,,,,,
92,kubernetes/kubernetes,v1.1.4,2016-01-08,REFACTOR,5410.0,1125815.0,,,,,,1.0,826.0,13.0,619.0,1.0,2.0,332.0,6.0,323.0,-1.0
93,kubernetes/kubernetes,v1.2.0-alpha.6,2016-01-13,REFACTOR,7232.0,1592140.0,29.0,4615.0,122.0,3579.0,29.0,15.0,4678.0,102.0,4173.0,15.0,18.0,1465.0,115.0,3047.0,-1.0
94,kubernetes/kubernetes,v1.1.6-beta.0,2016-01-22,,,,,,,,,,,,,,,,,,
95,kubernetes/kubernetes,v1.1.5,2016-01-22,REFACTOR,5410.0,1125837.0,,,,,,1.0,857.0,13.0,619.0,1.0,2.0,347.0,6.0,323.0,-1.0
96,kubernetes/kubernetes,v1.1.8-beta.0,2016-01-27,,,,,,,,,,,,,,,,,,
97,kubernetes/kubernetes,v1.1.7,2016-01-27,,,,,,,,,,,,,,,,,,
98,kubernetes/kubernetes,v1.1.7-beta.0,2016-01-27,,,,,,,,,,,,,,,,,,
99,kubernetes/kubernetes,v1.1.6,2016-01-27,,,,,,,,,,,,,,,,,,
100,kubernetes/kubernetes,v1.2.0-alpha.7,2016-02-02,REFACTOR,7682.0,1798769.0,31.0,5602.0,122.0,3579.0,31.0,17.0,5677.0,110.0,5043.0,17.0,23.0,1845.0,144.0,3585.0,-1.0
101,kubernetes/kubernetes,v1.2.0-alpha.8,2016-02-19,REFACTOR,7917.0,1873098.0,4.0,1147.0,2.0,848.0,4.0,3.0,1157.0,32.0,2791.0,3.0,1.0,430.0,3.0,145.0,-1.0
102,kubernetes/kubernetes,v1.1.9-beta.0,2016-02-23,,,,,,,,,,,,,,,,,,
103,kubernetes/kubernetes,v1.1.8,2016-02-23,REFACTOR,5410.0,1126292.0,,,,,,1.0,925.0,13.0,619.0,1.0,2.0,374.0,6.0,323.0,-1.0
104,kubernetes/kubernetes,v1.2.0-beta.0,2016-03-04,,,,,,,,,,,,,,,,,,
105,kubernetes/kubernetes,v1.3.0-alpha.0,2016-03-04,REFACTOR,8077.0,1936939.0,41.0,7761.0,142.0,5912.0,41.0,20.0,7859.0,142.0,7834.0,20.0,27.0,2593.0,150.0,3800.0,-1.0
106,kubernetes/kubernetes,v1.2.0-beta.1,2016-03-11,,,,1.0,283.0,,0.0,1.0,4.0,301.0,6.0,392.0,4.0,,,,,
107,kubernetes/kubernetes,v1.2.1-beta.0,2016-03-16,,,,,,,,,,,,,,,,,,
108,kubernetes/kubernetes,v1.2.0,2016-03-16,,,,,,,,,,,,,,,,,,
