,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,kubernetes/kubernetes,v0.3,2014-09-19,SUPPORT,883,168058,,,,,,,,,,,6.0,98.0,41.0,8956.0,-1.0
1,kubernetes/kubernetes,v0.4,2014-10-15,SUPPORT,1052,188538,,,,,,,,,,,13.0,128.0,36.0,1865.0,-1.0
2,kubernetes/kubernetes,v0.4.1,2014-10-17,SUPPORT,1052,188538,,,,,,,,,,,,,,,
3,kubernetes/kubernetes,v0.4.2,2014-10-29,SUPPORT,1050,189218,,,,,,,,,,,,,,,
4,kubernetes/kubernetes,v0.4.3,2014-10-30,SUPPORT,1053,189448,,,,,,,,,,,,,,,
5,kubernetes/kubernetes,v0.5,2014-11-17,SUPPORT,1451,257658,,,,,,,,,,,20.0,348.0,119.0,4332.0,-1.0
6,kubernetes/kubernetes,v0.5.1,2014-11-18,SUPPORT,1462,258968,,,,,,,,,,,,,,,
7,kubernetes/kubernetes,v0.4.4,2014-11-19,SUPPORT,1055,189581,,,,,,,,,,,,,,,
8,kubernetes/kubernetes,v0.5.2,2014-11-19,SUPPORT,1462,258968,,,,,,,,,,,20.0,350.0,119.0,4332.0,-1.0
9,kubernetes/kubernetes,v0.5.3,2014-11-24,SUPPORT,1463,259381,,,,,,,,,,,,,,,
10,kubernetes/kubernetes,v0.5.4,2014-11-25,SUPPORT,1463,259390,,,,,,,,,,,,,,,
11,kubernetes/kubernetes,v0.6.0,2014-12-01,SUPPORT,1488,264356,,,,,,,,,,,2.0,87.0,4.0,179.0,-1.0
12,kubernetes/kubernetes,v0.5.5,2014-12-02,SUPPORT,1463,259420,,,,,,,,,,,,,,,
13,kubernetes/kubernetes,v0.6.1,2014-12-09,SUPPORT,1488,264356,,,,,,,,,,,2.0,88.0,4.0,179.0,-1.0
14,kubernetes/kubernetes,v0.5.6,2014-12-12,SUPPORT,1463,259421,,,,,,,,,,,,,,,
15,kubernetes/kubernetes,v0.6.2,2014-12-12,SUPPORT,1488,264357,,,,,,,,,,,2.0,90.0,4.0,179.0,-1.0
16,kubernetes/kubernetes,v0.7.0,2014-12-15,SUPPORT,1533,275176,,,,,,,,,,,4.0,124.0,11.0,173.0,-1.0
17,kubernetes/kubernetes,v0.7.1,2014-12-22,SUPPORT,1533,275227,,,,,,,,,,,,,,,
18,kubernetes/kubernetes,v0.7.2,2014-12-29,SUPPORT,1655,286090,,,,,,,,,,,,,,,
19,kubernetes/kubernetes,v0.8.0,2015-01-07,SUPPORT,2113,352744,,,,,,,,,,,7.0,152.0,32.0,1054.0,-1.0
20,kubernetes/kubernetes,v0.7.3,2015-01-08,SUPPORT,1655,286089,,,,,,,,,,,,,,,
21,kubernetes/kubernetes,v0.7.4,2015-01-09,SUPPORT,1655,286089,,,,,,,,,,,,,,,
22,kubernetes/kubernetes,v0.8.1,2015-01-12,SUPPORT,2113,352748,,,,,,,,,,,7.0,154.0,32.0,1054.0,-1.0
23,kubernetes/kubernetes,v0.8.2,2015-01-20,SUPPORT,2113,352684,,,,,,,,,,,,,,,
24,kubernetes/kubernetes,v0.9.0,2015-01-23,SUPPORT,2413,414191,,,,,,,,,,,3.0,138.0,13.0,186.0,-1.0
25,kubernetes/kubernetes,v0.9.1,2015-01-23,SUPPORT,2419,414910,,,,,,,,,,,,,,,
26,kubernetes/kubernetes,v0.9.2,2015-01-27,SUPPORT,2419,415097,,,,,,,,,,,,,,,
27,kubernetes/kubernetes,v0.8.4,2015-01-28,SUPPORT,2113,352712,,,,,,,,,,,,,,,
28,kubernetes/kubernetes,v0.9.3,2015-01-29,SUPPORT,2419,415094,,,,,,,,,,,3.0,146.0,13.0,186.0,-1.0
29,kubernetes/kubernetes,v0.10.0,2015-02-03,SUPPORT,2732,452425,,,,,,,,,,,6.0,223.0,43.0,1261.0,-1.0
30,kubernetes/kubernetes,v0.10.1,2015-02-05,SUPPORT,2732,452604,,,,,,,,,,,,,,,
31,kubernetes/kubernetes,v0.11.0,2015-02-17,SUPPORT,3087,523144,,,,,,,,,,,6.0,294.0,301.0,20161.0,-1.0
32,kubernetes/kubernetes,v0.12.0,2015-03-02,SUPPORT,3380,571454,,,,,,,,,,,6.0,219.0,21.0,1576.0,-1.0
33,kubernetes/kubernetes,v0.12.1,2015-03-11,SUPPORT,3380,571451,,,,,,,,,,,,,,,
34,kubernetes/kubernetes,v0.12.2,2015-03-16,SUPPORT,3380,571527,,,,,,,,,,,,,,,
35,kubernetes/kubernetes,v0.13.0,2015-03-16,SUPPORT,3963,647916,,,,,,,,,,,7.0,181.0,16.0,400.0,-1.0
36,kubernetes/kubernetes,v0.13.1,2015-03-17,SUPPORT,3999,653657,,,,,,,,,,,4.0,68.0,21.0,652.0,-1.0
37,kubernetes/kubernetes,v0.13.2,2015-03-18,SUPPORT,3999,653670,,,,,,,,,,,,,,,
