,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,kubernetes/kubernetes,v0.3,2014-09-19,UPGRADE,883,168058,,,,,,,,,,,3.0,103.0,4.0,71.0,-1.0
1,kubernetes/kubernetes,v0.4,2014-10-15,UPGRADE,1052,188538,,,,,,,,,,,1.0,129.0,1.0,9.0,-1.0
2,kubernetes/kubernetes,v0.4.1,2014-10-17,UPGRADE,1052,188538,,,,,,,,,,,,,,,
3,kubernetes/kubernetes,v0.4.2,2014-10-29,UPGRADE,1050,189218,,,,,,,,,,,,,,,
4,kubernetes/kubernetes,v0.4.3,2014-10-30,UPGRADE,1053,189448,,,,,,,,,,,,,,,
5,kubernetes/kubernetes,v0.5,2014-11-17,UPGRADE,1451,257658,,,,,,,,,,,5.0,358.0,11.0,199.0,-1.0
6,kubernetes/kubernetes,v0.5.1,2014-11-18,UPGRADE,1462,258968,,,,,,,,,,,,,,,
7,kubernetes/kubernetes,v0.4.4,2014-11-19,UPGRADE,1055,189581,,,,,,,,,,,1.0,36.0,6.0,138.0,-1.0
8,kubernetes/kubernetes,v0.5.2,2014-11-19,UPGRADE,1462,258968,,,,,,,,,,,5.0,360.0,11.0,199.0,-1.0
9,kubernetes/kubernetes,v0.5.3,2014-11-24,UPGRADE,1463,259381,,,,,,,,,,,,,,,
10,kubernetes/kubernetes,v0.5.4,2014-11-25,UPGRADE,1463,259390,,,,,,,,,,,1.0,2.0,2.0,13.0,-1.0
11,kubernetes/kubernetes,v0.6.0,2014-12-01,UPGRADE,1488,264356,,,,,,,,,,,3.0,86.0,22.0,1600.0,-1.0
12,kubernetes/kubernetes,v0.5.5,2014-12-02,UPGRADE,1463,259420,,,,,,,,,,,1.0,13.0,2.0,13.0,-1.0
13,kubernetes/kubernetes,v0.6.1,2014-12-09,UPGRADE,1488,264356,,,,,,,,,,,3.0,87.0,22.0,1600.0,-1.0
14,kubernetes/kubernetes,v0.5.6,2014-12-12,UPGRADE,1463,259421,,,,,,,,,,,1.0,14.0,2.0,13.0,-1.0
15,kubernetes/kubernetes,v0.6.2,2014-12-12,UPGRADE,1488,264357,,,,,,,,,,,3.0,89.0,22.0,1600.0,-1.0
16,kubernetes/kubernetes,v0.7.0,2014-12-15,UPGRADE,1533,275176,,,,,,,,,,,2.0,124.0,1.0,4.0,-1.0
17,kubernetes/kubernetes,v0.7.1,2014-12-22,UPGRADE,1533,275227,,,,,,,,,,,,,,,
18,kubernetes/kubernetes,v0.7.2,2014-12-29,UPGRADE,1655,286090,,,,,,,,,,,,,,,
19,kubernetes/kubernetes,v0.8.0,2015-01-07,UPGRADE,2113,352744,,,,,,,,,,,2.0,154.0,2.0,101.0,-1.0
20,kubernetes/kubernetes,v0.7.3,2015-01-08,UPGRADE,1655,286089,,,,,,,,,,,,,,,
21,kubernetes/kubernetes,v0.7.4,2015-01-09,UPGRADE,1655,286089,,,,,,,,,,,,,,,
22,kubernetes/kubernetes,v0.8.1,2015-01-12,UPGRADE,2113,352748,,,,,,,,,,,2.0,156.0,2.0,101.0,-1.0
23,kubernetes/kubernetes,v0.8.2,2015-01-20,UPGRADE,2113,352684,,,,,,,,,,,,,,,
24,kubernetes/kubernetes,v0.9.0,2015-01-23,UPGRADE,2413,414191,,,,,,,,,,,3.0,140.0,23.0,101.0,-1.0
25,kubernetes/kubernetes,v0.9.1,2015-01-23,UPGRADE,2419,414910,,,,,,,,,,,,,,,
26,kubernetes/kubernetes,v0.9.2,2015-01-27,UPGRADE,2419,415097,,,,,,,,,,,,,,,
27,kubernetes/kubernetes,v0.8.4,2015-01-28,UPGRADE,2113,352712,,,,,,,,,,,,,,,
28,kubernetes/kubernetes,v0.9.3,2015-01-29,UPGRADE,2419,415094,,,,,,,,,,,3.0,148.0,23.0,101.0,-1.0
29,kubernetes/kubernetes,v0.10.0,2015-02-03,UPGRADE,2732,452425,,,,,,,,,,,,,,,
30,kubernetes/kubernetes,v0.10.1,2015-02-05,UPGRADE,2732,452604,,,,,,,,,,,,,,,
31,kubernetes/kubernetes,v0.11.0,2015-02-17,UPGRADE,3087,523144,,,,,,,,,,,5.0,297.0,20.0,1171.0,-1.0
32,kubernetes/kubernetes,v0.12.0,2015-03-02,UPGRADE,3380,571454,,,,,,,,,,,2.0,221.0,7.0,144.0,-1.0
33,kubernetes/kubernetes,v0.12.1,2015-03-11,UPGRADE,3380,571451,,,,,,,,,,,,,,,
34,kubernetes/kubernetes,v0.12.2,2015-03-16,UPGRADE,3380,571527,,,,,,,,,,,,,,,
35,kubernetes/kubernetes,v0.13.0,2015-03-16,UPGRADE,3963,647916,,,,,,,,,,,3.0,184.0,10.0,640.0,-1.0
36,kubernetes/kubernetes,v0.13.1,2015-03-17,UPGRADE,3999,653657,,,,,,,,,,,1.0,69.0,1.0,13.0,-1.0
37,kubernetes/kubernetes,v0.13.2,2015-03-18,UPGRADE,3999,653670,,,,,,,,,,,,,,,
38,kubernetes/kubernetes,v0.13.1-dev,2015-03-24,UPGRADE,3999,653656,,,,,,,,,,,,,,,
39,kubernetes/kubernetes,v0.14.0,2015-03-30,UPGRADE,4133,668505,,,,,,,,,,,7.0,258.0,25.0,1294.0,-1.0
40,kubernetes/kubernetes,v0.14.1,2015-04-01,UPGRADE,4133,668665,,,,,,,,,,,,,,,
41,kubernetes/kubernetes,v0.14.2,2015-04-07,UPGRADE,4133,668626,,,,,,,,,,,,,,,
