,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,torvalds/linux,v2.6.12-rc2,,,,,,,,,,,,,,,,,,,
1,torvalds/linux,v2.6.12-rc3,,BUG,17317.0,6738615.0,,,,,,1.0,241.0,1.0,2.0,1.0,33.0,133.0,64.0,902.0,-1.0
2,torvalds/linux,v2.6.12-rc4,,BUG,17349.0,6756032.0,,,,,,5.0,540.0,7.0,51.0,5.0,122.0,310.0,263.0,2720.0,-1.0
3,torvalds/linux,v2.6.12-rc5,,BUG,17361.0,6759826.0,,,,,,5.0,161.0,6.0,24.0,5.0,28.0,83.0,50.0,794.0,-1.0
4,torvalds/linux,v2.6.12-rc6,,BUG,17360.0,6777141.0,,,,,,5.0,245.0,7.0,286.0,5.0,40.0,97.0,52.0,888.0,-1.0
5,torvalds/linux,v2.6.12,,BUG,17360.0,6777355.0,,,,,,18.0,1298.0,23.0,411.0,18.0,283.0,705.0,541.0,6359.0,-1.0
6,torvalds/linux,v2.6.13-rc2,,BUG,17740.0,6882620.0,,,,,,12.0,180.0,18.0,325.0,12.0,29.0,133.0,46.0,3132.0,-1.0
7,torvalds/linux,v2.6.13-rc1,,BUG,17741.0,6883748.0,,,,,,41.0,1784.0,57.0,899.0,41.0,261.0,905.0,475.0,6511.0,-1.0
8,torvalds/linux,v2.6.13-rc3,,BUG,17826.0,6905760.0,,,,,,15.0,422.0,47.0,390.0,15.0,80.0,193.0,100.0,1358.0,-1.0
9,torvalds/linux,v2.6.11-tree,,,,,,,,,,,,,,,,,,,
10,torvalds/linux,v2.6.13-rc4,2005-07-28,BUG,18075.0,6982255.0,,,,,,10.0,453.0,14.0,130.0,10.0,76.0,253.0,151.0,3964.0,-1.0
11,torvalds/linux,v2.6.13-rc5,2005-08-01,BUG,18085.0,6985720.0,,,,,,4.0,144.0,8.0,161.0,4.0,9.0,29.0,10.0,55.0,-1.0
12,torvalds/linux,v2.6.13-rc6,2005-08-07,BUG,18086.0,6987717.0,,,,,,3.0,71.0,5.0,35.0,3.0,18.0,29.0,25.0,223.0,-1.0
