,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,torvalds/linux,v2.6.12-rc2,,,,,,,,,,,,,,,,,,,
1,torvalds/linux,v2.6.12-rc3,,DOCS,17317.0,6738615.0,,,,,,,,,,,3.0,163.0,3.0,234.0,-1.0
2,torvalds/linux,v2.6.12-rc4,,DOCS,17349.0,6756032.0,,,,,,,,,,,6.0,426.0,32.0,1127.0,-1.0
3,torvalds/linux,v2.6.12-rc5,,DOCS,17361.0,6759826.0,,,,,,,,,,,1.0,110.0,1.0,42.0,-1.0
4,torvalds/linux,v2.6.12-rc6,,DOCS,17360.0,6777141.0,,,,,,,,,,,4.0,133.0,4.0,404.0,-1.0
5,torvalds/linux,v2.6.12,,DOCS,17360.0,6777355.0,,,,,,,,,,,14.0,974.0,40.0,1807.0,-1.0
6,torvalds/linux,v2.6.13-rc2,,DOCS,17740.0,6882620.0,,,,,,,,,,,1.0,161.0,2.0,7.0,-1.0
7,torvalds/linux,v2.6.13-rc1,,DOCS,17741.0,6883748.0,,,,,,1.0,2224.0,1.0,2.0,1.0,15.0,1151.0,48.0,4622.0,-1.0
8,torvalds/linux,v2.6.13-rc3,,DOCS,17826.0,6905760.0,,,,,,,,,,,2.0,271.0,2.0,25.0,-1.0
9,torvalds/linux,v2.6.11-tree,,,,,,,,,,,,,,,,,,,
10,torvalds/linux,v2.6.13-rc4,2005-07-28,DOCS,18075.0,6982255.0,,,,,,,,,,,2.0,327.0,5.0,121.0,-1.0
11,torvalds/linux,v2.6.13-rc5,2005-08-01,,,,,,,,,,,,,,,,,,
12,torvalds/linux,v2.6.13-rc6,2005-08-07,DOCS,18086.0,6987717.0,,,,,,,,,,,1.0,46.0,1.0,1.0,-1.0
13,torvalds/linux,v2.6.13-rc7,2005-08-23,DOCS,18090.0,6988202.0,,,,,,,,,,,2.0,130.0,2.0,107.0,-1.0
14,torvalds/linux,v2.6.13,2005-08-28,,,,,,,,,,,,,,,,,,
15,torvalds/linux,v2.6.14-rc1,2005-09-12,DOCS,18399.0,7109307.0,,,,,,,,,,,12.0,1674.0,13.0,1262.0,-1.0
16,torvalds/linux,v2.6.14-rc2,2005-09-19,DOCS,18417.0,7118250.0,,,,,,,,,,,2.0,186.0,2.0,21.0,-1.0
17,torvalds/linux,v2.6.14-rc3,2005-09-30,DOCS,18414.0,7131954.0,,,,,,,,,,,3.0,388.0,3.0,151.0,-1.0
18,torvalds/linux,v2.6.14-rc4,2005-10-10,,,,,,,,,,,,,,,,,,
19,torvalds/linux,v2.6.14-rc5,2005-10-19,DOCS,18433.0,7142578.0,,,,,,,,,,,1.0,119.0,1.0,44.0,-1.0
20,torvalds/linux,v2.6.14,2005-10-27,,,,,,,,,,,,,,,,,,
21,torvalds/linux,v2.6.15-rc1,2005-11-11,DOCS,18815.0,7296809.0,,,,,,5.0,4000.0,10.0,117.0,5.0,11.0,2506.0,18.0,741.0,-1.0
22,torvalds/linux,v2.6.15-rc2,2005-11-19,DOCS,18811.0,7289128.0,,,,,,2.0,526.0,2.0,33.0,2.0,3.0,310.0,5.0,74.0,-1.0
23,torvalds/linux,v2.6.15-rc3,2005-11-28,,,,,,,,,,,,,,,,,,
24,torvalds/linux,v2.6.15-rc4,2005-11-30,,,,,,,,,1.0,80.0,1.0,5.0,1.0,,,,,
25,torvalds/linux,v2.6.15-rc5,2005-12-03,,,,,,,,,,,,,,,,,,
26,torvalds/linux,v2.6.15-rc6,2005-12-18,,,,,,,,,,,,,,,,,,
27,torvalds/linux,v2.6.15-rc7,2005-12-24,,,,,,,,,,,,,,,,,,
28,torvalds/linux,v2.6.15,2006-01-02,,,,,,,,,,,,,,,,,,
29,torvalds/linux,v2.6.16-rc1,2006-01-16,DOCS,19206.0,7452552.0,,,,,,,,,,,19.0,2021.0,33.0,1101.0,-1.0
